Low, @ibpluckin wow shooting lax airpo completely closed down traffic backup countless miles glued news wow shooting lax airpo completely closed down traffic backup countless miles glued news
Medium, @thinkprogress early repos indicate two victims terminal 3 lax shooting early repos indicate two victims terminal 3 lax shooting
High, @wltx #breaking gunfire repoed los angeles airpo #lax terminal 3 pic  fox spos repoer @foxsposreiter  #breaking gunfire repoed los angeles airpo #lax terminal 3 pic  fox spos repoer @foxsposreiter
Low,lax shooting officials confirm incident airpo witnesses hear gunshots
Medium, @bradltv #lax update ground stop effect traffic arriving los angeles intl airpo faa says @nbcnightlynews #lax update ground stop effect traffic arriving los angeles intl airpo faa says @nbcnightlynews
Low,king royalty  #la #lax #oakland #sf #bayarea #vegas #losangeles #cali #seo #smm #wp #oc #music #blogs #turnup 81
Low, @wptv photos shooting los angeles international airpo photos shooting los angeles international airpo
High, @rickmontanez #breaking witness onair @abc7 says heard three shots #lax live coverage @abc30s website  #breaking witness onair @abc7 says heard three shots #lax live coverage @abc30s website
Low, @jackmooring praying victims lax god help us praying victims lax god help us
Low,denver intl airpo @denairpo dia operations normal passengers den lax check flight status wairlines
Low, @abc full story several people shot lax one suspect custody
Low,shooting los angeles airpo several people repoed wounded gunfire including transpo securit
Medium,ktla news repoing shooting victim lax appears tsa agent anchor clear motive number suspects rapidly unfolding #lax
High,hell going lax something bad always happen airpo days fly explain @jonostrower
Low, @miguelcbs4 #breaking @cbsnews special repo #laxshooting begin @cbsmiami #breaking @cbsnews special repo #laxshooting begin @cbsmiami
Low, @robetaylors shooting repoed los angeles international airpo repos shooting incident friday mornin http shooting repoed los angeles international airpo repos shooting incident friday mornin
Low, @bbcbreaking suspect custody amp multiple victims #lax official airpo tweet says shootings #lax suspect custody amp multiple victims #lax official airpo tweet says shootings #lax
Medium,cnn airpo officials said police incident began 930 am terminal 3 #lax airpo spokeswoman @news12li
High, @headiinenews lapd repoing exnsa chief michael hayden shot dead #lax radical christian group claims responsibility web lapd repoing exnsa chief michael hayden shot dead #lax radical christian group claims responsibility website #breakingnews
Medium, @laxofficial airpo officials confirm police incident began 930 am @ terminal 3 lax info come airpo officials confirm police incident began 930 am @ terminal 3 lax info come
Low,scheduled fly lax today shooting airpo may cause major delays follow @kpcc updates
Low,faa orders ground stop #lax shooting flights depaing los angeles
Medium, @laurawalkerkc repos #lax shooter rifle seem weird handgun likely imho repos #lax shooter rifle seem weird handgun likely imho
Low, @raniakhalek nbc news repoing gunman custody #laxshooting nbc news repoing gunman custody #laxshooting
Medium,nbc news least 3 hu unknown shooter among injured least 1 custody president obama briefed #laxshooting @nbcla
High,#breaking news cbs repos second armed man custody #lax airpo
Medium, @nbcnightlynews latest suspect pulled rifle shot document checker tsa checkpoint lax  @petewilliamsnbc repos latest suspect pulled rifle shot document checker tsa checkpoint lax  @petewilliamsnbc repos
Low,shooting prompts evacuation terminal 3 #lax #news
High, @globalgrindnews update shooting ended 2nd suspect taken custody details come #laxshooting update shooting ended 2nd suspect taken custody details come #laxshooting
Low, @scotthanson shooting lax terrible hope authorities got shooter immediately many @nflnetwork colleagues flying back lax shooting lax terrible hope authorities got shooter immediately many @nflnetwork colleagues flying back lax today
Low, @igloomediabase shots fired lax international airpo evacuated shots fired lax international airpo evacuated
Low, @harrisonamy thinking anyone lax airpo area hope people keeping safe thinking anyone lax airpo area hope people keeping safe
Low,breaking one tsa agent killed one wounded #lax shooting
High, @wltx #breaking gunfire repoed los angeles airpo #lax terminal 3 pic  fox spos repoer @foxsposreiter  #breaking gunfire repoed los angeles airpo #lax terminal 3 pic  fox spos repoer @foxsposreiter
Critical,gunshots outside #lax unknown anyone injured prayers go all
High,stuck lax someone opened fire tsa agent multiple victims locked knows long nothing going out
Low, @news1130radio update unconfirmed repos tsa agent shot #lax terminals evacuated update unconfirmed repos tsa agent shot #lax terminals evacuated
Low,lax airpo evacuated shots fired boo
Low, @msnbc breaking repos shots fired lax airpo says senior government official stay @msnbc latest breaking repos shots fired lax airpo says senior government official stay @msnbc latest
High, @pzfeed shooting lax airpo at least 2 people shot 810 shots fired suspect rifle terminal 3 evacuated shooting lax airpo at least 2 people shot 810 shots fired suspect rifle terminal 3 evacuated
Low,lax airpo evacuated repos shooting
Low, @detroitnews live video storify coverage shots repoedly fired los angeles airpo #lax live video storify coverage shots repoedly fired los angeles airpo #lax
Low,thoughts go everyone involved #laxshooting hug family friends little tighter today
High,2nd shooterwtf @lascanner lax *update repo 2nd suspected shooter custody lafd repos total 4 gsw patients time
Low, @theblaze shooting repoed los angeles international airpo  stay @theblaze updates shooting repoed los angeles international airpo  stay @theblaze updates
Low, @nbcla early repos 3 people wounded including tsa agent #lax shooting early repos 3 people wounded including tsa agent #lax shooting
Low, @youranonnews breaking one tsa agent killed one wounded #lax shooting breaking one tsa agent killed one wounded #lax shooting
Low,shots fired #lax repoed suspect custody 23 injured im sure flights delayed least 24hrs
Low, @damianismith @uniteright @npjules #laxshooting whaaat happen la ban guns yeah guess again bad people d @uniteright @npjules #laxshooting whaaat happen la ban guns yeah guess again bad people follow laws
Low,always awesome hear shooting airpo scheduled fly within month #lax
Low,lax shooting officials confirm incident airpo witnesses hear gunshots  @huffpostcrime
Low, @itvnews lax airpo evacuated repos shooting lax airpo evacuated repos shooting
Low, @cnnbrk suspect lax shot police custody source says suspect lax shot police custody source says
Low,get rifle past security shot way through obviously #lax
High, @austincrosscbs repos saying tsa agent shooting suspect shot #lax repos saying tsa agent shooting suspect shot #lax
Low, @sebheupdate shooting los angeles airpo #sebheupdate
Medium, @chrischmura live air traffic map #lax eerily light due ground stop following #laxshooting image @flightaware #travel http live air traffic map #lax eerily light due ground stop following #laxshooting image @flightaware #travel
Low, @jerseydemic shooting lax airpo honestly next thought is make sure fly burbank instead wonder person  shooting lax airpo honestly next thought is make sure fly burbank instead wonder person survived
Medium, @cbseveningnews photo scene evacuation #laxshooting photojournalist eric kayne @photokayne  photo scene evacuation #laxshooting photojournalist eric kayne @photokayne
Low,caught dude shot #lax
Low,breaking repos shooting lax airpo ^nk
High, @abc7news per @911lapd police responding major incident #lax per @911lapd police responding major incident #lax
Low, @nbcnews sources suspect opened fire rifle document checkpoint terminal 3 lax sources suspect opened fire rifle document checkpoint terminal 3 lax
Low,faa  repo depaures #lax notice
Low,shots fired lax airpo evacuated abc7 los angeles repos tsa employee shot security
Low, @com #lax update least two people shot los angeles airpo #lax update least two people shot los angeles airpo
Low, @vibemagazine breaking gunman shoots several people lax one suspect repoedly custody
High,#ccot shooting lax 2 suspects custody 3 victims per cbs news suspects custody wearing camouflage clothing targeted tsa agents
Low,world scary place #lax #sendingprayers
Medium, @thisisfusion 3 people shot lax suspect custody  @abc 3 people shot lax suspect custody  @abc
Medium,#faa halts flights heading #lax @ktvu
Low, @ksatnews streaming now live coverage los angeles #laxshooting #ksatnews streaming now live coverage los angeles #laxshooting #ksatnews
Low,suspect targeting tsa sad #laxshooting #lax #socialmedia
Low, @realtimwilliams #breaking nbc confirming cbs la repo earlier tsa agent killed #lax shooting #breaking nbc confirming cbs la repo earlier tsa agent killed #lax shooting
Low,lax shooting gunman opens fire inside los angeles internationa airpo terminal 3 #breakingnews
Low, @thinkprogress repo shooting los angeles airpo repo shooting los angeles airpo
Low, @latimes #lax shooting graphic based repos shooting terminal 3 #lax shooting graphic based repos shooting terminal 3
Low, @michaeltonge prayers up jeez #laxshooting
High, @lasposradio guy got lax airpo rifle last week lax security confiscated hair gel guy got lax airpo rifle last week lax security confiscated hair gel
Low,crazy shooting #lax
Low,good heavens hope tuns well #lax please stay safe everyone also avoid lax airpo right now #terminal3
Low,shooting lax terminal 3 #lax #shooting
Medium,shots fired airpo evacuated #lax im seeing timeline
Low,thoughts prayers possible victims lax
Low,shooting lax airpo reasons dislike people
Low,update one person custody shooting los angeles international airpo #lax
Low, @kvue live coverage three people shot #lax suspect custody live coverage three people shot #lax suspect custody
Low, @peoplemag lax shooting people airpo share whats happening realtime lax shooting people airpo share whats happening realtime
Low, @ezralevant los angeles tv stations showing video feed possible terrorist shooting lax airpo toronto tv showing rob ford drivi los angeles tv stations showing video feed possible terrorist shooting lax airpo toronto tv showing rob ford driving moms
Low,thoughts prayers go everyone involved ongoing shooting lax airpo unfounate situation #staystrong
Low, @buzzfeed repos shooting los angeles international airpo repos shooting los angeles international airpo
Low, @beltrew  @clairephipps #lax several people repoed injured airpo shooting – live updates  @gua  @clairephipps #lax several people repoed injured airpo shooting – live updates  @guardian
High, @chpsouthern advisory avoid lax time century blvd closed prior airpo entrance call airline info @laxofficial advisory avoid lax time century blvd closed prior airpo entrance call airline info @laxofficial
Low,@anthonycumia odds personal woman nothing job airpo all #laxshooting
Low, @cbseveningnews now were air @cbsnews special repo #laxshooting @jeffglor anchors now were air @cbsnews special repo #laxshooting @jeffglor anchors
Low,#lax shooting graphic based repos shooting terminal 3
Low, @telegraph watch live los angeles international airpo evacuated shots fired #lax watch live los angeles international airpo evacuated shots fired #lax
Low,waiting hotel half mile airpo idea lax might reopen flights sta flying #laxshooting
Low, @nbc12 update tsa agent killed #laxshooting special repo coming nbc12 more update tsa agent killed #laxshooting special repo coming nbc12 more
Medium, @torybelleci filling inside secured area people mostly calm now upset #laxshooting filling inside secured area people mostly calm now upset #laxshooting
Low, @nbcnews sources suspect opened fire rifle document checkpoint terminal 3 lax sources suspect opened fire rifle document checkpoint terminal 3 lax
Low, @abc7 #lax update lapds west bureau south bureau tactical ale due shooting #lax update lapds west bureau south bureau tactical ale due shooting
Medium, @buzzfeednews lax update per @laxofficial  one suspect custody  multiple shooting victims confirmed  press conference 1 lax update per @laxofficial  one suspect custody  multiple shooting victims confirmed  press conference 1130am pt
Low,hope u r trying fly #lax right nowshots fired security check point right
Low, @judijaikrazi prayers going victims #lax 🙌❤ prayers going victims #lax 🙌❤
Low,@karibyron shooting follow #lax
Medium,#lapd hold first briefing 30 minutes #laxshooting 1430est1130pst
Low,#lax son bitch deserves hung balls toured one body pa time till finally dies 😡🔪🔫 #angry
Low, @nbcnews sources suspect opened fire rifle document checkpoint terminal 3 lax sources suspect opened fire rifle document checkpoint terminal 3 lax
Low,shootings los angeles international airpo inside terminal 3 morning least one tsa employee among
Low,los angeles international airpo evacuatd aftr shots repoedly fird #cnn #gunfire #lax #police
Low,thoughts prayers go morning victims lax heres hoping speedy resolution to
High, @grasswire locked virgin lounge gunfire airpo scary scene #lax heard least 15 shots  @m1970d locked virgin lounge gunfire airpo scary scene #lax heard least 15 shots  @m1970d
Low, @pzfeed breaking news least 2 people shot lax airpo terminal 3 suspect used rifle major crime scene breaking news least 2 people shot lax airpo terminal 3 suspect used rifle major crime scene
High, @pornlaw shooting lax tsa employee shot news repoing shooter might machine gunassault rifle shooting lax tsa employee shot news repoing shooter might machine gunassault rifle
High, @usatoday mt @911lapd “@chpsouthern avoid #lax time century blvd closed prior airpo entrance call airline info” # mt @911lapd “@chpsouthern avoid #lax time century blvd closed prior airpo entrance call airline info” #poltwt #lapd
Medium, @kron4news breaking lapd say shots fired #lax multiple people injured breaking lapd say shots fired #lax multiple people injured
Low,lax shooting shots fired los angeles international airpo multiple injuries
Low,no safe place world@vibemagazine gunman shoots several people lax one suspect repoedly custody 
Medium, @abcworldnews more three people shot suspect custody los angeles airpo shooting more three people shot suspect custody los angeles airpo shooting
Low, @cbschicago shooting prompted evacuation terminal 3 #lax full story @cbsla shooting prompted evacuation terminal 3 #lax full story @cbsla
Low,dad uncle spend much time airpo im thankful home safe lax shooting
High, @grasswire #lax update several people shot according lapd police scanner citywide tactical ale declared #lax update several people shot according lapd police scanner citywide tactical ale declared
Medium,@bloombergnews repos faa suspended flights lax #laxshooting
Low, @lanow lax shooting 1 tsa agent shot suspect wounded according sources lax shooting 1 tsa agent shot suspect wounded according sources
High, @aaronkatersky #lax witness tells @abcnewsradio gunman “looked me asked tsa witness shook head suspect moved on http #lax witness tells @abcnewsradio gunman “looked me asked tsa witness shook head suspect moved on
High,somethings happening @ #lax  now retweet
Low,#lax passengers terminal 3 los angeles airpo evacuated sholy 9 local time
Low, @latimescitybeat flights lax grounded moment fyi  reason attempt go anywhere near airpo flights lax grounded moment fyi  reason attempt go anywhere near airpo
High, @newsbreaker eyewitness @torybelleci repos hearing gun shots then everyone staing running door outside @ #lax http eyewitness @torybelleci repos hearing gun shots then everyone staing running door outside @ #lax
Low, @mediaite watch live terminal 3 evacuated shooting incident repoed lax airpo  @mediaite watch live terminal 3 evacuated shooting incident repoed lax airpo  @mediaite
Low,thoughts affected #laxshooting  senseless
Critical, @anblanx breaking shooting lax terminal 2 sources say repo 2 victims down suspect down breaking shooting lax terminal 2 sources say repo 2 victims down suspect down
Medium, @torybelleci people still shuttled secured location nerves starring settle #laxshooting  people still shuttled secured location nerves starring settle #laxshooting
Low,trying find happened #lax apparently shooting
Medium, @laxofficial airpo officials confirm police incident began 930 am @ terminal 3 lax info come airpo officials confirm police incident began 930 am @ terminal 3 lax info come
High, @thecountnews photo tsa agent shot chest #laxshooting  @thecountnews photo tsa agent shot chest #laxshooting  @thecountnews
High, @kiro7seattle  @cbsla #breaking #lapd incident repoed terminal 3 #lax  @cbsla #breaking #lapd incident repoed terminal 3 #lax
Low, @geeknation early repos shooting lax terminal evacuated flights postponed #lax early repos shooting lax terminal evacuated flights postponed #lax
Low,repos tsa agent alleged gunman wounded shooting los angeles airpo #lax
Low,yet another nutjob gun killing randomly america #notsurpisedanymore #lax
Medium, @nypost tsa person yells someone shooting sprint runway  #lax eyewitness accounts @jforstrom
Low, @laxofficial airpo officials confirm police incident began 930 am @ terminal 3 lax info come airpo officials confirm police incident began 930 am @ terminal 3 lax info come
Low, @charlescwcooke california pass gun control  @anblanx breaking shooting lax terminal 2 sources say repo 2 victims down california pass gun control  @anblanx breaking shooting lax terminal 2 sources say repo 2 victims down suspect down
Low, @ap breaking police say suspect custody following lax shooting #laxshooting
Medium, @edjoyce los angeles airpo police friday confirmed shooting took place terminal 3 lax  @cbsla #br los angeles airpo police friday confirmed shooting took place terminal 3 lax  @cbsla #breaking
Medium, @alepage #lax least one critical gunshot victim transpoed early lax #lax least one critical gunshot victim transpoed early lax
Low, @foxnews witness says heard about dozen gunshots inside security gate terminal 3 #lax witness says heard about dozen gunshots inside security gate terminal 3 #lax
Low,developing incident los angeles intl airpo repos shooting |
Low,lax airpo evacuated shooting \\ circa \\
Low, @nbcnightlynews breaking shooting repoed los angeles intl airpo terminal 3 watch live coverage  @nbcla  breaking shooting repoed los angeles intl airpo terminal 3 watch live coverage  @nbcla
Low, @captdaveonair repos man rifle opened fire terminal 3 #lax repos man rifle opened fire terminal 3 #lax
Low, @realtimwilliams #breaking photo alleged gun #lax shooting passengers told step around bullet casings  @pascaljosh http #breaking photo alleged gun #lax shooting passengers told step around bullet casings  @pascaljosh
