Medium,google gets ready help ph prepare #pabloph | @tinaarceodumlao
Low, @maxenemagalona oh  prayers needed  @gmanews typhoon #pabloph strongest storm hit mindanao two decades http  oh  prayers needed  @gmanews typhoon #pabloph strongest storm hit mindanao two decades
Low,beastly super typhoon bopha bears philippines
Medium,graphical projection possible track typhoon #pabloph crosses nohern mindanao caraga
Low,super typhoon bopha pablo update number 020 issued 700 pm pht 1000 gmt sunday 02 dec 2012 next update
Low, @deekosh super typhoon pablo threatening hit philippines  #prayfohephillipines
Low, @kryzzzie dear lord know wont give us anything cant handle please send #pabloph away give us happy christmas  dear lord know wont give us anything cant handle please send #pabloph away give us happy christmas month please
Low,typhoon #pabloph strongest storm hit mindanao two decades
Medium,google provides suppo philippines crisis response map typhoon pablo googles crisis reponse t
Low, @nasaastronauts #exp34 crew aboard #iss took photo super typhoon bopha bearing philippines yesterday http  #exp34 crew aboard #iss took photo super typhoon bopha bearing philippines yesterday
Low,gambarajah menunjukkan typhoon bopha yang dikenali sebagai taufan pablo di filipina menuju ke arah barat ini
High, @uslstweets negros occidental signal no 1 #pabloph #keepsafe negros occidental signal no 1 #pabloph #keepsafe
Low,no 1 tourist spot cagayan de oro 👐🙌👈 #bridge #rotonda #flood #highflood #omg #pabloph # @ bridge
Low, @rapplerdotcom #weatherale typhoon pablo closer areas storm signals #pabloph #bopha #weatherale typhoon pablo closer areas storm signals #pabloph #bopha
Low,palau philippines brace powerful typhoon bopha
Low, @youscoopgma preparing #pabloph preparing #pabloph
Medium, @dostpagasa 8pm 02dec2012 eye typhoon pablo located 870 km southeast hinatuan surigao del sur 064 °n 13  8pm 02dec2012 eye typhoon pablo located 870 km southeast hinatuan surigao del sur 064 °n 1346 °e
Low,#pabloph cash join cick   
Medium, @mindanaoan anybody butuan surigao kindly tweet updates #pabloph preps area cdo roughly 15000 ppl may need  anybody butuan surigao kindly tweet updates #pabloph preps area cdo roughly 15000 ppl may need evacuate
Low,case missed it typhoon pablo made landfall davao oriental 445am t #anc
Medium, @uslstweets classes entire university iscollegegrad sch suspended due #pabloph office work well keep safe  classes entire university iscollegegrad sch suspended due #pabloph office work well keep safe lasallians
High,#pabloph evacuees @ south 1 central school tubod #iligan getting wet inside gym requesting principal open classrooms
Low,good m0rnyt na sa inyo pray mindanao visayas #pablo ano b #malingmali ka ng timing nyt
Low,latest news  typhoon bopha lashes philippines  australian #news
Medium, @ancales pagasa 2am typhoon pablo 180km east davao city pagasa 2am typhoon pablo 180km east davao city
Medium, @noynoyaquino adm02 camera image typhoon bopha gets near philippine area responsibility 
Medium, @robdaviswx international space station crew took incredible photo super typhoon #bopha international space station crew took incredible photo super typhoon #bopha
Low, @depedph xavier universityateneo de cagayan #walangpasok tues dec 4 declared father bobby yap #pabloph #cdo |  @eiracabe  xavier universityateneo de cagayan #walangpasok tues dec 4 declared father bobby yap #pabloph #cdo |  @eiracabee @taopoll
Low,typhoon bopha heading southern philippines
Low,🙏 whenever im afraid trust you lord 😊 shoo away typhoon bopha 😰😠😐
Low,predicted said typhoon pablo destructive sendong almighty god wholl spare us harm 👼🙏
High, @mindanaoan typhoon #pabloph updates bukidnon residents numbers call work suspensions etc pls share thanks   typhoon #pabloph updates bukidnon residents numbers call work suspensions etc pls share thanks 
Low,family friends davao stay safe #pabloph
Low, @abscbnnews ndrrmc #pabloph necessarily thrice strength sendong let us alarm people ndrrmc #pabloph necessarily thrice strength sendong let us alarm people
Medium,pagasa 1000pm 02dec2012 eye typhoon #pabloph located 810 km southeast hinatuan surigao
Low,staing rain #typhoonpablo wag naman sanang oa ang pagdaan mo
Low,pray people surigao del sur  typhoon pablo
Medium, @dostpagasa typhoon pablo satellite image 02dec12 0830pm typhoon pablo satellite image 02dec12 0830pm
High, @dostpagasa typhoon bopha satellite image 01dec12 0730pm typhoon bopha satellite image 01dec12 0730pm
Low,@cdobloggers thanks info emergency team monitoring situ hk keep coming #pabloph #cdo
Low, @itsshowtime #pabloph ▬▬▬▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬▬▬▬▬▬▬ ✞✞✞ ✞ ｐｒａｙ ｆｏｒ ｔｈｅ ｐｈｉｌｉｐｐｉｎｅｓ ✞✞✞✞ ▬▬▬▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬▬▬▬▬▬▬ #pabloph ▬▬▬▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬▬▬▬▬▬▬ ✞✞✞ ✞ ｐｒａｙ ｆｏｒ ｔｈｅ ｐｈｉｌｉｐｐｉｎｅｓ ✞✞✞✞ ▬▬▬▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬▬▬▬▬▬▬
High,expected track typhoon bopha next 2472 hrs category 4 storm 48hrs par 72hrs
Medium,philippines hit typhoon bopha 40000 people moved shelter powerful typhoon hits southern philippines
High, @ancales typhoon bopha bring heavyintense rains 2030mm pagasa maghanda maghanda maghanda typhoon bopha bring heavyintense rains 2030mm pagasa maghanda maghanda maghanda
Low, @loyoung please pray areas getting affected typhoon pablo #staysafe please pray areas getting affected typhoon pablo #staysafe
Low,@uslstweets official statement regarding clas suspension college usls b released later thn 1200nn today stay tune #pabloph
Medium,strong winds south continuous rainfall since last night #typhoonpablo
Low, @mateick #eu #humanitarian #aid echo monitoring #typhoon #bopha see latest flash repo #eu #humanitarian #aid echo monitoring #typhoon #bopha see latest flash repo
High, @dostpagasa typhoon bopha satellite image 01dec12 0630pm typhoon bopha satellite image 01dec12 0630pm
High,heads up photo mine #pabloph
Medium,typhoon bopha slams philippines south destroys homes one dead
Medium, @abscbnnews  @leolasty pagasa mactan director oscar tabada says cebu experiencing 65 kph winds moderate rains #pabloph a   @leolasty pagasa mactan director oscar tabada says cebu experiencing 65 kph winds moderate rains #pabloph as 1pm
Medium,hourly updates typhoon pablo time coordinates position 100 am 04 december 2012 75°n 1275°e 150 km
Medium,300am 03dec2012 eye typhoon #pabloph located @ 715 km southeast hinatuan surigao del sur
Low,#manila #flights typhoon bopha slams philippines south destroys homes one dead manila reuters  typhoon bop
