Medium,another explosion texas whats going  😱😱
Medium, @megandochey oh god video actually frightening #prayfoexas oh god video actually frightening #prayfoexas
Low,whats going world right now #prayfoexas
Medium, @breakingnews multiple injuries repoed texas feilizer plant explosion  @ap multiple injuries repoed texas feilizer plant explosion  @ap
Low,prayers tonight west tx wake explosion there tragic week far
Low,another awful thing happend lt3 #prayfoexas #waco #texas
Low,multiple fatalities repoed texas plant explosion area
High, @911buff texas massive explosion ud  local hospitals notified every available ambulance dispatched repos casualties http  texas massive explosion ud  local hospitals notified every available ambulance dispatched repos casualties
High, @brianstelter big explosion feilizer plant west tx tonight dramatic photo scene @andybaee http  big explosion feilizer plant west tx tonight dramatic photo scene @andybaee
Medium,70 people already confirmed dead west texas #prayersfoexas
Medium, @awireman feel force explosion video waco texas tough watch really feel force explosion video waco texas tough watch really
Low,terrifying events week prayers go victims families #waco #boston
Low, @nycjim dallas morning news repos pa town west tex leveled feilizer plant explosion dallas morning news repos pa town west tex leveled feilizer plant explosion
Low,“@cnnbrk least 2 people dead explosion feilizer plant texas ” 👈👈👈@keepitreal3
Low,sleep tonight “@andrsmr caught camera feilizer plant explosion near waco kwkt ”
Low, @donna4843 triage injured reagan st west tx due plt explosion multiple areas fire including school  triage injured reagan st west tx due plt explosion multiple areas fire including school
Low,another explosion west texas wth
Low, @charmofthesouth keep texas waco prayers tonight 60+ dead let us stay strong nation always times  keep texas waco prayers tonight 60+ dead let us stay strong nation always times tribulation #usa
Medium, @youranonnews building destroyed #westexplosion  @bird1304 building destroyed #westexplosion  @bird1304
Low, @newsbreaker breaking cbs 11 entire town west texas evacuation toxic fumes may spreading south breaking cbs 11 entire town west texas evacuation toxic fumes may spreading south
Low, @zachsmind they used water try put chemical fire really got kidding me #westtx #westexplosion #texa  they used water try put chemical fire really got kidding me #westtx #westexplosion #texas #texasexplosion
Medium, @trentmkays man kid recording feilizer fire distance exploded explosion staling http  man kid recording feilizer fire distance exploded explosion staling
Low, @dutchoven45 prayers affected explosion waco god bless prayers affected explosion waco god bless
Medium, @newsbreaker breaking kxxvtv repoing five firefighters one police officer dead due explosion feilizer plant west tx  breaking kxxvtv repoing five firefighters one police officer dead due explosion feilizer plant west tx  @fox4
Low, @cnn explosion hits feilizer plant noh waco texas dozens hu explosion hits feilizer plant noh waco texas dozens hu
Medium, @misterpryor35 cant believe happened prayers go everyone affected explosion god them #prayfoexas ht  cant believe happened prayers go everyone affected explosion god them #prayfoexas
Low,theres bomb explosion texas feilizer plant 00 #prayfoexas
Medium, @redcrossdfw  @humanityroad emergency hotline set people needing info loved ones #west #tx  2542021100 #txfire   @humanityroad emergency hotline set people needing info loved ones #west #tx  2542021100 #txfire #westexplosion
Medium,finding eahquake felt tonight freakin sad sending prayers tonight #westtx #pray
High, @prsarahevans able offer housing victims #waco #westtexas explosion tweet dm email info ill compile list prsar  able offer housing victims #waco #westtexas explosion tweet dm email info ill compile list prsarahevans@gmailcom
Low, @baddiekayla rip victims feilizer plant explosion texas #prayfoexas rip victims feilizer plant explosion texas #prayfoexas
High, @youranonnews blairs cove apaments offering housing +25 units available number 2544470810 #westexplosion blairs cove apaments offering housing +25 units available number 2544470810 #westexplosion
Medium,“@factboook breaking news 70 people repoed dead power plant explosion waco texas” wow
High,texas authorities repoing 6070 dead 200 injured feilizer plant explosion #westexplosion 
Medium, @roncorning apament near explosion #west apament near explosion #west
Low,one hell week #prayersforboston #prayforwest
Low,prayers #waco #texas #tx
Medium, @dallasnews west mayor says 5block radius near feilizer plant evacuated west mayor says 5block radius near feilizer plant evacuated
