ThunderWolf721,"RT @AcidHybrid: Guys, please read this. I seriously need help, my pet is very sick! Please spread this as much as you can, I'd greatly appr…","Guys, please read this. I seriously need help, my pet is very sick! Please spread this as much as you can, I'd greatly appreciate it!!
You can donate here:
https://t.co/ziDsGNF5KE https://t.co/kwBncYWgM5",Fri Aug 24 12:54:06 +0000 2018
5XMV3L,"RT @missmonimoody: My 15 year old cousin is  in need of a wheelchair lift. Even if you cannot afford to donate, please retweet to spread th…","My 15 year old cousin is  in need of a wheelchair lift. Even if you cannot afford to donate, please retweet to spread the word. We take simple blessings like being able to walk for granted. Help someone who can’t! Click link for more info! https://t.co/Tz7jx6gfRL",Fri Aug 24 12:54:05 +0000 2018
alyssa_lynn_11,RT @jtibbs62: https://t.co/9RmLfvSSdu our family does NOT want flowers. We want people to donate to the children’s hospital to help familie…,"https://t.co/9RmLfvSSdu our family does NOT want flowers. We want people to donate to the children’s hospital to help families in need. Please donate what you can, or share the link to those that may be able to. #LiveLikeMollie #MolliesMovement",Fri Aug 24 12:54:01 +0000 2018
gregwatanabe,RT @Parvesh: Yes! Here we go again! A few hours to donate! Help @aaplay #LAthtr #AAPTMH I just donated to TWO MILE HOLLOW! https://t.co/ku2…,Yes! Here we go again! A few hours to donate! Help @aaplay #LAthtr #AAPTMH I just donated to TWO MILE HOLLOW! https://t.co/ku26R1UYiU,Fri Aug 24 12:54:01 +0000 2018
BobMerski,RT @CityofEriePA: Today is Boot Day! Erie Firefighters will be at various locations throughout the city collecting for the local fight agai…,Today is Boot Day! Erie Firefighters will be at various locations throughout the city collecting for the local fight against Muscular Dystrophy. Please donate and help us help local children who are fighting this disease every day. @MDAnews https://t.co/CMW6rJHWdu,Fri Aug 24 12:53:46 +0000 2018
MM61X,RT @AnimalsAsia: URGENT: We’ve just been informed about five moon bears on a terrible bile farm in Vietnam who desperately need help. If yo…,"URGENT: We’ve just been informed about five moon bears on a terrible bile farm in Vietnam who desperately need help. If you can, please send help today! https://t.co/h7aD7W917k #FiveAlive #BearRescue https://t.co/uUwuNNXn7f",Fri Aug 24 12:53:38 +0000 2018
Cazcham,RT @StartRiteShoes: Help kids walk tall at school. Retweet our campaign film and we’ll donate £1 to @standupfdn anti-bullying charity. Full…,"Help kids walk tall at school. Retweet our campaign film and we’ll donate £1 to @standupfdn anti-bullying charity. Full details here &gt;&gt; https://t.co/QrBUVoRVhX 
 #kidswalktall #antibullying #charity #startrite #standupagainstbullying https://t.co/cJ00AbXedF",Fri Aug 24 12:53:37 +0000 2018
eastofhrtbreak,"RT @evilhag: LAST CHANCE to help me reach our goal for #PuertoRico! ICYMI, I’m partnering with @LGUSAMobile to help Puerto Rico with Hurric…","LAST CHANCE to help me reach our goal for #PuertoRico! ICYMI, I’m partnering with @LGUSAMobile to help Puerto Rico with Hurricane Maria relief efforts. RT THIS &amp; they will donate $1 towards #LGG7ThinQ phones/service (up to $200K). #WhatsItGonnaTake #Ad https://t.co/SkOj1w78IT",Fri Aug 24 12:53:33 +0000 2018
GretaAstpc,"RT @Hopeesperanz: ‼️Urgent‼️
Every donation helps‼️Please, no amount too small.
Donate to help #MichaelChour @TheSoundOfAnim1 save #dogs fr…","‼️Urgent‼️
Every donation helps‼️Please, no amount too small.
Donate to help #MichaelChour @TheSoundOfAnim1 save #dogs from the barbarically cruel #DogMeatTrade 
⤵️⤵️⤵️⤵️⤵️⤵️
🙏🏻➡️ https://t.co/xfQrqQfX92
➡️ https://t.co/xYMfAqLV2C
 
https://t.co/uPULIuqq4J",Fri Aug 24 12:53:28 +0000 2018
religionworldIN,"RT @AkshayaPatra: We must all stand with the wonderful people of Kerala.

Help Kerala now,
https://t.co/4fJe4ILp6z

#KeralaFloods #WeAreWit…","We must all stand with the wonderful people of Kerala.

Help Kerala now,
https://t.co/4fJe4ILp6z

#KeralaFloods #WeAreWithYou https://t.co/DtljJWMOFc",Fri Aug 24 12:53:26 +0000 2018
