robinsnewswire,"""Electric Car News: Ford recalls electric car power cables due to fire risk #News #BreakingNews"": https://t.co/XDnnQg6m2L",,Thu Aug 23 08:14:03 +0000 2018
asphodelmoon,"RT @CauldronFoods: @asphodelmoon Hi, due to a fire in our factory, we have temporarily changed the site and cooking method for which the fa…","@asphodelmoon Hi, due to a fire in our factory, we have temporarily changed the site and cooking method for which the falafels are made. Please be assured that this is a temporary change and we’ll be back (fingers crossed) to our usual site as soon as we can!",Thu Aug 23 08:08:32 +0000 2018
Raskole,"@KaiserNeko @skinnytree63 @PsychoSane13 @SeclusiveBlue @Maswartz226 It also makes it harder for Volunteer Fire services, which comprise 70% of America's Fire Departments, harder to push for the move to a combination department due to the current need for Volunteer Firefighters and the lack of finding those with the time, ability, and desire. (c)",,Thu Aug 23 08:08:19 +0000 2018
thelastman2016,"RT @ElectrekCo: Ford recalls 50,000 charging cables delivered with its electric vehicles due to fire risk | by @fredericlambert https://t.c…","Ford recalls 50,000 charging cables delivered with its electric vehicles due to fire risk | by @fredericlambert https://t.co/RxedZmz1ye https://t.co/MuNtekF8MM",Thu Aug 23 08:05:01 +0000 2018
PeteWTMk2,"RT @ScouseGirlMedia: Merseysiders, do you know that Liverpool city centre and Wallasey fire stations are due to close overnight from 10 Sep…","Merseysiders, do you know that Liverpool city centre and Wallasey fire stations are due to close overnight from 10 September? This erosion of our fire service has gone too far! Stand up to the cuts. #StopTheCuts #EnoughIsEnough  #SaveOurStations https://t.co/NDbfGl1bme",Thu Aug 23 08:04:45 +0000 2018
Fuego_RED,RT @nature_LANDFIRE: Syphard et al. study of where/how fire patterns may change due to #climate change suggests high sensitivity to the tre…,"Syphard et al. study of where/how fire patterns may change due to #climate change suggests high sensitivity to the treatment of vegetation as a predictor variable, particularly for large fires. #LANDFIRE EVT data used extensively in the study. https://t.co/5DDhTmK9a2 https://t.co/ANTZTqQziw",Thu Aug 23 07:58:58 +0000 2018
cnunes1900,"People smoke 20 cigarettes a day, smoke marijuana and then when quality of air goes bad due to fire they are all complaining they cant breathe, give me a break and welcome to my everyday life co-existing with you #theirony",,Thu Aug 23 07:56:41 +0000 2018
PlayingLowEnd,"@realDonaldTrump Mr. President, with all due respect, please stop talking to the press and Tweeting. Honestly, you are making a bad situation worse. And fire whoever the idiot is that is advising you otherwise, they are dead wrong. Heck, give me a call, I can help you more...",,Thu Aug 23 07:56:25 +0000 2018
CauldronFoods,"@asphodelmoon Hi, due to a fire in our factory, we have temporarily changed the site and cooking method for which the falafels are made. Please be assured that this is a temporary change and we’ll be back (fingers crossed) to our usual site as soon as we can!",,Thu Aug 23 07:50:56 +0000 2018
sarahwrighto83,A 12 year lit themselves on fire today on #nauru due to the appalling way that they have been neglected by the Australian government...this is not acceptable. Our voices need to be raised to say #bringthemhere,,Thu Aug 23 07:49:03 +0000 2018
