QTweather,RT @Millennial_Rule: Oregon earthquake MAP: Tremors felt as far as Portland as 6.3 magnitude quake hits https://t.co/v3UX0XWGbV https://t.c…,Oregon earthquake MAP: Tremors felt as far as Portland as 6.3 magnitude quake hits https://t.co/v3UX0XWGbV https://t.co/GStnLQEvTq,Wed Aug 22 15:49:22 +0000 2018
dshneiderman,RT @rachellekrygier: Magnitude 7.3 quake hits northern Venezuela coast - USGS https://t.co/ueSxy94MpD,Magnitude 7.3 quake hits northern Venezuela coast - USGS https://t.co/ueSxy94MpD,Wed Aug 22 15:49:09 +0000 2018
theBigSandbox,"QUAKE! Magnitude 4.8, 299km NNE of Ndoi Island, Fiji on August 22nd 2018 at 11:28 am ET. https://t.co/nlIZhjOk8C",,Wed Aug 22 15:49:03 +0000 2018
dshneiderman,RT @rachellekrygier: And a 7 magnitude quake! https://t.co/EXGbetlDXy,And a 7 magnitude quake! https://t.co/EXGbetlDXy,Wed Aug 22 15:48:58 +0000 2018
Hailey_ann97,RT @ThePortlandTrib: A series of earthquakes rattled the Oregon Coast Wed morning. @PNSN1 reported that a 6.2 magnitude quake hit about 2:3…,A series of earthquakes rattled the Oregon Coast Wed morning. @PNSN1 reported that a 6.2 magnitude quake hit about 2:30 a.m. Aug. 22 near Bandon. A 3.5 magnitude aftershock hit at 4:10 a.m. and a 3.2 hit at about 4:25 a.m. No tsunami or damage was reported. #PNSN1 #earthquake https://t.co/pnx9H6DDKB,Wed Aug 22 15:48:19 +0000 2018
ThePortlandTrib,A series of earthquakes rattled the Oregon Coast Wed morning. @PNSN1 reported that a 6.2 magnitude quake hit about 2:30 a.m. Aug. 22 near Bandon. A 3.5 magnitude aftershock hit at 4:10 a.m. and a 3.2 hit at about 4:25 a.m. No tsunami or damage was reported. #PNSN1 #earthquake https://t.co/pnx9H6DDKB,,Wed Aug 22 15:47:00 +0000 2018
dwatchnews_nam,Magnitude 6.2 offshore quake hits west of Oregon: USGS https://t.co/ArWelpgMMI,,Wed Aug 22 15:46:59 +0000 2018
D2webservices,Magnitude 6.2 offshore quake hits west of Oregon: USGS https://t.co/3kecVrEmoT https://t.co/KMPCMv7ReD,,Wed Aug 22 15:46:36 +0000 2018
GGG_says,RT @RawStory: Magnitude 6.3 offshore quake hits west of Oregon: USGS https://t.co/ouRAD2lLHk,Magnitude 6.3 offshore quake hits west of Oregon: USGS https://t.co/ouRAD2lLHk,Wed Aug 22 15:43:48 +0000 2018
D2webservices,Magnitude 6.2 offshore quake hits west of Oregon: USGS https://t.co/w5jRu8QlGC https://t.co/xMtpZD7UHc,,Wed Aug 22 15:43:43 +0000 2018
exitcrew91,Magnitude 6.2 offshore quake hits west of Oregon: USGS https://t.co/n96aqZAJ0T https://t.co/scdMt1epYq,,Wed Aug 22 15:43:07 +0000 2018
EcoInternet3,Magnitude 6.3 offshore quake hits west of Oregon: USGS: Reuters https://t.co/nrgvc1mQ89,,Wed Aug 22 15:42:58 +0000 2018
1Barbara1,"EARTHQUAKE TERROR Oregon earthquake – Massive 6.3 magnitude tremor rocks US West Coast sparking fears ‘the Big One’ WILL hit America
The quake registered at a depth of six miles and 188 miles off... https://t.co/UWK3tbSxqg",,Wed Aug 22 15:42:48 +0000 2018
ShootersReview1,RT @LegacyPremium: Yellowstone’s greatest geological threat isn’t a supervolcano. It’s a magnitude-7 earthquake. https://t.co/Mm78V2qAPf #p…,Yellowstone’s greatest geological threat isn’t a supervolcano. It’s a magnitude-7 earthquake. https://t.co/Mm78V2qAPf #preppers #survival #shtf #earthquake #yellowstone #guns #camping #hiking https://t.co/SH8Jsrsdkh,Wed Aug 22 15:42:02 +0000 2018
LegacyPremium,Yellowstone’s greatest geological threat isn’t a supervolcano. It’s a magnitude-7 earthquake. https://t.co/Mm78V2qAPf #preppers #survival #shtf #earthquake #yellowstone #guns #camping #hiking https://t.co/SH8Jsrsdkh,,Wed Aug 22 15:41:46 +0000 2018
vistapostng,"Panic, No Fatalities After 7.3 Magnitude Quake Hit Venezuela https://t.co/IArgJ5u6GC",,Wed Aug 22 15:41:33 +0000 2018
Millennial_Rule,Oregon earthquake MAP: Tremors felt as far as Portland as 6.3 magnitude quake hits https://t.co/v3UX0XWGbV https://t.co/GStnLQEvTq,,Wed Aug 22 15:41:08 +0000 2018
EcoInternet3,Magnitude 6.2 offshore quake hits west of Oregon: USGS: Reuters https://t.co/cYm7egh24H,,Wed Aug 22 15:40:58 +0000 2018
Sisilopez,"RT @ricardodallen: 6.2 Magnitude quake just hit Trinidad! Electricity out in many areas. 

Prayers up to all my T&amp;T friends, family and bus…","6.2 Magnitude quake just hit Trinidad! Electricity out in many areas. 

Prayers up to all my T&amp;T friends, family and business partners!

Trinidad 🇹🇹 

Video Credits: Not sure. But here’s an earthquake hat just happened. https://t.co/dbeB3GqAQl",Wed Aug 22 15:40:38 +0000 2018
abridgment_new,"Magnitude 7.3 quake strikes off Venezuelan coast - CNN #Venezuela earthquake #news
https://t.co/TZfvvIN7IQ
https://t.co/3zg7ehLPtm https://t.co/pBmGfUgTMT",,Wed Aug 22 15:40:30 +0000 2018
labreagal,This quake was felt in Trinidad at the strength of 6.8 on the Richter scale. They are experiencing aftershocks today. https://t.co/Axy2EwHlnd,,Wed Aug 22 15:40:09 +0000 2018
StarboyOfEarth,RT @ReutersUS: Magnitude 6.2 offshore quake hits west of Oregon: USGS https://t.co/QDwh5Alepp,Magnitude 6.2 offshore quake hits west of Oregon: USGS https://t.co/QDwh5Alepp,Wed Aug 22 15:39:31 +0000 2018
TheArticleTrunk,Magnitude 6.2 offshore quake hits west of Oregon: USGS https://t.co/SEC9FtAmfh,,Wed Aug 22 15:38:48 +0000 2018
Twindog4Lavon,RT @Reuters: Magnitude 6.3 offshore quake hits west of Oregon: USGS https://t.co/X2Itysb2Md,Magnitude 6.3 offshore quake hits west of Oregon: USGS https://t.co/X2Itysb2Md,Wed Aug 22 15:38:32 +0000 2018
ChaimIsrael1,Northern Venezuela hit by a magnitude-7.3 quake https://t.co/iGBmkmDyU6 via @WSJ,,Wed Aug 22 15:37:33 +0000 2018
caselvis58,RT @Reuters: Magnitude 6.2 offshore quake hits west of Oregon: USGS https://t.co/BewBoHJahO,Magnitude 6.2 offshore quake hits west of Oregon: USGS https://t.co/BewBoHJahO,Wed Aug 22 15:36:47 +0000 2018
