ChanceAustin,@GovMikeHuckabee Yes and you support this right? https://t.co/9d0PzQ2KbN,,[3]
yoururgentcare,Diarrhoea is the most common health condition suffered by tourists when abroad. Eating contaminated food and drinking contaminated water are the two most likely causes! 🤢  Find out  how to treat your symptoms here: https://t.co/CFh9xrYA0c #TummyTrouble #NHS #HolidayHealth https://t.co/p5AikpBHUA,,[3]
salmangopi,"RT @ibrohi31: Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has de…","Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has decided to phase-wise replace old water supply lines with new ones in all Wards Of UC-31 to avoid delivering contaminated water to the area residents https://t.co/6Zek1WIqkT",[3]
JuZ_BCuZ,RT @nuII_dog: This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking…,"This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking (which causes contaminated flammable tap water) can literally fucking kill you and why it should really REALLY be more regulated
https://t.co/1feGAzwA3f",[3]
aj_hopkins30,"@KarlTowns It’s not just flint anymore, many towns here in MI are contaminated with PFAS in their water",,[3]
D_H_Gallery,"©︎100%純污水製冰所 
It is an artist in Taiwan. They will make ice pops using Taiwan's contaminated water. #art
https://t.co/eRXD58nug2",,[3]
hoisthecolours,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",[3]
vimalan08,Rivers and lakes  contaminated polluted and cities are running dry Also 70% rainwater wasted into the sea Following TV channels must take suo motu to telecast and educate India Please Tele Save Water slogans Bcoz water is life   @CNNnews18 @republic @NewsX @MirrorNow #SaveGanga,,[3]
vimalan08,Rivers and lakes  contaminated polluted and cities are running dry Also 70% rainwater wasted into the sea Following TV channels must take suo motu to telecast and educate India Please Tele Save Water slogans Bcoz water is life  @ndtv  @CNNnews18 @republic @NewsX @MirrorNow,,[3]
vimalan08,Water shortages had caused cities to vanished for thousands of years but now India not only facing shortage but also contaminated and polluted water Media please take self interest to educate citizens India which we borrowed from future generation @TimesNow @ndtv @NewsX,,[3]
LeeRamBot,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",[3]
AyeJLS,@KarlTowns Its sad cause I live in Michigan and I know for a fact that nobody is gonna do shit about flint. Recently other places around where I live have noticed contaminated water also. So if the past repeats itself my whole area will be without clean water. Yeet.,,[3]
kytgr,Veterans who drank contaminated water at Camp LeJeune to receive disability benefits https://t.co/zhp2AMV3KG,,[3]
DonStoppable,"Flint is one of many places across America with contaminated water, &amp; the state of theirs isn’t even the worst.. https://t.co/5RALDIgNEH",,[3]
SwaggyKee_,Now this is the president “TWEETING” not worrying about ppl in Flint drinking contaminated water but “TWEETING” crazyyy https://t.co/K15Shbid8f,,[3]
gujratsamachar,"ભુજ શહેરમાં પીવાના પાણીની સાથે નળમાંથી આવતું ગટરનું દુષિત પાણી 
- વોર્ડ નં.2માં ચોમાસા પહેલા જ વકરેલી સમસ્યા 
- 750થી વધુ પરિવારોના જાહેર આરોગ્ય સામે પ્રશ્નાર્થ
#gujaratsamachar #bhuj https://t.co/BA5bCp2ng7",,[3]
