JoReeves1970,"RT @theipaper: Farmers warn that Brussels sprout shortage could ruin Christmas
https://t.co/dnVOKNF19V https://t.co/wCX3s1haAR","Farmers warn that Brussels sprout shortage could ruin Christmas
https://t.co/dnVOKNF19V https://t.co/wCX3s1haAR",[3]
MHartleyJones,"RT @grahambsi: “Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? Brexit has become a bizarre, macabre spe…","“Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? Brexit has become a bizarre, macabre spectacle of national self-sabotage” ⁦@dylanmatt⁩  https://t.co/QRNTKMWSqh",[3]
Nigel60007,"RT @Doozy_45: STOP THE MADNESS: Now the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake?/#Brexit #PeoplesVote https://…","STOP THE MADNESS: Now the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake?/#Brexit #PeoplesVote https://t.co/r6p627eftF",[3]
HannesHanath,"RT @SeewaldJonathan: Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/YvYELnpik1 via @voxdot…","Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/YvYELnpik1 via @voxdotcom The Brexit referendum is one of the stupidest results in history and it is bizarre how both parties collude in this self-inflicted disaster",[3]
_ajit8,"RT @NEUnion: Just 2 days after our survey revealed the scale of #holidayhunger in our nation's school children, food banks are raising the…","Just 2 days after our survey revealed the scale of #holidayhunger in our nation's school children, food banks are raising the alarm about a shortage of donations.
This is a scandal, and the government need to act now.

https://t.co/xdoXGNWLfK",[3]
ShropshireMan,"@TheAndyMaturin Hmmm now if you ask the question do you think this whole scaremongering nonsense benefits anyone it does remain and their agenda. Food supplies etc  of certain produce ,products may slow for a temporary period inevitable really but shortage to causing civil unrest lol,",,[3]
DvdJnStndn,"Reading baffled international think pieces about why the UK is still pretending Brexit won't be a disaster is as funny as it is depressing. Can you imagine how stupid we must look to the rest of the world right now?
https://t.co/pOrigfTGSo",,[3]
Doozy_45,"STOP THE MADNESS: Now the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake?/#Brexit #PeoplesVote https://t.co/r6p627eftF",,[3]
theipaper,"Farmers warn that Brussels sprout shortage could ruin Christmas
https://t.co/dnVOKNF19V https://t.co/wCX3s1haAR",,[3]
omielvelasco15,"RT @ailuhflores: Here's another effect by sugar farmers' boycott of Coca-Cola

https://t.co/albY2mHgWo","Here's another effect by sugar farmers' boycott of Coca-Cola

https://t.co/albY2mHgWo",[3]
SeewaldJonathan,"Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/YvYELnpik1 via @voxdotcom The Brexit referendum is one of the stupidest results in history and it is bizarre how both parties collude in this self-inflicted disaster",,[3]
rsidd120,Madness. And no sign of sanity returning https://t.co/6hS3yKZqXm https://t.co/RU7KsD7rcG,,[3]
lokeshsager96,RT @Sharmistha_GK: Went 2 meet residents of old Usmanpur area effected by rising Yamuna water. Pathetic conditions in the makeshift shantie…,"Went 2 meet residents of old Usmanpur area effected by rising Yamuna water. Pathetic conditions in the makeshift shanties made by govt. Severe shortage of water, no toilet, inadequate &amp; terrible quality of food. People left in the villages having no clean water since last 2 days https://t.co/26dZJUFjMp",[3]
AZannaman,"Per quelli che ""Theresa May fa bene ad insistere sulla linea dura con l'EU"" - sicuro, se si vuole dimostrare quanto si è bravi nell'autocastrazione https://t.co/tA4XOYE3TL",,[3]
les_fees_nature,"RT @ClimateKISS: How about community-run vegetable gardens with desalination plants to provide water in dry years, with climate-controlled…","How about community-run vegetable gardens with desalination plants to provide water in dry years, with climate-controlled enclosed greenhouses run on renewable energy?  @brisbanecityqld @1o5CleanEnergy  @DrTammraWarby   #healthyfood #changingclimate https://t.co/OTj1xUmK7r",[3]
KoolKaloy,RT @mariaressa: Where’s our Coca-Cola? Fast food chains still offer iced tea https://t.co/2ehaxSbXAW via @rapplerdotcom,Where’s our Coca-Cola? Fast food chains still offer iced tea https://t.co/2ehaxSbXAW via @rapplerdotcom,[3]
JBWB1980,"RT @peacelily1121: Brexit deal: Theresa May is making a mistake leaving the European Union

https://t.co/6c242hbZEp

Shared from my Google…","Brexit deal: Theresa May is making a mistake leaving the European Union

https://t.co/6c242hbZEp

Shared from my Google feed",[3]
peacelily1121,"Brexit deal: Theresa May is making a mistake leaving the European Union

https://t.co/6c242hbZEp

Shared from my Google feed",,[3]
TrabajarEuropa,"RT @went1955: Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? Brexit has become a bizarre, macabre spect…","Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? Brexit has become a bizarre, macabre spectacle of national self-sabotage https://t.co/uY17Xd3WAq",[3]
NRH1949,RT @pmclaughlin01: A bizarre macabre spectacle of self-sabotage. https://t.co/yX5z5JEpkG,A bizarre macabre spectacle of self-sabotage. https://t.co/yX5z5JEpkG,[3]
robertofilippo,"@Education4Libs Just wanted to share this: 18 years of socialism in 1 pic. Each product missing, is a huge company that was destroyed by communism. The guy lost a lot of weight, due to high prices and shortage of food. Thit is my Venezuela 2018. Trump knows it. He helps. we are grateful. https://t.co/jsP27QqThI",,[3]
BBCSchoolReport,"RT @BBCNewsbeat: Melting mountains, a possible Brussels  sprouts shortage and frozen food for zoo animals - here's how the heatwave is play…","Melting mountains, a possible Brussels  sprouts shortage and frozen food for zoo animals - here's how the heatwave is playing out across Europe 

https://t.co/qNTYp73Bhh https://t.co/DhKGE2SlUf",[3]
jock_schrader,@bradleyburston @AnshelPfeffer https://t.co/grUuYfjIaB this is so sick. Britain and Europe would need a strong Labour party more than ever to prevent Brexit self destruction and they are wasting time and energy with this  rubbish.,,[3]
ORourkeGerry,"Now that the UK is stockpiling food, maybe it’s time to admit #Brexit is a mistake? https://t.co/y4s6SkwWF4",,[3]
FDHideaway,"Oyaa has now learned that there is no shortage of food and other dogs are safe ...ish!  Here she is playing with Boo-Boo, Sunshine and Pixie early this morning.  Russell the cat is less impressed with her new-found personality! :) https://t.co/umvKfzfHaF",,[3]
skwordz,"surplus  adj. 余りの、過剰の、黒字の　n. 余り、過剰、黒字 ; 余剰農産物

You look thin, why is that? A shortage of food or a surplus of snobbery?",,[3]
ARCrusade,@themiamivoice Not sure what happened to the link... weird... but there’s no shortage of animal torture  for food.. google it you can see the exaggerated torture and screams yourself. #getWoKe,,[3]
PA0R,"Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/6qe1s1c5RV",,[3]
Ablooty,"Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/H3EbAQXaVs via @voxdotcom",,[3]
zesty_lifestyle,Stock Up Now: There’s a Looming Japanese Whisky Shortage https://t.co/pymtXWpmNk https://t.co/K1ouC1lim6,,[3]
shirleyjseaton,"RT @scotyes2indy: Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/S9xWKoVj9I via @voxdotcom","Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/S9xWKoVj9I via @voxdotcom",[3]
GoodtoKnow,THIS IS NOT A DRILL! One of our favourite flavour of crisp could soon be extinct... https://t.co/Ls0fPvaB7c https://t.co/SFwwXiMAF9,,[3]
n_maes,"Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/nzhwDkHMH5",,[3]
Idontmind64,"@JUREY71 @PeteNorth303 So what is the +ive case for Brexit? Food stockpiling, no manufacturing, no farming, shortage of medicines, poorly trained doctors, disaster capitalism rampant, ""vassal"" status, 50 years seem to be just some that Brexiter Quitlings are offering ....????",,[3]
sebinaj,"Drinking water shortage, food shortage especially that of vegetables having antioxidants, fresh air shortage: down 50 years, we are doomed. I wish my children would take up farming, says Dr. Vasuki.",,[3]
scotyes2indy,"Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/S9xWKoVj9I via @voxdotcom",,[3]
DarwinEcoArtist,"RT @ideas_mv: Maldives must be developed as an island nation. Centralization will cause loss of heritage, livelihood, food security and cul…","Maldives must be developed as an island nation. Centralization will cause loss of heritage, livelihood, food security and culture. Centralization will also make the country more prone to natural disasters, climate change and water shortage.
#climateaction #climatechange #SDGs https://t.co/coSmM0gzvZ",[3]
EstrinSuellen,"RT @Allybev: Now that UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/gHrXWQR25k The Brexit referendum w…","Now that UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/gHrXWQR25k The Brexit referendum was just that-advisory, not binding.  Leavers were told lies &amp; did not understand the full implications. Yes, reforms with EU needed, but not divorce.",[3]
JMATARUSE,"RT @Bayer4Crops: In the EU, just 6% of farm holders are under the age of 35. If this isn’t tackled, we will face a shortage of agricultural…","In the EU, just 6% of farm holders are under the age of 35. If this isn’t tackled, we will face a shortage of agricultural professionals just as food demand increases. Beth Roden explains why we must invest in the next generation: https://t.co/kDkmA7TNQI  #youthinag #nextgen https://t.co/dUlRp2yUQD",[3]
BillDascombe,RT @katehawkings: Can't blame Brexit for weather-related shortages of UK produce and prices going through roof. A bumper year for berries h…,"Can't blame Brexit for weather-related shortages of UK produce and prices going through roof. A bumper year for berries however ""BUT A SHORTAGE OF FRUIT PICKERS HAS MEANT FARMERS HAVE HAD TO LEAVE TONNES OF STRAWBERRIES AND RASPBERRIES TO ROT."" 
FFS 🇪🇺  
https://t.co/NraySujFqz",[3]
Godwetrust777,"RT @sean_spicier: Record low unemployment, record low on food stamps, 4% growth, and a soybean shortage? No wonder Democrats are so mad","Record low unemployment, record low on food stamps, 4% growth, and a soybean shortage? No wonder Democrats are so mad",[3]
grahambsi,"“Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? Brexit has become a bizarre, macabre spectacle of national self-sabotage” ⁦@dylanmatt⁩  https://t.co/QRNTKMWSqh",,[3]
mbspringer133,This is the point in the story where it’s necessary to take a step back and acknowledge that... https://t.co/nnAPG12Rit,,[3]
locsei,"Food will rot. We import about half of our food and feed &amp; 70% of that comes from the EU. The bosses of Calais &amp; Dover have warned of 30-mile tailbacks and possible infrastructural collapse. (...) supermarkets will soon run out of supplies

#BrexitDisaster https://t.co/HL6dHpTHSR",,[3]
locsei,"Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake?

#Brexit has become a bizarre, macabre spectacle of national self-sabotage

By Dylan Matthews@dylanmattdylan@vox.com
Aug 3 2018, 2:10pm EDT

#BrexitDisaster #NotFunnyAnymore https://t.co/HL6dHpTHSR",,[3]
ClimateKISS,"How about community-run vegetable gardens with desalination plants to provide water in dry years, with climate-controlled enclosed greenhouses run on renewable energy?  @brisbanecityqld @1o5CleanEnergy  @DrTammraWarby   #healthyfood #changingclimate https://t.co/OTj1xUmK7r",,[3]
went1955,"Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? Brexit has become a bizarre, macabre spectacle of national self-sabotage https://t.co/uY17Xd3WAq",,[3]
supersoon,„An extremely rich developed country is very close to deciding to voluntarily deprive itself of its food supply because 51.89 percent of voters in a referendum two years ago voted the wrong way.“ #Brexit  https://t.co/sRzoiKbRZr,,[3]
pinoymoneytalk,"[COCA-COLA LACKING IN STORES DUE TO SHORTAGE OF LOCAL SUGAR]

Agriculture Secretary Emmanuel Piñol previously said in a... https://t.co/4E2USMT27t",,[3]
ChefIvan,"Is this really a bad thing @rapplerdotcom? Might as well go healthy, no?

#cocacola
#sugaredwater
#sodas

Rappler: Where's our Coca-Cola? Fast food chains still offer iced tea.
https://t.co/CvoL1pc2Ch

via @GoogleNews",,[3]
RatedPageJay,"RT @rapplerdotcom: Coca-Cola FEMSA clarifies, saying it is 'optimistic' it will stabilize the supply of Coke Original taste 'in the next fe…","Coca-Cola FEMSA clarifies, saying it is 'optimistic' it will stabilize the supply of Coke Original taste 'in the next few weeks'. #Business https://t.co/sjZMeKGmTX",[3]
GoldthorpeCath1,"@OldBobCyprus The future is looking gloriously bright. Drop in house prices, food rationing, shortage of medicine,sky rocketing inflation. Remainers enjoy this summer whilst it lasts. Life will never be as good again.",,[3]
optintraffic4u,"FOOD SHORTAGE IS HERE - WILL GET WORSE SOON&gt;
https://t.co/WFEclo2g5U",,[3]
LuhitYoung,There is only ignorance in the masses. Conservatism makes people incredibly stupid! https://t.co/DoZMhehO6c,,[3]
arvin_zurc,"Have you noticed that there is no Coca-cola on our favorite fast food chains? 
Instead they'll offer you iced tea… 
https://t.co/PzjsDXIqEX via @rapplerdotcom",,[3]
arcrupeurope,"Brexit has become a bizarre, macabre spectacle of national self-sabotage.

https://t.co/ghdWGQzq1f",,[3]
Educ8tusAll,"RT @KarenChestney: Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/FX68Lr0zVP via @voxdotcom","Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/FX68Lr0zVP via @voxdotcom",[3]
rapplerdotcom,"Coca-Cola FEMSA clarifies, saying it is 'optimistic' it will stabilize the supply of Coke Original taste 'in the next few weeks'. #Business https://t.co/sjZMeKGmTX",,[3]
BegiNabara,@Nigel_Farage https://t.co/7akJtmLKEF,,[3]
ExoticExpat,"RT @voxdotcom: Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/oTCPGOVX0z","Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/oTCPGOVX0z",[3]
gunterwehmeyer,https://t.co/yMsalVeaq5,,[3]
ColonialOneShip,"Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/bf0PCTYSp1 via @voxdotcom",,[3]
thisisbenphelps,"""An extremely rich developed country is very close to deciding to voluntarily deprive itself of its food supply because 51.89 percent of voters in a referendum two years ago voted the wrong way."" https://t.co/FOY5MU2lCz",,[3]
KarenChestney,"Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/FX68Lr0zVP via @voxdotcom",,[3]
lordmoz,"https://t.co/vO5MaaPEgi: Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake?.
https://t.co/VZx2QkZ33U",,[3]
MRCONYERS,"FOOD FOR THOUGHT. Now that the UK is stockpiling food, maybe it’s time to admit Brexit is a mistake? https://t.co/cb4UCOgajD via @voxdotcom",,[3]
AFutureGhost,But Steve Bannon is saying that the U.K. should go for a hard Brexit. I’d go with what he advises. He’s never been wrong. https://t.co/cN2U8ibaA7,,[3]
miriamgracego,Where’s our Coca-Cola? Fast food chains still offer iced tea https://t.co/TCmcYNTIoK by @RalfRivas via @rapplerdotcom,,[3]
Dougindice,"@LauraDilworth4 @GovMikeHuckabee @terresapeterson @realDonaldTrump Hey, they have a big enough food shortage already.",,[3]
muttsters,Stock Up Now: There’s a Looming Japanese Whisky Shortage https://t.co/UmDYxh5bBP,,[3]
