Subytweets,"RT @albertindian200: #Nepal is in big trouble now. They are playing with #hindu customs. God's will be angry and send earthquake, floods, l…","#Nepal is in big trouble now. They are playing with #hindu customs. God's will be angry and send earthquake, floods, landslides and all. #SaveNepal

@In_deep_trance @deepsealioness @Rani_1234567890 @Aish17aer @Subytweets @kochattil @mahesh10816 @Narayanan3
https://t.co/A5b2xxSsYc",Mon Aug 27 09:26:36 +0000 2018
albertindian200,"#Nepal is in big trouble now. They are playing with #hindu customs. God's will be angry and send earthquake, floods, landslides and all. #SaveNepal

@In_deep_trance @deepsealioness @Rani_1234567890 @Aish17aer @Subytweets @kochattil @mahesh10816 @Narayanan3
https://t.co/A5b2xxSsYc",,Mon Aug 27 09:21:06 +0000 2018
SeismoCloud,"After #earthquake: Expect and prepare for potential aftershocks, landslides or even a tsunami. Tsunamis are often generated by earthquakes",,Mon Aug 27 09:03:02 +0000 2018
News7AsiaPacifi,Multiple strong quakes rock Indonesia’s Lombok island https://t.co/rwiGeeEiEp :Auto pickup by wikyou,,Mon Aug 27 07:33:02 +0000 2018
varun18vijay,"RT @thenewsminute: No link between landslides in Kodagu and earthquake witnessed in July, say scientists 

https://t.co/RN5oYggeev","No link between landslides in Kodagu and earthquake witnessed in July, say scientists 

https://t.co/RN5oYggeev",Sun Aug 26 18:20:25 +0000 2018
joelsgf1974,"@dhanyarajendran What about the Gujarat earthquake, landslides in Uttarakhand etc., all because they ate something similar?",,Sun Aug 26 13:18:38 +0000 2018
Rima_Dimpudus,Second day of social service in North Lombok and we go even further to more remote areas.... Landslides in many places and another on site earthquake while we were examining the… https://t.co/JS46vfE07l,,Sun Aug 26 09:24:07 +0000 2018
KPGanesh,RT @prajwalmanipal: Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by a…,Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by an earthquake in the area on July 9 but seismologists who arrived in Madikeri have debunked this claim. #Kodagu https://t.co/WRyyeOzkef,Sat Aug 25 07:20:34 +0000 2018
C_Coolidge,"RT @OThomao: Missile ✔
Volcano ✔
Earthquake ✔
Hurricane ✔
Landslides ✔
Brushfire ✔

Did I miss anything on the checklist out here?
#Hawaii…","Missile ✔
Volcano ✔
Earthquake ✔
Hurricane ✔
Landslides ✔
Brushfire ✔

Did I miss anything on the checklist out here?
#Hawaii 
#Oahu",Sat Aug 25 04:10:49 +0000 2018
OThomao,"Missile ✔
Volcano ✔
Earthquake ✔
Hurricane ✔
Landslides ✔
Brushfire ✔

Did I miss anything on the checklist out here?
#Hawaii 
#Oahu",,Sat Aug 25 03:14:12 +0000 2018
davedix,Three cows found themselves stranded on a tiny island of grass after an earthquake triggered landslides around them https://t.co/gu06FG9cZb,,Sat Aug 25 00:21:28 +0000 2018
thenewsminute,"No link between landslides in Kodagu and earthquake witnessed in July, say scientists 

https://t.co/RN5oYggeev",,Fri Aug 24 17:30:00 +0000 2018
earthquakemom,RT @ShakeOut: It's never just about the shaking. We know that the Cascadia Subduction Zone could cause a major earthquake and tsunami affec…,"It's never just about the shaking. We know that the Cascadia Subduction Zone could cause a major earthquake and tsunami affecting the Pacific Northwest region, but see what researchers in this @AGU_EOS article say about landslide potential too: https://t.co/GIveKHxE7K. https://t.co/sZi3wXwbZs",Fri Aug 24 13:50:04 +0000 2018
prajwalmanipal,Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by an earthquake in the area on July 9 but seismologists who arrived in Madikeri have debunked this claim. #Kodagu https://t.co/WRyyeOzkef,,Fri Aug 24 11:50:10 +0000 2018
thenewsminute,"No link between landslides in Kodagu and earthquake witnessed in July, say scientists https://t.co/RN5oYggeev",,Fri Aug 24 11:45:52 +0000 2018
VanessaEdwar8,RT @marine_maureen: Check out this new @AGU_Eos article from our #cascadia group at the @USGS - nice summary of the 1700 earthquake and how…,Check out this new @AGU_Eos article from our #cascadia group at the @USGS - nice summary of the 1700 earthquake and how to use landslide deposits to help us better understand hazards: https://t.co/SnyAmrdUtG,Fri Aug 24 10:48:49 +0000 2018
Maen_ib96,RT @weatherchannel: 6.9 magnitude #earthquake rocks Indonesia's Lombok Island Sunday where hundreds were killed by another earthquake earli…,6.9 magnitude #earthquake rocks Indonesia's Lombok Island Sunday where hundreds were killed by another earthquake earlier this month: https://t.co/nodjpdDwxu https://t.co/kAyi20V2BY,Fri Aug 24 10:21:45 +0000 2018
JaiPoswal1995,RT @Indian_Rivers: Some pertinent questions here; report reveals link between #earthquake &amp; #landslides that has struck #Karnataka &amp; parts…,Some pertinent questions here; report reveals link between #earthquake &amp; #landslides that has struck #Karnataka &amp; parts of #Kerala amid #monsoon &amp; #flood events: https://t.co/WDv1slPcGQ @indiawater @Vimalgeo @veditum @yamunajiye,Fri Aug 24 10:16:25 +0000 2018
ShashiK05671034,RT @GauthamMachaiah: What really caused the landslides in #Coorg? Heavy rains or earthquake? The NGRI (National Geophysical Research Instit…,What really caused the landslides in #Coorg? Heavy rains or earthquake? The NGRI (National Geophysical Research Institute) has now set up a seismic monitoring center in Madikeri to closely monitor seismic activity in and around #Kodagu.,Fri Aug 24 09:55:15 +0000 2018
Indian_Rivers,Some pertinent questions here; report reveals link between #earthquake &amp; #landslides that has struck #Karnataka &amp; parts of #Kerala amid #monsoon &amp; #flood events: https://t.co/WDv1slPcGQ @indiawater @Vimalgeo @veditum @yamunajiye,,Fri Aug 24 08:51:46 +0000 2018
suvarnanewstv,"ಕೊಡಗು: ಭೂಕಂಪನಕ್ಕೂ ಭೂಕುಸಿತಕ್ಕೂ ಸಂಬಂಧವಿಲ್ಲ 
#KodaguFloods 
https://t.co/9KHrD9fo3C",,Fri Aug 24 07:49:15 +0000 2018
elect_var,"The earthquake does not caused earthquake in Kodagu landslide: T

Read more at: https://t.co/wXZJA9w2j0 https://t.co/pSWLnHNc6c",,Fri Aug 24 04:26:34 +0000 2018
cnpawar,"RT @OneindiaKannada: ಕೊಡಗು ಜಿಲ್ಲೆಯಲ್ಲಿ ಇತ್ತೀಚೆಗೆ ಸಂಭವಿಸಿದ್ದ ಭೂಕಂಪ ಭೂ ಕುಸಿತಕ್ಕೆ ಕಾರಣವಲ್ಲ ಎಂದು ರಾಷ್ಟ್ರೀಯ ಭೂ ವಿಜ್ಞಾನ ಕೇಂದ್ರ ಸ್ಪಷ್ಟಪಡಿಸಿದೆ.

#K…","ಕೊಡಗು ಜಿಲ್ಲೆಯಲ್ಲಿ ಇತ್ತೀಚೆಗೆ ಸಂಭವಿಸಿದ್ದ ಭೂಕಂಪ ಭೂ ಕುಸಿತಕ್ಕೆ ಕಾರಣವಲ್ಲ ಎಂದು ರಾಷ್ಟ್ರೀಯ ಭೂ ವಿಜ್ಞಾನ ಕೇಂದ್ರ ಸ್ಪಷ್ಟಪಡಿಸಿದೆ.

#KodaguFloods | #HeavyRain | #earthquake 

https://t.co/ggqBJ7S1FK",Fri Aug 24 03:33:42 +0000 2018
OneindiaKannada,"ಕೊಡಗು ಜಿಲ್ಲೆಯಲ್ಲಿ ಇತ್ತೀಚೆಗೆ ಸಂಭವಿಸಿದ್ದ ಭೂಕಂಪ ಭೂ ಕುಸಿತಕ್ಕೆ ಕಾರಣವಲ್ಲ ಎಂದು ರಾಷ್ಟ್ರೀಯ ಭೂ ವಿಜ್ಞಾನ ಕೇಂದ್ರ ಸ್ಪಷ್ಟಪಡಿಸಿದೆ.

#KodaguFloods | #HeavyRain | #earthquake 

https://t.co/ggqBJ7S1FK",,Fri Aug 24 03:29:46 +0000 2018
ShakeOut,"It's never just about the shaking. We know that the Cascadia Subduction Zone could cause a major earthquake and tsunami affecting the Pacific Northwest region, but see what researchers in this @AGU_EOS article say about landslide potential too: https://t.co/GIveKHxE7K. https://t.co/sZi3wXwbZs",,Thu Aug 23 22:15:11 +0000 2018
daboysmart,"Hmmm, the whole world in trouble man 🤔 who ain got hurricane got earthquake or tornados n landslides n shit",,Thu Aug 23 16:32:07 +0000 2018
sDavidovitch,"RT @Orengerman: @sDavidovitch שאלת אז שאלת
""Besides landslides, rockslides, and earthslides, Norway experiences flooding, ice jams, strong…","@sDavidovitch שאלת אז שאלת
""Besides landslides, rockslides, and earthslides, Norway experiences flooding, ice jams, strong winds, snowstorms, avalanches, storm surges at sea, permafrost, the occasional earthquake and tsunami""",Thu Aug 23 16:25:50 +0000 2018
Orengerman,"@sDavidovitch שאלת אז שאלת
""Besides landslides, rockslides, and earthslides, Norway experiences flooding, ice jams, strong winds, snowstorms, avalanches, storm surges at sea, permafrost, the occasional earthquake and tsunami""",,Thu Aug 23 16:06:54 +0000 2018
bsrikarthik,"RT @GauthamMachaiah: The Karnataka govt has now admitted that a low intensity earthquake of 3.4 magnitude occured in #Coorg on July 9, 2018…","The Karnataka govt has now admitted that a low intensity earthquake of 3.4 magnitude occured in #Coorg on July 9, 2018, but has also clarified that the landslides were induced due to the prolonged high intensity rainfall in the region and not because of the tremors. #KodaguRains https://t.co/RRGuPM2ohk",Thu Aug 23 16:02:20 +0000 2018
GauthamMachaiah,"The Karnataka govt has now admitted that a low intensity earthquake of 3.4 magnitude occured in #Coorg on July 9, 2018, but has also clarified that the landslides were induced due to the prolonged high intensity rainfall in the region and not because of the tremors. #KodaguRains https://t.co/RRGuPM2ohk",,Thu Aug 23 15:45:33 +0000 2018
