WillowBurnt,"RT @DavidBegnaud: BREAKING: Large power outage on the western side of Puerto Rico is affecting Las Marias, Mayagüez, Lares, Aguadilla, Moca…","BREAKING: Large power outage on the western side of Puerto Rico is affecting Las Marias, Mayagüez, Lares, Aguadilla, Moca, Aguada, Añasco, &amp; Rincón; cause unknown 

To live in Puerto Rico means to live with power that routinely goes out, sometimes weekly",[3]
stephgoins66,@KeysEnergy 28562 Dirk Road Little Torch without Power.  We had it until 2 hours ago  staying at a friends - no way to report the outage,,[3]
fixourroadsng,RT @AdelowoOguntola: Let's forget about any plan about tourism in Nigeria. No foreigner will visit a country when there's always power outa…,"Let's forget about any plan about tourism in Nigeria. No foreigner will visit a country when there's always power outage. If the tourist is sick, which hospital can we boast of good healthcare facilities? They are afraid of our death traps we called ""roads"". Basic amenities first https://t.co/djJydw3WZg",[3]
leprechaunroy1,@CityPowerJhb Power has been restored at 11am. I see no tweets regarding this outage or the cause thereof. Are you on holiday today?,,[3]
AliChundrigar,@KElectricPk After outage on 2nd August when power finally came on there was a power surge which blew all electric bulbs and burnt fan motors at @ACFAnimalRescue which is a Charity causing huge financial losses. Who’s going to pay for this? cc @DadaSadia,,[3]
JoshuaT29950442,Power Outage (There was a Blackout): https://t.co/G9YBil56Nb via @YouTube,,[3]
stirea,"@UKPowerNetworks We seem to have a power outage, fuse and meter are fine in our flat, what next?",,[3]
stephgoins66,@KeysEnergy Staying at a friends 28562 Dirk Road No Power and no phone number to report outage,,[3]
EwellBuilders,A power outage shouldn’t mean your health should suffer. Keep your medical equipment on in the best of times and worst of times.,,[3]
snazrene,@CityPowerJhb please advise reason for power outage in Bramley Park. Ref- CP2247177. What is the estimated restoration time?,,[3]
TheGoodSentinel,@ElectricityNW I’ve just heard from British Gas about the power outage in OL4 postcode. They say restoration time is 15:08. Could you confirm this? Thanks.,,[3]
BasavaMech,#bescom we have power outage in our area basavanagar Ramaiah reddy colony sector B request you to resolve the issue as soon as possible,,[3]
owino_tyrus,@KenyaPower_Care please assist power outage in alunya village siaya county.. Power is there only at night but not in the morning..or else we will file case on it! @ntvkenya,,[3]
ZukuOfficial,"@tonysissey Hello Anthony, we are experiencing service outage in your area due to power flux on Fiber line. We are working with Power team to resolve this at soonest. Ref 2345. *MN",,[3]
ZukuOfficial,"@kamuchau Hello Kayjay, we are experiencing service outage in your area due to power flux on Fiber line. We are working with Power team to resolve this at soonest. Ref 2345. *MN",,[3]
moggchi,【power outage】: 停電,,[3]
SNVredcross,"@SNVRedCross has opened a shelter at - Whitney Ranch Community Center 1575 Galleria Dr., in Henderson, NV after a mobile home fire resulted in a power outage. #RedCross volunteers are providing meals, water, cots and blankets for area residents in need. https://t.co/IiWFaSck7B",,[3]
garciacroy,"RT @DavidBegnaud: Just got an update on the power outage on the western side of Puerto Rico

The transmission line that broke, in the San G…","Just got an update on the power outage on the western side of Puerto Rico

The transmission line that broke, in the San German area last night, has still not been fully repaired &amp; won’t be until tomorrow afternoon, at the earliest

Another night in the dark for 20,000+ people https://t.co/p3zsgWNTIP",[3]
MthathaEC,"NOTICE OF POWER OUTAGE

Consumers are notified of a power outage scheduled to take place on the:

5 AUGUST 2018 AS FROM 08H00 UNTIL 17H00

Should there be inclement weather conditions or technical constraints, the... https://t.co/O6SmBeFk8h",,[3]
WXII,Power outage caused by flooding prompts closure at Gateway YWCA until next week https://t.co/eHpDAck4ka https://t.co/uo1c0Il3Jo,,[3]
nerishar,@eThekwiniM Is there any power outage in Phoenix Industrial Park.... Without power from 17.30 last night.,,[3]
claws0922,@WKRN @WSMV Anybody know what happened to the power in Antioch? I'm on Bell Road near Blue Hole road and it's been out over an hour. Outage map on their site doesn't show anything.,,[3]
iAm_MrSammy,"@usmanNahuche @OSCARanking I might believe. The north enjoy light more than the south and west. When I went to Jalingo, I spent one week and didn't see any power outage",,[3]
ritoniax2fray,@KenyaPower_Care @KenyaPower  @MboyaApollo  @JerotichSeii assist plz power outage around tala machakos county misuuni village matungulu subcounty account 14284268829,,[3]
Jhaydee_288,@meralco any idea how long it will take to fix this power outage?,,[3]
DoctorLoveless1,White Brooklyn firefighter investigated for screaming slurs at black EMT while she was helping power outage victims https://t.co/4wjEvJ0YRQ,,[3]
Montgomery_911,POWER OUTAGE Quisenberry/Owingsville rd area.  Electrical fire in the Woodlands Subdivision has been Contained.  Emergency Crews on scene. Current estimations for power restoration 06:00 am.  Stay tuned for further updates as they are received !! https://t.co/Qgv5g7N8fL,,[3]
