aida_tala,RT @IranNW: Many damages to homes and building after an earthquake hit #Kermanshah hours ago @60Minutes @everyEarthquake @BaptisteGomb Pave…,"Many damages to homes and building after an earthquake hit #Kermanshah hours ago @60Minutes @everyEarthquake @BaptisteGomb Paveh Road, leading from this province to Kurdistan is blocked due to mountain side slipping https://t.co/lHZO8qm7L4 https://t.co/rHsN6p3P9u",Sun Aug 26 21:44:04 +0000 2018
IranNW,"Many damages to homes and building after an earthquake hit #Kermanshah hours ago @60Minutes @everyEarthquake @BaptisteGomb Paveh Road, leading from this province to Kurdistan is blocked due to mountain side slipping https://t.co/lHZO8qm7L4 https://t.co/rHsN6p3P9u",,Sun Aug 26 13:06:22 +0000 2018
Jana_Shah,"@Zubair_AJ @RaeeAkram It was Aerial fire after which they dispersed, went to Hamzoni Check-post set public property on fire, blocked road, pelted stones and afterwards wentback to Ahmad Khel fort where someone from the crowd reportedly opened fire.",,Mon Aug 27 10:15:03 +0000 2018
Alykhan12,@UKenyatta What is the criteria for running a nursery School? There's one opp KCB Jomo Kenyatta on 4th floor of an apartment with no fire escape!!! Also the access road next to it has been blocked and grabbed!! @HassanAliJoho,,Mon Aug 27 08:40:30 +0000 2018
pingastyles,"passed a fire in sicily, so huge and spreading fast, the amount of people standing by taking photos and cars passing the busy road made me really question the actions of the police in controlling the situation. super chaotic, why weren’t the roads blocked and people cleared out?",,Sun Aug 26 18:06:25 +0000 2018
JeffCo411,"Anyone know what happened last night in Festus? Behind bp gas station, police, fire, ambulance, crime tape, road was blocked. Everything posted about it keeps being removed. I'm confused?!?
Videos being removed,... https://t.co/iqaiTMlMjN",,Sun Aug 26 17:40:52 +0000 2018
RaeeAkram,"RT @fz_katherine: @PakFactCheck @USArmy Such a peace protest it was!! 
blocked road, pelted stones, put fire to bulldozer and other public…","@PakFactCheck @USArmy Such a peace protest it was!! 
blocked road, pelted stones, put fire to bulldozer and other public property, using children as human shield 
@voadeewa https://t.co/JBav3V18vP",Sun Aug 26 12:18:53 +0000 2018
fz_katherine,"@PakFactCheck @USArmy Such a peace protest it was!! 
blocked road, pelted stones, put fire to bulldozer and other public property, using children as human shield 
@voadeewa https://t.co/JBav3V18vP",,Sun Aug 26 11:47:57 +0000 2018
roy_spence,"@eastbutblue @GalloperT @westbelfast1965 @wackyj67 Happened in Suffolk lenadoon, horn drive etc in the early 70s IRA sniper fire and intimidation. Protestants wrecked the houses and burnt some out as they moved out. Catholic women and children blocked the stewartstown road until the houses were made habitatable. Yes, fear.",,Sat Aug 25 21:21:46 +0000 2018
feedingjoy,"Father, son drive through hell to escape a fire. A burning tree blocked the road. https://t.co/x0X2ZWehoe",,Sat Aug 25 17:54:01 +0000 2018
davedix,"Father, son drive through hell to escape a fire. A burning tree blocked the road. https://t.co/hucLuLj6AO",,Sat Aug 25 00:17:46 +0000 2018
Jasamsdestiny,"The road that's been blocked off [due to the downed power lines] is in Kaanapali Vista.  [out by the fire station]

#Maui #MauiCounty #HI #HurricaneLane #Lane #hiwx",,Fri Aug 24 22:32:23 +0000 2018
StagecoachSE,#Ashford G Line will be running late due to a house fire on Mead Road and the road being blocked by emergency vehicles.,,Fri Aug 24 14:38:27 +0000 2018
JhangianiRajesh,"@LFPress There was fire on the Wharncliffe Rd N, a block North of McDonald's Wed night around 9pm. The road traffic was blocked. 3 fire engines and several police cruisers attended to rescue. Didn't hear it in the news at all. What was that about?",,Fri Aug 24 14:03:05 +0000 2018
wsoctv,RT @GSuskinWSOC9: Ogden Road in Rock Hill is blocked this morning as police investigate a crash there this morning where one person was kil…,Ogden Road in Rock Hill is blocked this morning as police investigate a crash there this morning where one person was killed.  It’s near the fire training center.,Fri Aug 24 12:45:37 +0000 2018
GSuskinWSOC9,Ogden Road in Rock Hill is blocked this morning as police investigate a crash there this morning where one person was killed.  It’s near the fire training center.,,Fri Aug 24 12:30:39 +0000 2018
MrsWitherington,RT @rockhillpd: #TrafficAlert  serious traffic accident in 2000 block of Ogden Rd near fire training center. Road will be blocked for awhil…,#TrafficAlert  serious traffic accident in 2000 block of Ogden Rd near fire training center. Road will be blocked for awhile as accident is investigated.,Fri Aug 24 12:20:17 +0000 2018
rockhillpd,#TrafficAlert  serious traffic accident in 2000 block of Ogden Rd near fire training center. Road will be blocked for awhile as accident is investigated.,,Fri Aug 24 12:06:37 +0000 2018
rad_johnny,RT @NC5_RSchleicher: UPDATE to Sylvan Park fire on Park Ave: road is still BLOCKED but firefighters are wrapping up. They had to cut severa…,UPDATE to Sylvan Park fire on Park Ave: road is still BLOCKED but firefighters are wrapping up. They had to cut several holes to get to the fire under the house. Everyone is okay https://t.co/JtltQ9bHS7,Fri Aug 24 11:48:39 +0000 2018
NC5_RSchleicher,UPDATE to Sylvan Park fire on Park Ave: road is still BLOCKED but firefighters are wrapping up. They had to cut several holes to get to the fire under the house. Everyone is okay https://t.co/JtltQ9bHS7,,Fri Aug 24 11:30:49 +0000 2018
gabbyogbechie,"Father, son drive through hell to escape a fire. A burning tree blocked the road. https://t.co/9UZYMAXQVN via @GabbyOgbechie1T",,Fri Aug 24 04:17:00 +0000 2018
DelaneyHallTV,"Crews still investigating cause of house fire on Tazewell Ave. Traffic is starting to pick up, and the road is not officially blocked off so take extra precaution if this is your route to work. @WFXRnews https://t.co/Wl2rtvGJSw",,Thu Aug 23 10:09:05 +0000 2018
MattHammer12,RT @JustineRe12: REPORTS of a Building fire on NY 35 in both directions at Rt. 121 (Cross River Road) in Lewisboro. Alternate lanes blocked.,REPORTS of a Building fire on NY 35 in both directions at Rt. 121 (Cross River Road) in Lewisboro. Alternate lanes blocked.,Thu Aug 23 09:02:50 +0000 2018
JustineRe12,REPORTS of a Building fire on NY 35 in both directions at Rt. 121 (Cross River Road) in Lewisboro. Alternate lanes blocked.,,Thu Aug 23 08:51:12 +0000 2018
ArizonaDOT,SR 260 WB in Heber: The road is blocked at milepost 304 due to a structure fire. Traffic is alternating in the eastbound lanes. #aztraffic https://t.co/sZPDMlMNIe,,Thu Aug 23 03:02:12 +0000 2018
BoyesWilliam,"RT @BramptonFireES: Fire declared under control, smoke removal underway. No reported injuries. Some crews clearing shortly, road remains bl…","Fire declared under control, smoke removal underway. No reported injuries. Some crews clearing shortly, road remains blocked. Thx to @Peel_Paramedics @PeelPoliceMedia @BEMOprepared for assistance ^ed",Thu Aug 23 00:45:49 +0000 2018
BramptonFireES,"Fire declared under control, smoke removal underway. No reported injuries. Some crews clearing shortly, road remains blocked. Thx to @Peel_Paramedics @PeelPoliceMedia @BEMOprepared for assistance ^ed",,Wed Aug 22 22:34:52 +0000 2018
jaxdotcom,"A serious traffic crash blocked all lanes of University Boulevard North near Arlington Road after a bicycle rider was hit Wednesday afternoon, according to the Jacksonville Fire and Rescue Department.https://t.co/nYe4uXhCJX",,Wed Aug 22 22:05:02 +0000 2018
kfdinews,Traffic back open on Central between Washington &amp; Hydraulic. The road was blocked while crews checked on a building fire report. #ICTtraffic,,Wed Aug 22 17:10:38 +0000 2018
JohnMark_IB,@wsvn city of Homestead police has road blocked off just west of the intersection for sw 320th st Mowry Dr and sw 187th Ave Redland Rd standoff with police officers? Fire rescue is standing by,,Wed Aug 22 16:54:01 +0000 2018
JohnMark_IB,@WIOD city of Homestead police has road blocked off just west of the intersection for sw 320th st Mowry Dr and 187th Ave Redland Rd standoff with police? Fire rescue standing by,,Wed Aug 22 16:52:37 +0000 2018
