agamemanon,"@fire__exit My personal problems with straps: the setup isn't as repeatable, it can take too long to get set, occasionally I need to stand up if I've got wind, and doesn't train the grip. But, fuck it, just get strong who cares.",,Mon Aug 27 08:17:17 +0000 2018
JoshBranJones,"Does the oak tree declare itself strong? Or the fire call itself raging? Does the wind speak of its freedom, does the ocean tell of its vastness, does the lily explain its beauty?",,Mon Aug 27 05:39:25 +0000 2018
familydisaster,"RT @HumboldtToiyabe: #SouthSugarloafFire --  HAZARD ALERT -- The fire is making a strong wind-driven run to the east, has crossed NV State…","#SouthSugarloafFire --  HAZARD ALERT -- The fire is making a strong wind-driven run to the east, has crossed NV State Route 225 just north of the dam at the Wild Horse Reservoir, will continue east at 3 to 6 mph.  Please stay clear of the area.  Hunters and campers vacate!",Sun Aug 26 20:54:26 +0000 2018
Apri1nParis,"RT @Inyourhead24_7: @Apri1nParis @DoctorQAnon It was Nov 2016...They wouldn't charge them citing ""unprecedented and unforeseeable wind even…","@Apri1nParis @DoctorQAnon It was Nov 2016...They wouldn't charge them citing ""unprecedented and unforeseeable wind events"" 80+mph winds. Fire traveled thru the tops of the trees.. 15 min and was in Gatlinburg
Strong Language 
⬇⬇
 https://t.co/ndb5BJ3tLg",Sun Aug 26 13:48:06 +0000 2018
vicky_lauda,6/ground. Its branches were broken and withered by a strong wind from the east; the fruit was destroyed by fire. Now the vine is planted in the wilderness where the ground is hard and dry. It is decaying from within; no strong branch remains. The fulfillment of this sad prophecy,,Sun Aug 26 13:05:04 +0000 2018
soccermohawk,"@DartsEnthusiast Both!! I remember they showed half of the technique, but not it's completion. The wind up was different than fire tornado or bakunetsu storm. Supposedly it's strong enough to break endou's new hissatsu",,Sun Aug 26 12:41:17 +0000 2018
rhrentz1,RT @inciweb: #SouthSugarloafFire #NV #NVHTF https://t.co/PedWTWwxth South Sugarloaf Fire: The Fire has made a strong wind driven run to the…,#SouthSugarloafFire #NV #NVHTF https://t.co/PedWTWwxth South Sugarloaf Fire: The Fire has made a strong wind driven run to the east and has j,Sat Aug 25 23:04:07 +0000 2018
inciweb,#SouthSugarloafFire #NV #NVHTF https://t.co/PedWTWwxth South Sugarloaf Fire: The Fire has made a strong wind driven run to the east and has j,,Sat Aug 25 22:22:26 +0000 2018
HumboldtToiyabe,"#SouthSugarloafFire --  HAZARD ALERT -- The fire is making a strong wind-driven run to the east, has crossed NV State Route 225 just north of the dam at the Wild Horse Reservoir, will continue east at 3 to 6 mph.  Please stay clear of the area.  Hunters and campers vacate!",,Sat Aug 25 22:20:23 +0000 2018
MalcolmFarley,"Apparently, @LindseyGrahamSC’s conscience is a will o’ the wisp, a tricky Saint Elmo’s fire in the great dismal Swamp that is @realDonaldTrump’s Washington, D.C.  When a strong American oligarchic wind blows, it vanishes. @Lawrence @GovHowardDean https://t.co/Pd3lXSOq84",,Sat Aug 25 18:08:04 +0000 2018
violetroseBTS,"The wind was not so strong only some cold breeze. We had a problem on building the fire but after 2 hours fanning like crazy, we found out that using electric fan is the answet. Dumb bunny",,Sat Aug 25 17:21:55 +0000 2018
kaeereen,"Hurricane, fire and strong wind 😢😢😢 #PrayforHawaii",,Sat Aug 25 05:01:22 +0000 2018
mjgiedraitis,"@FrAndrewHart ""There was a strong and violent wind rending the mountains and crushing rocks before the Lord—but the Lord was not in the wind; after the wind, an earthquake—but the Lord was not in the earthquake; after the earthquake, fire—but the Lord was not in the fire""
1 Kings 19:11-12",,Sat Aug 25 01:24:29 +0000 2018
davidleeroy69,@Shivrars @jdubbs_esq @sarahwhelmed They were nazi saluting the far left who was calling them nazis to wind them up. Nazis hate Tommy! He fights them and one of the top nazis in the world wants him dead lol yeah and a fire starter needs to be in solitary confinement with no visits and strong medication....lol,,Sat Aug 25 01:02:57 +0000 2018
Jasamsdestiny,@seanboon I haven't heard anything being opened for at least an hour.   Right now it's all moving units around and getting the fire put out while the wind isn't so strong.   They also have the power company going street by street checking for any downed and/or loose lines.,,Fri Aug 24 23:43:58 +0000 2018
fire_lightxoxo,"RT @KoreanTravel: Luckily the typhoon has weaken dramatically with rain and wind moving east, but K-Wave is still rolling strong!😃
Last of…","Luckily the typhoon has weaken dramatically with rain and wind moving east, but K-Wave is still rolling strong!😃
Last of the 6 EXO AD, feel like a K-Pop star from make-up to photo session!😄
What alias would you want if you became a K-Pop star?🤔
(Credit: FB/imagineyourKorea) https://t.co/ugd7G6wPjo",Fri Aug 24 21:34:26 +0000 2018
laritheatre,So far so good. Just some rain and a little wind but luckily we still have power. Unfortunately on the other side of the island they’re battling a big brush fire and strong winds. #HurricaneLane,,Fri Aug 24 16:56:08 +0000 2018
bold_n_cool,"Campfires safety : Pay attention to the wind
A strong breeze can spread your fire in an instant. To make sure a sudden gust of wind doesn’t turn your campfire into a #wildfire, keep anything flammable, at least 15 feet away from the fire and never leave a #campfire unattended https://t.co/tQMV4gLNN5",,Fri Aug 24 01:11:02 +0000 2018
HollySearle1,"@LondonFire There’s a really strong smell of smoke/fire where we live off the South Ealing Road, is the wind carrying it from a local fire from elsewhere? It’s actually making me cough. Thank you",,Fri Aug 24 00:07:42 +0000 2018
wndrlstgrl,"glaciernps:

After the Fire
Fire is a natural part of the environment, as natural as a rainstorm or a strong wind. Fire is essential for the health of Glacier’s ecosystem, as it maintains a natural balance and mix of plants and trees that in turn contrib… https://t.co/Vakco62DD4 https://t.co/RIGWC0kDfg",,Wed Aug 22 23:06:41 +0000 2018
adrianajanko,"Distance is to love what wind is to fire. It blows out the weak and brightens up the strong.

-things French men say to me",,Wed Aug 22 07:05:38 +0000 2018
MissMercedes007,"If the sun comes out, there is the potential for severe storms to develop. There is a cool wind, and that combined with heat and humidity can fire up some strong storms.",,Tue Aug 21 19:42:15 +0000 2018
DrAaronMeraz,"A strong wind, an earthquake, a fire and the Lord was not in any of them, but “after the fire a still small voice.”
1 Kings 19:11-12",,Mon Aug 20 12:01:33 +0000 2018
commonsensejan,"RT @sonjamotzkus: “ A small and inadequate faith is like a small fire. It can be blown out by a small breeze. True faith, by contrast, is l…","“ A small and inadequate faith is like a small fire. It can be blown out by a small breeze. True faith, by contrast, is like a strong fire. When it is hit by a strong wind, it is fanned  into an inextinguishable flame.” (Holocaust Survivor, Victor Frankel)",Sun Aug 19 16:29:24 +0000 2018
Ryan541,"RED FLAG WARNING REMAINS IN EFFECT FROM 4 PM THIS AFTERNOON TO 8 PM PDT THIS EVENING FOR STRONG GUSTY WIND WITH LOW RH FOR FIRE WEATHER ZONE 285...

* Impacts...A combination of strong winds and low humidity with high fire danger will... https://t.co/AjNvQUuame",,Sun Aug 19 14:17:38 +0000 2018
G8sthn,"@NBCNews No, the devastation is caused by the strength and speed of the wind, and how quickly the fires are spread. A fire in West Australia in 2014 was caused by a person using an angle grinder and the wind was so strong it destroyed 57 houses",,Sun Aug 19 09:44:21 +0000 2018
qschweather,"Kenmore at 11.37 am , wind is strong to 30 km/h 
Humidity 20.4%

Fire ignition  is 60 % in kenmore at present

Stephen QSCHW TEAM AUSTRALIA",,Sun Aug 19 01:39:27 +0000 2018
barnesshane713,Stay safe out there today folks. Strong winds around with high fire danger and also strong wind marine warning for boaties.,,Sun Aug 19 00:16:16 +0000 2018
sonjamotzkus,"“ A small and inadequate faith is like a small fire. It can be blown out by a small breeze. True faith, by contrast, is like a strong fire. When it is hit by a strong wind, it is fanned  into an inextinguishable flame.” (Holocaust Survivor, Victor Frankel)",,Sat Aug 18 19:24:49 +0000 2018
Australia7News,"Late wind change fans fire near Newcastle, residents relocating https://t.co/dBWXQu0iK3 :Auto pickup by wikyou",,Sat Aug 18 12:32:02 +0000 2018
Ronnie1924,"Late wind change fans fire near Newcastle, residents relocating https://t.co/u7DhIvb0uv via @ABCNews",,Sat Aug 18 12:08:21 +0000 2018
Ronnie1924,"RT @OpenRoadOz: #Oz  #NSW #bushfires  Late wind change fans fire near Newcastle, residents relocating https://t.co/z77rCmGrA4","#Oz  #NSW #bushfires  Late wind change fans fire near Newcastle, residents relocating https://t.co/z77rCmGrA4",Sat Aug 18 12:01:13 +0000 2018
OpenRoadOz,"#Oz  #NSW #bushfires  Late wind change fans fire near Newcastle, residents relocating https://t.co/z77rCmGrA4",,Sat Aug 18 10:50:57 +0000 2018
stevie_bro,"RT @bsadams25: Late wind change fans fire near Newcastle, residents relocating https://t.co/UZpPsDLgEk via @ABCNews....it’s still winter...","Late wind change fans fire near Newcastle, residents relocating https://t.co/UZpPsDLgEk via @ABCNews....it’s still winter...",Sat Aug 18 10:50:51 +0000 2018
bsadams25,"Late wind change fans fire near Newcastle, residents relocating https://t.co/UZpPsDLgEk via @ABCNews....it’s still winter...",,Sat Aug 18 10:40:10 +0000 2018
news_mail,RT @SarahKateSteger: @QldFES have suspended fire permits from Bundaberg to the Sunshine Coast after @BOM_Qld issued a strong wind warning h…,@QldFES have suspended fire permits from Bundaberg to the Sunshine Coast after @BOM_Qld issued a strong wind warning https://t.co/O0nCeI3Gvz,Sat Aug 18 04:00:05 +0000 2018
SarahKateSteger,@QldFES have suspended fire permits from Bundaberg to the Sunshine Coast after @BOM_Qld issued a strong wind warning https://t.co/O0nCeI3Gvz,,Sat Aug 18 03:59:32 +0000 2018
HilaryMcGowan,@markstuartjames yes; was thinking we might light the fire tonight as the wind is really strong #brr,,Fri Aug 17 17:56:34 +0000 2018
fistjourno,"RT @RobSCRegister: James Lin certainly won't forget Bomaderry's fire emergency in a hurry!
@NSWRFS
@NSWRFSShoal
@FRNSW
#SouthCoastfires
htt…","James Lin certainly won't forget Bomaderry's fire emergency in a hurry!
@NSWRFS
@NSWRFSShoal
@FRNSW
#SouthCoastfires
https://t.co/5fQ9h57MY1",Fri Aug 17 04:17:40 +0000 2018
RobSCRegister,"James Lin certainly won't forget Bomaderry's fire emergency in a hurry!
@NSWRFS
@NSWRFSShoal
@FRNSW
#SouthCoastfires
https://t.co/5fQ9h57MY1",,Fri Aug 17 04:14:15 +0000 2018
