PaulettevHden,"RT @Water4CPT: ""The  Netherlands now has an official nationwide water shortage due to the  ongoing drought and dropping river water levels,…","""The  Netherlands now has an official nationwide water shortage due to the  ongoing drought and dropping river water levels, the infrastructure  ministry said on Thursday.""

https://t.co/EPjpCJ5Vxv",[3]
tapanpokar,RT @India_Policy: This thread on how Fadnavis resolved the recurring draught and water shortage in the State. https://t.co/UThN9vJvCG,This thread on how Fadnavis resolved the recurring draught and water shortage in the State. https://t.co/UThN9vJvCG,[3]
FatouJagneS,RT @dofbi: 4 moths water  shortage in senegal capital unacceptable #kebetu #water #off #Dakar #senegal https://t.co/o12DsewpGJ,4 moths water  shortage in senegal capital unacceptable #kebetu #water #off #Dakar #senegal https://t.co/o12DsewpGJ,[3]
GrantonSamboja,"RT @KibetBenard_: #ImarishaElimuTTC 3: @GrantonSamboja  I take cognizance of the fact that,  there is water shortage  in the institution an…","#ImarishaElimuTTC 3: @GrantonSamboja  I take cognizance of the fact that,  there is water shortage  in the institution and the neighbouring community. I further pledge ksh.100,000 to help in the connection  of water from the nearby pipeline. https://t.co/coKz51SlPD",[3]
reiverdave,"RT @agapanthus49: @reiverdave ...probably accounts for not hearing about outcomes on the ground, all we see is Aid adverts on TV for buildi…","@reiverdave ...probably accounts for not hearing about outcomes on the ground, all we see is Aid adverts on TV for building wells due to water shortage, no development in farming or manufacturing either, yes where does our money go??",[3]
BoycottFamilyLw,"W.H.Y? ~~The World Water Shortage~With All This Sunshine?
https://t.co/0JSc089TgQ https://t.co/3tmLC5x3R3",,[3]
ZarrarSalahPTI,RT @sgtcurrypants: How’s the water shortage?#BlockedIn5WordsOrLess,How’s the water shortage?#BlockedIn5WordsOrLess,[3]
HarrisonKamwana,"@GrantonSamboja - I take cognizance of the fact that,  there is water shortage  in the institution &amp; the neighbouring community. I further pledge ksh.100K to help in the connection  of water. #ImarishaElimuTTC #MchungajiMtumishiHomeComing #1DDrive @Donsarigo https://t.co/7eh5Ndj267",,[3]
sgtcurrypants,How’s the water shortage?#BlockedIn5WordsOrLess,,[3]
kinyamukiu,"RT @Asamoh_: Oya @MikeSonko , can you confirm or deny that AQUAVIT is a company running water businesses is associated with Hon. Beth Mugo…","Oya @MikeSonko , can you confirm or deny that AQUAVIT is a company running water businesses is associated with Hon. Beth Mugo and you are also in the business? Deliberately creating water shortage to create market for your enterprises ? Cc @ConsumersKenya",[3]
mohamed18243187,"Water shortage in Iraq and Syria? Go back to history what Israel US want!!! Euphrates Tigris river Iraq have enough water / oil but....
 https://t.co/IQtM3IpVR2",,[3]
shahzi007,RT @CPEC_Official: #Gwadar's acute water shortage has finally been resolved by the establishment of a #water desalination plant. This plant…,"#Gwadar's acute water shortage has finally been resolved by the establishment of a #water desalination plant. This plant produces 300,000 gallons of water daily, which is distributed to the local households in Gwadar.

https://t.co/jWP3tg4ZvV

@pcipakchina @zlj517 @GameChangerYR",[3]
Upekuzi_Kenya,"""I take cognizance of the fact that,  there is water shortage  in the institution and the neighbouring community. I further pledge ksh.100,000 to help in the connection  of water from the nearby pipeline"" @GrantonSamboja #ImarishaElimuTTC https://t.co/lZ8Us7dgkC",,[3]
KibetBenard_,"#ImarishaElimuTTC 3: @GrantonSamboja  I take cognizance of the fact that,  there is water shortage  in the institution and the neighbouring community. I further pledge ksh.100,000 to help in the connection  of water from the nearby pipeline. https://t.co/coKz51SlPD",,[3]
agapanthus49,"@reiverdave ...probably accounts for not hearing about outcomes on the ground, all we see is Aid adverts on TV for building wells due to water shortage, no development in farming or manufacturing either, yes where does our money go??",,[3]
DiscoverTTCG,"@GrantonSamboja
takes cognizance of the fact that,  there is water shortage  in the institution and the neighbouring community. He further pledge ksh.100,000 to help in the connection  of water from the nearby pipeline.  
#ImarishaElimuTTC https://t.co/9htyiilaAj",,[3]
miankashifiqba5,RT @SarwarFoundati1: There is shortage of water in Pakistan. Sarwar Foundation is striving hard to provide clean water to improve health of…,There is shortage of water in Pakistan. Sarwar Foundation is striving hard to provide clean water to improve health of people. Room constructed that will house water filtration plant in village 191 GB District Toba Tek Singh &amp; it will be running up in few days https://t.co/9TfWwpI6zU,[3]
lokeshsager96,RT @Sharmistha_GK: Went 2 meet residents of old Usmanpur area effected by rising Yamuna water. Pathetic conditions in the makeshift shantie…,"Went 2 meet residents of old Usmanpur area effected by rising Yamuna water. Pathetic conditions in the makeshift shanties made by govt. Severe shortage of water, no toilet, inadequate &amp; terrible quality of food. People left in the villages having no clean water since last 2 days https://t.co/26dZJUFjMp",[3]
VarshaD17,"RT @vijayrpandey: Modiji nu #GujratModel : Farmers and fisherman are struggling with the water shortage, and with pollution being leaked in…","Modiji nu #GujratModel : Farmers and fisherman are struggling with the water shortage, and with pollution being leaked into the Sabarmati river, in Ahmedabad. Some farmers say they wish the government hadn't set up the dam system. #PMModi #SardarSarovarDam https://t.co/mUa2vFrKFk",[3]
les_fees_nature,"RT @ClimateKISS: How about community-run vegetable gardens with desalination plants to provide water in dry years, with climate-controlled…","How about community-run vegetable gardens with desalination plants to provide water in dry years, with climate-controlled enclosed greenhouses run on renewable energy?  @brisbanecityqld @1o5CleanEnergy  @DrTammraWarby   #healthyfood #changingclimate https://t.co/OTj1xUmK7r",[3]
GrantonSamboja,"I take cognizance of the fact that,  there is water shortage  in the institution and the neighbouring community. I further pledge ksh.100,000  to help in the connection  of water from the nearby pipeline.  #ImarishaElimuTTC https://t.co/InDbtz67ML",,[3]
chandel70,"@PanvelCorp @NMMConline @CIDCO_Ltd  I tagged @Dev_Fadnavis ji because despite of our umpteen complaints, there is no remedy! CIDCO Blames Nagar Palika &amp; Vice versa! We get water hardly for one hour in the morning! There is no shortage of water due to good mansoon, so WHY??????",,[3]
SarwarFoundati1,There is shortage of water in Pakistan. Sarwar Foundation is striving hard to provide clean water to improve health of people. Room constructed that will house water filtration plant in village 191 GB District Toba Tek Singh &amp; it will be running up in few days https://t.co/9TfWwpI6zU,,[3]
ShyamLalAggarw1,RT @INCDelhi: Delhi Pradesh Congress Committee president Shri @ajaymaken slams Delhi Chief Minister Shri Arvind Kejriwal for his observatio…,Delhi Pradesh Congress Committee president Shri @ajaymaken slams Delhi Chief Minister Shri Arvind Kejriwal for his observation that it will take at least five years for the water shortage in Delhi to improve. https://t.co/CsBFwsZ2rg,[3]
