IndianOlympians,"RT @Media_SAI: ""Injuries can happen anytime whether in practice or during a bout.But just thinking that,we can’t stop #wrestling, right?We…","""Injuries can happen anytime whether in practice or during a bout.But just thinking that,we can’t stop #wrestling, right?We have to continue.""-@BajrangPunia 
This is what passion for #sports is all about &amp; our 🤼‍♂ champ is making every minute count! #IndiaAtAsianGames @Ra_THORe https://t.co/pUUBRY8Rj2",[3]
BIGMACDADDY0401,They were spot on tonight! Seconds count in situations like that. Thankful that everyone was able to walk away with no serious injuries 🙏🏼 the driver turned out to be guy that Cam had played little league &amp; travel ball with -Good folks !,,[3]
johnnycook17,"@bmatty_19 @amcook13 @rhinosackmaster Lies. You never believed in the pitch count. Arm injuries don’t come from too many pitches. They come from pitching too often on a tired arm. Just like hitting, tired body creates bad habits. That’s what got me.",,[3]
CaBosFan,"@icarlycrouse @RichMcJannet @spjr21 @Red_Sox2016 @TomCaron Someone that gets hurt every year is injury prone. Small injuries or not he misses significant time every single season. You can’t count on him to stay healthy. If you want to conveniently ignore all the facts that’s fine, agree to disagree",,[3]
CHOERRYLlPS,"stay strong, you two. one of you may be a big fat asshole at me, but the injuries you have right now — i'll have you know that this is not your karma, nor the lesson you should learn from me, but just count that as a memory instead. so stay strong and be thebfucking ass you are.",,[3]
Sevillista4Life,"What could've been...it's even more sad as he currently is without a team and said he ""has lost count of how many knee injuries I've had"". https://t.co/EnQxtkTXyb",,[3]
kniakrls,No major injuries in a three-car accident on Highway 92 Friday afternoon. More at the one to count on. https://t.co/RcSvNPAyP4,,[3]
PChill708,"@davemeltzerWON I get it. He has a family in WWE and a really nice , largely guaranteed, salary, but Daniel can't be happy with the way he is used. On the other hand, WWE doesn't want to push someone who they can't really count on b/c of his injuries.",,[3]
Kevhead34,"You shoulda drank that milk with all those injuries you had, man had a low vitamin D count 👀 https://t.co/xQ0zf5xDqv",,[3]
jenheraldleader,WR Dorian Baker will have a rep count after suffering injuries in last two preseason camps at Kentucky.,,[3]
RoushKSR,"After consecutive injuries in preseason camp, Dorian Baker is on a rep count",,[3]
ussdisco,If you want to start exercising I can never stress enough how important it is to invest on a good gym if you have the means @_@ I lost count of how many close calls I had with injuries (that were avoided by the army of teachers that were around lmao),,[3]
ytfcbadger,"@MattWood_97 @JakeVincent37 Current count is 22 senior players and 2 Academy players. High chance of the 5th loan spot being filled. OK, Gray and Bailey's injuries will mean that there's not so many players in reality, but in similar scenario Lea and Bassett never played",,[3]
Lynchy_LFC,@LeeYeboah @DaveHendrick_ Lallanas a joke. One of the most naturally unfit players about. Can hardly finish 90mins. I want both players gone. DS because you cant count on him due to injuries. AL because hes shit and injury prone.,,[3]
Lynchy_LFC,@LeeYeboah @DaveHendrick_ You just cant count injuries of a player away on loan. Hes missing everygame for us regardless. Theyre both as injury prone as one another. Just leave it at that,,[3]
mrfaiziliaquat,"RT @Robertonical: From where did this fake narrative start that Coutinho has missed more games than Thiago due to injuries?

Coutinho has m…","From where did this fake narrative start that Coutinho has missed more games than Thiago due to injuries?

Coutinho has missed 57 games in his whole career due to injuries (76 total if we count the ones when he was young).
Thiago has missed 112 only in Bayern (143 in total).",[3]
