Heir_2D_Throne,"RT @MizCazorla1: According to the national human rights commission (NHRC),Nigeria has about 1,000,000 (one million) people displaced from t…","According to the national human rights commission (NHRC),Nigeria has about 1,000,000 (one million) people displaced from their homes due to conflicts. 

Nigeria has the 3rd highest number internally displaced persons (IDPs) in the world,coming behind war-torn Syria &amp; Iraq.",Sat Aug 04 09:13:47 +0000 2018
Om3zii,"RT @maitelsadany: ""A #Syria with 10 million trustworthy people obedient to the leadership is better than a Syria with 30 million vandals,""…","""A #Syria with 10 million trustworthy people obedient to the leadership is better than a Syria with 30 million vandals,"" says Head of Air Force Intelligence. 

Why the difference in numbers? Because that number of Syrians have been detained, displaced, or killed.",Sat Aug 04 07:36:44 +0000 2018
seantfish,"Given the vast number of people having existed, could there be multiple people genetically identical but somewhat unrelated and displaced in time?",,Sat Aug 04 03:18:03 +0000 2018
sandiegardener,@Cornish_Damo The number of people who have died or been displaced or will be displaced in the future not to mention the affect on the natural world in the sea and on land and that's what he cares about. Man's a moron.,,Sat Aug 04 02:01:36 +0000 2018
maggiezasss,RT @monarelief: Four in every 10 children under five were now acutely malnourished in #Yemen and the number of people displaced since the #…,"Four in every 10 children under five were now acutely malnourished in #Yemen and the number of people displaced since the #Hodeidah offensive began at 200,000.",Fri Aug 03 21:22:56 +0000 2018
NearEastFdn,NEF has worked with both those internally displaced from their homes and those that have had to flee their countries for over 100 years now - and the number of those forced from their homes is still staggering. We need your support to help people recover and build resilience. https://t.co/mUEz7V8k6u,,Fri Aug 03 19:31:09 +0000 2018
tettodoro,"RT @OCHA_Syria: Following hostilities in southern #Syria, as many as 182,618 people remain displaced.  The @UN continues to seek cross-line…","Following hostilities in southern #Syria, as many as 182,618 people remain displaced.  The @UN continues to seek cross-line access to #Quneitra, which is hosting a large number of displaced people.
https://t.co/2uehdWHJka https://t.co/lu0SwsEKTb",Fri Aug 03 16:45:50 +0000 2018
wilsonti7,"Proposed land use changes in Toronto include how many storeys, people, cars, and bikes (Yow!) the new high rise will serve. Nothing about number of current residents displaced or increment in payment per unit to live there. Massive development everywhere. Cha-ching!!",,Fri Aug 03 15:46:49 +0000 2018
maitelsadany,"""A #Syria with 10 million trustworthy people obedient to the leadership is better than a Syria with 30 million vandals,"" says Head of Air Force Intelligence. 

Why the difference in numbers? Because that number of Syrians have been detained, displaced, or killed.",,Fri Aug 03 14:27:01 +0000 2018
HabitatJenny,"RT @joinsolidground: #DidYouKnow 40.8 million people were displaced by conflict, persecution, or natural disasters in 2015? The number of p…","#DidYouKnow 40.8 million people were displaced by conflict, persecution, or natural disasters in 2015? The number of people forced out of their homes in 2015 is equivalent to the combined populations of New York City, London, Paris and Cairo @IDMC_Geneva",Fri Aug 03 06:13:11 +0000 2018
purplesofa,"RT @reliefweb: #USLS2018 - Panel speaker Keane Shum is a spokesperson at @Refugees. At the end of 2017, the number of displaced people reac…","#USLS2018 - Panel speaker Keane Shum is a spokesperson at @Refugees. At the end of 2017, the number of displaced people reached 68.5 million. https://t.co/jRTFlUvqZJ",Fri Aug 03 03:05:20 +0000 2018
reliefweb,"#USLS2018 - Panel speaker Keane Shum is a spokesperson at @Refugees. At the end of 2017, the number of displaced people reached 68.5 million. https://t.co/jRTFlUvqZJ",,Fri Aug 03 02:50:35 +0000 2018
Shabira07460299,"RT @PressTV: FACT:
The number of displaced people in 2017 has been more than the population of France. 
Watch for more.

#UNHCR #DisplacedP…","FACT:
The number of displaced people in 2017 has been more than the population of France. 
Watch for more.

#UNHCR #DisplacedPeople https://t.co/bXlsUZgcIY",Fri Aug 03 02:35:19 +0000 2018
Expatri13394487,RT @firas_alsmoqi: latest update of the  of the Directorate General of Yezidi Affairs in the Ministry of Awqaf of the Kurdistan  Government…,"latest update of the  of the Directorate General of Yezidi Affairs in the Ministry of Awqaf of the Kurdistan  Government These statistics are  to  United Nations
The number of Yezidis in Iraq was about 550,000
The number  displaced by an invasion is some 360,000 displaced people https://t.co/OIODDUSEKT",Thu Aug 02 19:08:08 +0000 2018
joinsolidground,"#DidYouKnow 40.8 million people were displaced by conflict, persecution, or natural disasters in 2015? The number of people forced out of their homes in 2015 is equivalent to the combined populations of New York City, London, Paris and Cairo @IDMC_Geneva",,Thu Aug 02 19:01:18 +0000 2018
