Blanch92Nucsha,"RT @ehsan_seismo: #CCTV #Footage shows moment earthquake hits TazehAbad; M6.0 #Earthquakes, Kermanshah province, #Zagros Fold and Thrust Be…","#CCTV #Footage shows moment earthquake hits TazehAbad; M6.0 #Earthquakes, Kermanshah province, #Zagros Fold and Thrust Belt, west #Iran
02:43 Local Time
@LastQuake https://t.co/o9KRZBR092",Sun Aug 26 04:38:14 +0000 2018
ehsan_seismo,"#CCTV #Footage shows moment earthquake hits TazehAbad; M6.0 #Earthquakes, Kermanshah province, #Zagros Fold and Thrust Belt, west #Iran
02:43 Local Time
@LastQuake https://t.co/o9KRZBR092",,Sun Aug 26 04:30:32 +0000 2018
Baron28Baron286,"Footage of the Earthquake that shakes many cities in #Kurdistan region &amp; Kurdistan #Rojhelat. 

Hope everyone is safe and secure https://t.co/KxCNJWb9WH",,Sun Aug 26 01:04:39 +0000 2018
syrianomark2,"RT @Charles_Lister: The @BBCNews goes on a #Russia military tour of #Assad-held #Syria - a factory, a peach farm &amp; aid delivery to defeated…","The @BBCNews goes on a #Russia military tour of #Assad-held #Syria - a factory, a peach farm &amp; aid delivery to defeated areas.

Footage shows immense destruction - but not a single admission of **who** did the destroying. Not one.

Was it an earthquake?

https://t.co/tQ6iUmt3Jx",Sun Aug 26 00:38:46 +0000 2018
antiiique,"RT @LawkGhafuri: Footage of the Earthquake that shakes many cities in #Kurdistan region &amp; Kurdistan #Rojhelat. 

Hope everyone is safe and…","Footage of the Earthquake that shakes many cities in #Kurdistan region &amp; Kurdistan #Rojhelat. 

Hope everyone is safe and secure https://t.co/DT0dEnshjZ",Sat Aug 25 23:55:39 +0000 2018
LawkGhafuri,"Footage of the Earthquake that shakes many cities in #Kurdistan region &amp; Kurdistan #Rojhelat. 

Hope everyone is safe and secure https://t.co/DT0dEnshjZ",,Sat Aug 25 22:48:31 +0000 2018
GD_Nebula,I added a video to a @YouTube playlist https://t.co/bMSuCX6BYe Earthquake 100% Completion (Geometry Dash Footage),,Sat Aug 25 20:40:45 +0000 2018
Diggaras,Ich mag das @YouTube-Video: https://t.co/5z8SQ5VzyN Buildings Swaying 9.1 Earthquake - Scary Footage,,Sat Aug 25 17:14:40 +0000 2018
YanaiBamnolker,I liked a @YouTube video https://t.co/PmUtclGqFu Buildings Swaying 9.1 Earthquake - Scary Footage,,Sat Aug 25 14:57:23 +0000 2018
smithjahmona,Magnitude 7.3 Earthquake Venezuela footage August 2018 https://t.co/Ie7FI2OOfP via @YouTube,,Sat Aug 25 09:42:34 +0000 2018
YanaiBamnolker,I liked a @YouTube video https://t.co/W0Co7ZAcZ3 Scary EARTHQUAKE Footage Compilation From Around The World,,Sat Aug 25 00:20:43 +0000 2018
