tweetsmariam,"RT @husca: Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, becaus…","Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, because school officials believed that once women got married and had children they would be unable to fulfill their emergency shifts at hospitals. https://t.co/nYZbxOXWiG",Sat Aug 04 10:21:24 +0000 2018
InsideErick,"RT @husca: Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, becaus…","Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, because school officials believed that once women got married and had children they would be unable to fulfill their emergency shifts at hospitals. https://t.co/nYZbxOXWiG",Sat Aug 04 10:21:04 +0000 2018
srvfpd_sanramon,"MEDICAL EMERGENCY, PALMIRA PL, SAN RAMON (8/4/2018 3:20:28 AM)",,Sat Aug 04 10:21:02 +0000 2018
srvfpd,"MEDICAL EMERGENCY, PALMIRA PL, SAN RAMON (8/4/2018 3:20:28 AM)",,Sat Aug 04 10:21:02 +0000 2018
rachit_g2,"RT @Ziqitza: #ContestAlert
Have you been the #FirstOneToCare for someone during a medical emergency or has someone been the #FirstOneToCare…","#ContestAlert
Have you been the #FirstOneToCare for someone during a medical emergency or has someone been the #FirstOneToCare for you? 
Share your story with us in the comments! #Ziqitza .....(1/2)
Read complete T&amp;C here - https://t.co/A3KTbfl0OT #Contest https://t.co/mnL3nE9ifz",Sat Aug 04 10:19:30 +0000 2018
__apf__,"RT @husca: Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, becaus…","Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, because school officials believed that once women got married and had children they would be unable to fulfill their emergency shifts at hospitals. https://t.co/nYZbxOXWiG",Sat Aug 04 10:17:17 +0000 2018
alanthelondoner,RT @CharlesTannock: @DavidLammy @TeresaC123 Last time UK temporarily accelerated the medical course was during WWII. Is he saying that Brex…,@DavidLammy @TeresaC123 Last time UK temporarily accelerated the medical course was during WWII. Is he saying that Brexit is requiring such emergency measures? As a retired doctor I find in peacetime such a suggestion unacceptable for our health and safety.,Sat Aug 04 10:16:14 +0000 2018
serargh,"RT @husca: Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, becaus…","Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, because school officials believed that once women got married and had children they would be unable to fulfill their emergency shifts at hospitals. https://t.co/nYZbxOXWiG",Sat Aug 04 10:15:21 +0000 2018
Flight_Refunds,"RT @dan_avramescu: @wizzair Hello Wizzair, a passanger that should have flown tomorrow is not able to do so because of a medical emergency.…","@wizzair Hello Wizzair, a passanger that should have flown tomorrow is not able to do so because of a medical emergency. He is in unable to travel and I was asked by his wife to cancel their tickets. Where do I submit the claim? I have the medical papers.",Sat Aug 04 10:09:28 +0000 2018
andreas_doris,"RT @husca: Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, becaus…","Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, because school officials believed that once women got married and had children they would be unable to fulfill their emergency shifts at hospitals. https://t.co/nYZbxOXWiG",Sat Aug 04 10:04:53 +0000 2018
BrendaBlog1,RT @NSRoadsPolicing: Ipswich ARV just attended medical emergency in Felixstowe and performed CPR and life support for 20 minutes until Ambu…,Ipswich ARV just attended medical emergency in Felixstowe and performed CPR and life support for 20 minutes until Ambulance arrived. Male revived and taken to hospital. #PHQARV @SuffolkPolice,Sat Aug 04 10:03:04 +0000 2018
MANIDEEP009,"#ElderlyCareMyKartavya
Find out about their power of attorney, [Write A Will | will], and health care proxy documents. These will sort out who can make medical decisions and financial decisions for your loved one if there is an emergency or they are incapacitated in some way.",,Sat Aug 04 10:03:03 +0000 2018
SBCFireDispatch,"7368 Hollister Av ,Goleta *Medical Emergency *34429906 -119884341 *FSBC180009920*ME211",,Sat Aug 04 10:00:52 +0000 2018
dan_avramescu,"@wizzair Hello Wizzair, a passanger that should have flown tomorrow is not able to do so because of a medical emergency. He is in unable to travel and I was asked by his wife to cancel their tickets. Where do I submit the claim? I have the medical papers.",,Sat Aug 04 10:00:15 +0000 2018
Rose_above_TT,@HollyStockport Well this is just stupid of them. What if you had a medical emergency? Hate people like this.,,Sat Aug 04 09:59:36 +0000 2018
steve151999,RT @ClatworthyJon: Another busy day; quick action by the crews both fighting the fire &amp; the medical emergency👍👍 https://t.co/8ddQeTQ3IN,Another busy day; quick action by the crews both fighting the fire &amp; the medical emergency👍👍 https://t.co/8ddQeTQ3IN,Sat Aug 04 09:57:53 +0000 2018
YounggKingg,"RT @husca: Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, becaus…","Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, because school officials believed that once women got married and had children they would be unable to fulfill their emergency shifts at hospitals. https://t.co/nYZbxOXWiG",Sat Aug 04 09:57:01 +0000 2018
janer98,RT @filmstvandlife: @snapper8 @billshortenmp condoms and sanitary products should both be free. all contraceptives &amp; birth control products…,@snapper8 @billshortenmp condoms and sanitary products should both be free. all contraceptives &amp; birth control products/medical procedures should be free worldwide. The is a climate emergency affecting food &amp; water supplies. wouldn't hurt to lower the population.,Sat Aug 04 09:56:55 +0000 2018
tusensolar,"RT @husca: Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, becaus…","Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, because school officials believed that once women got married and had children they would be unable to fulfill their emergency shifts at hospitals. https://t.co/nYZbxOXWiG",Sat Aug 04 09:55:20 +0000 2018
GouthamMandla,@vennelakishore kaka 14th floor ki reach ayyepatiki medical emergency kosam orange juice arrange chesukunnaraa 😂😂😂😂 you were amazing kaka 👌👌👌 #hilariousfun #ChiLaSow,,Sat Aug 04 09:53:59 +0000 2018
devilso,"RT @drugsdotie: #DoYouUseCocaine at festivals? Know the location of the medical tent or
where to go in case of an emergency. It could be di…","#DoYouUseCocaine at festivals? Know the location of the medical tent or
where to go in case of an emergency. It could be difficult to get help in secluded areas. Take breaks from dancing, eat well and remember to stay hydrated. For #Harmreduction see https://t.co/q6HNVLbehT https://t.co/W4LVz5m3IS",Sat Aug 04 09:49:24 +0000 2018
Lacci,"RT @husca: Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, becaus…","Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, because school officials believed that once women got married and had children they would be unable to fulfill their emergency shifts at hospitals. https://t.co/nYZbxOXWiG",Sat Aug 04 09:40:33 +0000 2018
hyegoiste,"RT @husca: Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, becaus…","Mindblowing: Since 2011, Tokyo Medical University has doctored the test scores of female applicants to admit fewer women, because school officials believed that once women got married and had children they would be unable to fulfill their emergency shifts at hospitals. https://t.co/nYZbxOXWiG",Sat Aug 04 09:39:32 +0000 2018
occucon,Ongoing conference on Emergency Medical Services  by #AEOHD. @ICOHBuzz #EMSD https://t.co/NGbpMlNB3Z,,Sat Aug 04 09:39:24 +0000 2018
