h0ssamh,"Zahara Taleb watches an unexploded bomb being removed from her father’s farmland 
#Stop_Bombing_Yemenis
#مجازر_مستشفى_وميناء_الحديدة
#اليمن #Yemen https://t.co/0pkY04LVhT",,Sat Aug 04 08:39:51 +0000 2018
RexBrynen,RT @WestApproaches: This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/cr…,This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/crPBURLQlz,Sat Aug 04 03:57:53 +0000 2018
Haywardito,"RT @RobMealey: This is why I'm having a super lazy Friday and actually online instead of doing the tourist thing this AM - no trains, etc i…","This is why I'm having a super lazy Friday and actually online instead of doing the tourist thing this AM - no trains, etc in/out of Potsdam while they dispose an unexploded WW2 bomb. #weltkriegsbombe #summervacation https://t.co/rSchAc4nuv",Sat Aug 04 03:09:48 +0000 2018
therealgregjack,Quick peak at FB like it holds a possible unexploded bomb in childcare requests from oldest son.All safe so far.Just one son to get from writer's school and the day may be ours.,,Fri Aug 03 23:09:53 +0000 2018
jimbo38,RT @WestApproaches: This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/cr…,This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/crPBURLQlz,Fri Aug 03 19:32:17 +0000 2018
ksbrooker,RT @WestApproaches: This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/cr…,This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/crPBURLQlz,Fri Aug 03 14:33:30 +0000 2018
CarolineMCook1,RT @WestApproaches: This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/cr…,This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/crPBURLQlz,Fri Aug 03 13:57:55 +0000 2018
LeeroyGB,RT @WestApproaches: This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/cr…,This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/crPBURLQlz,Fri Aug 03 13:39:40 +0000 2018
LarssssBe,RT @WestApproaches: This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/cr…,This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/crPBURLQlz,Fri Aug 03 13:32:32 +0000 2018
WestApproaches,This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/crPBURLQlz,,Fri Aug 03 13:31:54 +0000 2018
frisch_fish,"RT @RobMealey: This is why I'm having a super lazy Friday and actually online instead of doing the tourist thing this AM - no trains, etc i…","This is why I'm having a super lazy Friday and actually online instead of doing the tourist thing this AM - no trains, etc in/out of Potsdam while they dispose an unexploded WW2 bomb. #weltkriegsbombe #summervacation https://t.co/rSchAc4nuv",Fri Aug 03 12:46:19 +0000 2018
RobMealey,"This is why I'm having a super lazy Friday and actually online instead of doing the tourist thing this AM - no trains, etc in/out of Potsdam while they dispose an unexploded WW2 bomb. #weltkriegsbombe #summervacation https://t.co/rSchAc4nuv",,Fri Aug 03 08:12:38 +0000 2018
jaffergullam,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Fri Aug 03 05:52:45 +0000 2018
JeremySparkes,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Thu Aug 02 09:49:34 +0000 2018
stephenlloyd192,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Thu Aug 02 09:46:53 +0000 2018
lucyandamysdad,@Gargarin ...John Humphries approaching every science item like an unexploded bomb  - with a unique mixture of contempt and fear that he might look stupid.,,Thu Aug 02 09:45:05 +0000 2018
SBrusling,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Thu Aug 02 09:35:20 +0000 2018
IRgetsreal,"@profmusgrave Chechens did first bombing, FSB planted second unexploded bomb to “find” it and keep hysteria going but they got caught. So my Bayesian posterior is .10 that first bomb was FSB, .90 that second was FSB, Putin knew the latter and covered up.",,Thu Aug 02 09:34:24 +0000 2018
Anthea_Dickson,RT @GaryTrowsdale: Some people live with an unexploded bomb inside them right through childhood and well into their adult life before the f…,Some people live with an unexploded bomb inside them right through childhood and well into their adult life before the fuse is lit. Quite often though the bomb goes off much earlier... 💥 #ACEs #Trauma #BeingHuman #UnseenBruises #PublicHealthParadigm https://t.co/IjhGziFujp,Thu Aug 02 08:10:41 +0000 2018
ZeticaUXO,Unexploded Ordnance removed from the seafront at Lee-on-the-Solent by Royal Navy bomb squad https://t.co/tSz2dvCGvr #UXO #EOD @portsmouthnews https://t.co/wPQap637Yz,,Thu Aug 02 07:18:08 +0000 2018
ww1battlefields,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Thu Aug 02 06:40:12 +0000 2018
Airfix_Peter,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Thu Aug 02 05:56:08 +0000 2018
vikianuk,Navy removes unexploded bomb from Lee-on-the-Solent - The News https://t.co/hrcTwL9nJ6,,Thu Aug 02 02:07:16 +0000 2018
DomBoulais,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Thu Aug 02 01:31:51 +0000 2018
dpullen17,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Thu Aug 02 01:25:15 +0000 2018
SugarAndMusk,"RT @addisstandard: #Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left ove…","#Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left over anti-vehicle unexploded ordnance from the 1998 -2000 war. It's known that demining &amp; bomb disposal activities were hampered due to the no-peace no-war impasse https://t.co/yPhtfAmcYf",Wed Aug 01 23:29:45 +0000 2018
CraigHyde17,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Wed Aug 01 23:00:31 +0000 2018
markgall7,RT @GaryTrowsdale: Some people live with an unexploded bomb inside them right through childhood and well into their adult life before the f…,Some people live with an unexploded bomb inside them right through childhood and well into their adult life before the fuse is lit. Quite often though the bomb goes off much earlier... 💥 #ACEs #Trauma #BeingHuman #UnseenBruises #PublicHealthParadigm https://t.co/IjhGziFujp,Wed Aug 01 22:00:08 +0000 2018
DrJaneLS,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Wed Aug 01 21:50:23 +0000 2018
Omedla,"RT @addisstandard: #Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left ove…","#Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left over anti-vehicle unexploded ordnance from the 1998 -2000 war. It's known that demining &amp; bomb disposal activities were hampered due to the no-peace no-war impasse https://t.co/yPhtfAmcYf",Wed Aug 01 20:37:48 +0000 2018
forzaquattro77,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Wed Aug 01 19:46:46 +0000 2018
awalkthroughwar,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Wed Aug 01 19:43:35 +0000 2018
miniliksalsawi,"RT @addisstandard: #Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left ove…","#Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left over anti-vehicle unexploded ordnance from the 1998 -2000 war. It's known that demining &amp; bomb disposal activities were hampered due to the no-peace no-war impasse https://t.co/yPhtfAmcYf",Wed Aug 01 19:33:24 +0000 2018
DJVoisey,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Wed Aug 01 19:06:58 +0000 2018
CapeCodDaily,"""Bomb squad detonates ordnance brought ashore in Wellfleet"" WELLFLEET — A state bomb squad detonated an unexploded ordnance at the Wellfleet Transfer Station Tuesday after a fishing trawler brought the deteriorated explosive ashore, according to police a… https://t.co/QJacnaH6sC",,Wed Aug 01 19:03:48 +0000 2018
rmunro3,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Wed Aug 01 18:33:13 +0000 2018
AAAquaponics,"RT @addisstandard: #Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left ove…","#Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left over anti-vehicle unexploded ordnance from the 1998 -2000 war. It's known that demining &amp; bomb disposal activities were hampered due to the no-peace no-war impasse https://t.co/yPhtfAmcYf",Wed Aug 01 18:05:12 +0000 2018
tianjohnson,"RT @addisstandard: #Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left ove…","#Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left over anti-vehicle unexploded ordnance from the 1998 -2000 war. It's known that demining &amp; bomb disposal activities were hampered due to the no-peace no-war impasse https://t.co/yPhtfAmcYf",Wed Aug 01 17:38:11 +0000 2018
Trenchman1418,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Wed Aug 01 17:02:01 +0000 2018
Sharon_Bowen59,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Wed Aug 01 16:36:47 +0000 2018
