h0ssamh,"Zahara Taleb watches an unexploded bomb being removed from her father’s farmland 
#Stop_Bombing_Yemenis
#مجازر_مستشفى_وميناء_الحديدة
#اليمن #Yemen https://t.co/0pkY04LVhT",,Sat Aug 04 08:39:51 +0000 2018
RexBrynen,RT @WestApproaches: This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/cr…,This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/crPBURLQlz,Sat Aug 04 03:57:53 +0000 2018
Haywardito,"RT @RobMealey: This is why I'm having a super lazy Friday and actually online instead of doing the tourist thing this AM - no trains, etc i…","This is why I'm having a super lazy Friday and actually online instead of doing the tourist thing this AM - no trains, etc in/out of Potsdam while they dispose an unexploded WW2 bomb. #weltkriegsbombe #summervacation https://t.co/rSchAc4nuv",Sat Aug 04 03:09:48 +0000 2018
therealgregjack,Quick peak at FB like it holds a possible unexploded bomb in childcare requests from oldest son.All safe so far.Just one son to get from writer's school and the day may be ours.,,Fri Aug 03 23:09:53 +0000 2018
WestApproaches,This young lady very much enjoyed her visit today. A bit nervous around the unexploded bomb though..... https://t.co/crPBURLQlz,,Fri Aug 03 13:31:54 +0000 2018
RobMealey,"This is why I'm having a super lazy Friday and actually online instead of doing the tourist thing this AM - no trains, etc in/out of Potsdam while they dispose an unexploded WW2 bomb. #weltkriegsbombe #summervacation https://t.co/rSchAc4nuv",,Fri Aug 03 08:12:38 +0000 2018
jaffergullam,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Fri Aug 03 05:52:45 +0000 2018
lucyandamysdad,@Gargarin ...John Humphries approaching every science item like an unexploded bomb  - with a unique mixture of contempt and fear that he might look stupid.,,Thu Aug 02 09:45:05 +0000 2018
IRgetsreal,"@profmusgrave Chechens did first bombing, FSB planted second unexploded bomb to “find” it and keep hysteria going but they got caught. So my Bayesian posterior is .10 that first bomb was FSB, .90 that second was FSB, Putin knew the latter and covered up.",,Thu Aug 02 09:34:24 +0000 2018
Anthea_Dickson,RT @GaryTrowsdale: Some people live with an unexploded bomb inside them right through childhood and well into their adult life before the f…,Some people live with an unexploded bomb inside them right through childhood and well into their adult life before the fuse is lit. Quite often though the bomb goes off much earlier... 💥 #ACEs #Trauma #BeingHuman #UnseenBruises #PublicHealthParadigm https://t.co/IjhGziFujp,Thu Aug 02 08:10:41 +0000 2018
ZeticaUXO,Unexploded Ordnance removed from the seafront at Lee-on-the-Solent by Royal Navy bomb squad https://t.co/tSz2dvCGvr #UXO #EOD @portsmouthnews https://t.co/wPQap637Yz,,Thu Aug 02 07:18:08 +0000 2018
vikianuk,Navy removes unexploded bomb from Lee-on-the-Solent - The News https://t.co/hrcTwL9nJ6,,Thu Aug 02 02:07:16 +0000 2018
SugarAndMusk,"RT @addisstandard: #Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left ove…","#Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left over anti-vehicle unexploded ordnance from the 1998 -2000 war. It's known that demining &amp; bomb disposal activities were hampered due to the no-peace no-war impasse https://t.co/yPhtfAmcYf",Wed Aug 01 23:29:45 +0000 2018
CapeCodDaily,"""Bomb squad detonates ordnance brought ashore in Wellfleet"" WELLFLEET — A state bomb squad detonated an unexploded ordnance at the Wellfleet Transfer Station Tuesday after a fishing trawler brought the deteriorated explosive ashore, according to police a… https://t.co/QJacnaH6sC",,Wed Aug 01 19:03:48 +0000 2018
aroundhampshire,Navy removes unexploded bomb from Lee-on-the-Solent: THE Royal Navy has removed an unexploded bomb discovered offshore at Lee-on-the-Solent – leaving the seafront safe for visitors.  https://t.co/7LKUfzqAkF https://t.co/XcpjUfM9bG,,Wed Aug 01 15:17:12 +0000 2018
hantsandsussex1,RT @PortsmthNewsHub: Navy removes unexploded bomb from Lee-on-the-Solent #Portsmouth https://t.co/NZw2lsig4u,Navy removes unexploded bomb from Lee-on-the-Solent #Portsmouth https://t.co/NZw2lsig4u,Wed Aug 01 15:13:26 +0000 2018
PortsmthNewsHub,Navy removes unexploded bomb from Lee-on-the-Solent #Portsmouth https://t.co/NZw2lsig4u,,Wed Aug 01 15:10:43 +0000 2018
hoxtonwanka,@barneyfarmer Let's just cut through all the wires in this unexploded bomb rather than slowly cutting one at a time like some sort of fairy. What can do wrong?,,Wed Aug 01 14:22:28 +0000 2018
CWGC,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,,Wed Aug 01 12:18:41 +0000 2018
cathbessant1,"RT @BBCRadioSolent: A device, being treated as a possible unexploded ordnance, has been found in the water at Lee-on-the-Solent.

The coast…","A device, being treated as a possible unexploded ordnance, has been found in the water at Lee-on-the-Solent.

The coastguard say the object was discovered yesterday evening by a member of the public launching a boat.

Bomb disposal experts will inspect the device this afternoon.",Wed Aug 01 12:07:26 +0000 2018
addisstandard,"#Ethiopia: Three children were killed near #Zalambessa, a town bordering #Ethiopia &amp; #Eritrea, as a result of a left over anti-vehicle unexploded ordnance from the 1998 -2000 war. It's known that demining &amp; bomb disposal activities were hampered due to the no-peace no-war impasse https://t.co/yPhtfAmcYf",,Wed Aug 01 11:31:39 +0000 2018
PatrickShrier,they found an unexploded bomb from this raid a few years ago when they started digging for the new elementary school on the US base now on Graf. https://t.co/Uh8OfYPYJl,,Wed Aug 01 10:34:47 +0000 2018
GlobalsNewsroom,"A possible unexploded bomb's been found in the water at Lee-on-the-Solent.
A bomb disposal team's going to inspect it today.@HeartSouthNews https://t.co/5dBMaPBmcF",,Wed Aug 01 08:45:00 +0000 2018
CapitalSCNews,"The beach at Lee-on-the-Solent has a cordon up after a suspected unexploded bomb was found.
A bomb disposal team will inspect it later. #CapitalReports https://t.co/yS77BPdnc4",,Wed Aug 01 08:21:01 +0000 2018
HeartSouthNews,"A possible unexploded bomb's been found in the water at Lee-on-the-Solent.
A bomb disposal team's going to inspect it today. #HeartNews https://t.co/hp61HUQyoT",,Wed Aug 01 08:19:57 +0000 2018
GaryTrowsdale,Some people live with an unexploded bomb inside them right through childhood and well into their adult life before the fuse is lit. Quite often though the bomb goes off much earlier... 💥 #ACEs #Trauma #BeingHuman #UnseenBruises #PublicHealthParadigm https://t.co/IjhGziFujp,,Wed Aug 01 08:03:12 +0000 2018
BBCRadioSolent,"A device, being treated as a possible unexploded ordnance, has been found in the water at Lee-on-the-Solent.

The coastguard say the object was discovered yesterday evening by a member of the public launching a boat.

Bomb disposal experts will inspect the device this afternoon.",,Wed Aug 01 07:43:58 +0000 2018
CapeCodDaily,"""Bomb squad called to Wellfleet after fishing vessel nets ordnance"" WELLFLEET – The Mass State Police bomb squad was called to Welflleet Tuesday evening after a fishing vessel caught an unexploded ordnance in their net and brought it into the pier. Wellf… https://t.co/UQcHJfNpgH",,Wed Aug 01 03:03:29 +0000 2018
PwyllDavydd,"That book is called ‘Gelignite Jack’ — a nickname for a civil defense unexploded bomb defuser during the war. He was killed on a bomb after the blitz on Exeter in 1942; later recovered, re-realized, in the old woman’s folktale.",,Tue Jul 31 17:39:15 +0000 2018
SHeleniak,"@randallbell Classic episodes last night, Neville’s tattoo and the unexploded bomb 👍🏻",,Tue Jul 31 09:43:09 +0000 2018
MustShareNews,The 15-cm bomb relic was situated near a British supply route back in WWII. https://t.co/yKt2hXTGJ7,,Tue Jul 31 03:20:06 +0000 2018
kimholdersmith,RT @DiKips: That's another unexploded bomb to hit 1950s born ...No notice about 6yr rise to SPA and no notice about ladies who were contrac…,"That's another unexploded bomb to hit 1950s born ...No notice about 6yr rise to SPA and no notice about ladies who were contracted out !
We have one scandal after another and no media coverage out there! https://t.co/wVo0XHHDvr",Mon Jul 30 21:03:41 +0000 2018
TerraMiaLM,"19,000 evacuated for detonation of two unexploded WW2 bombs https://t.co/pZeJqXOXIK",,Mon Jul 30 16:04:39 +0000 2018
nowfor3,"RT @TheLocalItaly: 19,000 evacuated for detonation of two unexploded WW2 bombs https://t.co/sfblhM03uI https://t.co/bfivrgJu4J","19,000 evacuated for detonation of two unexploded WW2 bombs https://t.co/sfblhM03uI https://t.co/bfivrgJu4J",Mon Jul 30 14:59:02 +0000 2018
bravehearttexas,"RT @Italy: 19,000 evacuated for detonation of two unexploded WW2 bombs https://t.co/f4an6uDgS1 https://t.co/KqqLOdY3QU","19,000 evacuated for detonation of two unexploded WW2 bombs https://t.co/f4an6uDgS1 https://t.co/KqqLOdY3QU",Mon Jul 30 14:39:15 +0000 2018
TheLocalItaly,"19,000 evacuated for detonation of two unexploded WW2 bombs https://t.co/sfblhM03uI https://t.co/bfivrgJu4J",,Mon Jul 30 14:39:05 +0000 2018
Italy,"19,000 evacuated for detonation of two unexploded WW2 bombs https://t.co/f4an6uDgS1 https://t.co/KqqLOdY3QU",,Mon Jul 30 14:37:05 +0000 2018
matthewbyrne1,@danieljohnsalt @patrikakis Target 2 is the unexploded bomb in the Eurozone. When the German fully realise the implications there will be political turmoil.,,Mon Jul 30 10:48:14 +0000 2018
FoxyHoppy,@goodreads The email arrives in my inbox like an unexploded bomb:Marie Weston wants to be friends on Facebook.,,Mon Jul 30 08:17:09 +0000 2018
Ayub899,I liked a @YouTube video https://t.co/IKgtYK7hKh WWII bomb: Unexploded bomb that could destroy an entire block defused in Frankfurt -,,Sun Jul 29 20:02:08 +0000 2018
ladiesgun,"RT @blackseraphim2: @AKelticgirl2 @ladiesgun ""Anti-Trump anger is an unexploded bomb, its volatility contained by anticipation of a huge De…","@AKelticgirl2 @ladiesgun ""Anti-Trump anger is an unexploded bomb, its volatility contained by anticipation of a huge Democratic wave in November [but what] if...""",Sun Jul 29 15:33:57 +0000 2018
DiKips,"That's another unexploded bomb to hit 1950s born ...No notice about 6yr rise to SPA and no notice about ladies who were contracted out !
We have one scandal after another and no media coverage out there! https://t.co/wVo0XHHDvr",,Sun Jul 29 14:06:46 +0000 2018
blackseraphim2,"@AKelticgirl2 @ladiesgun ""Anti-Trump anger is an unexploded bomb, its volatility contained by anticipation of a huge Democratic wave in November [but what] if...""",,Sun Jul 29 13:26:29 +0000 2018
GenTree74,RT @Kent_999s: RECULVER: Unconfirmed report of two incidents in Reculver near Herne Bay this morning. A body was reportedly found on one pa…,"RECULVER: Unconfirmed report of two incidents in Reculver near Herne Bay this morning. A body was reportedly found on one part of the beach and a possible unexploded bomb was found on another part, close by, off Reculver Lane, apparently near Reculver caravan park.",Sun Jul 29 12:31:47 +0000 2018
davidzinn54,"RT @TrueScotland: #Balmedie #Beach, just north of #Aberdeen, was a designated 'bomb graveyard in #WWII - with its expansive sandy beach, it…","#Balmedie #Beach, just north of #Aberdeen, was a designated 'bomb graveyard in #WWII - with its expansive sandy beach, it was perfect for detonating unexploded bombs without worrying about anyone getting in the way! Pillar boxes such as this one can still be found in the dunes. https://t.co/UDgb0BOXu7",Sun Jul 29 08:02:11 +0000 2018
TrueScotland,"#Balmedie #Beach, just north of #Aberdeen, was a designated 'bomb graveyard in #WWII - with its expansive sandy beach, it was perfect for detonating unexploded bombs without worrying about anyone getting in the way! Pillar boxes such as this one can still be found in the dunes. https://t.co/UDgb0BOXu7",,Sun Jul 29 06:00:36 +0000 2018
SteveGrant67,RT @akefford: Lt Cdr Brian Dutton - who removed an unexploded bomb from HMS Argonaut during the Falklands War - my Times obituary https://t…,Lt Cdr Brian Dutton - who removed an unexploded bomb from HMS Argonaut during the Falklands War - my Times obituary https://t.co/gLDBIv7pEK,Sun Jul 29 00:01:42 +0000 2018
GSH6511,RT @Memory_Project: An unexploded American mortar bomb embedded in a cedar tree. September 1953. https://t.co/gDtCrewxg8 https://t.co/YHfgL…,An unexploded American mortar bomb embedded in a cedar tree. September 1953. https://t.co/gDtCrewxg8 https://t.co/YHfgLDXQK8,Sat Jul 28 15:31:16 +0000 2018
Kent_999s,"RECULVER: Unconfirmed report of two incidents in Reculver near Herne Bay this morning. A body was reportedly found on one part of the beach and a possible unexploded bomb was found on another part, close by, off Reculver Lane, apparently near Reculver caravan park.",,Sat Jul 28 14:36:23 +0000 2018
Memory_Project,An unexploded American mortar bomb embedded in a cedar tree. September 1953. https://t.co/gDtCrewxg8 https://t.co/YHfgLDXQK8,,Sat Jul 28 13:15:08 +0000 2018
keannka,This is at my regular beach. UXO stands for.......... unexploded ordinance. AKA a bomb that the military accidentally left behind. You cannot make this stuff up 🙈 https://t.co/cCwuKAcXPf,,Sat Jul 28 12:00:00 +0000 2018
MichaelJohnMcDa,"If I remember correctly, after about ten, all the cathedrals begin to look the same, Zaragoza has a cathedral with an unexploded bomb in the ceiling. Left over from the Spanish civil war. According to Chevy Chase Generalissimo Francisco Franco is still alive. LOL. Sounds fun. https://t.co/dDuJluP12u",,Sat Jul 28 00:16:15 +0000 2018
