AssertiveN,"@RandPaul @GlennJacobsTN So... @RandPaul is going to pay tribute at Putin’s feet (Kislyak) to “keep the lines of communication with Moscow open” - maybe you mean the pipeline of rubles to the @GOP now that flow through the NRA is shutting down. Burt, Simes, Behrends - your office is a Russian whorehouse.",,[3]
paddyknowsbest,"@eircare Thanks Peter, my point is that there is no communication method working at the moment. According to your website, your email is down, Your Chat service is not available and Your phone lines don’t connect - don’t even put me in a queue. I’m sure they’d help if I could reach them",,[3]
GrnConservatism,"RT @tan123: Bunker mentality: Embattled warmist Hayhoe closes down more lines of communication--""I’ve decided to unfollow those who follow…","Bunker mentality: Embattled warmist Hayhoe closes down more lines of communication--""I’ve decided to unfollow those who follow people I’ve had to block"" @revkin

Pretty soon Hayhoe can give up Twitter and just communicate with the world's ten most rabid warmists via group text? https://t.co/OxxmozXKiu",[3]
sukihd,RT @IndivisWstchr: .@IndivisWstchr @Nycd16Indivis @IndivisNewRoc welcomed a sit down w/ @NYGovCuomo tonight to discuss issues &amp; concerns. W…,.@IndivisWstchr @Nycd16Indivis @IndivisNewRoc welcomed a sit down w/ @NYGovCuomo tonight to discuss issues &amp; concerns. We established lines of communication and look forward to continued dialogue. Engagement w/ &amp; accountability of elected officials are core values of Indivisible. https://t.co/xgEcH6QmZY,[3]
bloggersatwork,"RT @RaleneB: #SocialMediaTips: 

Anger/frustration do not mix well with #socialmedia. Remember to take a step back before you post or reply…","#SocialMediaTips: 

Anger/frustration do not mix well with #socialmedia. Remember to take a step back before you post or reply. Minds are not changed by harsh words. In fact, that's the fastest way to shut down lines of communication.

#WednesdayWisdom https://t.co/x45baOiz2m",[3]
pb70mcr,"@Paulmorris39 @talkLATCH @k_vlar @JordanMCFC8481 @bradleyjames22 @NUFC_2001 @Journo_Slash Delayed response (work), was easy for Southgate to say take as long as you want, he knew he'd be straight back as it's the World Cup, reading between the lines it looks like all communication has broken down between AM and JM and they're both throwing their toys out of the pram",,[3]
RaleneB,"#SocialMediaTips: 

Anger/frustration do not mix well with #socialmedia. Remember to take a step back before you post or reply. Minds are not changed by harsh words. In fact, that's the fastest way to shut down lines of communication.

#WednesdayWisdom https://t.co/x45baOiz2m",,[3]
azuremohns,"@truth_357 @nowhitechalk @RawStory @realDonaldTrump This concept has become more and more difficult. When you are dealing with individuals that are deeply brainwashed, sometimes the frustration breaks you down. It’s lovely to see one such as yourself holding your conviction and keeping the lines of communication open.",,[3]
tan123,"Bunker mentality: Embattled warmist Hayhoe closes down more lines of communication--""I’ve decided to unfollow those who follow people I’ve had to block"" @revkin

Pretty soon Hayhoe can give up Twitter and just communicate with the world's ten most rabid warmists via group text? https://t.co/OxxmozXKiu",,[3]
RobertVosFrere,"@WertherGreene @AquaSolutionAFM @AVestige1 @Sbuttsie @billammo @LLaws2 @andrea_kisiner @BJSquirrel @SlaterJohnson5 @robinandriver @Cruellaisdevine @dadank1 @Cortini @cowboyneok @JamesHa98192447 @jrpull1 @SharpObserver @AntiGOPActivist @mccunecicki @unovana @OleHippieChick @thebigotbasher @jake_brum @oldmanliver @TheRealJTIII @SAredas @lauren_ten @sharonf1001 @Aprylsmithts @model_daughters @Lisa05188166 @BEyedWoman @kahir165 @rigel2020 @NallaVeda @SaneSophisticat @LilithsCave @TaggartRehnn @Maryc1850Sadler @r_berge @WeThePeople49 @zenjen53 @DPWIMM @DiXiEjO68 @DeViLhErSeLfIE @basicwhiteM0m @Cooter @Pacoluismonta9a @Bella_ofA @igypup9 Great question. Who has the most to gain? Go down he list. I don't think much is what we're told. I think ""they"" write plausible explanations and litter the lines of communication with confetti to obfuscate. As long as we don't know the truth, we'll never be effective w/change.",,[3]
