JudithParise,RT @Unfreakin: @realDonaldTrump @realdonaldtrump is in immediate need of psychiatric medical intervention.  The interview between @DonLemon…,@realDonaldTrump @realdonaldtrump is in immediate need of psychiatric medical intervention.  The interview between @DonLemon and @KingJames was all about children and had nothing to do with Orange Hair Man - which makes Trump's tweet even more unhinged and dangerous. Ohio vote for @dannyoconnor1,[3]
Unfreakin,@realDonaldTrump @realdonaldtrump is in immediate need of psychiatric medical intervention.  The interview between @DonLemon and @KingJames was all about children and had nothing to do with Orange Hair Man - which makes Trump's tweet even more unhinged and dangerous. Ohio vote for @dannyoconnor1,,[3]
MikaelaSkyeSays,@HawaiiDelilah Correction:  The Russians know racism and other forms of hate have always been European American's achilles heel and we need to deal with that psychiatric issue.,,[3]
dokuk3,@realDonaldTrump Donald Trump need psychiatric hospitalization now!,,[3]
_LOLcifer,"@VinAndSori @YouTube That confused young man, the neo-Nazi.. wow!  Poor guy, I wouldn't have had the patience you did.  Props!  I'm no doctor, but it sounds like he might need psychiatric help alongside your spiritual advice.",,[3]
TheDon263,"@MamoyoT @Wamagaisa Is it difficult for ED to tell Sibanda that the army should go back to the barracks? Insane.. these men are sharpened in violence and they should never have been in the army at all, they need psychiatric treatment. Sick men in possession of firearms!",,[3]
zackchapepa,RT @Choome_G: Huh? And uMike ungenaphi? This tweet is so stupid it's hilarious. No man I think you need to book into a psychiatric facility…,Huh? And uMike ungenaphi? This tweet is so stupid it's hilarious. No man I think you need to book into a psychiatric facility for your remaining years. You're not ok https://t.co/0aGcT2s9m4,[3]
halo_helen,RT @helpingthos: @morningmika appears to need psychiatric help!                               The Five on Mika Brzezinski's Trump Critiques…,"@morningmika appears to need psychiatric help!                               The Five on Mika Brzezinski's Trump Critiques: 'She Can't Discredit on Policy,' So She Criticizes 'Personality' https://t.co/UZZUptLNsc",[3]
helpingthos,"@morningmika appears to need psychiatric help!                               The Five on Mika Brzezinski's Trump Critiques: 'She Can't Discredit on Policy,' So She Criticizes 'Personality' https://t.co/UZZUptLNsc",,[3]
eric_schrank,"@_NMay @_marshallwatson Adolescents in psychiatric distress need to vent. I can usually de-escalate on scene just by listening and showing that I care. Meeting basic needs like food and drink, getting them to a quiet spot and letting them talk about their pain almost always helps.",,[3]
Jerry_Doshier,"@AMike4761 @rick2238 Pedophiles are child rapists. Their sickness is horrible. They prey on the weak and helpless in order to satisfy their demonic sex desires. 
They need psychiatric intervention and complete separation from children.
Pedophiles are not normal by any stretch of the imagination.",,[3]
Choome_G,Huh? And uMike ungenaphi? This tweet is so stupid it's hilarious. No man I think you need to book into a psychiatric facility for your remaining years. You're not ok https://t.co/0aGcT2s9m4,,[3]
JawunOverZo,"@FadeawayBryant For real, maybe we just need like a psychiatric evaluation on him, maybe his brain is just fried 😂",,[3]
karkatim7,Is there any republican who isn't totally lunatic and in need of psychiatric observation? https://t.co/acyXNVvsV6,,[3]
mc_rustyurq,@Judicaelle_ You may need psychiatric help.,,[3]
omoadesokan,"@babs_deejay @BimboOAKS @ItsUncleStephen And somebody will ask if you are OK or need a psychiatric Dr... 

Me: Am very OK. Its just that I trust only but a few people... I am one of those few...",,[3]
