mohtlona,"RT @ShtolaRhul: Because we will be a shelter to anyone who needs it. Specially now...

Pray support #theNewFacesOfHope. We are needed now m…","Because we will be a shelter to anyone who needs it. Specially now...

Pray support #theNewFacesOfHope. We are needed now more than ever. https://t.co/RNylgY5pNu",[3]
chronicbonbon,RT @thetrudz: I can’t relate to this “I can’t give my partner $20” conversation when I’ve sent more than that to people I know only online.…,"I can’t relate to this “I can’t give my partner $20” conversation when I’ve sent more than that to people I know only online. Who needed food, shelter, GRE funds, clothing, surgeries, project tools. Like wow imagine literally dating someone too stingy for $20.00. WOW.",[3]
kahgsgsh,I think there's merit in pursuing this not because we need to persuade people to warm up to homeless people in their communities (which is needed) but because homeless people deserve shelter that's designed thoughtfully and deliberately. https://t.co/LQiRDKIMiN,,[3]
TAYGREY31,"RT @Maree71439592: https://t.co/pffqCyriPm 
&lt;3 CLEAR &lt;3 
Gorgeous Sweet Soul 
Owner in Hospital 
 New Hope Rescue Needed 
Scared in Shelter…","https://t.co/pffqCyriPm 
&lt;3 CLEAR &lt;3 
Gorgeous Sweet Soul 
Owner in Hospital 
 New Hope Rescue Needed 
Scared in Shelter
Save This Precious Panther 
To Be Destroyed 8/4/18
Adopt/Foster/Pledge/RT!!!!
Killing at12PM EST #NYC 
Fostering is FREE&lt;
Vet Bills Paid&lt;
#TeamKittySOS https://t.co/nmJfL13tpE",[3]
MajorMassSpec,"RT @cobbkitties: ❤RESCUE AND PLEDGES NEEDED❤

*** from the shelter: unpredictable + neurologic in rear legs***

This is Kayla. This one yea…","❤RESCUE AND PLEDGES NEEDED❤

*** from the shelter: unpredictable + neurologic in rear legs***

This is Kayla. This one year old girl needs Rescue commitment and pledges. Please Share and Pledge for her.

ID 606767
Age 1 year 
Cage 704
In the shelter … https://t.co/wc9lFUqiJd https://t.co/823TQzySbQ",[3]
MisterSalesman,She said who was that girl in ur truck. What girl? U know don't play dumb. Why R u so insecure u know ur the only one. I saw her. Oh that girl I was at Mickey D's she came to my windw said her boyfriend kicked her out &amp; needed a place to stay I was takin her to a homeless shelter https://t.co/LPsMFzF3kN,,[3]
Ironyisfunny8,"@cky_barrios @GorillaOfSilver @joanna_jamerson @RandomPhysician @SenSanders 2 jobs you liked doing.... have you ever lived in a shelter trying to look for just ONE job? ANY job not one u enjoy? U think I wanted that life? You think I was doing 'what I needed to do?"" I knew a guy who went to DUKE university staying in that shelter.
Trained in ENGINEERING",,[3]
derzul,"RT @PascoUrgentDogs: EMERGENCY- COURTESY POST FOR RESPECTED RESCUE. [Tampa Bay, FL]

Maternity FOSTER needed for shelter pup. She is emacia…","EMERGENCY- COURTESY POST FOR RESPECTED RESCUE. [Tampa Bay, FL]

Maternity FOSTER needed for shelter pup. She is emaciated and has been in the shelter for a little bit. She needs out now to decompress and then... https://t.co/Oy0LTfFqko",[3]
rickbkylex,"RT @EmilySweckerTV: There’s a woman at the E.C. Glass shelter who needed to get to dialysis, didn’t have money for a cab, and a sergeant wi…","There’s a woman at the E.C. Glass shelter who needed to get to dialysis, didn’t have money for a cab, and a sergeant with the Lynchburg Sheriff’s Office just gave her money to cover the ride. He’s also been working for almost 24 hours. Don’t forget to thank your first responders. https://t.co/4Xv5xodjde",[3]
nanny505,"RT @cobbkitties: ❤RESCUE AND PLEDGES NEEDED❤

*** from the shelter: unpredictable + neurologic in rear legs***

This is Kayla. This one yea…","❤RESCUE AND PLEDGES NEEDED❤

*** from the shelter: unpredictable + neurologic in rear legs***

This is Kayla. This one year old girl needs Rescue commitment and pledges. Please Share and Pledge for her.

ID 606767
Age 1 year 
Cage 704
In the shelter … https://t.co/IimSxDkK14 https://t.co/7MXNpJsH6p",[3]
priyashmita,RT @sarvarta: A doctor posted newly to the town went to this shelter home then for a routine check and noted in his report to the authoriti…,"A doctor posted newly to the town went to this shelter home then for a routine check and noted in his report to the authorities that the inmates “were irritable and scared and they needed a family atmosphere”.
https://t.co/alHD2p9jSF",[3]
sarvarta,"A doctor posted newly to the town went to this shelter home then for a routine check and noted in his report to the authorities that the inmates “were irritable and scared and they needed a family atmosphere”.
https://t.co/alHD2p9jSF",,[3]
Smash4Sugar,RT @TheDakpo: The high point of my League of Legends experience was when there was a tornado and I told my teammates that I needed to afk f…,"The high point of my League of Legends experience was when there was a tornado and I told my teammates that I needed to afk from our non-ranked game because I had to find shelter. 

I was promptly reported by all teammates. Ahh, great times",[3]
naughtynursepdx,"RT @RedCrossCasc: #RedCross has opened an info center in The Dalles for people affected by the #SouthValleyFire. Anyone in need of food, wa…","#RedCross has opened an info center in The Dalles for people affected by the #SouthValleyFire. Anyone in need of food, water or info related to #wildfires in the area can just show up. The center is prepared to transition into an overnight shelter if needed. #oregon https://t.co/TYm3jzJnPM",[3]
LibertyValanc12,RT @austinpetsalive: How adorable is this guy? 💕😊 Rango needed to cool off during playgroup. Summers can be tough with the heat so we want…,How adorable is this guy? 💕😊 Rango needed to cool off during playgroup. Summers can be tough with the heat so we want to see more pups in homes and less seniors at our shelter. https://t.co/RWBpVtwhNa https://t.co/QvvwSfQYqc,[3]
HokageMuvva,@S_Standifer @JasleeneJ Is paying bills with that money not for the kids? Is it not where they stay? Their shelter? My mother used CS for both bills and other necessities I may have needed. It helped US a lot.,,[3]
april_sprenger,"@fordnation We have bigger problems than the price of beer! Simple if you can’t afford something - don’t buy it. Last I checked beer was not on the list of things needed for survival! Try clean air to breathe, safe water to drink, affordable shelter and affordable food.",,[3]
mohmlet,"RT @sesmith: This is the heartbreaking thing about being an open admission shelter: You take everyone, a much-needed public service, but al…","This is the heartbreaking thing about being an open admission shelter: You take everyone, a much-needed public service, but also, you run out of room. Support your local open admission shelter and the rescues who pull from it, and let’s find some LA pals some homes this weekend! https://t.co/cofi92kGXm",[3]
CarmenLegarda,"More than half of homeless families in England are in work, figures show | The Independent @TheresaMayPM @SadiqKhan Statistics on employment do not reflect our people's true economic status. Employment is not lifting us out of poverty. Govt action needed. https://t.co/YINECmBC8k",,[3]
RecyclingForAll,"RT @ShelterAnimals1: TRANSPORT NEEDED .. PLEASE POST ON PAGE AND LET JO BRENDEL KNOW IF YOU CAN HELP 8-2  1:30PM (GARLAND SHELTER TO PARIS,…","TRANSPORT NEEDED .. PLEASE POST ON PAGE AND LET JO BRENDEL KNOW IF YOU CAN HELP 8-2  1:30PM (GARLAND SHELTER TO PARIS, TX!) https://t.co/CajloJ6F8r",[3]
RecyclingForAll,"RT @HarborShelter: *Coachella,  Ca ~ PLEDGES/RESCUE DESPERATELY NEEDED!!! BEEN IN SHELTER OVER A MONTH!! 
Just a 7 month old puppy...and he…","*Coachella,  Ca ~ PLEDGES/RESCUE DESPERATELY NEEDED!!! BEEN IN SHELTER OVER A MONTH!! 
Just a 7 month old puppy...and he is gorgeous!!!

AUGUST - ID #A1448061 (AVAIL 6/26)
I am a male, black and... https://t.co/wOHsuQr3FW",[3]
WinglessBird_,"RT @RDR_NYC: 🚨🆘🚨DONATIONS DESPERATELY NEEDED FOR SHAWNA🚨🆘🚨

Just in ....Dear God!!
This poor baby! 😥😡 We are literally sick over her!!!! Sh…","🚨🆘🚨DONATIONS DESPERATELY NEEDED FOR SHAWNA🚨🆘🚨

Just in ....Dear God!!
This poor baby! 😥😡 We are literally sick over her!!!! She came into a GA kill shelter with a badly broken jaw &amp; it &amp;… https://t.co/ThRhQcsrr3",[3]
wereallcatshere,"RT @helping_meowt: READ FULL STORY HERE: https://t.co/gwY4KS6c0I 💸💸 DONATIONS NEEDED 💸💸 Regrann from @krazykittens802 -  As promised, meet…","READ FULL STORY HERE: https://t.co/gwY4KS6c0I 💸💸 DONATIONS NEEDED 💸💸 Regrann from @krazykittens802 -  As promised, meet Tiger! This little girl has been pulled from a shelter In Texas. She would have otherwise been euthenized.  She's in a *very temporary* foster placement u… https://t.co/eGmRptv2bQ",[3]
wereallcatshere,RT @helping_meowt: READ FULL STORY HERE: https://t.co/xNwF8Xusfv 📦📦 SUPPLIES NEEDED 📦📦 Regrann from @sims.foster.family -  Today we went to…,"READ FULL STORY HERE: https://t.co/xNwF8Xusfv 📦📦 SUPPLIES NEEDED 📦📦 Regrann from @sims.foster.family -  Today we went to volunteer at our organization’s second location. They are INCREDIBLY understaffed and undersupplied, and need tons and tons of help. The shelter is extre… https://t.co/Fpxndrpqgt",[3]
KIEMNews,"The Humboldt County Animal shelter has reduced adoption rates because their kennels are filled to capacity. Should evacuees need to come to Humboldt County, some space (and staff resources) will be needed, so every adoption makes a difference. https://t.co/Jfa1Am7IwE",,[3]
KIEMNews,"The Humboldt County Animal shelter has reduced adoption rates because their kennels are filled to capacity. Should evacuees need to come to Humboldt County, some space (and staff resources) will be needed, so every adoption makes a difference. https://t.co/5f5Rla8yXZ",,[3]
mus_sis,"RT @Alinaamtrust1: Here is a shallow tube well, where Rohingya refugee families live in the shelter village. This water is desperately need…","Here is a shallow tube well, where Rohingya refugee families live in the shelter village. This water is desperately needed during the monsoon season where these villages are flooded with contaminated and unsafe water. Help today! #servinghumanity https://t.co/EoA3KiRuJt",[3]
KimberlyFolger1,"RT @SSRRrescue: Foster STILL NEEDED for Tucker!!!

Tucker is a young (1-2 yr. old) male Rottweiler weighing about 70 pounds. He was rescued…","Foster STILL NEEDED for Tucker!!!

Tucker is a young (1-2 yr. old) male Rottweiler weighing about 70 pounds. He was rescued from the Tri Cities Animal Shelter in Cedar Hill, TX. 

Tucker was... https://t.co/XHkL1JdvrB",[3]
Maree71439592,"https://t.co/pffqCyriPm 
&lt;3 CLEAR &lt;3 
Gorgeous Sweet Soul 
Owner in Hospital 
 New Hope Rescue Needed 
Scared in Shelter
Save This Precious Panther 
To Be Destroyed 8/4/18
Adopt/Foster/Pledge/RT!!!!
Killing at12PM EST #NYC 
Fostering is FREE&lt;
Vet Bills Paid&lt;
#TeamKittySOS https://t.co/nmJfL13tpE",,[3]
ChaliceGarden,"@PhabulosVintage @PetSmart @PetSmartChariTs @Petco @TractorSupply Please check out this link under 'pet shelter,' 'pet supplies' 'donations needed' - someone there will likely be able to help: https://t.co/zHMfggj51n",,[3]
