SaltCreekCasino,You still have time to help us flood the station! 💦 We're collected bottled water for our local firefighters and we need your help. Bring in a packaged case of 24 or more water bottles and we'll give you $5 in Bonus Play! https://t.co/AY7AzzidEu,,Sat Aug 25 21:05:03 +0000 2018
NewsStoryIndia,Tamil Nadu Government Sends 1 Lakh Litres Of Water To Flood-Hit Kerala: Tamil Nadu government today dispatched one lakh litres of 'Amma' brand of bottled drinking water to flood-hit Kerala. https://t.co/Av0FGFMRxU https://t.co/nd4LgLvksV,,Sat Aug 25 17:02:38 +0000 2018
UKAkshayaPatra,"With over 400 deaths and 1 million people displaced, the people of #Kerala and #Karnataka need urgent help. Akshaya Patra has been working tirelessly for the past week providing cooked meals and bottled water to #survivors. Please donate generously at: https://t.co/wSpqmx2pxr https://t.co/riy47fPLXQ",,Fri Aug 24 13:38:34 +0000 2018
JoanVeldkamp,RT @GFACA: GFA-supported workers taking clean drinking water and supplies by boat to those in need in Kerala. You too can help provide bott…,"GFA-supported workers taking clean drinking water and supplies by boat to those in need in Kerala. You too can help provide bottled water, medicine, food, blankets, tarps:  https://t.co/q75JNOHtOl

#KeralaFloodRelief #cleanwater #CanadaCanHelp https://t.co/Pzy2Zo0oai",Thu Aug 23 00:47:30 +0000 2018
GFACA,"GFA-supported workers taking clean drinking water and supplies by boat to those in need in Kerala. You too can help provide bottled water, medicine, food, blankets, tarps:  https://t.co/q75JNOHtOl

#KeralaFloodRelief #cleanwater #CanadaCanHelp https://t.co/Pzy2Zo0oai",,Wed Aug 22 18:58:09 +0000 2018
toter666,"RT @shaswatidas: In #Kerala’s Chengannur, rice, milk powder, bottled water and other essential products to be distributed in flood affected…","In #Kerala’s Chengannur, rice, milk powder, bottled water and other essential products to be distributed in flood affected areas as part of relief and rehabilitation work. @NDRFHQ @livemint https://t.co/yMo4J323gG",Wed Aug 22 18:47:20 +0000 2018
shaswatidas,"In #Kerala’s Chengannur, rice, milk powder, bottled water and other essential products to be distributed in flood affected areas as part of relief and rehabilitation work. @NDRFHQ @livemint https://t.co/yMo4J323gG",,Wed Aug 22 04:30:16 +0000 2018
360_Flood_Solut,"RT @SUEZwaterNJ: #Hoboken More bottled water provided in lobby of 70 Adams for affected residents, and SUEZ' water tanker truck is parked n…","#Hoboken More bottled water provided in lobby of 70 Adams for affected residents, and SUEZ' water tanker truck is parked nearby for affected residents to fill their containers with water.",Tue Aug 21 19:35:02 +0000 2018
davis_dsa,"With the blessings of our M.P. Smt.@poonam_mahajan I Dominic D'Sa Vice-President BJP Kalina Vidhan Sabha met the committee of Santacruz Malyalee Samajam and offered to donate 700 crates I.e 8,400 litres of Drinking bottled water  to the Kerala flood affected victims. https://t.co/Iw4y5Aeg5Q",,Mon Aug 20 08:02:57 +0000 2018
brainfeedmagazn,"On the night of August 19, the ship carried about 70 tonnes of relief material which includes bottled water, ready to eat meals, fresh ration, milk, biscuits and other miscellaneous.https://t.co/v5Rsh2Vphy https://t.co/4rk6ZoMM58",,Mon Aug 20 07:23:46 +0000 2018
diginewndiaassu,"RT @NewIndAssurance: As Flood recede, drinking Protected and Safe Drinking Water will avoid water borne diseases. Social Neighbourhoods can…","As Flood recede, drinking Protected and Safe Drinking Water will avoid water borne diseases. Social Neighbourhoods can provide the boiled water or certified bottled water to the needy. https://t.co/LsmDhNmWHp",Sun Aug 19 18:51:33 +0000 2018
NewIndAssurance,"As Flood recede, drinking Protected and Safe Drinking Water will avoid water borne diseases. Social Neighbourhoods can provide the boiled water or certified bottled water to the needy. https://t.co/LsmDhNmWHp",,Sun Aug 19 04:07:01 +0000 2018
ioPrakash,RT @TOIPune: Shri Saibaba Sansthan Trust Shirdi (SSST) has decided to provide packaged food and bottled water to flood-affected people in K…,"Shri Saibaba Sansthan Trust Shirdi (SSST) has decided to provide packaged food and bottled water to flood-affected people in Kerala. After receiving state government’s nod, the trust will donate a significant amount to the Kerala CM relief fund.",Sat Aug 18 13:51:41 +0000 2018
TOIPune,"Shri Saibaba Sansthan Trust Shirdi (SSST) has decided to provide packaged food and bottled water to flood-affected people in Kerala. After receiving state government’s nod, the trust will donate a significant amount to the Kerala CM relief fund.",,Sat Aug 18 11:08:00 +0000 2018
