dgeneral2,"RT @redforcecricket: Dear Red Force Family,

We hope that you and your loved ones are safe after the earthquake. Please be vigilant in case…","Dear Red Force Family,

We hope that you and your loved ones are safe after the earthquake. Please be vigilant in case of an aftershock and take the necessary safety precautions.

Red Force Cricket",Wed Aug 22 10:28:31 +0000 2018
MacfarlaneWill,⚠️⚠️⚠️WARNING.. CALIFORNIA PEOPLE PLEASE TAKE ACTION NOW!! 6.3MAG EARTHQUAKE OFF COAST OF OREGAN USA⚠️ FOLLOW LINK FOR LIVE STREAM Watch DutchsinseOfficial with me on Twitch! https://t.co/F8RTJaOzNj,,Wed Aug 22 09:47:25 +0000 2018
redforcecricket,"Dear Red Force Family,

We hope that you and your loved ones are safe after the earthquake. Please be vigilant in case of an aftershock and take the necessary safety precautions.

Red Force Cricket",,Wed Aug 22 01:07:55 +0000 2018
flymeaway5,I hope everyone in Trinidad is safe right now. The magnitude of the earthquake was really high it was so long and scary. Please take precautions.,,Wed Aug 22 00:54:08 +0000 2018
shaqsta2011,"Once their is a earthquake anywhere it means that God is trying to tell us something, please take warning and listen to the voice of God",,Tue Aug 21 22:58:51 +0000 2018
coexistence_1,Please be on the lookout for aftershocks. In the event of an earthquake go under the door frame  or sturdy table. Cover your head and hold on. Do not let the shaking scare you to run outside. Take the necessary precautions and be safe. https://t.co/wgpOWByLWd,,Tue Aug 21 21:46:16 +0000 2018
aju000,"@LegalKant @CMOKerala @TheKeralaPolice @keralapolice Please take strict action against this handle for spreading misinformation and requesting funds to sevabharati, which is part of an organisation which was reported of misusing Guj earthquake relief fund to finance riots.",,Mon Aug 20 16:34:15 +0000 2018
Eralesse,"Please take a look. Dutch is very accurate in his forecasts and provides warnings when necessary. There was a very large, uncommon #earthquake yesterday that could lead to even larger events affecting a lot of people. Be informed and pass it on. Thanks!

#SundayMorning https://t.co/eeqkuuGE7G",,Sun Aug 19 11:43:20 +0000 2018
JOYZARENA,"@hardikpandya7 Ooh bhai.. we non cricketer Indians will take care of everything like how we did in guj earthquake, TN flood, Uttarakhand flood etc. But we can't play cricket. So please go ahead, train hard and make ur proud.",,Fri Aug 17 11:28:56 +0000 2018
Ar_Ri_Po,"I explained to my son what an #earthquake and he looks at me and says :Mom we and the house about to crash.. 
Somebody come take him please, I don’t need this negativity in my life",,Wed Aug 15 01:57:50 +0000 2018
Kathy_Krempasky,"@Jack_Septic_Eye Sean, please take care in regard to the fault-line. California is under a whole state stress watch for earthquakes right now. :/ https://t.co/0NXQNvnYmM",,Mon Aug 13 21:12:54 +0000 2018
Ham_Tx,RT @SAR_News: Indonesian amateurs using IO-86 for earthquake ecomm: As Radio Amateurs in Indonesia respond for the second time to an Earthq…,"Indonesian amateurs using IO-86 for earthquake ecomm: As Radio Amateurs in Indonesia respond for the second time to an Earthquake in the Lombok area, please take care to avoid causing QRM to their activities on 7.110MHz and emergency activities on… https://t.co/AEE5HJmpcB",Mon Aug 13 08:47:40 +0000 2018
SAR_News,"Indonesian amateurs using IO-86 for earthquake ecomm: As Radio Amateurs in Indonesia respond for the second time to an Earthquake in the Lombok area, please take care to avoid causing QRM to their activities on 7.110MHz and emergency activities on… https://t.co/AEE5HJmpcB",,Mon Aug 13 08:47:04 +0000 2018
ricvenero64,"To anyone in the Northern Alaskan Earthquake zone. Please take a holiday down South. The number of quakes you're experiencing right now in a place away from fault lines, and with so many powerful shallow quakes, is very unusual and not worth risking!!",,Mon Aug 13 05:55:10 +0000 2018
Jeff47401,"Indonesian Amateurs Using IO-86 for Earthquake Ecomm

As Radio Amateurs in Indonesia respond for the second time to an Earthquake in the Lombok area, please take care to avoid causing interference to their... https://t.co/EqaoNIUoRv",,Mon Aug 13 02:09:36 +0000 2018
tbuc,RT @dominik_johnson: on the day of the earthquake in lombok we've planed to arrive at gili trawangan island: https://t.co/PXuBcUPT2Y take a…,on the day of the earthquake in lombok we've planed to arrive at gili trawangan island: https://t.co/PXuBcUPT2Y take a look what has happened and please donate every single euro or dollar counts! #GiliStrong #PrayForLombok #SaveGiliIslands #ScubaDiving #ScubaDiversUnite cc. @PADI,Sun Aug 12 17:39:26 +0000 2018
dominik_johnson,on the day of the earthquake in lombok we've planed to arrive at gili trawangan island: https://t.co/PXuBcUPT2Y take a look what has happened and please donate every single euro or dollar counts! #GiliStrong #PrayForLombok #SaveGiliIslands #ScubaDiving #ScubaDiversUnite cc. @PADI,,Sun Aug 12 15:59:18 +0000 2018
HydeTeri,@LauraJCaro @FatGayVegan Laura I must have answered the wrong tweet my tweet about the earthquake was supposed to be on the tweet that said you were in Lombak. Its very smoky here right now just as well you are away enjoying Australia. 😊,,Tue Aug 21 02:20:37 +0000 2018
superjuarez93_,"RT @shaigle: 2 dead, more than 240 injured in Iran earthquake
#World #News #Iran #earthquake
 https://t.co/MquWXVE36p https://t.co/t0DO0r2a61",,Sun Aug 26 09:23:19 +0000 2018
shaigle,"2 dead, more than 240 injured in Iran earthquake
#World #News #Iran #earthquake
 https://t.co/LZsoe8WIsZ https://t.co/0OPEVHW8XN",,Sun Aug 26 09:08:48 +0000 2018
muchene_,"Indonesian earthquake death toll reaches 555

***
Latest News Updates",,Sat Aug 25 11:50:01 +0000 2018
dmckinney218,https://t.co/pVjT6oOeKS,,Fri Aug 24 12:50:28 +0000 2018
walta1237,"Papua New Guinea earthquake: 5.8 quake strikes Ring of Fire | World | News | https://t.co/A7jC5H0RfP https://t.co/Xc63Xmsfw5
The quake struck 81 km from... https://t.co/Xc63Xmsfw5",,Thu Aug 23 23:08:37 +0000 2018
walta1237,"Papua New Guinea earthquake: 5.8 quake strikes Ring of Fire | World | News | https://t.co/A7jC5His7n https://t.co/Xc63XmJQnD
The quake struck 81 km from Panguna in Papua New Guinea.",,Thu Aug 23 23:08:35 +0000 2018
geocosmo_news,Lombok earthquake update: Where have quakes struck Indonesia in last 24 hours - MAPPED: https://t.co/MTHTp0On6r,,Thu Aug 23 18:45:36 +0000 2018
Samirgoradia1,"RT @muchene_: Panic as Venezuela hit by 7.3 magnitude earthquake

***
Latest News Updates","Panic as Venezuela hit by 7.3 magnitude earthquake

***
Latest News Updates",Thu Aug 23 18:36:32 +0000 2018
nitin_bathla,Torre David collapses after 7.3 magnitude earthquake in Venezuela. https://t.co/4hKbeDsLJB,,Thu Aug 23 09:26:47 +0000 2018
Rosemary913,#PapuaNewGuinea #earthquake: 5.8 quake strikes Ring of Fire  https://t.co/uqRc8evLKY,,Wed Aug 22 23:10:46 +0000 2018
EcoSurfer,Papua New Guinea earthquake: 5.8 quake strikes Ring of Fire - https://t.co/xYHfrtP28W https://t.co/iLdgnrMftE via @GoogleNews,,Wed Aug 22 22:16:00 +0000 2018
Theophany1,Papua New Guinea earthquake: 5.8 quake strikes Ring of Fire - https://t.co/Of3mRLbBUg https://t.co/9lnh77BK0J https://t.co/xNIHmyBNwx,,Wed Aug 22 20:32:08 +0000 2018
muchene_,"Panic as Venezuela hit by 7.3 magnitude earthquake

***
Latest News Updates",,Wed Aug 22 20:10:01 +0000 2018
geocosmo_news,Papua New Guinea earthquake: 5.8 quake strikes Ring of Fire: https://t.co/1oH9lSwWw7,,Wed Aug 22 20:07:05 +0000 2018
pngpolitics,Papua New Guinea earthquake: 5.8 quake strikes Ring of Fire - https://t.co/7CkzrjjXfd https://t.co/jXzxKGUZ3a https://t.co/Plw5fne22b,,Wed Aug 22 19:45:06 +0000 2018
craig_wickins,https://t.co/mGvCCaxNr6,,Wed Aug 22 19:37:53 +0000 2018
RaiderCL,Venezuela earthquake: Huge 7.3 earthquake strikes northern coast. https://t.co/F5vvdIAMh7,,Wed Aug 22 18:07:58 +0000 2018
Melodys_Musings,Watch the video below for the latest global earthquake status report from Dutchsinse. He also broadcasts live stream updates (as events happen during the day and a daily summary at 10 PM nightly). Check out his weekly forecasts on Sunday evenings. Lots of activity this week. https://t.co/bRUk6XOojb,,Wed Aug 22 17:40:35 +0000 2018
AngelicFusion,Venezuela earthquake: Huge 7.3 earthquake strikes northern coast - thousands 'terrified' https://t.co/U6rl2Ipy5o,,Wed Aug 22 17:37:42 +0000 2018
G4MMA,#Warning Dena Mary god herself said what will it take before world America hires ET godspeaks1958 46 American president For leadership ore else global  catastrophic disasters  who’s family members will be next in global catastrophic disasters  https://t.co/S3yiRCJz6s #ITRTG #sc…,,Wed Aug 22 16:29:52 +0000 2018
JoabeGomes7,#Warning Dena Mary god herself said what will it take before world America hires ET godspeaks1958 46 American president For leadership ore else global  catastrophic disasters  who’s family members will be next in global catastrophic disasters  https://t.co/ehavDljNty #ITRTG #scic,,Wed Aug 22 16:26:26 +0000 2018
AALTAMI33518104,https://t.co/lAvCNH7Ro1,,Wed Aug 22 16:17:46 +0000 2018
RF_Jenkins,RT @DisaWorldNews: Lombok earthquake update: Where have quakes struck Indonesia in last 24 hours - MAPPED #Earthquake https://t.co/4GuBP8q7…,Lombok earthquake update: Where have quakes struck Indonesia in last 24 hours - MAPPED #Earthquake https://t.co/4GuBP8q7VR,Wed Aug 22 15:54:35 +0000 2018
