greymentalist,RT @EnvAgencyYNE: We are moving our temporary traffic lights to a new area near Caldene Bridge tmrw for around 6 months whilst we carry out…,"We are moving our temporary traffic lights to a new area near Caldene Bridge tmrw for around 6 months whilst we carry out works #MytholmroydFAS - please take extra care, look out for our signs &amp; use the new pedestrian crossing to be safe https://t.co/zHIez0ZiA8 @Calderdale @VBAJV https://t.co/BxMaefKbXt",Wed Aug 22 12:20:12 +0000 2018
Ashu89564701,@TowardsLiberti @Bhola_Bajrangi_ @devthetaurus @vinay_mauji @Manuarora66991 @BuzzInBengaluru @CMofKarnataka @hd_kumaraswamy Anyways! I hope that situations in kerala are better now! Please take care as there's high risk of diseases in post flood times.,,Wed Aug 22 12:18:22 +0000 2018
birminghamb6,RT @EnvAgencyYNE: We are moving our temporary traffic lights to a new area near Caldene Bridge tmrw for around 6 months whilst we carry out…,"We are moving our temporary traffic lights to a new area near Caldene Bridge tmrw for around 6 months whilst we carry out works #MytholmroydFAS - please take extra care, look out for our signs &amp; use the new pedestrian crossing to be safe https://t.co/zHIez0ZiA8 @Calderdale @VBAJV https://t.co/BxMaefKbXt",Wed Aug 22 11:42:30 +0000 2018
Calderdale,RT @EnvAgencyYNE: We are moving our temporary traffic lights to a new area near Caldene Bridge tmrw for around 6 months whilst we carry out…,"We are moving our temporary traffic lights to a new area near Caldene Bridge tmrw for around 6 months whilst we carry out works #MytholmroydFAS - please take extra care, look out for our signs &amp; use the new pedestrian crossing to be safe https://t.co/zHIez0ZiA8 @Calderdale @VBAJV https://t.co/BxMaefKbXt",Wed Aug 22 11:36:30 +0000 2018
EnvAgencyYNE,"We are moving our temporary traffic lights to a new area near Caldene Bridge tmrw for around 6 months whilst we carry out works #MytholmroydFAS - please take extra care, look out for our signs &amp; use the new pedestrian crossing to be safe https://t.co/zHIez0ZiA8 @Calderdale @VBAJV https://t.co/BxMaefKbXt",,Wed Aug 22 11:35:08 +0000 2018
bundyleanne,"RT @vanbadham: If the words “PM Dutton” flood disgust into your soul, take action: there’s ONE person who can keep that man out of parliame…","If the words “PM Dutton” flood disgust into your soul, take action: there’s ONE person who can keep that man out of parliament: his ALP opponent in Dickson, @alifrance5. Please, donating even $5 helps - because he’s only on 1.6%: she CAN beat him. #auspol
https://t.co/9tTRt63kW6 https://t.co/GCelmf7YAx",Wed Aug 22 09:26:47 +0000 2018
NBCNewYork,RT @StormTeam4NY: A Flood Advisory remains in effect until 6:15 AM this morning for eastern parts of Sussex County... Minor flooding possib…,"A Flood Advisory remains in effect until 6:15 AM this morning for eastern parts of Sussex County... Minor flooding possible, so please take it easy out on the roads this AM. #NBC4NY https://t.co/Do8oWlYMdA",Wed Aug 22 08:39:10 +0000 2018
StormTeam4NY,"A Flood Advisory remains in effect until 6:15 AM this morning for eastern parts of Sussex County... Minor flooding possible, so please take it easy out on the roads this AM. #NBC4NY https://t.co/Do8oWlYMdA",,Wed Aug 22 08:36:11 +0000 2018
buddyblake,"RT @CityofWilm: There is a lot of rain out there! Remember, we are still under a flash flood watch. Please take a little extra time when dr…","There is a lot of rain out there! Remember, we are still under a flash flood watch. Please take a little extra time when driving today and stay safe. ⛈️☔ https://t.co/9z5S29TXvP",Wed Aug 22 08:03:35 +0000 2018
r_quazzy,"RT @vanbadham: If the words “PM Dutton” flood disgust into your soul, take action: there’s ONE person who can keep that man out of parliame…","If the words “PM Dutton” flood disgust into your soul, take action: there’s ONE person who can keep that man out of parliament: his ALP opponent in Dickson, @alifrance5. Please, donating even $5 helps - because he’s only on 1.6%: she CAN beat him. #auspol
https://t.co/9tTRt63kW6 https://t.co/GCelmf7YAx",Wed Aug 22 07:46:30 +0000 2018
SIMONAYROOR,"@vinuvjohn Please take note of the statements made by KSEB Chairman and Dam safety Chairman seriously. Extremely ridiculous. If fishermen would not have rescued us, thousands would have died. Even now, I believe this is the world's worst flood, without a Cyclone or hurricane.",,Wed Aug 22 07:35:40 +0000 2018
iSamadkhan_,"Someone please explain why can't we take help from other countries who are willing for help to recover the devastating flood.

When we do not have any problem in taking loan for metro rail. keep your ego aside everyone
#KeralaFloodRelief #KeralaFloods",,Wed Aug 22 07:30:46 +0000 2018
Joji_maliakal,@ndtv @BJPKerala1 it is the time to prove your loyalty to the flood affected people of our state. @drthomasisaac please take measures to bring more funds as the individual contributions to the our state. We are with our govt. Only focus is to build a new Keralam. An effort to phase cha,,Wed Aug 22 06:29:17 +0000 2018
RahulKajal3,RT @arjunmodhwadia: Oh! Please allowed humanity &amp; humanitarian aids to reach the flood affected people of Kerala without taxing! Shall @PMO…,Oh! Please allowed humanity &amp; humanitarian aids to reach the flood affected people of Kerala without taxing! Shall @PMOIndia take a call? https://t.co/yUm1U8FHV9,Wed Aug 22 06:01:22 +0000 2018
Sarshaya,"Hello @ celebrities who have too much money and live in billion dollar mansions, please take some part of that ENORMOUS wealth and DONATE to KERALA, the people have lost their houses and post flood the situation will be very severe too!! Please send all the help that u can!!!!!!!",,Wed Aug 22 05:30:21 +0000 2018
Sreejeshsr81,"@narendramodi @irvpaswan @PMOIndia @ministry sir some kerala news channels spreading fake news against central government in their channels please take action against them if you can( about flood relief materials ,money,rice, foregin aid)",,Wed Aug 22 05:08:40 +0000 2018
n_tehseen,"May Allah flood your life with happiness on this occasion, your heart with love, your soul with spiritual, your mind with wisdom, wishing you a very Happy Eid. Please take care of poor, destitute and neighbors on this auspicious day https://t.co/Eu6jh3IYpZ",,Wed Aug 22 05:02:10 +0000 2018
kayer27,"RT @vanbadham: If the words “PM Dutton” flood disgust into your soul, take action: there’s ONE person who can keep that man out of parliame…","If the words “PM Dutton” flood disgust into your soul, take action: there’s ONE person who can keep that man out of parliament: his ALP opponent in Dickson, @alifrance5. Please, donating even $5 helps - because he’s only on 1.6%: she CAN beat him. #auspol
https://t.co/9tTRt63kW6 https://t.co/GCelmf7YAx",Wed Aug 22 04:35:56 +0000 2018
padhy_siba,"@ShefVaidya Kerla flood is a Christian missionary made disaster. Please go through the link. 
Sonia &amp; co should take the responsibility &amp; spend their wealth to rebuild kerla. 
https://t.co/O7Cm5Pg00v",,Wed Aug 22 04:32:14 +0000 2018
mannamermaid,RT @firebomb56: Flash Flood Watch now in effect for all islands from Wednesday morning through Friday afternoon. Please take this seriously…,Flash Flood Watch now in effect for all islands from Wednesday morning through Friday afternoon. Please take this seriously. Intense rainfall could lead to major flash flooding--not only in flood prone areas. Landslides and mudslides will be possible. #hiwx #HurricaneLane #Lane,Wed Aug 22 04:28:53 +0000 2018
CarlyWillisKSN,RT @LisaTeachman: Rain will continue to track east overnight.  Some areas of heavy rainfall are likely which could cause ponding on roadway…,Rain will continue to track east overnight.  Some areas of heavy rainfall are likely which could cause ponding on roadways.  Please use caution while traveling and take it slow as poor drainage areas could flood.  @KSNNews #KSwx https://t.co/njZRSrBuwz,Wed Aug 22 04:27:19 +0000 2018
KSNStormTrack3,RT @LisaTeachman: Rain will continue to track east overnight.  Some areas of heavy rainfall are likely which could cause ponding on roadway…,Rain will continue to track east overnight.  Some areas of heavy rainfall are likely which could cause ponding on roadways.  Please use caution while traveling and take it slow as poor drainage areas could flood.  @KSNNews #KSwx https://t.co/njZRSrBuwz,Wed Aug 22 04:17:49 +0000 2018
KSNNews,RT @LisaTeachman: Rain will continue to track east overnight.  Some areas of heavy rainfall are likely which could cause ponding on roadway…,Rain will continue to track east overnight.  Some areas of heavy rainfall are likely which could cause ponding on roadways.  Please use caution while traveling and take it slow as poor drainage areas could flood.  @KSNNews #KSwx https://t.co/njZRSrBuwz,Wed Aug 22 04:17:47 +0000 2018
LisaTeachman,Rain will continue to track east overnight.  Some areas of heavy rainfall are likely which could cause ponding on roadways.  Please use caution while traveling and take it slow as poor drainage areas could flood.  @KSNNews #KSwx https://t.co/njZRSrBuwz,,Wed Aug 22 04:17:43 +0000 2018
DattatreyaVinnu,To the fund releasers of India I request you help the people's who badly effected in flood you can take out the money after they recover I kindly request you please help them,,Wed Aug 22 04:04:00 +0000 2018
