suezeecue,"RT @wgibbings: Pretty strong aftershock at 9.30 a.m. here, following yesterday's 6.9 event that damaged buildings, crushed vehicles and kno…","Pretty strong aftershock at 9.30 a.m. here, following yesterday's 6.9 event that damaged buildings, crushed vehicles and knocked out power and telecoms in some areas. No serious injuries reported #TrinidadandTobago #earthquake",Wed Aug 22 13:59:18 +0000 2018
TreadwayJake,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:59:01 +0000 2018
rqwalks,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:47:46 +0000 2018
Petchary,"RT @wgibbings: Pretty strong aftershock at 9.30 a.m. here, following yesterday's 6.9 event that damaged buildings, crushed vehicles and kno…","Pretty strong aftershock at 9.30 a.m. here, following yesterday's 6.9 event that damaged buildings, crushed vehicles and knocked out power and telecoms in some areas. No serious injuries reported #TrinidadandTobago #earthquake",Wed Aug 22 13:44:15 +0000 2018
jarrodbutts,"RT @wgibbings: Pretty strong aftershock at 9.30 a.m. here, following yesterday's 6.9 event that damaged buildings, crushed vehicles and kno…","Pretty strong aftershock at 9.30 a.m. here, following yesterday's 6.9 event that damaged buildings, crushed vehicles and knocked out power and telecoms in some areas. No serious injuries reported #TrinidadandTobago #earthquake",Wed Aug 22 13:41:45 +0000 2018
ShawnRoberson8,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:39:27 +0000 2018
TriniJax,"RT @wgibbings: Pretty strong aftershock at 9.30 a.m. here, following yesterday's 6.9 event that damaged buildings, crushed vehicles and kno…","Pretty strong aftershock at 9.30 a.m. here, following yesterday's 6.9 event that damaged buildings, crushed vehicles and knocked out power and telecoms in some areas. No serious injuries reported #TrinidadandTobago #earthquake",Wed Aug 22 13:38:57 +0000 2018
GEkesiani,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:38:38 +0000 2018
wgibbings,"Pretty strong aftershock at 9.30 a.m. here, following yesterday's 6.9 event that damaged buildings, crushed vehicles and knocked out power and telecoms in some areas. No serious injuries reported #TrinidadandTobago #earthquake",,Wed Aug 22 13:36:44 +0000 2018
BballFutures1,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:36:38 +0000 2018
scotsgirl1996,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:32:03 +0000 2018
jimmy80425024,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:29:47 +0000 2018
LevreaultRay,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:28:27 +0000 2018
thomasfagan19,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:18:56 +0000 2018
jorgepicasso,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:18:48 +0000 2018
amyapple0,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:13:58 +0000 2018
prknbns,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:12:15 +0000 2018
c11blb,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:12:12 +0000 2018
RancherHills,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:10:14 +0000 2018
BigFamilycom,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:10:06 +0000 2018
Blondie67074353,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:09:55 +0000 2018
07WF3qBKi2gfvjL,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:03:30 +0000 2018
redlipstckkiss,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:03:17 +0000 2018
Robinstrander,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 13:01:21 +0000 2018
FarmsPepe,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 12:59:51 +0000 2018
dougmyself,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 12:54:14 +0000 2018
MarleneStillwe2,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 12:53:20 +0000 2018
