RoadrunnerA,"RT @asiatimesonline: Bullets were fired at the embassy from a passing white car at 5:30 am, local time on Monday. https://t.co/vsh1akM5QC","Bullets were fired at the embassy from a passing white car at 5:30 am, local time on Monday. https://t.co/vsh1akM5QC",Wed Aug 22 13:04:21 +0000 2018
pamellalala,"RT @WeAreOne_Q: Drive-by shooting at the US embassy in Turkey. No casualties reported. 

To all, stay safe and God bless. 

#QAnon #WWG1WGA","Drive-by shooting at the US embassy in Turkey. No casualties reported. 

To all, stay safe and God bless. 

#QAnon #WWG1WGA",Wed Aug 22 12:41:11 +0000 2018
PaisleyWaisley1,"I watch the news every morning at work and every morning there’s another “Deadly Shooting” being reported. It’s odd that our threshold is so low, there’s no shock value unless it’s someone we knew.",,Wed Aug 22 12:11:42 +0000 2018
WembleyCrime,"RT @MPSHarrow: Police were called to 1709hours on Tuesday 21/08/18 to Rayners Lane, Harrow, near the station, following reports of a shooti…","Police were called to 1709hours on Tuesday 21/08/18 to Rayners Lane, Harrow, near the station, following reports of a shooting.
A Male is reported to have fired shots at another group of males before fleeing the scene with an accomplice on a moped.",Wed Aug 22 12:11:12 +0000 2018
OttoContext,"RT @RealMattCouch: 5) At approximately 4:19 AM CIC Shotspotter reported shots fired in the area of Flagler and Northwest in Washington, D.C…","5) At approximately 4:19 AM CIC Shotspotter reported shots fired in the area of Flagler and Northwest in Washington, D.C. Six Officers responded to the shooting, and NO LOOKOUT or BOLO went out, or has ever been released by Washington, D.C. Metropolitan Police, why? #SethRich",Wed Aug 22 11:06:36 +0000 2018
HarrowResponder,"RT MPSHarrow ""Police were called to 1709hours on Tuesday 21/08/18 to Rayners Lane, Harrow, near the station, following reports of a shooting.
A Male is reported to have fired shots at another group of males before fleeing the scene with an accomplice on a moped.""",,Wed Aug 22 10:02:04 +0000 2018
MPSHarrow,"Police were called to 1709hours on Tuesday 21/08/18 to Rayners Lane, Harrow, near the station, following reports of a shooting.
A Male is reported to have fired shots at another group of males before fleeing the scene with an accomplice on a moped.",,Wed Aug 22 09:58:01 +0000 2018
okaren705,"No injuries reported after gunfire erupts at west Charlotte apartment complex: According to Charlotte-Mecklenburg police, the shooting happened in the 1800 block of J. Julian Lane. Officers say two groups of men were shooting at each other from parking… https://t.co/3FEYgeEau6 https://t.co/32JElwj6Uu",,Wed Aug 22 08:58:03 +0000 2018
justathoughtUSA,"RT @BlackWidow1928: If this👇report is true:

💥WHAT were Donna Brazil &amp; DC Mayor Muriel Bowser doing at SAME hospital Seth Rich was taken 2…","If this👇report is true:

💥WHAT were Donna Brazil &amp; DC Mayor Muriel Bowser doing at SAME hospital Seth Rich was taken 2 after he was shot?
💥WHO told them about the shooting so soon after?
💥Was Seth MORE than mid-level staff the way media &amp; DNC reported?

#SethRich #Corruption https://t.co/T7uxogS8BW",Wed Aug 22 03:14:35 +0000 2018
BulldogLoyalty,"@LadyThriller69 Some people are just dumb. I've worked to report real criminals and the FBI doesn't do jack about it. The Florida shooting by Cruz was reported at least 3x leading up the the tragedy and they did nothing.
The FBI doesn't care about Twitter unless it furthers their careers.",,Wed Aug 22 02:30:36 +0000 2018
DrAmyKlinger,RT @Eschoolsafety: @educationnation A2 It's critical to note → The dramatic increase in threats may also be at least partially attributed t…,"@educationnation A2 It's critical to note → The dramatic increase in threats may also be at least partially attributed to the increased awareness + sensitivity post Parkland shooting. There may have been a greater # of threats being recognized, noticed, or reported than before. #ToolkitTalk",Wed Aug 22 00:39:02 +0000 2018
QuintinOnCamera,RT @ABCNews4: **BREAKING: Reported shooting at playground off St. Andrews Blvd. in West Ashley #chsnews https://t.co/QJay6bULtr,**BREAKING: Reported shooting at playground off St. Andrews Blvd. in West Ashley #chsnews https://t.co/QJay6bULtr,Tue Aug 21 23:18:21 +0000 2018
ABCNews4,**BREAKING: Reported shooting at playground off St. Andrews Blvd. in West Ashley #chsnews https://t.co/QJay6bULtr,,Tue Aug 21 23:12:56 +0000 2018
Eschoolsafety,"@educationnation A2 It's critical to note → The dramatic increase in threats may also be at least partially attributed to the increased awareness + sensitivity post Parkland shooting. There may have been a greater # of threats being recognized, noticed, or reported than before. #ToolkitTalk",,Tue Aug 21 23:12:41 +0000 2018
MonaHofmeister,"The victim, a 17-year-old Pontiac man, is reported to be in temporary serious condition, according to the Oakland County Sheriff's Office.

Police said the shooting happened at 8:46 p.m. Monday in the 400 block of W. Fairmont Avenue near Telegraph Road... https://t.co/f26ebZc4cz",,Tue Aug 21 23:12:28 +0000 2018
CarolCcsee,"RT @mel4866: PhillyFireNews @PhillyFireNews
2m
Possible Police Shooting Suspects Caught-22nd Dist at 1300 N. Broad Street.  Was reported th…","PhillyFireNews @PhillyFireNews
2m
Possible Police Shooting Suspects Caught-22nd Dist at 1300 N. Broad Street.  Was reported the 2 remaining suspects wanted for the ambush on Camden Police were in that area.  PD have 2 people apprehended with no incident, unknown if positive ID.",Tue Aug 21 22:05:24 +0000 2018
DannyWardy1,"@Saint_Gerrard There was a shooting just down the road from a few weeks ago. Only reported in the local papers though. The London and national media wouldn't have known about it. 

And Birmingham and Wolverhampton are really bad at the moment too, but very little about it in the national media.",,Tue Aug 21 21:41:51 +0000 2018
ChrisHitchLLC,"@KTLA @PostMalone might die from a plane crash, but you fuckaritos care more about the usual Trump bullshit and police shooting at black people. I missed it when news reported on REAL issues people care about. #FakeNews",,Tue Aug 21 19:49:03 +0000 2018
KenObri128,RT @PhillyFireNews: Possible Police Shooting Suspects Caught-22nd Dist at 1300 N. Broad Street.  Was reported the 2 remaining suspects want…,"Possible Police Shooting Suspects Caught-22nd Dist at 1300 N. Broad Street.  Was reported the 2 remaining suspects wanted for the ambush on Camden Police were in that area.  PD have 2 people apprehended with no incident, unknown if positive ID.",Tue Aug 21 18:26:34 +0000 2018
X95radio,CENTRALIA — A 41-year-old Centralia man was taken into custody early Tuesday morning following after firing shots at Centralia and Wamac police who had pursued him as a suspect in a reported shooting in DuQuoin. https://t.co/Lazyv04Fw0,,Tue Aug 21 16:33:01 +0000 2018
mel4866,"PhillyFireNews @PhillyFireNews
2m
Possible Police Shooting Suspects Caught-22nd Dist at 1300 N. Broad Street.  Was reported the 2 remaining suspects wanted for the ambush on Camden Police were in that area.  PD have 2 people apprehended with no incident, unknown if positive ID.",,Tue Aug 21 15:07:07 +0000 2018
PhillyFireNews,"Possible Police Shooting Suspects Caught-22nd Dist at 1300 N. Broad Street.  Was reported the 2 remaining suspects wanted for the ambush on Camden Police were in that area.  PD have 2 people apprehended with no incident, unknown if positive ID.",,Tue Aug 21 15:04:05 +0000 2018
WnLUReg,RT @wlunews: THIS IS A DRILL: Shooting in Graham-Lees Hall. Shooter at large and last reported headed towards Huntley Hall. Continue to she…,THIS IS A DRILL: Shooting in Graham-Lees Hall. Shooter at large and last reported headed towards Huntley Hall. Continue to shelter in place. See https://t.co/WQlWDO7ffl.,Tue Aug 21 14:48:26 +0000 2018
wlunews,THIS IS A DRILL: Shooting in Graham-Lees Hall. Shooter at large and last reported headed towards Huntley Hall. Continue to shelter in place. See https://t.co/WQlWDO7ffl.,,Tue Aug 21 14:46:57 +0000 2018
lmtnews,Drive-by shooting reported at south Laredo residence https://t.co/ebS9Gsv8ka,,Tue Aug 21 13:55:18 +0000 2018
omaxiEg,"Shooting Reported at Scene of Harbor Gateway Fire https://t.co/X94xMw9Mhh

Authorities are responding to a report of shots fired at the scene of a fire early Tuesday in the Harbor Gateway area.

copyright © 2018

August 21, 2018 at 06:34AM",,Tue Aug 21 13:38:12 +0000 2018
berard_mike,"RT @TheBaghdadPostE: #BREAKING: A reported shooting at #London’s #Kingsbury tube station has left at least three people injured, according…","#BREAKING: A reported shooting at #London’s #Kingsbury tube station has left at least three people injured, according to The Sun. More details soon.",Tue Aug 21 07:46:29 +0000 2018
ann_tagen,"RT @DiegoCupolo: Shots fired at the US embassy in #Ankara. At 5 am this morning, a drive-by shooting took place, hitting a window of an ext…","Shots fired at the US embassy in #Ankara. At 5 am this morning, a drive-by shooting took place, hitting a window of an exterior security kiosk. No injuries reported. https://t.co/2tjrtKyAMV",Tue Aug 21 06:54:53 +0000 2018
neyrolles,"RT @AlArabiya_Eng: #BREAKING: A reported shooting at #London’s #Kingsbury tube station has left at least three people injured, according to…","#BREAKING: A reported shooting at #London’s #Kingsbury tube station has left at least three people injured, according to The Sun. More details soon.

https://t.co/kR04xZO9sE https://t.co/4XxXhkPe33",Tue Aug 21 03:47:51 +0000 2018
SeattlePDS2,"Beat:S2, DRIVE BY SHOOTING (NO INJURIES) at SEWARD PARK AV S / S CLOVERDALE ST reported on 8/20/2018 7:31 PM, Call# 18000310451",,Tue Aug 21 03:07:20 +0000 2018
