devadattajoshi,RT @Binita_Saikia: This pic is from last year's Assam flood😁. https://t.co/GDm8zunqar,This pic is from last year's Assam flood😁. https://t.co/GDm8zunqar,Wed Aug 22 15:05:14 +0000 2018
Binita_Saikia,This pic is from last year's Assam flood😁. https://t.co/GDm8zunqar,,Wed Aug 22 15:04:51 +0000 2018
Potatodrink,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 14:56:59 +0000 2018
arabbaig,RT @Aamirian_Raj: Last year @aamir_khan ne Assam flood me donate kia but na aamir na hi hum log dhindora pite jitna PRK ke PR nanga nach ra…,Last year @aamir_khan ne Assam flood me donate kia but na aamir na hi hum log dhindora pite jitna PRK ke PR nanga nach rahe hai . https://t.co/QMlLTXx9wn,Wed Aug 22 14:54:50 +0000 2018
ThatVIRATIAN,RT @Aamirian_Raj: Last year @aamir_khan ne Assam flood me donate kia but na aamir na hi hum log dhindora pite jitna PRK ke PR nanga nach ra…,Last year @aamir_khan ne Assam flood me donate kia but na aamir na hi hum log dhindora pite jitna PRK ke PR nanga nach rahe hai . https://t.co/QMlLTXx9wn,Wed Aug 22 14:53:50 +0000 2018
aamirtard,RT @Aamirian_Raj: Last year @aamir_khan ne Assam flood me donate kia but na aamir na hi hum log dhindora pite jitna PRK ke PR nanga nach ra…,Last year @aamir_khan ne Assam flood me donate kia but na aamir na hi hum log dhindora pite jitna PRK ke PR nanga nach rahe hai . https://t.co/QMlLTXx9wn,Wed Aug 22 14:51:49 +0000 2018
RishiChoudhary,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 14:49:24 +0000 2018
RiyaxJ,RT @BrutIndia: Nine-year-old Haider Ali Khan appeared in a viral photograph saluting the Indian flag in chest-deep flood water in Assam las…,"Nine-year-old Haider Ali Khan appeared in a viral photograph saluting the Indian flag in chest-deep flood water in Assam last year. Now, Ali faces deportation after being left off the Assam National Register of Citizens. https://t.co/q5PYb9X7Uk",Wed Aug 22 14:42:32 +0000 2018
kush_kushmikam,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 14:39:10 +0000 2018
pk_plb,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 14:35:17 +0000 2018
SonuYadavNirban,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 14:33:48 +0000 2018
