devadattajoshi,RT @Binita_Saikia: This pic is from last year's Assam flood😁. https://t.co/GDm8zunqar,This pic is from last year's Assam flood😁. https://t.co/GDm8zunqar,Wed Aug 22 15:05:14 +0000 2018
Binita_Saikia,This pic is from last year's Assam flood😁. https://t.co/GDm8zunqar,,Wed Aug 22 15:04:51 +0000 2018
Potatodrink,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 14:56:59 +0000 2018
arabbaig,RT @Aamirian_Raj: Last year @aamir_khan ne Assam flood me donate kia but na aamir na hi hum log dhindora pite jitna PRK ke PR nanga nach ra…,Last year @aamir_khan ne Assam flood me donate kia but na aamir na hi hum log dhindora pite jitna PRK ke PR nanga nach rahe hai . https://t.co/QMlLTXx9wn,Wed Aug 22 14:54:50 +0000 2018
RiyaxJ,RT @BrutIndia: Nine-year-old Haider Ali Khan appeared in a viral photograph saluting the Indian flag in chest-deep flood water in Assam las…,"Nine-year-old Haider Ali Khan appeared in a viral photograph saluting the Indian flag in chest-deep flood water in Assam last year. Now, Ali faces deportation after being left off the Assam National Register of Citizens. https://t.co/q5PYb9X7Uk",Wed Aug 22 14:42:32 +0000 2018
SriPankaj,"Every year rain-water from Other country as Nepal&amp;Tibet region collect and come as  flood to Himalayan baseline region,
even NorthEast drowned last year by wate released of brahmutra by China then no 'so-calld' Neta&amp;Celebs appealed to donate any penny neither loose their wallet !",,Wed Aug 22 13:18:45 +0000 2018
BlumeBrad,"TODAY:  Wheels Up!  Destination NYC US Open!   LAST YEAR: 800 year flood in Houston and could not get to NYC for 7 days!  

#houstonproud #usopen #nyc #houstonstrong #tennis… https://t.co/uV0WdI8d7o",,Wed Aug 22 12:45:29 +0000 2018
Vaibhav22778881,RT @anshu4narang: @panipathelpdesk @cmohry @mlkhattar @CMOhryShadow @Kavitajainbjp @RamBilasBJP @BJP4India @anilvijminister @PMOIndia @MoHF…,@panipathelpdesk @cmohry @mlkhattar @CMOhryShadow @Kavitajainbjp @RamBilasBJP @BJP4India @anilvijminister @PMOIndia @MoHFW_INDIA @Rajesh4Kukreja @akc4karnal @WeArePanipat @Panipat @HPanipat @SwachhBharatGov @swachhbharat @RahulGandhi @office0ffRG_ @rssurjewala @BhupinderSHooda @CMCPANIPAT @IYC @ndtv @ravishndtv @aampress @aajtak @News18Haryana @NewsNationTV @abpnewstv @voiceofpanipat @rbsharmabjp Condition of school after 10 min rain. Now water invited #Mosquitoes which cause #dengue &amp; other critical illness and skin problems. It is the duty of #healthminister #educationminister #CM to take necessary action we r tweet all from last 2 year #Flood https://t.co/DHlcYGWoUK https://t.co/rK3WfiEcYg,Wed Aug 22 12:32:34 +0000 2018
Axom1234,"RT @NANDANPRATIM: 8-year-old schoolgirl Anupriya from Villupuram, broke open her piggy banks to contribute to flood relief in Kerala. Hero…","8-year-old schoolgirl Anupriya from Villupuram, broke open her piggy banks to contribute to flood relief in Kerala. Hero Cycles gifted a bicycle to Class II girl, who donated her piggy bank savings of last 4 years. Anupriya had been saving her pocket money to buy a bicycle. https://t.co/i0enT35sB6",Wed Aug 22 12:24:40 +0000 2018
mksbabbles,"@RakeshSinha01 @VPSecretariat @narendramodi @RSSorg @AmitShah Not good this, sir. This Kerala state never helped flood victims in Bihar, U'khand, Assam, but helped flood victims in Pakistan! And how can you forget last year's cow slaughter on open street sir, just to mock at Hindu religion? Is it not divine justice, sir?",,Wed Aug 22 11:22:49 +0000 2018
jain_robin64,"RT @GargaC: Last year, #Bengal was devastated by floods. Anti-Bengal BJP's Union govt didnt pay a single Taka but paid millions to foreign…","Last year, #Bengal was devastated by floods. Anti-Bengal BJP's Union govt didnt pay a single Taka but paid millions to foreign state #Nepal affected by same flood. Another reason why the fiscal structure of Indian Union must be revamped in favor of States.
https://t.co/4UemCa3aRZ",Wed Aug 22 09:18:17 +0000 2018
