UkiVlad,"@TheViewFromLL2 1/There was a mass shooting by a citizen yesterday.

A fight over drugs led to the gunfire, Cleveland police said. No other information regarding the shooting was released.

Jaylin Glanton of Maple Heights died from a gunshot wound to his shoulder. He was found dead at the scene.",,Tue Aug 21 22:02:15 +0000 2018
cci_network,RT @jozifm: Soweto West Cluster police urges anyone with information regarding a shooting incident where a man in his early 40’s was found…,Soweto West Cluster police urges anyone with information regarding a shooting incident where a man in his early 40’s was found dead along Klipvalley road near the VW garage yesterday. The deceased had multiple gunshot wounds. M.M,Tue Aug 21 19:06:23 +0000 2018
Megavolt1,"@godinhistory @Christ21cent 🙄

“A born-again Christian who believes abortion is a sin failed yesterday to ­convince a judge that he need not stand trial for murder after he admitted shooting dead an ­abortion doctor.”

https://t.co/9xTRCNZRLg",,Tue Aug 21 14:49:58 +0000 2018
sugadibambam,RT @jozifm: Soweto West Cluster police urges anyone with information regarding a shooting incident where a man in his early 40’s was found…,Soweto West Cluster police urges anyone with information regarding a shooting incident where a man in his early 40’s was found dead along Klipvalley road near the VW garage yesterday. The deceased had multiple gunshot wounds. M.M,Tue Aug 21 08:55:42 +0000 2018
jozifm,Soweto West Cluster police urges anyone with information regarding a shooting incident where a man in his early 40’s was found dead along Klipvalley road near the VW garage yesterday. The deceased had multiple gunshot wounds. M.M,,Tue Aug 21 08:42:17 +0000 2018
simonpeter018,"RT @933kfm: Yoweri Kaguta Museveni's  statement on Bobi Wine,Zaake, Arua Fracas and yesterday's Mityana shooting that left one shot dead.…","Yoweri Kaguta Museveni's  statement on Bobi Wine,Zaake, Arua Fracas and yesterday's Mityana shooting that left one shot dead.

Fellow Ugandans, thank you for your responses following my most recent post on events that... https://t.co/uDS5ZZEVvM",Mon Aug 20 18:22:23 +0000 2018
n9nemc,"RT @933kfm: Yoweri Kaguta Museveni's  statement on Bobi Wine,Zaake, Arua Fracas and yesterday's Mityana shooting that left one shot dead.…","Yoweri Kaguta Museveni's  statement on Bobi Wine,Zaake, Arua Fracas and yesterday's Mityana shooting that left one shot dead.

Fellow Ugandans, thank you for your responses following my most recent post on events that... https://t.co/uDS5ZZEVvM",Mon Aug 20 16:34:40 +0000 2018
933kfm,"Yoweri Kaguta Museveni's  statement on Bobi Wine,Zaake, Arua Fracas and yesterday's Mityana shooting that left one shot dead.

Fellow Ugandans, thank you for your responses following my most recent post on events that... https://t.co/uDS5ZZEVvM",,Mon Aug 20 16:22:51 +0000 2018
KhmerTimes,Battambang Provincial Court yesterday charged two men over their involvement in a shooting that left one man dead and two others injured earlier this month in Banan district. https://t.co/lIZ4AKaKCG,,Mon Aug 20 01:00:07 +0000 2018
OwenJamesBrown,"Hot race to be #epl top scorer already with Aguero scoring so many today, Kane striking in August,Aubameyang getting in good shooting locations yesterday. Some detail in second section of this about Lukaku’s numbers (needs to get the chance to shoot more!) https://t.co/4c8Om6e4oG",,Sun Aug 19 15:21:37 +0000 2018
Dead_and_Red,"RT @hackee_chan: Yesterday we were shooting Ibaraki Douji from Fate ✨
I think that the photos will be great and I can’t wait to show them…","Yesterday we were shooting Ibaraki Douji from Fate ✨
I think that the photos will be great and I can’t wait to show them 👌🏻 https://t.co/mjULCWsqz3",Sat Aug 18 05:34:37 +0000 2018
Mithun15090511,"RT @Karanism1: Yesterday Even 4.30Pm Nr We are Going To Switzerland
The Reason Just Look &amp; Visited a  Shooting Spot Locations 
But Suddenly…","Yesterday Even 4.30Pm Nr We are Going To Switzerland
The Reason Just Look &amp; Visited a  Shooting Spot Locations 
But Suddenly Some Calls cm For Me!! I asked What's That?
My PA Told #VajBayee Sir Was Dead I Heard That Cnt Cntrol My Tears 😢😢
We Not To Go Rturn 2 India
#RIPVAjpayee https://t.co/7OtXqbUsPe",Fri Aug 17 19:32:53 +0000 2018
CrimeStoppersPB,A shooting incident that ended with one man dead and a female victim with serious injuries yesterday (8/16/18) began with a dispute and escalated to a physical altercation before shots were fired.... https://t.co/ymt3ZEJlwY,,Fri Aug 17 19:12:01 +0000 2018
Saravan24121305,"RT @Karanism1: Yesterday Even 4.30Pm Nr We are Going To Switzerland
The Reason Just Look &amp; Visited a  Shooting Spot Locations 
But Suddenly…","Yesterday Even 4.30Pm Nr We are Going To Switzerland
The Reason Just Look &amp; Visited a  Shooting Spot Locations 
But Suddenly Some Calls cm For Me!! I asked What's That?
My PA Told #VajBayee Sir Was Dead I Heard That Cnt Cntrol My Tears 😢😢
We Not To Go Rturn 2 India
#RIPVAjpayee https://t.co/7OtXqbUsPe",Fri Aug 17 09:24:35 +0000 2018
karthiykj,"RT @Karanism1: Yesterday Even 4.30Pm Nr We are Going To Switzerland
The Reason Just Look &amp; Visited a  Shooting Spot Locations 
But Suddenly…","Yesterday Even 4.30Pm Nr We are Going To Switzerland
The Reason Just Look &amp; Visited a  Shooting Spot Locations 
But Suddenly Some Calls cm For Me!! I asked What's That?
My PA Told #VajBayee Sir Was Dead I Heard That Cnt Cntrol My Tears 😢😢
We Not To Go Rturn 2 India
#RIPVAjpayee https://t.co/7OtXqbUsPe",Fri Aug 17 07:41:03 +0000 2018
Handsometwits,"RT @Karanism1: Yesterday Even 4.30Pm Nr We are Going To Switzerland
The Reason Just Look &amp; Visited a  Shooting Spot Locations 
But Suddenly…","Yesterday Even 4.30Pm Nr We are Going To Switzerland
The Reason Just Look &amp; Visited a  Shooting Spot Locations 
But Suddenly Some Calls cm For Me!! I asked What's That?
My PA Told #VajBayee Sir Was Dead I Heard That Cnt Cntrol My Tears 😢😢
We Not To Go Rturn 2 India
#RIPVAjpayee https://t.co/7OtXqbUsPe",Fri Aug 17 06:17:23 +0000 2018
radharaviyans,"RT @Karanism1: Yesterday Even 4.30Pm Nr We are Going To Switzerland
The Reason Just Look &amp; Visited a  Shooting Spot Locations 
But Suddenly…","Yesterday Even 4.30Pm Nr We are Going To Switzerland
The Reason Just Look &amp; Visited a  Shooting Spot Locations 
But Suddenly Some Calls cm For Me!! I asked What's That?
My PA Told #VajBayee Sir Was Dead I Heard That Cnt Cntrol My Tears 😢😢
We Not To Go Rturn 2 India
#RIPVAjpayee https://t.co/7OtXqbUsPe",Fri Aug 17 05:17:17 +0000 2018
Karanism1,"Yesterday Even 4.30Pm Nr We are Going To Switzerland
The Reason Just Look &amp; Visited a  Shooting Spot Locations 
But Suddenly Some Calls cm For Me!! I asked What's That?
My PA Told #VajBayee Sir Was Dead I Heard That Cnt Cntrol My Tears 😢😢
We Not To Go Rturn 2 India
#RIPVAjpayee https://t.co/7OtXqbUsPe",,Fri Aug 17 05:00:36 +0000 2018
NC5_RSchleicher,An urgent search for two men wanted in 2 shootings and an armed robbery yesterday morning. The victims seemed to be chosen at random in Madison and Goodlettsville https://t.co/EytBin8VID,,Wed Aug 15 10:36:09 +0000 2018
lahmkah,"RT @TEAMNASA_KE: Ugandan Mp Bobi Wine's Driver Yasin Kawuma was killed yesterday.
https://t.co/bAVGYD3zrG https://t.co/16e6pP9elL

Kenyan M…","Ugandan Mp Bobi Wine's Driver Yasin Kawuma was killed yesterday.
https://t.co/bAVGYD3zrG https://t.co/16e6pP9elL

Kenyan Mp Enock Kibugunchy driver was killed. 
https://t.co/1WZOWhzZIq",Tue Aug 14 05:07:09 +0000 2018
TEAMNASA_KE,"Ugandan Mp Bobi Wine's Driver Yasin Kawuma was killed yesterday.
https://t.co/bAVGYD3zrG https://t.co/16e6pP9elL

Kenyan Mp Enock Kibugunchy driver was killed. 
https://t.co/1WZOWhzZIq",,Tue Aug 14 04:42:02 +0000 2018
CoastalCourier,There was a shooting death yesterday in Liberty County. A teen has been charged. https://t.co/3Wc0DxWL1H,,Mon Aug 13 16:13:20 +0000 2018
DerrensAngel,"RT @ChrisGPackham: BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year…","BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year . If you read one thing on this inglorious day please read this account of the 'screamingly elitist' grouse shooting business , after all , you've paid for it https://t.co/AP35YQI9rm",Wed Aug 22 11:19:08 +0000 2018
krusty63,RT @AndieHamblin: Prosecutors lodge appeal against “manifestly inadequate” sentencing of a farmer found guilty of accidentally shooting dea…,Prosecutors lodge appeal against “manifestly inadequate” sentencing of a farmer found guilty of accidentally shooting dead Shepparton’s David Calandro in front of his young sons last year. Angelo Russo said he tripped on an eggplant. He was sentenced to 5 years’ jail. #BREAKING https://t.co/pkvDTcDMGd,Wed Aug 22 06:24:11 +0000 2018
s_deery,RT @AndieHamblin: Prosecutors lodge appeal against “manifestly inadequate” sentencing of a farmer found guilty of accidentally shooting dea…,Prosecutors lodge appeal against “manifestly inadequate” sentencing of a farmer found guilty of accidentally shooting dead Shepparton’s David Calandro in front of his young sons last year. Angelo Russo said he tripped on an eggplant. He was sentenced to 5 years’ jail. #BREAKING https://t.co/pkvDTcDMGd,Wed Aug 22 06:22:52 +0000 2018
AndieHamblin,Prosecutors lodge appeal against “manifestly inadequate” sentencing of a farmer found guilty of accidentally shooting dead Shepparton’s David Calandro in front of his young sons last year. Angelo Russo said he tripped on an eggplant. He was sentenced to 5 years’ jail. #BREAKING https://t.co/pkvDTcDMGd,,Wed Aug 22 05:55:37 +0000 2018
_janski_,"@KayMefour @Ben_Davies33 @trippier2 @FPLFamily @LetsTalk_FPL If Trippier keeps shooting like he did, no. I'd be if I'd own Eriksen, for he is clearly taken out of many of the dead ball situations he gave last year",,Mon Aug 20 13:42:10 +0000 2018
sachibub10,RT @CBSSacramento: #UPDATE: The victim of last night's officer-involved shooting in Ceres has been identified by a family member as 15-year…,#UPDATE: The victim of last night's officer-involved shooting in Ceres has been identified by a family member as 15-year-old Spencer Carmen Mendez https://t.co/Xer46RWpbR,Mon Aug 20 01:16:06 +0000 2018
CBSSacramento,#UPDATE: The victim of last night's officer-involved shooting in Ceres has been identified by a family member as 15-year-old Spencer Carmen Mendez https://t.co/Xer46RWpbR,,Mon Aug 20 01:12:13 +0000 2018
justinyost,"""An Iraq war veteran has been sentenced to life in prison for a shooting last year at a Florida airport that left five dead and six injured."" https://t.co/YsBqinLARF",,Mon Aug 20 00:26:00 +0000 2018
pleasecallmemac,"RT @ChrisGPackham: BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year…","BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year . If you read one thing on this inglorious day please read this account of the 'screamingly elitist' grouse shooting business , after all , you've paid for it https://t.co/AP35YQI9rm",Sun Aug 19 19:16:09 +0000 2018
darIinparker,Like dead ass this is one of my biggest fears especially since my school is known for bullying and bomb and shooting threats like last year my school had TWO shooting threats and my new hs had a hand full of bomb threats,,Sat Aug 18 16:40:44 +0000 2018
IMcMillerNews,"RT @ABC13News: BREAKING: Danville Police have identified the victim in last night's shooting as 21-year-old Patrick Andreaus Gunn. 

Police…","BREAKING: Danville Police have identified the victim in last night's shooting as 21-year-old Patrick Andreaus Gunn. 

Police say they have arrested a 17-year-old teenager with 1st Degree Murder and Use of a Firearm in the Commission of a Felony. 
https://t.co/ERgdB46Iq3 https://t.co/NqxLc5jAV8",Sat Aug 18 14:25:41 +0000 2018
ABC13News,"BREAKING: Danville Police have identified the victim in last night's shooting as 21-year-old Patrick Andreaus Gunn. 

Police say they have arrested a 17-year-old teenager with 1st Degree Murder and Use of a Firearm in the Commission of a Felony. 
https://t.co/ERgdB46Iq3 https://t.co/NqxLc5jAV8",,Sat Aug 18 14:23:21 +0000 2018
Dubsy_chat,"RT @ChrisGPackham: BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year…","BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year . If you read one thing on this inglorious day please read this account of the 'screamingly elitist' grouse shooting business , after all , you've paid for it https://t.co/AP35YQI9rm",Fri Aug 17 23:20:30 +0000 2018
KATVNews,An Alaska man has been sentenced to life in prison for a Florida airport shooting that left 5 people dead last year https://t.co/E5ibBNBcH0 https://t.co/Ybr4QNw0kU,,Fri Aug 17 21:15:01 +0000 2018
Michael57079619,"RT @ChrisGPackham: BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year…","BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year . If you read one thing on this inglorious day please read this account of the 'screamingly elitist' grouse shooting business , after all , you've paid for it https://t.co/AP35YQI9rm",Fri Aug 17 20:21:08 +0000 2018
delgeo1,"Killer who shot 5 people dead at the Fort Lauderdale, Fla., airport last year..was sentenced to 5 consecutive life terms..for the mass shooting attack
..U.S. District Judge Beth Bloom..called the massacre ""85 seconds of evil” #NationalNonprofitDay",,Fri Aug 17 18:27:58 +0000 2018
NicoBloodandink,"RT @ChrisGPackham: BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year…","BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year . If you read one thing on this inglorious day please read this account of the 'screamingly elitist' grouse shooting business , after all , you've paid for it https://t.co/AP35YQI9rm",Thu Aug 16 21:07:29 +0000 2018
IfiwereQueen,"RT @ChrisGPackham: BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year…","BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year . If you read one thing on this inglorious day please read this account of the 'screamingly elitist' grouse shooting business , after all , you've paid for it https://t.co/AP35YQI9rm",Thu Aug 16 19:50:41 +0000 2018
RedworldToys,"RT @ChrisGPackham: BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year…","BANG , BANG you're dead ! If you're a Red Grouse today or were an Eagle or a Hen Harrier over the moors in the last year . If you read one thing on this inglorious day please read this account of the 'screamingly elitist' grouse shooting business , after all , you've paid for it https://t.co/AP35YQI9rm",Thu Aug 16 11:57:19 +0000 2018
