srgood4lungs,"RT @realTylerZed: Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance…","Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",Wed Aug 22 14:20:54 +0000 2018
TexGilbert,"M6.2 Earthquake - off the coast of Oregon
Preliminary Report Magnitude 6.2 
Date-Time 22 Aug 2018 09:31:47 UTC 
22 Aug 2018 00:31:47 near epicenter 
22 Aug 2018 00:31:47 standard time in your timezone 
 
Location 43.645N... https://t.co/EEGnQxkBbO",,Wed Aug 22 14:12:55 +0000 2018
watchingeye,"M7.3 Earthquake - near the coast of Venezuela
Preliminary Report

Magnitude 7.3 
Date-Time 21 Aug 2018 21:31:43 UTC
21 Aug 2018 21:31:43 near epicenter
21 Aug 2018 13:31:43 standard time in your timezone... https://t.co/PUNihoVbrt",,Wed Aug 22 13:55:28 +0000 2018
angelamrobe,@BBCNews Report of earthquake in Venezuela including mention of economic troubles but not a word about the political complexion of the Govt. Can you imagine the BBC doing a report on a troubled country led by a right-wing Govt without mentioning it?,,Wed Aug 22 12:27:38 +0000 2018
SciSeekFeed,https://t.co/omfWr6ERRu EQ Feed:  M 3.5 Off the coast of Oregon  https://t.co/oUSruDADWq,,Wed Aug 22 12:19:02 +0000 2018
Donovan_red7,RT @MaharajDevant: Despite the most violent Earthquake in recent history and questionable building codes we must be thankful that there has…,Despite the most violent Earthquake in recent history and questionable building codes we must be thankful that there has not been any report of any fatalities and only minor structural damage. Trinidad and Tobago appear to have once again escaped from another natural disaster.,Wed Aug 22 11:41:50 +0000 2018
Responder_News,"RT @cdemacu: See CDEMA’s Situation Report #1 on the Earthquake of August 21, 2018. Issued as at 8:00PM (AST).
https://t.co/19Hn7P5PPl https…","See CDEMA’s Situation Report #1 on the Earthquake of August 21, 2018. Issued as at 8:00PM (AST).
https://t.co/19Hn7P5PPl https://t.co/PJbOl356jS",Wed Aug 22 11:02:14 +0000 2018
cdemacu,"See CDEMA’s Situation Report #1 on the Earthquake of August 21, 2018. Issued as at 8:00PM (AST).
https://t.co/19Hn7P5PPl https://t.co/PJbOl356jS",,Wed Aug 22 10:57:46 +0000 2018
MaharajDevant,Despite the most violent Earthquake in recent history and questionable building codes we must be thankful that there has not been any report of any fatalities and only minor structural damage. Trinidad and Tobago appear to have once again escaped from another natural disaster.,,Wed Aug 22 10:57:19 +0000 2018
internetleo,"RT @SalihuddinMusa: *M6.2 Earthquake - off the coast of Oregon*
Preliminary Report
Magnitude- 6.2
Date-Time - 
22 Aug 2018 09:31:47 UTC
22…","*M6.2 Earthquake - off the coast of Oregon*
Preliminary Report
Magnitude- 6.2
Date-Time - 
22 Aug 2018 09:31:47 UTC
22 Aug 2018 00:31:47 near epicenter
Location - 43.645N 127.603W
Depth -10 km
Distances - 
265.2 km (164.4 mi) WNW of Lakeport (historical), Oregon",Wed Aug 22 09:59:02 +0000 2018
SalihuddinMusa,"*M6.2 Earthquake - off the coast of Oregon*
Preliminary Report
Magnitude- 6.2
Date-Time - 
22 Aug 2018 09:31:47 UTC
22 Aug 2018 00:31:47 near epicenter
Location - 43.645N 127.603W
Depth -10 km
Distances - 
265.2 km (164.4 mi) WNW of Lakeport (historical), Oregon",,Wed Aug 22 09:58:31 +0000 2018
C_X_,"RT @Quake_Tracker4: Massive earthquake near Sucre, Venezuela - Strongly felt on the Windward islands - https://t.co/YWEtbiZHaB https://t.co…","Massive earthquake near Sucre, Venezuela - Strongly felt on the Windward islands - https://t.co/YWEtbiZHaB https://t.co/1MlByVKXN9",Wed Aug 22 09:13:57 +0000 2018
WairarapaJane,"RT @CEDRdigital: Gob Rojas: el #Temblor ""no ocasionó víctimas ni graves daños materiales en la entidad oriental.""

Gov Rojas: calm is resto…","Gob Rojas: el #Temblor ""no ocasionó víctimas ni graves daños materiales en la entidad oriental.""

Gov Rojas: calm is restored after the intense #earthquake was felt throughout the region. There are no report of injuries or damage. 
#Venezuela #Sucre #Maturin #Carupano #Terremoto https://t.co/JWlEepmDeI",Wed Aug 22 08:54:55 +0000 2018
ElvisRodKimera,"RT @NewslibreBrk: BREAKING NEWS

A 7.3 magnitude earthquake swept through Venezuela with lots of buildings and property damaged. There is a…","BREAKING NEWS

A 7.3 magnitude earthquake swept through Venezuela with lots of buildings and property damaged. There is a report that a Tsunami may be on the way as a result of the earthquake. https://t.co/GVcHz3OH3C",Wed Aug 22 08:52:01 +0000 2018
NewslibreBrk,"BREAKING NEWS

A 7.3 magnitude earthquake swept through Venezuela with lots of buildings and property damaged. There is a report that a Tsunami may be on the way as a result of the earthquake. https://t.co/GVcHz3OH3C",,Wed Aug 22 08:32:59 +0000 2018
theazza,"Tell me if I'm wrong @BBCNews just heard a report on the earthquake off the coast of Venezuelan where you said there was no damage caused, what about the Caribbean islands where there was, or are we not important enough for you to mention?",,Wed Aug 22 07:53:52 +0000 2018
eikokumen,RT @ImJohnCortez: This looks like a school in #Venezuela of people running out of the building due to a 7.0m #earthquake. I will report thi…,This looks like a school in #Venezuela of people running out of the building due to a 7.0m #earthquake. I will report this news but the mainstream media and fox news won't https://t.co/TIE5R3nAKI,Wed Aug 22 03:27:10 +0000 2018
weerenonweer,"Volcano earthquake report for Wednesday, 22 Aug 2018: Agua de Pau volcano (Azores): magnitude 2.6 earthquakeA magnitude 2.6 earthquake occurred at the volcano 9 hours ago. The quake, which might be volcanic in origin, was located at a depth of 0 km depth… https://t.co/e15UsCSuXs https://t.co/xKHM5LuTnS",,Wed Aug 22 03:17:05 +0000 2018
ImJohnCortez,This looks like a school in #Venezuela of people running out of the building due to a 7.0m #earthquake. I will report this news but the mainstream media and fox news won't https://t.co/TIE5R3nAKI,,Wed Aug 22 03:02:07 +0000 2018
CEDRdigital,"Gob Rojas: el #Temblor ""no ocasionó víctimas ni graves daños materiales en la entidad oriental.""

Gov Rojas: calm is restored after the intense #earthquake was felt throughout the region. There are no report of injuries or damage. 
#Venezuela #Sucre #Maturin #Carupano #Terremoto https://t.co/JWlEepmDeI",,Wed Aug 22 02:10:45 +0000 2018
herwartviete,"RT @DrSeawater: If the earthquake doesn't happen to be of intermediate depth. Different agencies report different depths, although USGS mom…","If the earthquake doesn't happen to be of intermediate depth. Different agencies report different depths, although USGS moment tensor solution points to a highly reverse-slip component without neglecting a significant strike-slip component as well https://t.co/v5rW6MEeI8",Wed Aug 22 01:53:49 +0000 2018
DrSeawater,"If the earthquake doesn't happen to be of intermediate depth. Different agencies report different depths, although USGS moment tensor solution points to a highly reverse-slip component without neglecting a significant strike-slip component as well https://t.co/v5rW6MEeI8",,Wed Aug 22 01:47:04 +0000 2018
BoycottBertha,"Buried under 6 anti-Trump headlines, 1 earthquake headline with the  title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is.

An illegal animal murders innocent American.

Fake news at its finest. https://t.co/falWxfN9Go",,Wed Aug 22 01:18:44 +0000 2018
Mortadelo_Bass,"RT @qSQl4O508yJaFyi: Massive earthquake near Sucre, Venezuela - Strongly felt on the Windward islands - August 21, 2018 https://t.co/y1jeMF…","Massive earthquake near Sucre, Venezuela - Strongly felt on the Windward islands - August 21, 2018 https://t.co/y1jeMFqf3B",Wed Aug 22 00:58:50 +0000 2018
thonyvaldiviezo,"Massive earthquake near Sucre, Venezuela - Strongly felt on the Windward islands - August 21, 2018 https://t.co/UbJAt6prAH",,Tue Aug 21 23:53:26 +0000 2018
realTylerZed,"Buried under 6 anti-Trump headlines, 1 earthquake headline with the title “Man Arrested in Connection with Disappearance of Mollie Tibbetts” CNN reported this breaking news.

Disgusting. Report it as it is. An illegal animal murders innocent American. Fake news at its finest.",,Tue Aug 21 23:12:22 +0000 2018
Lady_mvt,"@SoyiniGteleSUR is there any report about the situation in Venezuela after the earthquake, reports coming out of Trinidad showing some damages",,Tue Aug 21 23:04:04 +0000 2018
MsTScienceLabs,"@PhilFerro7 Hi, great report and explanation of the Venezuelan earthquake. Do you archive or record your news casts? I would like to include them in my science lessons. I am also interested in the supermoon forecast from a few months ago. If you have it. Thanks in advanced.",,Tue Aug 21 23:02:35 +0000 2018
mayaccs_,So I'm sitting in from of the building with Coco and there was one lady that keep talking about how (according to who knows who) some dogs can die just from feeling an earthquake. I'm happy to report that I suppress my urges to offer her a sedative,,Tue Aug 21 22:51:45 +0000 2018
crumbdigger,"RT @GodlessNZ: (4) Another good source of technical info and media reporting on the Venezuela earthquake: 

https://t.co/k3L8cW29NA","(4) Another good source of technical info and media reporting on the Venezuela earthquake: 

https://t.co/k3L8cW29NA",Tue Aug 21 22:49:21 +0000 2018
AngeliniAlfredo,"RT @SalihuddinMusa: **M7.3 Earthquake - near the coast of Venezuela**
Preliminary Report
Magnitude- 7.3
Date-Time - 
21 Aug 2018 21:31:43 U…","**M7.3 Earthquake - near the coast of Venezuela**
Preliminary Report
Magnitude- 7.3
Date-Time - 
21 Aug 2018 21:31:43 UTC
21 Aug 2018 21:31:43 near epicenter
Location - 10.739N 62.911W
Depth- 123 km
Distances - 
20.9 km (13.0 mi) NNW of Yaguaraparo, Venezuela",Tue Aug 21 22:33:15 +0000 2018
SalihuddinMusa,"**M7.3 Earthquake - near the coast of Venezuela**
Preliminary Report
Magnitude- 7.3
Date-Time - 
21 Aug 2018 21:31:43 UTC
21 Aug 2018 21:31:43 near epicenter
Location - 10.739N 62.911W
Depth- 123 km
Distances - 
20.9 km (13.0 mi) NNW of Yaguaraparo, Venezuela",,Tue Aug 21 22:32:44 +0000 2018
Quake_Tracker4,"Massive earthquake near Sucre, Venezuela - Strongly felt on the Windward islands - https://t.co/YWEtbiZHaB https://t.co/1MlByVKXN9",,Tue Aug 21 22:28:54 +0000 2018
AlohaEvery1,RT @AP_Honolulu: M7.3 Earthquake - near the coast of Venezuela; Preliminary Report. https://t.co/SEWVb4cA4G,M7.3 Earthquake - near the coast of Venezuela; Preliminary Report. https://t.co/SEWVb4cA4G,Tue Aug 21 22:28:43 +0000 2018
qSQl4O508yJaFyi,"Massive earthquake near Sucre, Venezuela - Strongly felt on the Windward islands - August 21, 2018 https://t.co/y1jeMFqf3B",,Tue Aug 21 22:26:18 +0000 2018
HippyLoft,"RT @cubarro: USGS ENS ens@ens.usgs.gov 
6:02 PM (13 minutes ago)

M7.3 Earthquake - near the coast of Venezuela
Preliminary Report
Magnitud…","USGS ENS ens@ens.usgs.gov 
6:02 PM (13 minutes ago)

M7.3 Earthquake - near the coast of Venezuela
Preliminary Report
Magnitude7.3
Date-Time
21 Aug 2018 21:31:43 UTC
21 Aug 2018 16:31:43 standard time in your timezone
Location10.739N 62.911W
@YanaraVivas https://t.co/yx0RfYt1ag",Tue Aug 21 22:24:04 +0000 2018
cubarro,"USGS ENS ens@ens.usgs.gov 
6:02 PM (13 minutes ago)

M7.3 Earthquake - near the coast of Venezuela
Preliminary Report
Magnitude7.3
Date-Time
21 Aug 2018 21:31:43 UTC
21 Aug 2018 16:31:43 standard time in your timezone
Location10.739N 62.911W
@YanaraVivas https://t.co/yx0RfYt1ag",,Tue Aug 21 22:21:44 +0000 2018
AP_Honolulu,M7.3 Earthquake - near the coast of Venezuela; Preliminary Report. https://t.co/SEWVb4cA4G,,Tue Aug 21 22:19:20 +0000 2018
GodlessNZ,"(4) Another good source of technical info and media reporting on the Venezuela earthquake: 

https://t.co/k3L8cW29NA",,Tue Aug 21 22:19:19 +0000 2018
FranceProSurf,RT @LastQuake: Lap of the effects of M6.9 #earthquake as reported by eyewitnesses. It was felt 1500 km away! PLEASE REPORT YOUR EXPERIENCE…,Lap of the effects of M6.9 #earthquake as reported by eyewitnesses. It was felt 1500 km away! PLEASE REPORT YOUR EXPERIENCE ON OUR WEBSITE https://t.co/OSr2jaub9Y or through our free LastQuake app https://t.co/3YGoH2XDmN,Tue Aug 21 22:19:03 +0000 2018
nwakibie3,my mother is giving me a news report of the earthquake.  jesus,,Tue Aug 21 21:56:19 +0000 2018
LastQuake,Lap of the effects of M6.9 #earthquake as reported by eyewitnesses. It was felt 1500 km away! PLEASE REPORT YOUR EXPERIENCE ON OUR WEBSITE https://t.co/OSr2jaub9Y or through our free LastQuake app https://t.co/3YGoH2XDmN,,Tue Aug 21 21:51:03 +0000 2018
shaniksniks,Called my grandparents as soon as i saw the first set of earthquake tweets. They wanna know how the news report about it so fast and it just happen 😂😭,,Tue Aug 21 21:50:19 +0000 2018
MAGATrumpWins,"RT @The_War_Economy: Norway also did extensive work with Haiti after the earthquake.

The Government of Norway donated between $10 to $25 m…","Norway also did extensive work with Haiti after the earthquake.

The Government of Norway donated between $10 to $25 million to the Clinton Foundation.

https://t.co/SQV1BIErkf

https://t.co/B5oo5WYADv https://t.co/v5zCqKLifs",Tue Aug 21 21:00:43 +0000 2018
MAGATrumpWins,RT @The_War_Economy: Frank Giustra created a $20 million fund with Bill Clinton and Carlos Slim to finance small businesses in earthquake-r…,"Frank Giustra created a $20 million fund with Bill Clinton and Carlos Slim to finance small businesses in earthquake-ravaged Haiti.

Giustra is also one of the top donors to the Clinton Foundation.

https://t.co/ycmLS4Hu8x

https://t.co/tVoaf8Yyor https://t.co/9qvBX65A8N",Tue Aug 21 20:58:14 +0000 2018
MeatBlankett,"A report says as San Francisco grows, so does the risk of a major earthquake. ***How fat are we getting when our weight is now dictating seismic activity?",,Tue Aug 21 16:50:02 +0000 2018
Geetha_Balu,"RT @Sharada_naik: Many Bengalureans, claimed 2have heard a loud noise n felt tremors on 16th.Some of them ran out of their houses fearing a…","Many Bengalureans, claimed 2have heard a loud noise n felt tremors on 16th.Some of them ran out of their houses fearing an earthquake. StateNaturalDisasterMonitoring Centre said no report of earthquake in the region.Wonder,experts must examine the reasons behind such a phenomena.",Tue Aug 21 07:16:59 +0000 2018
Thomas_BSCE,"RT @GeoInstitute: Earthquake risk raises concerns over construction in San Francisco https://t.co/Wu5BtiYybT
 @USGS report estimates 70% ch…","Earthquake risk raises concerns over construction in San Francisco https://t.co/Wu5BtiYybT
 @USGS report estimates 70% chance of M  6.7 or greater over next 30 years",Tue Aug 21 02:06:17 +0000 2018
Yuri_Bezmenov2,"RT @LumpyGravy3: @DRUDGE_REPORT @Yuri_Bezmenov2 Not to worry, a major earthquake is coming. The earth is displaying the spiritual death of…","@DRUDGE_REPORT @Yuri_Bezmenov2 Not to worry, a major earthquake is coming. The earth is displaying the spiritual death of those that are cursing their land by rejecting God",Tue Aug 21 00:55:03 +0000 2018
LumpyGravy3,"@DRUDGE_REPORT @Yuri_Bezmenov2 Not to worry, a major earthquake is coming. The earth is displaying the spiritual death of those that are cursing their land by rejecting God",,Tue Aug 21 00:54:23 +0000 2018
IUSOM,"@Newsweek 16/80-The Independent reported on 12-02-2018 on Sexual Misconduct of British Oxfam Charity:Charities report over 1,000 sexual abuse incidents every year, says regulator:It was not told full story about behavior of activists in aftermath of Haiti earthquake https://t.co/FfrbyRppaM",,Mon Aug 20 22:57:30 +0000 2018
GeoInstitute,"Earthquake risk raises concerns over construction in San Francisco https://t.co/Wu5BtiYybT
 @USGS report estimates 70% chance of M  6.7 or greater over next 30 years",,Mon Aug 20 21:55:10 +0000 2018
Emilio2Q,"RT @MMViverito: ""...the agency (@fema) relied on a five-year-old earthquake and tsunami plan. Overall, the report paints a picture of an ag…","""...the agency (@fema) relied on a five-year-old earthquake and tsunami plan. Overall, the report paints a picture of an agency that was entirely unprepared for such a large-scale disaster."" #BoricuasRemember
#1YearAfterMaria https://t.co/YBIFrIb4kf",Mon Aug 20 20:08:01 +0000 2018
mitch_battros,"A massive 8.2 magnitude earthquake struck in the middle of the Pacific Ocean, roughly 200 miles off Fiji and almost the same distance from Tonga, according to the preliminary report from... https://t.co/GprFiqJfgR",,Mon Aug 20 19:28:04 +0000 2018
accessww,"Two more major earthquakes hit the Indonesian island of #Lombok, just two weeks after a separate #earthquake devastated the island. Postal disruptions are expected. - https://t.co/7IIuspumdT https://t.co/UB84h5eKRM",,Mon Aug 20 14:40:34 +0000 2018
IntravenousLSD,Ghosts of the Tohuku earthquake. @MuralArtistEmma https://t.co/Ig0EiYdMKC,,Mon Aug 20 13:16:02 +0000 2018
MMViverito,"""...the agency (@fema) relied on a five-year-old earthquake and tsunami plan. Overall, the report paints a picture of an agency that was entirely unprepared for such a large-scale disaster."" #BoricuasRemember
#1YearAfterMaria https://t.co/YBIFrIb4kf",,Mon Aug 20 11:37:42 +0000 2018
BCquakehelp,"RT @EQAlerts: #Earthquake M3.2 4km NW of The Geysers, CA 7mins ago 16 Aug 14:14 UTC - report/info: 
https://t.co/RsLMhMdzsh","#Earthquake M3.2 4km NW of The Geysers, CA 7mins ago 16 Aug 14:14 UTC - report/info: 
https://t.co/RsLMhMdzsh",Mon Aug 20 11:10:29 +0000 2018
scourdx,@CNN @GregJKrieg Man i get feed after feed mention trump does this and he did that. Did CNN report the earthquake in Indonesia or near coast of Fiji? Those news can impact tsunami across the west coast &amp; Hawaii. It is sad you would put your agenda over informing public,,Mon Aug 20 03:42:24 +0000 2018
weerenonweer,"Volcano earthquake report for Monday, 20 Aug 2018: Balatukan volcano (Mindanao): magnitude 2.1 earthquakeA magnitude 2.1 earthquake occurred at the volcano 12 hours ago. The quake, which might be volcanic in origin, was located at a depth of 6.0 km depth… https://t.co/KxlCmgrLuu https://t.co/sUq1OcOr93",,Mon Aug 20 02:55:08 +0000 2018
mattheaaaa,"RT @cnmihsem: FOR INFORMATION ONLY...

At 10:27 AM on August 19, 2018, a report of a 8.2 magnitude earthquake occurred around the Fiji Regi…","FOR INFORMATION ONLY...

At 10:27 AM on August 19, 2018, a report of a 8.2 magnitude earthquake occurred around the Fiji Region. Currently, NO TSUNAMI THREAT FOR THE CNMI has been issued.

For more info contact the EOC State Warning Point at 237-8000 or 664-8000
#livepreparedCNMI",Mon Aug 20 00:21:19 +0000 2018
CoreysDigs,@L_007985612 @ElemiFuentes We will never have an exact number. 50 at time of earthquake is documented I believe. Since then likely hundreds more but no proof/docs. Might be more in 2018 human traf report in the file drawer on my site. Chk that doc. 😉,,Sun Aug 19 23:44:54 +0000 2018
KenBGraham,"RT @_JenniGraham: The Indonesian island of Lombok has been rocked by a series of earthquakes. Two weeks ago, more than 460 people were kill…","The Indonesian island of Lombok has been rocked by a series of earthquakes. Two weeks ago, more than 460 people were killed in the worst quake in the island's history. My report for @dwnews: https://t.co/8GZhxXuOGY",Sun Aug 19 23:35:07 +0000 2018
mavillarroel,"RT @philredcross: A magnitude 5.0 earthquake jolted Compostella Valley this morning.
The earthquake was reported with a depth of 207 km and…","A magnitude 5.0 earthquake jolted Compostella Valley this morning.
The earthquake was reported with a depth of 207 km and tectonic in origin (land) 
PRC Chairman Richard Gordon closely coordinated with local PRC chapters and advised chapters to report any untoward incidents.",Sun Aug 19 21:07:57 +0000 2018
_JenniGraham,"The Indonesian island of Lombok has been rocked by a series of earthquakes. Two weeks ago, more than 460 people were killed in the worst quake in the island's history. My report for @dwnews: https://t.co/8GZhxXuOGY",,Sun Aug 19 19:53:28 +0000 2018
apocsnet,RT @IUSOM: @antonioguterres 16/80-The Independent reported on 12-02-2018 on Sexual Misconduct of British Oxfam Charity:Charities report ove…,"@antonioguterres 16/80-The Independent reported on 12-02-2018 on Sexual Misconduct of British Oxfam Charity:Charities report over 1,000 sexual abuse incidents every year, says regulator:It was not told full story about behavior of activists in aftermath of Haiti earthquake https://t.co/FfrbyRppaM",Sun Aug 19 18:30:11 +0000 2018
woahlookatyou,"I’m petrified of earthquakes, thinking about them even panics me. There has been so many big ones the last few days.  😩😳 https://t.co/o1AFhzsMBF",,Sun Aug 19 17:46:03 +0000 2018
IUSOM,"@antonioguterres 16/80-The Independent reported on 12-02-2018 on Sexual Misconduct of British Oxfam Charity:Charities report over 1,000 sexual abuse incidents every year, says regulator:It was not told full story about behavior of activists in aftermath of Haiti earthquake https://t.co/FfrbyRppaM",,Sun Aug 19 17:20:34 +0000 2018
tutatiki,RT @akannampilly: This thread 👇. I remember the sense of despair I felt when the global focus on Nepal shifted a month or so after the 2015…,This thread 👇. I remember the sense of despair I felt when the global focus on Nepal shifted a month or so after the 2015 earthquake. Was so grateful for the opportunity to report on the aftermath for another year and keep the issue alive in people’s minds. https://t.co/Mr4pu8uC5W,Sun Aug 19 16:44:36 +0000 2018
chryschrystello,"Scott C'one
13 hrs ·

A massive 8.2 magnitude earthquake struck in the middle of the Pacific Ocean, roughly 200 miles off Fiji and almost the same distance from Tonga, according to the preliminary report from the US... https://t.co/6zwh7IgYGu",,Sun Aug 19 14:59:34 +0000 2018
CFDTrading1,"8.2-magnitude earthquake strikes in South Pacific off Fiji

A massive 8.2 magnitude earthquake struck in the middle of the Pacific Ocean, roughly 200 miles off Fiji and almost the same distance from Tonga, according to the preliminary report from the... https://t.co/ypyhO0tW1H",,Sun Aug 19 14:57:19 +0000 2018
PeggyHarlan1979,These idiots clearly r doing a job of distraction and division. #fakenews is done! They can’t even report on the massive deep 8.2 Fiji #earthquake that will cause shallower bigger quakes which the pressure will transfer on the plates. Will the media Warn people? No! @dutchsinse https://t.co/K9JgSIPW6y,,Sun Aug 19 12:26:30 +0000 2018
hunnomad,"RSOE EDIS Event Report - A strong earthquake jolted the Indonesian island of Lombok on Sunday, causing landslides on Mount Rinjani and damaging buildings, as it tries to recover from a... https://t.co/zYNvsqgbSz",,Sun Aug 19 10:31:58 +0000 2018
hmdahmdzaf,"RT @NewsMTA: Emotional report from Indonesia - Ahmadi Muslims, suffering themselves in the aftershocks of an earthquake, continue to serve…","Emotional report from Indonesia - Ahmadi Muslims, suffering themselves in the aftershocks of an earthquake, continue to serve locals regardless of religion - even those who formerly opposed Ahmadiyyat @humanityfirst https://t.co/7t0kwmzOnQ",Sun Aug 19 09:33:37 +0000 2018
Signalert,"Very strong Mw 8.2 #Earthquake East of #Fiji #Suva fortunately very deep with low impact at surface and no #tsunami. Report, map, share in real time what you felt of the #earthquake with the free @Signalert app. @TourismFiji @ambafrancefj @FijiRedCross https://t.co/ZkzvuEjHy2",,Sun Aug 19 07:58:33 +0000 2018
minnesota_job,"Massive earthquake hits Pacific Ocean: A massive 8.2 magnitude earthquake struck in the middle of the Pacific Ocean, roughly 200 miles off Fiji and almost the same distance from Tonga, according to the preliminary report from the US Geological Survey. https://t.co/WiSvCsMihh https://t.co/nbt1BIrwYQ",,Sun Aug 19 05:42:04 +0000 2018
talitaolaheofa,"Quick interview with Radio NZ on the earthquake. 

Thankfully nothing much to report. We felt the long shake but no reported damage or loss of life. Reading up on the strength of the earthquake, malo Sisu that it occurred at the depth it did!!",,Sun Aug 19 03:06:03 +0000 2018
rjcroy,"@rnz_news Should this be news? An earthquake that is 250 km below the surface on the Earth is unlikely cause much of a shake. Publishing on every 8+ Magnitude report in the region is a mistake, I think. Can the guidelines be more sophisticated? Estimated depth always given. https://t.co/9tyt56qEsT",,Sun Aug 19 02:51:01 +0000 2018
CindyMae65,RT @lucky13wxman: *BREAKING* A VERY large magnitude 8.2 #earthquake reported off the cost of the island of Fiji. No report of a #tsunami at…,*BREAKING* A VERY large magnitude 8.2 #earthquake reported off the cost of the island of Fiji. No report of a #tsunami at the time of this post. https://t.co/qVFtUiwA0Q,Sun Aug 19 02:31:37 +0000 2018
philredcross,"A magnitude 5.0 earthquake jolted Compostella Valley this morning.
The earthquake was reported with a depth of 207 km and tectonic in origin (land) 
PRC Chairman Richard Gordon closely coordinated with local PRC chapters and advised chapters to report any untoward incidents.",,Sun Aug 19 02:28:25 +0000 2018
