Roland_Heymanns,"""As early as 1989 it was known to the owners of the WTC that the buildings must be brought down before 2007, because the interior steel and exterior aluminum were both compromised and the buildings would be at risk of collapsing.""

https://t.co/mMqtu9nexE",,Sat Aug 04 05:50:09 +0000 2018
MaithelSameer,RT @beep_india: India features high on the list of countries most at risk from the Earth warming. Enough reason to plan and build affordabl…,"India features high on the list of countries most at risk from the Earth warming. Enough reason to plan and build affordable energy efficient buildings for all to reduce the need for air conditioning  https://t.co/hEd62POLbt
#ThermalComfortForAll",Sat Aug 04 05:29:13 +0000 2018
shelleyCurrie13,RT @LandmarkTrust: We’ve been halting the disappearance of Britain’s heritage since 1965. By booking a Landmark holiday in one of our 200 r…,"We’ve been halting the disappearance of Britain’s heritage since 1965. By booking a Landmark holiday in one of our 200 remarkable buildings you help us care for and save more precious places at risk. Everybody is welcome.

Our doors are always open.

https://t.co/wqCL4Vj9Hc https://t.co/sBGrAfwORR",Sat Aug 04 05:14:23 +0000 2018
privyets,"-- the obvious risk of someone unfriendly coming by.

He was currently exploring one of the few buildings. It was more like a shack than a house, though. There wasn't much left at all, but Luka had decided to search around anyway.

Just in case.",,Sat Aug 04 02:13:55 +0000 2018
cockneycampaign,"RT @SAVEBrit: We've got a few pubs that need rescuing on #InternationalBeerDay like the Grand Theatre Pub in Plymouth, which first opened i…","We've got a few pubs that need rescuing on #InternationalBeerDay like the Grand Theatre Pub in Plymouth, which first opened in 1889

See our Buildings at Risk Register to find a few more: https://t.co/T8L0F8ydHp https://t.co/27YJXobnXU",Sat Aug 04 01:33:55 +0000 2018
DEmiliopics,RT @epigraphica3_0: #SOSHeritage! We are finding many inscriptions at risk of disappearing. They are located in abandoned buildings and uni…,#SOSHeritage! We are finding many inscriptions at risk of disappearing. They are located in abandoned buildings and uninhabited environments without protection. @epigraphica3_0 is committed to their preservation and therefore the exact location and recording are two urgent tasks. https://t.co/JHfrEnl9c4,Fri Aug 03 19:07:33 +0000 2018
eamonncanniffe,RT @lesleychalmers: Concerns re St Michael’s’ proximity to historic Victorian buildings reflect wider concerns on city centre - eg the lack…,"Concerns re St Michael’s’ proximity to historic Victorian buildings reflect wider concerns on city centre - eg the lack of affordable homes, heritage buildings at risk of being lost, and distinctive areas such as the Northern Quarter losing their spirit. https://t.co/gHubrW6g5i",Fri Aug 03 18:25:57 +0000 2018
juleskerubo,"RT @citizentvkenya: Tenants' lives in Huruma, Nairobi still at risk as condemned buildings remain occupied. Join @ashamwilu  tonight on #Sp…","Tenants' lives in Huruma, Nairobi still at risk as condemned buildings remain occupied. Join @ashamwilu  tonight on #SpecialAssignment https://t.co/U5plxE7zP8",Fri Aug 03 17:22:59 +0000 2018
SAVEBrit,"We've got a few pubs that need rescuing on #InternationalBeerDay like the Grand Theatre Pub in Plymouth, which first opened in 1889

See our Buildings at Risk Register to find a few more: https://t.co/T8L0F8ydHp https://t.co/27YJXobnXU",,Fri Aug 03 15:50:03 +0000 2018
postandcourier,"Residents of more than 80 units in a James Island condo complex are being displaced after the stairs in their buildings were deemed at risk of collapse. 

https://t.co/mFRgFrfkUD",,Fri Aug 03 14:00:01 +0000 2018
AristaAir,"Nationally and at the state and local levels, exposure to dampness and mold in buildings has been recognized as a public health problem. In this article, we’ll reveal the link between IAQ and mold. #IAQmold https://t.co/zuxIIAXbbD https://t.co/PSksE0oBjQ",,Fri Aug 03 13:43:02 +0000 2018
lesleychalmers,"Concerns re St Michael’s’ proximity to historic Victorian buildings reflect wider concerns on city centre - eg the lack of affordable homes, heritage buildings at risk of being lost, and distinctive areas such as the Northern Quarter losing their spirit. https://t.co/gHubrW6g5i",,Fri Aug 03 12:30:00 +0000 2018
epigraphica3_0,#SOSHeritage! We are finding many inscriptions at risk of disappearing. They are located in abandoned buildings and uninhabited environments without protection. @epigraphica3_0 is committed to their preservation and therefore the exact location and recording are two urgent tasks. https://t.co/JHfrEnl9c4,,Fri Aug 03 10:54:12 +0000 2018
IrishGeorgian,"RT @ulsterahs: Have you applied yet? @CommunitiesNI, Historic Environment Fund closes on 10th August. 

Priority for heritage at risk and t…","Have you applied yet? @CommunitiesNI, Historic Environment Fund closes on 10th August. 

Priority for heritage at risk and thatched buildings: https://t.co/54bovHOMSD https://t.co/S9aerFyw9M",Fri Aug 03 08:20:13 +0000 2018
beep_india,"India features high on the list of countries most at risk from the Earth warming. Enough reason to plan and build affordable energy efficient buildings for all to reduce the need for air conditioning  https://t.co/hEd62POLbt
#ThermalComfortForAll",,Fri Aug 03 07:07:39 +0000 2018
