Subytweets,"RT @albertindian200: #Nepal is in big trouble now. They are playing with #hindu customs. God's will be angry and send earthquake, floods, l…","#Nepal is in big trouble now. They are playing with #hindu customs. God's will be angry and send earthquake, floods, landslides and all. #SaveNepal

@In_deep_trance @deepsealioness @Rani_1234567890 @Aish17aer @Subytweets @kochattil @mahesh10816 @Narayanan3
https://t.co/A5b2xxSsYc",Mon Aug 27 09:26:36 +0000 2018
albertindian200,"#Nepal is in big trouble now. They are playing with #hindu customs. God's will be angry and send earthquake, floods, landslides and all. #SaveNepal

@In_deep_trance @deepsealioness @Rani_1234567890 @Aish17aer @Subytweets @kochattil @mahesh10816 @Narayanan3
https://t.co/A5b2xxSsYc",,Mon Aug 27 09:21:06 +0000 2018
SeismoCloud,"After #earthquake: Expect and prepare for potential aftershocks, landslides or even a tsunami. Tsunamis are often generated by earthquakes",,Mon Aug 27 09:03:02 +0000 2018
News7AsiaPacifi,Multiple strong quakes rock Indonesia’s Lombok island https://t.co/rwiGeeEiEp :Auto pickup by wikyou,,Mon Aug 27 07:33:02 +0000 2018
varun18vijay,"RT @thenewsminute: No link between landslides in Kodagu and earthquake witnessed in July, say scientists 

https://t.co/RN5oYggeev","No link between landslides in Kodagu and earthquake witnessed in July, say scientists 

https://t.co/RN5oYggeev",Sun Aug 26 18:20:25 +0000 2018
joelsgf1974,"@dhanyarajendran What about the Gujarat earthquake, landslides in Uttarakhand etc., all because they ate something similar?",,Sun Aug 26 13:18:38 +0000 2018
SeismoCloud,"After #earthquake: Expect and prepare for potential aftershocks, landslides or even a tsunami. Tsunamis are often generated by earthquakes",,Sun Aug 26 09:45:02 +0000 2018
Rima_Dimpudus,Second day of social service in North Lombok and we go even further to more remote areas.... Landslides in many places and another on site earthquake while we were examining the… https://t.co/JS46vfE07l,,Sun Aug 26 09:24:07 +0000 2018
News7AsiaPacifi,Multiple strong quakes rock Indonesia’s Lombok island https://t.co/rwiGeeEiEp :Auto pickup by wikyou,,Sun Aug 26 04:00:03 +0000 2018
News7AsiaPacifi,Multiple strong quakes rock Indonesia’s Lombok island https://t.co/rwiGeeEiEp :Auto pickup by wikyou,,Sat Aug 25 15:33:02 +0000 2018
KPGanesh,RT @prajwalmanipal: Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by a…,Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by an earthquake in the area on July 9 but seismologists who arrived in Madikeri have debunked this claim. #Kodagu https://t.co/WRyyeOzkef,Sat Aug 25 07:20:34 +0000 2018
SeismoCloud,"After #earthquake: Expect and prepare for potential aftershocks, landslides or even a tsunami. Tsunamis are often generated by earthquakes",,Sat Aug 25 06:45:02 +0000 2018
karnatakacom,RT @prajwalmanipal: Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by a…,Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by an earthquake in the area on July 9 but seismologists who arrived in Madikeri have debunked this claim. #Kodagu https://t.co/WRyyeOzkef,Sat Aug 25 06:14:49 +0000 2018
dhanyarajendran,RT @prajwalmanipal: Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by a…,Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by an earthquake in the area on July 9 but seismologists who arrived in Madikeri have debunked this claim. #Kodagu https://t.co/WRyyeOzkef,Sat Aug 25 06:10:30 +0000 2018
C_Coolidge,"RT @OThomao: Missile ✔
Volcano ✔
Earthquake ✔
Hurricane ✔
Landslides ✔
Brushfire ✔

Did I miss anything on the checklist out here?
#Hawaii…","Missile ✔
Volcano ✔
Earthquake ✔
Hurricane ✔
Landslides ✔
Brushfire ✔

Did I miss anything on the checklist out here?
#Hawaii 
#Oahu",Sat Aug 25 04:10:49 +0000 2018
OThomao,"Missile ✔
Volcano ✔
Earthquake ✔
Hurricane ✔
Landslides ✔
Brushfire ✔

Did I miss anything on the checklist out here?
#Hawaii 
#Oahu",,Sat Aug 25 03:14:12 +0000 2018
News7AsiaPacifi,Multiple strong quakes rock Indonesia’s Lombok island https://t.co/rwiGeeEiEp :Auto pickup by wikyou,,Sat Aug 25 03:00:02 +0000 2018
davedix,Three cows found themselves stranded on a tiny island of grass after an earthquake triggered landslides around them https://t.co/gu06FG9cZb,,Sat Aug 25 00:21:28 +0000 2018
thenewsminute,"No link between landslides in Kodagu and earthquake witnessed in July, say scientists 

https://t.co/RN5oYggeev",,Fri Aug 24 17:30:00 +0000 2018
News7AsiaPacifi,Multiple strong quakes rock Indonesia’s Lombok island https://t.co/rwiGeeEiEp :Auto pickup by wikyou,,Fri Aug 24 14:00:07 +0000 2018
niteesh28,RT @prajwalmanipal: Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by a…,Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by an earthquake in the area on July 9 but seismologists who arrived in Madikeri have debunked this claim. #Kodagu https://t.co/WRyyeOzkef,Fri Aug 24 13:56:59 +0000 2018
earthquakemom,RT @ShakeOut: It's never just about the shaking. We know that the Cascadia Subduction Zone could cause a major earthquake and tsunami affec…,"It's never just about the shaking. We know that the Cascadia Subduction Zone could cause a major earthquake and tsunami affecting the Pacific Northwest region, but see what researchers in this @AGU_EOS article say about landslide potential too: https://t.co/GIveKHxE7K. https://t.co/sZi3wXwbZs",Fri Aug 24 13:50:04 +0000 2018
LACOOEM,RT @ShakeOut: It's never just about the shaking. We know that the Cascadia Subduction Zone could cause a major earthquake and tsunami affec…,"It's never just about the shaking. We know that the Cascadia Subduction Zone could cause a major earthquake and tsunami affecting the Pacific Northwest region, but see what researchers in this @AGU_EOS article say about landslide potential too: https://t.co/GIveKHxE7K. https://t.co/sZi3wXwbZs",Fri Aug 24 13:24:50 +0000 2018
CoorgsRock,RT @prajwalmanipal: Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by a…,Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by an earthquake in the area on July 9 but seismologists who arrived in Madikeri have debunked this claim. #Kodagu https://t.co/WRyyeOzkef,Fri Aug 24 13:10:58 +0000 2018
SeismoCloud,"After #earthquake: Expect and prepare for potential aftershocks, landslides or even a tsunami. Tsunamis are often generated by earthquakes",,Fri Aug 24 12:45:02 +0000 2018
crhemanth,RT @prajwalmanipal: Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by a…,Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by an earthquake in the area on July 9 but seismologists who arrived in Madikeri have debunked this claim. #Kodagu https://t.co/WRyyeOzkef,Fri Aug 24 12:30:12 +0000 2018
MachaiahKA,RT @prajwalmanipal: Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by a…,Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by an earthquake in the area on July 9 but seismologists who arrived in Madikeri have debunked this claim. #Kodagu https://t.co/WRyyeOzkef,Fri Aug 24 11:54:38 +0000 2018
ikaveri,RT @prajwalmanipal: Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by a…,Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by an earthquake in the area on July 9 but seismologists who arrived in Madikeri have debunked this claim. #Kodagu https://t.co/WRyyeOzkef,Fri Aug 24 11:51:08 +0000 2018
prajwalmanipal,Locals in Jodpala and Mukkodlu in Kodagu swear that the landslides in the district in the past week were triggered by an earthquake in the area on July 9 but seismologists who arrived in Madikeri have debunked this claim. #Kodagu https://t.co/WRyyeOzkef,,Fri Aug 24 11:50:10 +0000 2018
thenewsminute,"No link between landslides in Kodagu and earthquake witnessed in July, say scientists https://t.co/RN5oYggeev",,Fri Aug 24 11:45:52 +0000 2018
VanessaEdwar8,RT @marine_maureen: Check out this new @AGU_Eos article from our #cascadia group at the @USGS - nice summary of the 1700 earthquake and how…,Check out this new @AGU_Eos article from our #cascadia group at the @USGS - nice summary of the 1700 earthquake and how to use landslide deposits to help us better understand hazards: https://t.co/SnyAmrdUtG,Fri Aug 24 10:48:49 +0000 2018
Maen_ib96,RT @weatherchannel: 6.9 magnitude #earthquake rocks Indonesia's Lombok Island Sunday where hundreds were killed by another earthquake earli…,6.9 magnitude #earthquake rocks Indonesia's Lombok Island Sunday where hundreds were killed by another earthquake earlier this month: https://t.co/nodjpdDwxu https://t.co/kAyi20V2BY,Fri Aug 24 10:21:45 +0000 2018
JaiPoswal1995,RT @Indian_Rivers: Some pertinent questions here; report reveals link between #earthquake &amp; #landslides that has struck #Karnataka &amp; parts…,Some pertinent questions here; report reveals link between #earthquake &amp; #landslides that has struck #Karnataka &amp; parts of #Kerala amid #monsoon &amp; #flood events: https://t.co/WDv1slPcGQ @indiawater @Vimalgeo @veditum @yamunajiye,Fri Aug 24 10:16:25 +0000 2018
yamunajiye,RT @Indian_Rivers: Some pertinent questions here; report reveals link between #earthquake &amp; #landslides that has struck #Karnataka &amp; parts…,Some pertinent questions here; report reveals link between #earthquake &amp; #landslides that has struck #Karnataka &amp; parts of #Kerala amid #monsoon &amp; #flood events: https://t.co/WDv1slPcGQ @indiawater @Vimalgeo @veditum @yamunajiye,Fri Aug 24 10:09:28 +0000 2018
