thezeimtrain,"RT @USFWS: Natural floodplains along rivers allow room for floodwaters to disperse and slow down rather than rise, rage and threaten commun…","Natural floodplains along rivers allow room for floodwaters to disperse and slow down rather than rise, rage and threaten communities. They also control erosion and filter our drinking water. This photo is of the Ontonagon River in Michigan easily handles a flood. 

📷Tim Palmer https://t.co/a1hgYi3FjD",Mon Aug 27 11:59:40 +0000 2018
SimpleWeatherIN,NWS Alert&gt; Flood Warning for The Wabash River At Covington. From Late Tonight to Wednesday Morning. At Sun 09:45 PM The Stage Was 14.8 Feet. Flood Stage is 16.0 Feet. Minor Flooding is Forecast. Forecast: Rise... #inwx https://t.co/XYjnfEPGHV,,Mon Aug 27 02:51:12 +0000 2018
IMDGuestHouse,"@NWS issued an alert ⚠️: #Flood Warning for #Illinois- Pecatonica River;
#Indiana- Several Rivers; and #Wisconsin- Sugar River at Brodhead. Recent rainfall may cause rivers to rise above action stage. Heed to local warnings. If you encounter a #flooded roadway, turn around.",,Sun Aug 26 14:39:39 +0000 2018
welshdai15,"RT @nehaa_sinha: Dams + sediment = danger. ""Sediment complicated British flood-control efforts.When they built embankments along small sect…","Dams + sediment = danger. ""Sediment complicated British flood-control efforts.When they built embankments along small sections of the river,river bed began to rise faster than before as the deposited alluvium had less space to spread out."" @OmairTAhmad 
https://t.co/pfAKm0jh7l",Sat Aug 25 00:06:27 +0000 2018
tony_trout,"@millbot Yes. This block. A long way from the river, but probably the same level. Which may rise with rain tomorrow. Could E Wash near High Noon flood thinks way?",,Fri Aug 24 03:32:17 +0000 2018
WKOW,FLOOD PREP: Albany braces for flooding as Sugar River continues to rise.  #WakeUpWi #WKOW https://t.co/jv7MtDkhTX,,Thu Aug 23 10:30:01 +0000 2018
GrandmasWeb,"“Each time that I was just finishing up paying off the bills, another flood would hit,”  Elizabeth Boineau’s 1939 Colonial sits a block and a half from the Ashley River in Charleston’s historic district.  She cannot sell and may tear it down. https://t.co/0BXmkqiKJS",,Wed Aug 22 17:05:17 +0000 2018
funeraltears,"RT @RodhamDennehy: La Dispute: Oh, Precious Distance Oh, Precious Pain You've given us a name You've given us a name

My 14 yr old self: RI…","La Dispute: Oh, Precious Distance Oh, Precious Pain You've given us a name You've given us a name

My 14 yr old self: RISE SAID THE KING TO THE RIVER NEVER LET UP NO BRING US A FLOOD AND BRING IT HARD https://t.co/LmmrQyLPE8",Wed Aug 22 17:02:08 +0000 2018
EthanWGAL,"Flood Warning Update:  Conestoga River continues to rise and now it's at moderate flood stage of 12.8'.  The river is expected to crest at 13.4' this afternoon, then start to fall.  The river is now under a flood warning until midnight. https://t.co/L7fTy5mJVQ",,Wed Aug 22 15:19:14 +0000 2018
SimpleWeatherPA,NWS Alert&gt; Flood Warning for The Schuylkill River At Norristown until This Evening . At 9:30 AM Wednesday The Stage Was 12.9 Feet. Flood Stage is 13.0 Feet. Minor Flooding is Forecast. Forecast: Rise Above Flood... #pawx https://t.co/sEtpvhtIN4,,Wed Aug 22 14:06:55 +0000 2018
SimpleWeather4U,NWS Alert&gt; Flood Warning for The Schuylkill River At Norristown until This Evening . At 9:30 AM Wednesday The Stage Was 12.9 Feet. Flood Stage is 13.0 Feet. Minor Flooding is Forecast. Forecast: Rise Above Flood... #pawx https://t.co/dVklSSim0J,,Wed Aug 22 14:06:55 +0000 2018
gaurav4078,RT @TVMohandasPai: Environmental terrorists who opposed ⁦@SriSri⁩ event said that event will divert flow of river!When Yamuna floods it was…,"Environmental terrorists who opposed ⁦@SriSri⁩ event said that event will divert flow of river!When Yamuna floods it washes away everything before it!the impact is seen,People lied to oppose on ideological grounds,exposed! https://t.co/GDSkIPW4rk",Wed Aug 22 13:18:43 +0000 2018
SimpleWeatherPA,NWS Alert&gt; Flood Warning for The Conestoga River At Lancaster until This Evening . At 8 AM Wednesday The Stage Was 10.9 Feet. Flood Stage is 11.0 Feet. Minor Flooding is Forecast. The River is Forecast to Rise... #pawx https://t.co/quA1qVpFDI,,Wed Aug 22 12:53:17 +0000 2018
SimpleWeather4U,NWS Alert&gt; Flood Warning for The Conestoga River At Lancaster until This Evening . At 8 AM Wednesday The Stage Was 10.9 Feet. Flood Stage is 11.0 Feet. Minor Flooding is Forecast. The River is Forecast to Rise... #pawx https://t.co/Gm0vHd0uyX,,Wed Aug 22 12:53:16 +0000 2018
adetayo_noted,RT @GreenAwakening: India—Kolkata (formerly Calcutta) projected by 2070 to have more people exposed to coastal flooding than any city in th…,"India—Kolkata (formerly Calcutta) projected by 2070 to have more people exposed to coastal flooding than any city in the world—near where the Ganges River pours into the sea—booming metropolis is ""totally unprepared"" for flood disasters and sea-level rise https://t.co/ZvqYWPbgY2",Wed Aug 22 07:02:16 +0000 2018
FHWxN,RT @mcdowell_em: Water levels have receded on US 221 North while the river level along the North Fork River  continues to rise. Flash Flood…,Water levels have receded on US 221 North while the river level along the North Fork River  continues to rise. Flash Flood Warning remains in effect.,Wed Aug 22 01:26:08 +0000 2018
wildsrfire,"RT @RodhamDennehy: La Dispute: Oh, Precious Distance Oh, Precious Pain You've given us a name You've given us a name

My 14 yr old self: RI…","La Dispute: Oh, Precious Distance Oh, Precious Pain You've given us a name You've given us a name

My 14 yr old self: RISE SAID THE KING TO THE RIVER NEVER LET UP NO BRING US A FLOOD AND BRING IT HARD https://t.co/LmmrQyLPE8",Tue Aug 21 23:23:27 +0000 2018
chiefgreyfox,RT @SuccessfulFarm: 3 Big Things: Wheat declines overnight on Russia worries; weekly soybean export inspections rise; Missouri River breach…,"3 Big Things: Wheat declines overnight on Russia worries; weekly soybean export inspections rise; Missouri River breaches flood stage in parts of Nebraska, Iowa after torrential rains. https://t.co/emREjwenmv",Tue Aug 21 21:05:09 +0000 2018
ScottyPowell_WX,RT @mcdowell_em: Water levels have receded on US 221 North while the river level along the North Fork River  continues to rise. Flash Flood…,Water levels have receded on US 221 North while the river level along the North Fork River  continues to rise. Flash Flood Warning remains in effect.,Tue Aug 21 19:33:57 +0000 2018
caity_did14,RT @mcdowell_em: Water levels have receded on US 221 North while the river level along the North Fork River  continues to rise. Flash Flood…,Water levels have receded on US 221 North while the river level along the North Fork River  continues to rise. Flash Flood Warning remains in effect.,Tue Aug 21 19:32:12 +0000 2018
mcdowell_em,Water levels have receded on US 221 North while the river level along the North Fork River  continues to rise. Flash Flood Warning remains in effect.,,Tue Aug 21 19:26:21 +0000 2018
SuccessfulFarm,"3 Big Things: Wheat declines overnight on Russia worries; weekly soybean export inspections rise; Missouri River breaches flood stage in parts of Nebraska, Iowa after torrential rains. https://t.co/emREjwenmv",,Tue Aug 21 18:30:32 +0000 2018
SWWITV,"#SWWIalert
FLOOD WARNING for the Sugar River at Brodhead.
At 10:15 AM Tuesday the stage was 3.2 feet. Flood stage is 5.0 ft. The Sugar River will rise above flood stage by early Wed and continuing to near 7.9 ft by Thursday evening, falling below flood stage by Sat afternoon.",,Tue Aug 21 17:59:50 +0000 2018
KScholting,RT @JournalHardin: Rain from the past 36 hours has caused the Missouri River at Plattsmouth to rise to 26.72 feet as of 9:15 p.m. Flood sta…,Rain from the past 36 hours has caused the Missouri River at Plattsmouth to rise to 26.72 feet as of 9:15 p.m. Flood stage is 26.0 feet. The National Weather Service said minor flooding is taking place now. The NWS is projecting the river to rise to 28.6 feet by Tuesday night.,Tue Aug 21 15:33:21 +0000 2018
MariahHarrod,RT @GreenAwakening: India—Kolkata (formerly Calcutta) projected by 2070 to have more people exposed to coastal flooding than any city in th…,"India—Kolkata (formerly Calcutta) projected by 2070 to have more people exposed to coastal flooding than any city in the world—near where the Ganges River pours into the sea—booming metropolis is ""totally unprepared"" for flood disasters and sea-level rise https://t.co/ZvqYWPbgY2",Tue Aug 21 11:27:55 +0000 2018
phytophage3,RT @GreenAwakening: India—Kolkata (formerly Calcutta) projected by 2070 to have more people exposed to coastal flooding than any city in th…,"India—Kolkata (formerly Calcutta) projected by 2070 to have more people exposed to coastal flooding than any city in the world—near where the Ganges River pours into the sea—booming metropolis is ""totally unprepared"" for flood disasters and sea-level rise https://t.co/ZvqYWPbgY2",Tue Aug 21 11:23:42 +0000 2018
