tosa_tina_,"Tell Scott Walker
With all the FLOODING in Southeastern Wisconsin Taxpayers just can't afford to have Foxconn's Toxic Chemicals released into Lake Michigan along w/the RAW SEWAGE already being released

He should have updated our water treatment plants FIRST
#Evers4Wi #TurnWiBlue https://t.co/S9znlK9j6i",,Mon Aug 27 10:59:07 +0000 2018
aroundhampshire,Works confirmed to take on estate's drainage problems: FLOODING and sewage upheaval of roads at Picket Twenty could be coming to an end as works have been agreed to solve the problem. https://t.co/quLjTyBCGy https://t.co/ilOBf8abcD,,Mon Aug 27 08:17:03 +0000 2018
lanand1985,@sumanthraman @ArunEFI Thank you sir. Chitlapakkam lake is full of sewage that water doesn't percolate 😥 We have been fighting to restore lake but nothing has happened. The lake with 100 acres alone can help us avoid flooding.,,Mon Aug 27 03:11:15 +0000 2018
BoyGeorgist,RT @rayaroyle: The cellar of our house has been flooded since we moved in and our landlord hasn’t sorted it. Also we were told the living r…,The cellar of our house has been flooded since we moved in and our landlord hasn’t sorted it. Also we were told the living room floor is unstable and at one point also told the flooding was raw sewage. They are now saying it isn’t- our rent is almost £500 a month #VentYourRent,Sun Aug 26 14:08:01 +0000 2018
wzzm13,"Hilo flooding continues, scent of sewage reported https://t.co/cpWgZCArpv https://t.co/MAtYqNHlsR",,Sun Aug 26 13:20:08 +0000 2018
WFMY,"Hilo flooding continues, scent of sewage reported https://t.co/x4qomREevg",,Sun Aug 26 11:30:21 +0000 2018
wfaa,"Hilo flooding continues, scent of sewage reported https://t.co/LKQA5ilQnL https://t.co/hPiJfpBksq",,Sun Aug 26 11:05:22 +0000 2018
WFMY,"Hilo flooding continues, scent of sewage reported https://t.co/CbDRASUcFb https://t.co/6vTVoBrpJa",,Sun Aug 26 07:00:28 +0000 2018
wfaa,"Hilo flooding continues, scent of sewage reported https://t.co/rBByP9NHeq https://t.co/nQ31RGSkN5",,Sun Aug 26 06:45:13 +0000 2018
anodyne2art,"Ocean Wastewater Advisory Around Hilo, Big Island  Dane Dupont/Hawaii Tracker 8/25/18 

(UNOFFICIAL) - With three different sewage plants spilling into Hilo Bay last night due to flooding and many septic systems... https://t.co/8cX4dKzg6J",,Sun Aug 26 05:22:42 +0000 2018
wzzm13,"Hilo flooding continues, scent of sewage reported https://t.co/NGkuBq5fwm https://t.co/ZZ3Dtblt2x",,Sun Aug 26 04:00:30 +0000 2018
NaniWaialeale,"Ocean Wastewater Advisory Around Hilo, #BigIsland 

(UNOFFICIAL) - With three different sewage plants spilling into #Hilo #HiloBay last night due to flooding and many septic systems… https://t.co/bugniIWU8i",,Sun Aug 26 00:07:11 +0000 2018
tarisgal42,"@KirstySNP @scottish_water I had flooding sewage prob at my back door. Phoned Scot Water who came next day! I had dentist &amp; came home, prob SOLVED. They'd found blockage &amp; fixed, they hosed down back flagstones &amp; swished it clean, Came home to find back door sparkling! Wrote &amp; PRAISED team! They were FAB!",,Sat Aug 25 17:25:57 +0000 2018
NatasiaGascon,"@joey4merica I remember. Spring of 2006. So much rain. So much flooding. Spring break was a disaster cuz even the malls flooded, and sewage was spilling into the ocean closing the beaches. We had forgotten what the sun looked like when it was over!",,Sat Aug 25 15:05:25 +0000 2018
RoyTaine,"@SAASTADebates
#Saastadebate2018
Will the bi product heat have a positive or negative impact on the environment?
Conclusion If it causes excessive rain(flooding) we can construct more sewage to avoid. We can also reuse the by product(water) which also contains hydrogen.",,Sat Aug 25 13:18:26 +0000 2018
basementpump1,RT @Mike76828371: @thameswater @Ofwat  What an absolute disgrace. Cellar flooding daily with sewage for a month now. Two pump outs daily. W…,"@thameswater @Ofwat  What an absolute disgrace. Cellar flooding daily with sewage for a month now. Two pump outs daily. Work not progressing, no calls back from Thames Water, no fix date. Smelly flat, pregnant occupant. Sort it out Thames Water! SE15 3UD",Sat Aug 25 13:00:44 +0000 2018
NecktopP,"@cathmckenna RE: ""they fail to understand the real costs of climate change to Canadians-from extreme heat to fires to flooding""
And you fail to prove the connections to any of these fear mongering allegations. 30 trillion only comes to mind because that's about how much Raw Sewage you dumped.",,Sat Aug 25 12:48:18 +0000 2018
Sadia_Wells,RT @TheATRegister: BREAKING NEWS: Simply to Go as well as McAllister’s is temporarily closed due to sewage flooding. @aggie_dining @ncatcam…,BREAKING NEWS: Simply to Go as well as McAllister’s is temporarily closed due to sewage flooding. @aggie_dining @ncatcampusent #NCAT #NCAT22 #VoiceofNCAT,Sat Aug 25 11:51:41 +0000 2018
KariK484,RT @Isabel_NBC15: Although Mayor Soglin said in a press conference earlier today that there has been no sign of sewage contamination in flo…,"Although Mayor Soglin said in a press conference earlier today that there has been no sign of sewage contamination in flood water yet, people should still be cautious around standing water, which a doctor says could contain bacteria and viruses. https://t.co/8sfv0Llljs #NBC15",Sat Aug 25 06:07:51 +0000 2018
Dani_Bella_Rina,RT @Isabel_NBC15: Although Mayor Soglin said in a press conference earlier today that there has been no sign of sewage contamination in flo…,"Although Mayor Soglin said in a press conference earlier today that there has been no sign of sewage contamination in flood water yet, people should still be cautious around standing water, which a doctor says could contain bacteria and viruses. https://t.co/8sfv0Llljs #NBC15",Sat Aug 25 06:07:10 +0000 2018
nbc15_madison,RT @Isabel_NBC15: Although Mayor Soglin said in a press conference earlier today that there has been no sign of sewage contamination in flo…,"Although Mayor Soglin said in a press conference earlier today that there has been no sign of sewage contamination in flood water yet, people should still be cautious around standing water, which a doctor says could contain bacteria and viruses. https://t.co/8sfv0Llljs #NBC15",Sat Aug 25 01:56:05 +0000 2018
KeyhrcCatherine,"@BoycottUtah @robinta89909237 Remember Frederika Wilson? COS Kelly is a misogynistic, bigoted liar. He is complicit in the sewage flooding the trump administration. https://t.co/8GKNvWZ6sf",,Sat Aug 25 01:42:51 +0000 2018
Isabel_NBC15,"Although Mayor Soglin said in a press conference earlier today that there has been no sign of sewage contamination in flood water yet, people should still be cautious around standing water, which a doctor says could contain bacteria and viruses. https://t.co/8sfv0Llljs #NBC15",,Sat Aug 25 01:36:42 +0000 2018
dust__bath,"weirdest part of the Madison flooding was seeing one of those middle-aged hippie men here walking through the flooded street of his suburb, barefoot. you know that’s sewage right",,Fri Aug 24 22:29:08 +0000 2018
MarkTreyger718,"With @NYCWater DEP Commissioner Sapienza today in Coney Island and Bath Beach, developing short and long term responses to chronic flooding and sewage trench deterioration, the result of poor city planning decades ago and the growing need for federal resiliency measures. https://t.co/RITwPW5loh",,Fri Aug 24 22:17:28 +0000 2018
steffiej,"@VirgilGlass living in buildings that have no working HVAC system and are cooking to death, being scalded purposely in showers, dealing daily with flooding from backed up sewer systems and walking around in 2 feet of raw sewage, &amp; being left to die in cells due to injury while COs watch.",,Fri Aug 24 21:49:42 +0000 2018
thestoryofdani_,RT @TheATRegister: BREAKING NEWS: Simply to Go as well as McAllister’s is temporarily closed due to sewage flooding. @aggie_dining @ncatcam…,BREAKING NEWS: Simply to Go as well as McAllister’s is temporarily closed due to sewage flooding. @aggie_dining @ncatcampusent #NCAT #NCAT22 #VoiceofNCAT,Fri Aug 24 20:01:45 +0000 2018
hiiiikeem,RT @TheATRegister: BREAKING NEWS: Simply to Go as well as McAllister’s is temporarily closed due to sewage flooding. @aggie_dining @ncatcam…,BREAKING NEWS: Simply to Go as well as McAllister’s is temporarily closed due to sewage flooding. @aggie_dining @ncatcampusent #NCAT #NCAT22 #VoiceofNCAT,Fri Aug 24 19:33:03 +0000 2018
_chnae,RT @TheATRegister: BREAKING NEWS: Simply to Go as well as McAllister’s is temporarily closed due to sewage flooding. @aggie_dining @ncatcam…,BREAKING NEWS: Simply to Go as well as McAllister’s is temporarily closed due to sewage flooding. @aggie_dining @ncatcampusent #NCAT #NCAT22 #VoiceofNCAT,Fri Aug 24 19:32:13 +0000 2018
