AWarriorsfaith,"RT @eaglerisers: Let’s put the Monday fires into perspective. Start your week with a positive perspective &amp; mindset... 

“The fire is sprea…","Let’s put the Monday fires into perspective. Start your week with a positive perspective &amp; mindset... 

“The fire is spreading. People are trapped. Firefighters are trapped. If you put the fire out, all the problems go away.”

~ Tim Brown, NYC Firefighter retired, 9/11 Survivor. https://t.co/I2TCz7Q5rt",Mon Aug 27 12:45:39 +0000 2018
eaglerisers,"Let’s put the Monday fires into perspective. Start your week with a positive perspective &amp; mindset... 

“The fire is spreading. People are trapped. Firefighters are trapped. If you put the fire out, all the problems go away.”

~ Tim Brown, NYC Firefighter retired, 9/11 Survivor. https://t.co/I2TCz7Q5rt",,Mon Aug 27 12:27:47 +0000 2018
identicallyfree,"RT @bdunruhe: Tonight we'll know if police have learned anything from the Rostock pogrom, in which a mob was able &amp; encouraged by police ab…","Tonight we'll know if police have learned anything from the Rostock pogrom, in which a mob was able &amp; encouraged by police absence and lack of intervention to set fire to a building with 100 people still trapped inside. https://t.co/I5ZyK6l4yS",Mon Aug 27 09:09:23 +0000 2018
sushghodke,RT @ANI: Ahmedabad: 10 people feared trapped after a four-storey building in Odhav area collapsed; four fire tenders present at the spot. #…,Ahmedabad: 10 people feared trapped after a four-storey building in Odhav area collapsed; four fire tenders present at the spot. #Gujarat https://t.co/XXs4pjOcxI,Mon Aug 27 08:32:35 +0000 2018
bdunruhe,"Tonight we'll know if police have learned anything from the Rostock pogrom, in which a mob was able &amp; encouraged by police absence and lack of intervention to set fire to a building with 100 people still trapped inside. https://t.co/I5ZyK6l4yS",,Mon Aug 27 06:50:05 +0000 2018
Vile_Delinquent,"Translation: ""Hey, you don't have any solutions, so that makes my insane fucking proposal to violate people's right totally valid.

Btw, let me tell you my idea to soak yourself in gasoline when you are trapped by a fire."" https://t.co/09og154cCY",,Mon Aug 27 04:24:31 +0000 2018
hixtapetwt,but what takes the fucking cake was when people where saying they would sacrifice their kids for their husbands if they were trapped in a fire and they only had to choose one,,Mon Aug 27 04:23:03 +0000 2018
waens,@MarkJacksonJb @Uknowsama A volunteer got burned from a gas explosion when he was trying to help people who trapped in a house fire. 😭😭😭Needs help.,,Mon Aug 27 04:12:56 +0000 2018
mayank_kanajara,"RT @ANI: 10 people are feared trapped.2 ppl have been rescued from under the debris. There were total 32 flats in building, notice was give…","10 people are feared trapped.2 ppl have been rescued from under the debris. There were total 32 flats in building, notice was given &amp; it was vacated. It will later be ascertained how did they enter again today.Rescue operations underway: Rajesh Bhatt,Additional Chief Fire Officer https://t.co/j2dLCGXELO",Mon Aug 27 00:18:31 +0000 2018
mayank_kanajara,RT @ANI: #SpotVisuals: 10 people feared trapped after a four-storey building in Ahmedabad's Odhav area collapsed; four fire tenders present…,#SpotVisuals: 10 people feared trapped after a four-storey building in Ahmedabad's Odhav area collapsed; four fire tenders present at the spot. #Gujarat https://t.co/1JCblmcGEU,Mon Aug 27 00:17:54 +0000 2018
itssuzann,"RT @kelly2277: 😳Also.... 3 people trapped in the basement, die in a fire at the SVR BUILDING IN RUSSIA 🇷🇺 https://t.co/81DdCu22p8","😳Also.... 3 people trapped in the basement, die in a fire at the SVR BUILDING IN RUSSIA 🇷🇺 https://t.co/81DdCu22p8",Sun Aug 26 23:09:13 +0000 2018
8t0Ric,"RT @kelly2277: 😳Also.... 3 people trapped in the basement, die in a fire at the SVR BUILDING IN RUSSIA 🇷🇺 https://t.co/81DdCu22p8","😳Also.... 3 people trapped in the basement, die in a fire at the SVR BUILDING IN RUSSIA 🇷🇺 https://t.co/81DdCu22p8",Sun Aug 26 22:25:35 +0000 2018
PakmmkJewels,RT @NewsLeakCentre: Fire that broke out at Crystal Tower in Parel has become Level-3 fire. 10 fire tenders on the spot. People likely to be…,Fire that broke out at Crystal Tower in Parel has become Level-3 fire. 10 fire tenders on the spot. People likely to be trapped. #Crystal #crystaltower https://t.co/CIKY3fd0da,Sun Aug 26 21:22:14 +0000 2018
kei_Isaka,RT @ANI: #SpotVisuals: 10 people feared trapped after a four-storey building in Ahmedabad's Odhav area collapsed; four fire tenders present…,#SpotVisuals: 10 people feared trapped after a four-storey building in Ahmedabad's Odhav area collapsed; four fire tenders present at the spot. #Gujarat https://t.co/1JCblmcGEU,Sun Aug 26 20:08:18 +0000 2018
MANISH62944532,RT @ahmedabadmirror: A block of Government Residential Scheme in #Odhav collapsed tonight. A team of #Ahmedabad Fire and Emergency Services…,A block of Government Residential Scheme in #Odhav collapsed tonight. A team of #Ahmedabad Fire and Emergency Services (AFES) reached the spot and started rescue operations. It is feared that 7 people are trapped beneath the debris. https://t.co/dvHWJomgza,Sun Aug 26 19:39:25 +0000 2018
keith_monika,"RT @kelly2277: 😳Also.... 3 people trapped in the basement, die in a fire at the SVR BUILDING IN RUSSIA 🇷🇺 https://t.co/81DdCu22p8","😳Also.... 3 people trapped in the basement, die in a fire at the SVR BUILDING IN RUSSIA 🇷🇺 https://t.co/81DdCu22p8",Sun Aug 26 19:03:16 +0000 2018
SumeethMSD,"RT @ANI: 10 people are feared trapped.2 ppl have been rescued from under the debris. There were total 32 flats in building, notice was give…","10 people are feared trapped.2 ppl have been rescued from under the debris. There were total 32 flats in building, notice was given &amp; it was vacated. It will later be ascertained how did they enter again today.Rescue operations underway: Rajesh Bhatt,Additional Chief Fire Officer https://t.co/j2dLCGXELO",Sun Aug 26 18:57:58 +0000 2018
SanghiPatriot,RT @DeshGujarat: We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help…,"We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help, can be heard and precise location can be fixed for rescue mission: Fire Officer Rajesh Bhatt  https://t.co/H8NYuTPnpK",Sun Aug 26 18:34:31 +0000 2018
SpeakingPlato,RT @IndianExpress: 10 people feared trapped after a four-storey building in Ahmedabad's Odhav area collapsed; four fire tenders present at…,10 people feared trapped after a four-storey building in Ahmedabad's Odhav area collapsed; four fire tenders present at the spot,Sun Aug 26 18:34:21 +0000 2018
bhav2406,RT @DeshGujarat: We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help…,"We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help, can be heard and precise location can be fixed for rescue mission: Fire Officer Rajesh Bhatt  https://t.co/H8NYuTPnpK",Sun Aug 26 18:23:58 +0000 2018
vishalpcbvisha1,"RT @ANI: 10 people are feared trapped.2 ppl have been rescued from under the debris. There were total 32 flats in building, notice was give…","10 people are feared trapped.2 ppl have been rescued from under the debris. There were total 32 flats in building, notice was given &amp; it was vacated. It will later be ascertained how did they enter again today.Rescue operations underway: Rajesh Bhatt,Additional Chief Fire Officer https://t.co/j2dLCGXELO",Sun Aug 26 18:15:27 +0000 2018
Bp65prajapat,RT @DeshGujarat: We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help…,"We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help, can be heard and precise location can be fixed for rescue mission: Fire Officer Rajesh Bhatt  https://t.co/H8NYuTPnpK",Sun Aug 26 18:14:39 +0000 2018
sameershah,RT @DeshGujarat: We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help…,"We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help, can be heard and precise location can be fixed for rescue mission: Fire Officer Rajesh Bhatt  https://t.co/H8NYuTPnpK",Sun Aug 26 18:11:17 +0000 2018
Deb39188341,"RT @kelly2277: 😳Also.... 3 people trapped in the basement, die in a fire at the SVR BUILDING IN RUSSIA 🇷🇺 https://t.co/81DdCu22p8","😳Also.... 3 people trapped in the basement, die in a fire at the SVR BUILDING IN RUSSIA 🇷🇺 https://t.co/81DdCu22p8",Sun Aug 26 17:46:09 +0000 2018
ketan_patel2020,"RT @tv9gujarati: #Ahmedabad: Odhav Building Collapse
10 people are feared trapped.2 ppl have been rescued. There were total 32 flats in bui…","#Ahmedabad: Odhav Building Collapse
10 people are feared trapped.2 ppl have been rescued. There were total 32 flats in building, notice was given &amp; it was vacated. It will later be ascertained how did they enter again today.Rescue operations underway: Addi. Chief Fire Officer",Sun Aug 26 17:38:12 +0000 2018
nitaldave,RT @DeshGujarat: We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help…,"We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help, can be heard and precise location can be fixed for rescue mission: Fire Officer Rajesh Bhatt  https://t.co/H8NYuTPnpK",Sun Aug 26 17:37:54 +0000 2018
ArtiSharma001,"RT @ANI: 10 people are feared trapped.2 ppl have been rescued from under the debris. There were total 32 flats in building, notice was give…","10 people are feared trapped.2 ppl have been rescued from under the debris. There were total 32 flats in building, notice was given &amp; it was vacated. It will later be ascertained how did they enter again today.Rescue operations underway: Rajesh Bhatt,Additional Chief Fire Officer https://t.co/j2dLCGXELO",Sun Aug 26 17:32:50 +0000 2018
RajeshMacha3,RT @DeshGujarat: We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help…,"We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help, can be heard and precise location can be fixed for rescue mission: Fire Officer Rajesh Bhatt  https://t.co/H8NYuTPnpK",Sun Aug 26 17:32:35 +0000 2018
PagalAnna,"RT DeshGujarat: We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help, can be heard and precise location can be fixed for rescue mission: Fire Officer Rajesh Bhatt  https://t.co/WrLJcIC0AM",,Sun Aug 26 17:28:18 +0000 2018
chhayank,RT @DeshGujarat: We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help…,"We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help, can be heard and precise location can be fixed for rescue mission: Fire Officer Rajesh Bhatt  https://t.co/H8NYuTPnpK",Sun Aug 26 17:27:16 +0000 2018
mrugank981,RT @DeshGujarat: We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help…,"We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help, can be heard and precise location can be fixed for rescue mission: Fire Officer Rajesh Bhatt  https://t.co/H8NYuTPnpK",Sun Aug 26 17:25:17 +0000 2018
HiteshGngr18,RT @DeshGujarat: We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help…,"We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help, can be heard and precise location can be fixed for rescue mission: Fire Officer Rajesh Bhatt  https://t.co/H8NYuTPnpK",Sun Aug 26 17:24:59 +0000 2018
DeshGujarat,"We appeal people gathered around the rubble site not to make noise so that someone under the rubble if at all seeking help, can be heard and precise location can be fixed for rescue mission: Fire Officer Rajesh Bhatt  https://t.co/H8NYuTPnpK",,Sun Aug 26 17:24:19 +0000 2018
bhoopendrasing5,"RT @tv9gujarati: #Ahmedabad: Odhav Building Collapse
10 people are feared trapped.2 ppl have been rescued. There were total 32 flats in bui…","#Ahmedabad: Odhav Building Collapse
10 people are feared trapped.2 ppl have been rescued. There were total 32 flats in building, notice was given &amp; it was vacated. It will later be ascertained how did they enter again today.Rescue operations underway: Addi. Chief Fire Officer",Sun Aug 26 17:23:20 +0000 2018
LakshmiAjay1,"RT @ANI: 10 people are feared trapped.2 ppl have been rescued from under the debris. There were total 32 flats in building, notice was give…","10 people are feared trapped.2 ppl have been rescued from under the debris. There were total 32 flats in building, notice was given &amp; it was vacated. It will later be ascertained how did they enter again today.Rescue operations underway: Rajesh Bhatt,Additional Chief Fire Officer https://t.co/j2dLCGXELO",Sun Aug 26 17:17:30 +0000 2018
LakshmiAjay1,RT @ahmedabadmirror: A block of Government Residential Scheme in #Odhav collapsed tonight. A team of #Ahmedabad Fire and Emergency Services…,A block of Government Residential Scheme in #Odhav collapsed tonight. A team of #Ahmedabad Fire and Emergency Services (AFES) reached the spot and started rescue operations. It is feared that 7 people are trapped beneath the debris. https://t.co/dvHWJomgza,Sun Aug 26 17:16:17 +0000 2018
Rkiyer_com,"RT @tv9gujarati: #Ahmedabad: Odhav Building Collapse
10 people are feared trapped.2 ppl have been rescued. There were total 32 flats in bui…","#Ahmedabad: Odhav Building Collapse
10 people are feared trapped.2 ppl have been rescued. There were total 32 flats in building, notice was given &amp; it was vacated. It will later be ascertained how did they enter again today.Rescue operations underway: Addi. Chief Fire Officer",Sun Aug 26 17:14:46 +0000 2018
