Mawiiep,RT @PiPemc: #earthquake #temblor barbados. 7.3 en la escala. https://t.co/QIzrv27OtR,#earthquake #temblor barbados. 7.3 en la escala. https://t.co/QIzrv27OtR,Thu Aug 23 11:24:33 +0000 2018
Gozooown13,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 11:22:29 +0000 2018
debbieiw,Wardrobe door shaking during earthquake. #bali https://t.co/x3VXC7qHm4,,Thu Aug 23 11:19:59 +0000 2018
smileserry,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 11:18:54 +0000 2018
faridariadno,RT @Elle65139922: The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venez…,The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venezuela🇻🇪7.0. Felt it here in Grenada🇬🇩. https://t.co/nS8fNqU2gV,Thu Aug 23 11:18:09 +0000 2018
micahgallant,I added a video to a @YouTube playlist https://t.co/p37XJDbasG Oregon Earthquake sparks fears of Big one - Downfall of western nations,,Thu Aug 23 11:18:08 +0000 2018
hatefulpotato,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 11:17:57 +0000 2018
JeanPaul0851,"EARTHQUAKE, EMP, 5G ATTACK PLANS (Video) https://t.co/7MQqTqORY1",,Thu Aug 23 11:17:08 +0000 2018
amir_nasreen,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 11:13:18 +0000 2018
NovusVero,Video: Venezuelan Leader Celebrates 'Socialist' Earthquake https://t.co/WDvmSPTIpo,,Thu Aug 23 11:12:21 +0000 2018
MindySueChapman,RT @sxeishorty: Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Thu Aug 23 11:11:33 +0000 2018
AllyaJackson,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 11:11:02 +0000 2018
Nariomaurer,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 11:10:56 +0000 2018
