ItsSarahCrewe,@dost_pagasa hi po tanong ko lang po kailan po natin ginagamit ang bagyo? sa typhoon lang ba o s alahat ng tropical cyclone,,Sun Aug 26 00:05:35 +0000 2018
akosiicko,RT @dost_pagasa: The Southwest Monsoon (Habagat) enhanced by the Typhoon will bring occasional moderate to heavy rains over Cordillera Admi…,"The Southwest Monsoon (Habagat) enhanced by the Typhoon will bring occasional moderate to heavy rains over Cordillera Administrative Region, Ilocos Norte, Ilocos Sur, Babuyan Group of Islands and Batanes.",Wed Aug 22 05:00:03 +0000 2018
MilesPowell,"RT @dost_pagasa: Typhoon “SOULIK” continues to move generally Northwestward while maintaining its strength.

https://t.co/SvvVMnH202 https:…","Typhoon “SOULIK” continues to move generally Northwestward while maintaining its strength.

https://t.co/SvvVMnH202 https://t.co/ceFiMv5n2c",Wed Aug 22 02:50:10 +0000 2018
MiracelJuanta,"RT @PhilstarNews: #AsItHappens: Although outside PAR, @dost_pagasa says Severe Tropical Storm Cimaron and Typhoon Soulik are enhancing the…","#AsItHappens: Although outside PAR, @dost_pagasa says Severe Tropical Storm Cimaron and Typhoon Soulik are enhancing the ""habagat."" Monsoon rains are expected over Ilocos and Cordillera regions, Zambales, Bataan, Batanes and Babuyan Group of Islands. More: https://t.co/tGRoh5dnWB https://t.co/SQk8OOvYnP",Tue Aug 21 01:41:34 +0000 2018
PhilstarNews,"#AsItHappens: Although outside PAR, @dost_pagasa says Severe Tropical Storm Cimaron and Typhoon Soulik are enhancing the ""habagat."" Monsoon rains are expected over Ilocos and Cordillera regions, Zambales, Bataan, Batanes and Babuyan Group of Islands. More: https://t.co/tGRoh5dnWB https://t.co/SQk8OOvYnP",,Tue Aug 21 01:38:28 +0000 2018
PTVph,"@dost_pagasa .@dost_pagasa  The Typhoon may slightly enhance the Southwest Monsoon tomorrow (August 21), which could bring occasional moderate to heavy rains across Extreme Northern Luzon (Babuyan Islands, Batanes and the northern portions of Ilocos Norte)",,Mon Aug 20 03:53:14 +0000 2018
PTVph,".@dost_pagasa (11:00 AM)

Typhoon “SOULIK” has maintained its strength as it continues to move Westward. https://t.co/hXsa0vcZDr",,Mon Aug 20 03:52:57 +0000 2018
AimHighMC130E,RT @PhilstarNews: #AsItHappens: A stronger Typhoon Soulik and Tropical Storm Cimaron are being monitored by @dost_pagasa. Both tropical cyc…,"#AsItHappens: A stronger Typhoon Soulik and Tropical Storm Cimaron are being monitored by @dost_pagasa. Both tropical cyclones, however, are not seen to enter the Philippine area of responsibility. 

Details here: https://t.co/tGRoh5dnWB https://t.co/YpBV731TUD",Sun Aug 19 09:48:23 +0000 2018
PhilstarNews,"#AsItHappens: A stronger Typhoon Soulik and Tropical Storm Cimaron are being monitored by @dost_pagasa. Both tropical cyclones, however, are not seen to enter the Philippine area of responsibility. 

Details here: https://t.co/tGRoh5dnWB https://t.co/YpBV731TUD",,Sun Aug 19 09:46:57 +0000 2018
mcborreo,RT @101HealthRsrch: Wow. #MachineLearning to predict #typhoon trajectories in the #Philippines! Heads up @dost_pagasa! Good job @aim_edu #a…,Wow. #MachineLearning to predict #typhoon trajectories in the #Philippines! Heads up @dost_pagasa! Good job @aim_edu #aimdatascience https://t.co/VnZWX5M1DW,Fri Aug 17 07:00:44 +0000 2018
101HealthRsrch,Wow. #MachineLearning to predict #typhoon trajectories in the #Philippines! Heads up @dost_pagasa! Good job @aim_edu #aimdatascience https://t.co/VnZWX5M1DW,,Fri Aug 17 06:44:13 +0000 2018
coolwindsresinc,"@dost_pagasa Super thanks for this advice! When is the next typhoon? Please advice us ahead so we can prepare, will 3 days ahead be possible?",,Thu Aug 16 00:47:35 +0000 2018
PrinceGelo22,"Dear @NDRRMC_OpCen and  @MMDA @dost_pagasa 

Sana po di lang puro earthquake drill yung punan nyu ng pansin sana po meron ding Flood Drill Para maging aware yung lahat ng Tao kung San Ligtas na Lugar And I Thank You 😘

 #Habagat2018
 #RescuePH",,Thu Aug 16 05:18:53 +0000 2018
Marvinvilla1970,@nababaha @dzbb @rapplerdotcom @MMDA @QCPublicAffairs @bayanmo @dost_pagasa @gmanews @ukgdos Kaya nga po isang oras na mabigat ang ulan. Di na kami natutulog. Pag tumaas na ang tubig sa kanal. Pinipindot na namin ang siren pra magising ang mga tao. For 40 years ganyan po kami. May remedy kaya po yan? Parang flood defense tulad sa ibang bansa,,Wed Aug 22 00:44:21 +0000 2018
Marvinvilla1970,"@dzbb Ngayon. #baha. Ga baywang o mahigit na two feet flood sa westriverside st. Brgy san antonio, frisco quezon city 😬 @rapplerdotcom @MMDA @QCPublicAffairs @bayanmo @nababaha @dost_pagasa @gmanews @ukgdos juicekopo. Linis. Gastos. Pagod https://t.co/mQidXjTbIT",,Mon Aug 20 21:38:21 +0000 2018
AmilAtencio,"RT @IMReadyPH: (1PM, Aug. 20)

Yellow Warning Level: #Bataan, #Zambales and #Bulacan
FLOODING in flood-prone areas. - @dost_pagasa #IMReady…","(1PM, Aug. 20)

Yellow Warning Level: #Bataan, #Zambales and #Bulacan
FLOODING in flood-prone areas. - @dost_pagasa #IMReady https://t.co/6ZCm4XFn8l",Mon Aug 20 05:56:45 +0000 2018
PTVph,".@dost_pagasa (1:00 PM)

Yellow Warning Level: Bataan, Zambales and Bulacan
flooding in flood-prone areas. https://t.co/aC2aIM4zV4",,Mon Aug 20 05:09:22 +0000 2018
IMReadyPH,"(1PM, Aug. 20)

Yellow Warning Level: #Bataan, #Zambales and #Bulacan
FLOODING in flood-prone areas. - @dost_pagasa #IMReady https://t.co/6ZCm4XFn8l",,Mon Aug 20 05:01:06 +0000 2018
PTVph,".@dost_pagasa (10:00 AM)

Yellow Warning Level: Bataan, Zambales Pampanga and Bulacan FLOODING in flood-prone areas. https://t.co/kpMjnk9hzI",,Mon Aug 20 02:24:32 +0000 2018
bimboy_palaboy,"HEAVY RAINFALL WARNING @dost_pagasa 
Issued at 4AM

YELLOW LEVEL (Heavy Rains):
Zambales, Bataan, &amp; Pampanga

Flooding possible in flood-prone areas

Next issuance at 7AM. #HabagatPH

Left: Subic Radar
Right: Baguio Radar https://t.co/bOEj7c5qJI",,Sun Aug 19 20:28:20 +0000 2018
IMReadyPH,"Rainfall Warning No. 1 #NCR_PRSD
Weather System: Southwest Monsoon
Issued at: 4:16 PM 19 August 2018

Yellow Warning Level: HEAVY RAINS may cause flooding in flood-prone areas in #Zambales.

via @dost_pagasa https://t.co/90Ew7unZOU",,Sun Aug 19 08:36:59 +0000 2018
Isaac_Russell11,RT @ABSCBNNews: HEADS UP. Red Rainfall Warning up over Metro Manila and Rizal as of 8:00 p.m. Saturday. Serious flooding is expected in flo…,"HEADS UP. Red Rainfall Warning up over Metro Manila and Rizal as of 8:00 p.m. Saturday. Serious flooding is expected in flood prone areas, @dost_pagasa says. #WeatherPatrol https://t.co/fnaFuPqc49",Fri Aug 17 01:37:21 +0000 2018
MrPepsiLLas,"RT @theprodigal4: Heavy rain on a holiday? 
@MMDA @dost_pagasa https://t.co/66dWq0xHOG","Heavy rain on a holiday? 
@MMDA @dost_pagasa https://t.co/66dWq0xHOG",Mon Aug 20 20:24:39 +0000 2018
theprodigal4,"Heavy rain on a holiday? 
@MMDA @dost_pagasa https://t.co/66dWq0xHOG",,Mon Aug 20 20:22:10 +0000 2018
Marvinvilla1970,@marvsbarnardjr @dost_pagasa @YouScoop @gmanews @dzbb Heavy rain sa frisco qc. May isang oras @QCPublicAffairs @MMDA delikado #alert #baha @DZMMTeleRadyo,,Mon Aug 20 20:14:42 +0000 2018
rain_ohlalan,@Surrearlism @ABSCBNNews @DepEd_PH @gmanews,,Sat Aug 18 04:58:18 +0000 2018
ReighPatrick,@DepEd_PH bawal po ba na ang isang paaralan hindi nagsasagawa ng earthquake drill? https://t.co/eu5zVNCShv,,Sat Aug 25 16:13:06 +0000 2018
mabasa926,"@DepEd_PH bakit po ba lagi me kailangan bayaran ang mga estudyante ng dr.juan g. nolasco high school?? nung araw nmn n nag aaral ako jan wala namn ganyan,,pati mga earthquake drill n yan cnasamantala n,,pinabibili ng hardhat tapos ung mga magulang na gaya ko na me hardhat at iba",,Fri Aug 17 23:43:28 +0000 2018
organic_twinkie,"@islandmama0105 @HuffPostPol The proof is her word, her credibility as an accomplished, successful person with nothing to gain by lying, and the fact that TSA has been caught and admitted to profiling many times.
https://t.co/gPW9YZRzVO
 https://t.co/51sPVkxrgI",,Fri Aug 24 12:54:05 +0000 2018
SteveNZAUVA,"RT @CNN: A stolen plane with only an airline employee aboard has crashed after an unauthorized takeoff, officials at Seattle airport say ht…","A stolen plane with only an airline employee aboard has crashed after an unauthorized takeoff, officials at Seattle airport say https://t.co/AerfCycRQf",Thu Aug 16 14:30:42 +0000 2018
AndrewJCambray,@dallasnews He would have strangled her a long time ago and gotten away with it.,,Sun Aug 26 07:59:46 +0000 2018
bjsbook,RT @eshap: Confused by the compliance of the @SenateGOP to the Trump/Russian Mafia? Take a look at who took how much in donations from Russ…,"Confused by the compliance of the @SenateGOP to the Trump/Russian Mafia? Take a look at who took how much in donations from Russian Mobsters:

@SenMajLdr: $2.5mil
@marcorubio: $1.5 mil
@LindseyGrahamSC: $800K

@dallasnews:
https://t.co/PYxJ2pn91i",Sun Aug 26 07:52:29 +0000 2018
uphillbttle11,https://t.co/2i1w9hF1tH https://t.co/2i1w9hF1tH https://t.co/CHN3704EMK https://t.co/gtDpwxgNoJ Well done Classic Non Court Ordered paternity testing switch up Oceans 4 @TMZ @GloriaAllred @dallasnews  @nytimes @startelegram @Oprah @GlobalBCMorning @CTVVancouver @CNN @KTWonBLAZERS,,Sun Aug 26 07:37:51 +0000 2018
patricia_grz,"RT @dallasnews: It's a safety measure! It's a crime deterrent! No, it’s just a design thing. Why are there blue lights on top of Dallas’ st…","It's a safety measure! It's a crime deterrent! No, it’s just a design thing. Why are there blue lights on top of Dallas’ streetlights by the Trinity River? Curious Texas has the answer https://t.co/URwrEGAEcK",Sun Aug 26 07:26:34 +0000 2018
uphillbttle11,And unfortunately for you the girl that brought you the drinks was the girl you both fake paternity tested against Awkward @TMZ @GloriaAllred @dallasnews #BlackLivesMatter @LisaBloom @washingtonpost @nytimes @startelegram @Oprah @GlobalBCMorning @CTVVancouver @CNN @KTWonBLAZERS,,Sun Aug 26 07:20:01 +0000 2018
uphillbttle11,Hate to Blow the whistle But  I was your waitress at both clubs... I get it...the secret is out You do backroom deals But oops someone has to bring you your drinks @TMZ @GloriaAllred @dallasnews  @LisaBloom @washingtonpost @nytimes @startelegram @Oprah @CTVVancouver @GlobeBC,,Sun Aug 26 07:15:08 +0000 2018
uphillbttle11,https://t.co/2i1w9hF1tH https://t.co/ve79f6bSQe Iimpractical that I ask for my @LifeLabs paternity test of @StarsTGaglardi be disputed due to club conflicts?  @TMZ @GloriaAllred @dallasnews #BlackLivesMatter @LisaBloom @washingtonpost @nytimes @startelegram @Oprah @globalnews,,Sun Aug 26 07:00:20 +0000 2018
MurphyBrwn,".@gop @tedcruz remains ignorant

If you took the time to watch the @BetoORourke video, you'd understand the @NFL is NOT protesting the anthem, but social injustice.  
         
            🔊 VOTE @BetoORourke FOR US SENATE      

@NFLPA @dallasnews @HoustonChron @startelegram https://t.co/tLWgfgdJf2",,Sun Aug 26 06:55:03 +0000 2018
cassandrajar,"RT @ldelucaDMN: RIP Sen. John McCain, pictured here on the campaign trail in 2008 @SenJohnMcCain @dallasnews https://t.co/WvCNVn86Fj","RIP Sen. John McCain, pictured here on the campaign trail in 2008 @SenJohnMcCain @dallasnews https://t.co/WvCNVn86Fj",Sun Aug 26 06:47:43 +0000 2018
famlawyer,RT @dallasnews: You can now get a fully cooked brisket delivered overnight from Texas A&amp;M's barbecue experts https://t.co/3NXBCKAMZL,You can now get a fully cooked brisket delivered overnight from Texas A&amp;M's barbecue experts https://t.co/3NXBCKAMZL,Sun Aug 26 06:43:19 +0000 2018
uphillbttle11,Maybe we don't parrot around like our last name is Golden....But as proud BC guys I thought we didn't take the 25 million I thought we were better than that I am Shocked   @GloriaAllred @dallasnews  @LisaBloom @washingtonpost @maddow @latimes @nytimes @startelegram @Oprah,,Sun Aug 26 06:41:31 +0000 2018
uphillbttle11,It might mean nothing to you But 4 Generations of BC Family history stopped by Unstated Paternity a BC Gov Policy of Unregulating and not Court Ordering Paternity tests...?  @TMZ @GloriaAllred @dallasnews #BlackLivesMatter @LisaBloom @washingtonpost @nytimes @startelegram @Oprah,,Sun Aug 26 06:33:32 +0000 2018
CupMargaret,"@dallasnews @NancyLRogers1 My daughter is a school librarian and has a license to carry. She is an excellent shot and has practiced for years. My son is a detective in vice and a sharp shooter, he says she could probably beat him. She’s in a good location in the school and not afraid",,Sun Aug 26 06:27:43 +0000 2018
realityinACTION,"RT @realityinACTION: €.... @elpasotimes @statesman @HoustonChron 
@dallasnews ...... We are #TEXAS &lt; 
@BillPeriman @replouiegohmert @SenTed…","€.... @elpasotimes @statesman @HoustonChron 
@dallasnews ...... We are #TEXAS &lt; 
@BillPeriman @replouiegohmert @SenTedCruz @NahBabyNah @vdare @terresamonroe @tgradous 
@OverTheMoonbat @CR @LouDobbs @TPPatriots https://t.co/Zx3nwDWyKM",Sun Aug 26 06:24:16 +0000 2018
