WIADGenova,"#RT @mtderiw: RT @commongroundppl: #servicedesign from the user perspective! From lemonade kiosks to water distribution point, experience, research, improve. #SXSouth starting day 2 fixing broken services in Siracusa. https://t.co/5QSHwZocA9",,Wed Aug 01 08:07:12 +0000 2018
mtderiw,"RT @commongroundppl: #servicedesign from the user perspective! From lemonade kiosks to water distribution point, experience, research, impr…","#servicedesign from the user perspective! From lemonade kiosks to water distribution point, experience, research, improve. #SXSouth starting day 2 fixing broken services in Siracusa. https://t.co/g2gHHSlGJr",Wed Aug 01 07:39:31 +0000 2018
commongroundppl,"#servicedesign from the user perspective! From lemonade kiosks to water distribution point, experience, research, improve. #SXSouth starting day 2 fixing broken services in Siracusa. https://t.co/g2gHHSlGJr",,Tue Jul 31 07:04:30 +0000 2018
cmputrwiz,"RT @Jeremy_Ellwood: @ProfessorDNA @50linesonly @nytopinion @JordanChariton Fun point of note.
Bernie's field office remained open AFTER the…","@ProfessorDNA @50linesonly @nytopinion @JordanChariton Fun point of note.
Bernie's field office remained open AFTER the Michigan primaries for the sole purpose of water distribution... which he was doing throughout the campaign WITHOUT politicizing the issue. It was strictly to distribute water. 

So... yeah... corporate dems. Yay.",Sun Jul 29 22:03:45 +0000 2018
ProfessorDNA,"RT @Jeremy_Ellwood: @ProfessorDNA @50linesonly @nytopinion @JordanChariton Fun point of note.
Bernie's field office remained open AFTER the…","@ProfessorDNA @50linesonly @nytopinion @JordanChariton Fun point of note.
Bernie's field office remained open AFTER the Michigan primaries for the sole purpose of water distribution... which he was doing throughout the campaign WITHOUT politicizing the issue. It was strictly to distribute water. 

So... yeah... corporate dems. Yay.",Sun Jul 29 14:30:24 +0000 2018
50linesonly,"RT @Jeremy_Ellwood: @ProfessorDNA @50linesonly @nytopinion @JordanChariton Fun point of note.
Bernie's field office remained open AFTER the…","@ProfessorDNA @50linesonly @nytopinion @JordanChariton Fun point of note.
Bernie's field office remained open AFTER the Michigan primaries for the sole purpose of water distribution... which he was doing throughout the campaign WITHOUT politicizing the issue. It was strictly to distribute water. 

So... yeah... corporate dems. Yay.",Sun Jul 29 14:05:27 +0000 2018
Jeremy_Ellwood,"@ProfessorDNA @50linesonly @nytopinion @JordanChariton Fun point of note.
Bernie's field office remained open AFTER the Michigan primaries for the sole purpose of water distribution... which he was doing throughout the campaign WITHOUT politicizing the issue. It was strictly to distribute water. 

So... yeah... corporate dems. Yay.",,Sun Jul 29 06:57:10 +0000 2018
MichaelTeeter1,RT @wx8: Kalamazoo County has asked Parchment residents to stop drinking municipal water after high levels of PFAS were detected. Parchment…,Kalamazoo County has asked Parchment residents to stop drinking municipal water after high levels of PFAS were detected. Parchment HS is a bottled water distribution point: https://t.co/Ck4OEzElfh https://t.co/NRn4yJQ5Af,Fri Jul 27 22:01:07 +0000 2018
ZachLassiter,Video of Sunrise Kalamazoo showing up in Parchment's water distribution point and starting drama https://t.co/iPBW4tcS8E,,Fri Jul 27 17:48:24 +0000 2018
ZachLassiter,"And we have our first group trying to make political hay out of this... instead of showing up to the water distribution point to help hand out water, they show up to start drama which distracts from getting people the water they need. some group is already starting political hay",,Fri Jul 27 17:47:55 +0000 2018
