jaffergullam,RT @CWGC: Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was…,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,Fri Aug 03 05:52:45 +0000 2018
CWGC,Please be aware that the @CWGC’s Loos British Cemetery in France will be closed this afternoon after a large unexploded bomb was found close to the cemetery. A bomb disposal team are currently dealing with it and we expect the cemetery to be back open by the end of today. https://t.co/jVe23KeZVy,,Wed Aug 01 12:18:41 +0000 2018
cathbessant1,"RT @BBCRadioSolent: A device, being treated as a possible unexploded ordnance, has been found in the water at Lee-on-the-Solent.

The coast…","A device, being treated as a possible unexploded ordnance, has been found in the water at Lee-on-the-Solent.

The coastguard say the object was discovered yesterday evening by a member of the public launching a boat.

Bomb disposal experts will inspect the device this afternoon.",Wed Aug 01 12:07:26 +0000 2018
PatrickShrier,they found an unexploded bomb from this raid a few years ago when they started digging for the new elementary school on the US base now on Graf. https://t.co/Uh8OfYPYJl,,Wed Aug 01 10:34:47 +0000 2018
GlobalsNewsroom,"A possible unexploded bomb's been found in the water at Lee-on-the-Solent.
A bomb disposal team's going to inspect it today.@HeartSouthNews https://t.co/5dBMaPBmcF",,Wed Aug 01 08:45:00 +0000 2018
CapitalSCNews,"The beach at Lee-on-the-Solent has a cordon up after a suspected unexploded bomb was found.
A bomb disposal team will inspect it later. #CapitalReports https://t.co/yS77BPdnc4",,Wed Aug 01 08:21:01 +0000 2018
HeartSouthNews,"A possible unexploded bomb's been found in the water at Lee-on-the-Solent.
A bomb disposal team's going to inspect it today. #HeartNews https://t.co/hp61HUQyoT",,Wed Aug 01 08:19:57 +0000 2018
BBCRadioSolent,"A device, being treated as a possible unexploded ordnance, has been found in the water at Lee-on-the-Solent.

The coastguard say the object was discovered yesterday evening by a member of the public launching a boat.

Bomb disposal experts will inspect the device this afternoon.",,Wed Aug 01 07:43:58 +0000 2018
GenTree74,RT @Kent_999s: RECULVER: Unconfirmed report of two incidents in Reculver near Herne Bay this morning. A body was reportedly found on one pa…,"RECULVER: Unconfirmed report of two incidents in Reculver near Herne Bay this morning. A body was reportedly found on one part of the beach and a possible unexploded bomb was found on another part, close by, off Reculver Lane, apparently near Reculver caravan park.",Sun Jul 29 12:31:47 +0000 2018
davidzinn54,"RT @TrueScotland: #Balmedie #Beach, just north of #Aberdeen, was a designated 'bomb graveyard in #WWII - with its expansive sandy beach, it…","#Balmedie #Beach, just north of #Aberdeen, was a designated 'bomb graveyard in #WWII - with its expansive sandy beach, it was perfect for detonating unexploded bombs without worrying about anyone getting in the way! Pillar boxes such as this one can still be found in the dunes. https://t.co/UDgb0BOXu7",Sun Jul 29 08:02:11 +0000 2018
TrueScotland,"#Balmedie #Beach, just north of #Aberdeen, was a designated 'bomb graveyard in #WWII - with its expansive sandy beach, it was perfect for detonating unexploded bombs without worrying about anyone getting in the way! Pillar boxes such as this one can still be found in the dunes. https://t.co/UDgb0BOXu7",,Sun Jul 29 06:00:36 +0000 2018
Kent_999s,"RECULVER: Unconfirmed report of two incidents in Reculver near Herne Bay this morning. A body was reportedly found on one part of the beach and a possible unexploded bomb was found on another part, close by, off Reculver Lane, apparently near Reculver caravan park.",,Sat Jul 28 14:36:23 +0000 2018
VoiceOfTreason_,"So, long story short, last night an unexploded sea mine was found buried in my aunt's garden. Bomb squad came down from Dublin and I've been laughing for 12 hours straight. This would only happen to her 😂",,Fri Jul 27 14:10:33 +0000 2018
ThinkBigPalau,"(Island Times)  -  500-pound bomb found near Dolphins Pacific

 Admin    27 Jul 2018
 
As part of the organized removal of Unexploded Ordinances (UXO), the National Safety Office of the Bureau of Public Works... https://t.co/sUG1QjENDq",,Fri Jul 27 02:56:57 +0000 2018
