zepy32,"@TylerElsa @sonomasheriff Seems like they were being blunt and honest because they don't have time to talk to people that aren't interested in evacuating from a fire that could potentially kill them. They're not there to do community outreach or report news, they're there to save lives.",,Sat Aug 04 07:04:24 +0000 2018
pamela12931446,"@KarlKrambert @davidjshipley @MrAndyNgo I don’t know, but there was shit in the street...that’s a biological weapon as far as I’m concerned, and people that condone evacuating your colon on a public street, should be put in a mental institution.",,Sat Aug 04 04:50:13 +0000 2018
ForsakenEmpress,"all north koreans are evil bc kim jong un, aight

did you even do the questline? you're busy evacuating people 
the only one who's okay with the burning is Sylvanas and arguably Nathanos https://t.co/qZSb1O5xWF",,Sat Aug 04 00:52:12 +0000 2018
Vikalp6990,RT @11Ndrf: #flood2018 @11Ndrf team evacuating flood affected people in behraich up. @NDRFHQ @UPCMyogi @CMOfficeUP @rahat_up https://t.co/U…,#flood2018 @11Ndrf team evacuating flood affected people in behraich up. @NDRFHQ @UPCMyogi @CMOfficeUP @rahat_up https://t.co/Unl4CifvNc,Sat Aug 04 00:21:09 +0000 2018
barbarawood,"@MarianKeyes People do realize that Greece is living through extreme chaos in recent weeks due to the fires that have raged in the greater Athens area? The airport and airlines who operate there have been evacuating people as a priority. If they lose a few bags, give them a break 😉",,Fri Aug 03 23:41:29 +0000 2018
SubBeck,"While evacuating the town, people in Lynchburg should be thinking about climate change. https://t.co/3305a0J9Tz",,Fri Aug 03 23:15:37 +0000 2018
sachikoko,"RT @MiddletownVets: Lastly, if you are evacuating from the most recent evacuation zones of  Clearlake Oaks, Lucerne &amp; Glenhaven areas &amp; you…","Lastly, if you are evacuating from the most recent evacuation zones of  Clearlake Oaks, Lucerne &amp; Glenhaven areas &amp; you have pets please go to the  Middletown High School evacuation shelter. This shelter is accepting people &amp; their pets. #RiverFire #RanchFire #MendocinoComplex",Fri Aug 03 22:02:16 +0000 2018
HelloAndrew,"RT @MiddletownVets: Lastly, if you are evacuating from the most recent evacuation zones of  Clearlake Oaks, Lucerne &amp; Glenhaven areas &amp; you…","Lastly, if you are evacuating from the most recent evacuation zones of  Clearlake Oaks, Lucerne &amp; Glenhaven areas &amp; you have pets please go to the  Middletown High School evacuation shelter. This shelter is accepting people &amp; their pets. #RiverFire #RanchFire #MendocinoComplex",Fri Aug 03 20:44:46 +0000 2018
MiddletownVets,"Lastly, if you are evacuating from the most recent evacuation zones of  Clearlake Oaks, Lucerne &amp; Glenhaven areas &amp; you have pets please go to the  Middletown High School evacuation shelter. This shelter is accepting people &amp; their pets. #RiverFire #RanchFire #MendocinoComplex",,Fri Aug 03 19:44:50 +0000 2018
AnkitMi19433022,RT @11Ndrf: #flood2018 @11Ndrf team evacuating flood affected people in behraich up. @NDRFHQ @UPCMyogi @CMOfficeUP @rahat_up https://t.co/U…,#flood2018 @11Ndrf team evacuating flood affected people in behraich up. @NDRFHQ @UPCMyogi @CMOfficeUP @rahat_up https://t.co/Unl4CifvNc,Fri Aug 03 17:11:14 +0000 2018
KateBrownForOR,"RT @KATUNews: UPDATE: The South Valley Fire burning near Dufur has grown to 6,000 acres. The BLM is also evacuating people along the Deschu…","UPDATE: The South Valley Fire burning near Dufur has grown to 6,000 acres. The BLM is also evacuating people along the Deschutes River from Sandy Beach to Macks Canyon. https://t.co/w0oWtunEGq #LiveOnK2 https://t.co/HvAMoM8JML",Fri Aug 03 16:56:12 +0000 2018
