MichaelTshi,"Border closed, road to the border blocked. People in the MP are no longer using their 🧠, they are taking very bad decisions. https://t.co/W7V4EOX8vD",,Sat Aug 04 08:50:33 +0000 2018
FoleyIsGood,"RT @HeartEssexNews: ⛔ A127 PARTIAL CLOSURE

The A127 Southend Arterial Road is partly blocked at Nevendon (A132).

Affecting traffic into W…","⛔ A127 PARTIAL CLOSURE

The A127 Southend Arterial Road is partly blocked at Nevendon (A132).

Affecting traffic into Wickford

#HeartNews",Sat Aug 04 08:50:02 +0000 2018
EstherPassaris,"RT @taiwoadewole: Canal blocked with plastic materials
Location: ORISUNBARE/SHASHA Akowonjo road OJU-ODO b/stop the canal is just after eas…","Canal blocked with plastic materials
Location: ORISUNBARE/SHASHA Akowonjo road OJU-ODO b/stop the canal is just after easy life petrol station
@SurprisingLagos @lagospedia @PspOperators @CleanerLagos @followlasg . I see money here and not waste @RecyclePointsNG take action https://t.co/j0IymRVtNJ",Sat Aug 04 08:36:35 +0000 2018
londonmusher,"RT @AtlasCarsLondon: @lennythepen Demos do work! Few years back, Sri Lankan Embassy wouldn’t pay our bill for 25k, after 2 years of trying…","@lennythepen Demos do work! Few years back, Sri Lankan Embassy wouldn’t pay our bill for 25k, after 2 years of trying &amp; failing. One day we took a 100 minicabs &amp; blocked their road. Guess how long it took them to pay up!  Only 20 minutes ⚠️",Sat Aug 04 08:34:33 +0000 2018
Wickford_News,"RT @HeartEssexNews: ⛔ A127 PARTIAL CLOSURE

The A127 Southend Arterial Road is partly blocked at Nevendon (A132).

Affecting traffic into W…","⛔ A127 PARTIAL CLOSURE

The A127 Southend Arterial Road is partly blocked at Nevendon (A132).

Affecting traffic into Wickford

#HeartNews",Sat Aug 04 08:29:24 +0000 2018
MARILYN19556,"RT @EllieAzadi: IranProtests 
Isfahan Shapor Zone,Protesters blocked the road https://t.co/5TIXszpDcL","IranProtests 
Isfahan Shapor Zone,Protesters blocked the road https://t.co/5TIXszpDcL",Sat Aug 04 08:27:51 +0000 2018
CaHkgupta,"Complaint filed with Nagar Nigam App(09890175)
Written complaint also filed on 01.08.2018
Now complaint filed at 181 (08181594096433)
Reg:Blockages in sewerage line, wastage overflowing on road. Chambers are Blocked
CSI not responding 

@RajSampark @AshokLahotyBJP @DIPRRajasthan",,Sat Aug 04 08:23:10 +0000 2018
JuanRaHidalgo,RT @f0rmat: Brand new cycle path on Victoria road blocked by delivery driver this morning. Asked him why he didn't park on the road instead…,Brand new cycle path on Victoria road blocked by delivery driver this morning. Asked him why he didn't park on the road instead and received a prompt 'fuck off'. Cycle lanes worthless without parking enforcement. https://t.co/sTfmpaHsia,Sat Aug 04 08:22:46 +0000 2018
IronMillHydro,RT @f0rmat: Brand new cycle path on Victoria road blocked by delivery driver this morning. Asked him why he didn't park on the road instead…,Brand new cycle path on Victoria road blocked by delivery driver this morning. Asked him why he didn't park on the road instead and received a prompt 'fuck off'. Cycle lanes worthless without parking enforcement. https://t.co/sTfmpaHsia,Sat Aug 04 08:19:19 +0000 2018
Wycliffekiplan1,"RT @ByronRenee254: #KenyaTradeWeek2018 #SundownerSunsetDate #Nairobian

 A school boy who was spending the night in a kiosk was killed last…","#KenyaTradeWeek2018 #SundownerSunsetDate #Nairobian

 A school boy who was spending the night in a kiosk was killed last night in Getarwet, Bureti,Kericho county. Angry residents have blocked Ng'oino-Litein road. https://t.co/FQlKt1bcQQ",Sat Aug 04 08:17:49 +0000 2018
Ma3RouteCounty,11:15 Kericho Litein Road blocked at Getarwet Junction as locals protest the murder of a seven-year-old boy. via @OrindeHillary,,Sat Aug 04 08:15:24 +0000 2018
thehimalayan,Narayangadh-Muglin road section which was blocked due to a #landslide at #Ghumaune of #Bharatpur Metropolitan City has been opened for one-way traffic after four hours -  https://t.co/3fb1yJFXQa #Chitwan #Nepal,,Sat Aug 04 07:58:20 +0000 2018
OrindeHillary,Kericho-Litein Road blocked at Getarwet Junction as locals protest the murder of a seven-year-old boy. @KenyanTraffic @Ma3Route @Ma3RouteCounty,,Sat Aug 04 07:55:09 +0000 2018
DaveCthetrucker,"@gmptraffic what's happening on M60 east near M62 please? At a standstill, police blocked road off",,Sat Aug 04 07:53:35 +0000 2018
Puffyskitchen,"RT @WinnersChapelNL: #EYAC2018, APRIL 2ND 2018 , IMPARTATION SESSION | 🎺🎸📣We're in the Days Of Divine Illumination... I pray, that, none of…","#EYAC2018, APRIL 2ND 2018 , IMPARTATION SESSION | 🎺🎸📣We're in the Days Of Divine Illumination... I pray, that, none of you here's faith,  will fail.... Now WATCH! ..'The Road Will Never Be Blocked Against You Anymore!'  - BISHOP DAVID O. OYEDEPO 📣🎸🎺@youthaliveft https://t.co/4v9SBKRFse",Sat Aug 04 07:52:34 +0000 2018
