JudithParise,RT @Unfreakin: @realDonaldTrump @realdonaldtrump is in immediate need of psychiatric medical intervention.  The interview between @DonLemon…,@realDonaldTrump @realdonaldtrump is in immediate need of psychiatric medical intervention.  The interview between @DonLemon and @KingJames was all about children and had nothing to do with Orange Hair Man - which makes Trump's tweet even more unhinged and dangerous. Ohio vote for @dannyoconnor1,Sat Aug 04 05:42:02 +0000 2018
Unfreakin,@realDonaldTrump @realdonaldtrump is in immediate need of psychiatric medical intervention.  The interview between @DonLemon and @KingJames was all about children and had nothing to do with Orange Hair Man - which makes Trump's tweet even more unhinged and dangerous. Ohio vote for @dannyoconnor1,,Sat Aug 04 05:31:32 +0000 2018
MikaelaSkyeSays,@HawaiiDelilah Correction:  The Russians know racism and other forms of hate have always been European American's achilles heel and we need to deal with that psychiatric issue.,,Sat Aug 04 05:24:41 +0000 2018
dokuk3,@realDonaldTrump Donald Trump need psychiatric hospitalization now!,,Sat Aug 04 05:16:06 +0000 2018
_LOLcifer,"@VinAndSori @YouTube That confused young man, the neo-Nazi.. wow!  Poor guy, I wouldn't have had the patience you did.  Props!  I'm no doctor, but it sounds like he might need psychiatric help alongside your spiritual advice.",,Sat Aug 04 05:07:06 +0000 2018
TheDon263,"@MamoyoT @Wamagaisa Is it difficult for ED to tell Sibanda that the army should go back to the barracks? Insane.. these men are sharpened in violence and they should never have been in the army at all, they need psychiatric treatment. Sick men in possession of firearms!",,Sat Aug 04 04:56:21 +0000 2018
zackchapepa,RT @Choome_G: Huh? And uMike ungenaphi? This tweet is so stupid it's hilarious. No man I think you need to book into a psychiatric facility…,Huh? And uMike ungenaphi? This tweet is so stupid it's hilarious. No man I think you need to book into a psychiatric facility for your remaining years. You're not ok https://t.co/0aGcT2s9m4,Sat Aug 04 04:55:31 +0000 2018
halo_helen,RT @helpingthos: @morningmika appears to need psychiatric help!                               The Five on Mika Brzezinski's Trump Critiques…,"@morningmika appears to need psychiatric help!                               The Five on Mika Brzezinski's Trump Critiques: 'She Can't Discredit on Policy,' So She Criticizes 'Personality' https://t.co/UZZUptLNsc",Sat Aug 04 04:44:40 +0000 2018
helpingthos,"@morningmika appears to need psychiatric help!                               The Five on Mika Brzezinski's Trump Critiques: 'She Can't Discredit on Policy,' So She Criticizes 'Personality' https://t.co/UZZUptLNsc",,Sat Aug 04 04:28:18 +0000 2018
eric_schrank,"@_NMay @_marshallwatson Adolescents in psychiatric distress need to vent. I can usually de-escalate on scene just by listening and showing that I care. Meeting basic needs like food and drink, getting them to a quiet spot and letting them talk about their pain almost always helps.",,Sat Aug 04 04:25:45 +0000 2018
