storm_typhoon,"@AnthemRespect @gatorman9611 I saw a that Jeff was in on the Uranium 1 deal , who knows , but this has been going on far too long, what’s strange is that Trump won’t fire him? I ask myself, Why,",,Fri Aug 24 20:26:04 +0000 2018
yoongi_rica,"I'm still sleeping on my thesis knowing that I won't graduate College if I won't finish it until December

but heya! what to do? all I need is Sun but there's a typhoon

and I know demons who loves to put me down are now laughing at this misery that I'm going through",,Fri Aug 24 00:16:47 +0000 2018
gullevek,That Last typhoon that hit Tokyo was nothing compared what’s going on right now. Had sheets of water going vertical. Wind is mega strong. Fuck umbrellas today.,,Thu Aug 23 22:33:24 +0000 2018
gpownall_,"Dad being In japan while there’s a typhoon storm going on and having to check up on him every 10 minutes is not what I need today, stressed too bits. Love u 💔❣️",,Thu Aug 23 13:17:01 +0000 2018
BuztosKa,"@DaveRamsey What is your stance on 72 hour kits (water, food, clothes, etc)? Should we have that on top of our emergency fund? Having $1k isn't going to do me much good if I'm stuck in my home because of a typhoon...",,Thu Aug 23 07:55:01 +0000 2018
Momsence4,RT @NohNaUri: Lord...what is going on...Hurricane Lane about to hit my islands and Typhoon Soulik hitting Korea with Typhoon Cimaron hittin…,Lord...what is going on...Hurricane Lane about to hit my islands and Typhoon Soulik hitting Korea with Typhoon Cimaron hitting Japan. Keep us all in prayers.,Thu Aug 23 00:30:06 +0000 2018
NohNaUri,Lord...what is going on...Hurricane Lane about to hit my islands and Typhoon Soulik hitting Korea with Typhoon Cimaron hitting Japan. Keep us all in prayers.,,Wed Aug 22 18:17:24 +0000 2018
Rykun_DSZ,"Aiolos didn't do as much be he defeated an Egyptian god (??) and TYPHOON
HE BEAT TYPHOON THAT ZEUS HIMSELF STRUGGLED TO BEAT 😂😂 WHAT IS GOING ON https://t.co/RjdBKwPREq",,Wed Aug 22 11:24:14 +0000 2018
KrystalBlessed6,"As I surface to see what else is going on in the world besides #BTS LY:A CB, only to find out that there's Hurricane warnings for Hawaii and double Typhoon warnings for Japan and South Korea! WTH 😨😧😱",,Wed Aug 22 07:32:43 +0000 2018
Teal_Typhoon,"RT @actuallyalice: Dear developers of games where the narrative is important.

Please include an “I haven’t played this in six months and w…","Dear developers of games where the narrative is important.

Please include an “I haven’t played this in six months and what the fuck is going on?” button.",Sun Aug 19 21:12:45 +0000 2018
yyeezynick,RT @trinitylynnae: FOUR shooting in Abilene in ONE week???? WHAT IS GOING ON,FOUR shooting in Abilene in ONE week???? WHAT IS GOING ON,Sun Aug 26 00:00:36 +0000 2018
trinitylynnae,FOUR shooting in Abilene in ONE week???? WHAT IS GOING ON,,Sat Aug 25 23:48:27 +0000 2018
slidellian515,Vegas Shooting: WTF? Paddock's girlfriend worked for the FBI..? What in the hell is going on here.? https://t.co/1cqLpK4TFs,,Sat Aug 25 23:27:15 +0000 2018
HuronErrol,"@CBCNews another shooting???? what is going on with Toronto. 
I can't believe these good ""Canadian"" kids keep shooting each other.",,Sat Aug 25 21:38:51 +0000 2018
ldrinkh20,"What’s happening to him is shitty, but I’m also not shocked cops are taking school shooting jokes so seriously given what’s been going on lately",,Sat Aug 25 17:56:57 +0000 2018
dododdana,"RT @blnksl8_: Let's face it, they don't know how they're going to be edited for the episode they're shooting. And with so many things to le…","Let's face it, they don't know how they're going to be edited for the episode they're shooting. And with so many things to learn in a little time, there's very little room to actually worry about how you're going to be painted. They just focus on what is impt: training.",Sat Aug 25 16:16:43 +0000 2018
MrBushman1,"2018 we have cops killing unarmed black men,shooting them in the back,Fascism across Europe,Pakistani Groomers,Paedophile priest actively diddling kids in Africa The pope NOT getting his house in order! Women &amp; Black people seen as second class citizens What the Hell is going on? https://t.co/gbf8mUbHKg",,Sat Aug 25 16:15:46 +0000 2018
dionamarilyn,"RT @noraforchange: a football shooting in a jacksonville high school, i literally live right by jacksonville—what the hell is going on righ…","a football shooting in a jacksonville high school, i literally live right by jacksonville—what the hell is going on right now?! now no one is safe from going to their schools football game?!!",Sat Aug 25 15:58:58 +0000 2018
blnksl8_,"Let's face it, they don't know how they're going to be edited for the episode they're shooting. And with so many things to learn in a little time, there's very little room to actually worry about how you're going to be painted. They just focus on what is impt: training.",,Sat Aug 25 15:50:49 +0000 2018
Messianic4POTUS,"@KaitMarieox @pinkypd Excellent question, Kaitlin!

Makes you really wonder what the heck is going on, doesn't it?

Why was the Las Vegas shooting swept away and the only person that seems to give a hoot about it is @LauraLoomer?

People that want to harm us have been put in positions of leadership.",,Sat Aug 25 15:39:50 +0000 2018
BicYea50,"WHAT THE HELL IS GOING ON AT FLORIDA HIGH SCHOOL FOOTBALL GAMES?? #Shootings
https://t.co/D9XTjIooVa",,Sat Aug 25 15:21:17 +0000 2018
Sandra_Cole44,@AriGoldkind Well definitely the men charged with shooting the victim will have their cases dismissed or found not guilty because the case is going to be based on what killed him? The bullet or the delay to get him to a proper trauma unit.,,Sat Aug 25 15:15:32 +0000 2018
noraforchange,"a football shooting in a jacksonville high school, i literally live right by jacksonville—what the hell is going on right now?! now no one is safe from going to their schools football game?!!",,Sat Aug 25 14:17:23 +0000 2018
karlhmorris,"@georgegalloway @talkRADIO You know where the power Base lies... with 280 thousand people. All but a blind man can see what is going on in the Occupied Territory,.what do you call shooting people in the back who have rolled a tyre or thrown a rock.   .. Murder.   But not in this game. Sad",,Sat Aug 25 14:07:46 +0000 2018
JaayOnPC,How the fuck am i supposed to take cover from a guy who isn't shooting  yet?? He can shoot do damage to me then fucking kill me and i dont see his bullets or hear him shoot.. I have 30ms ping he has 71ms .. What the fuck is going on with your fucking game bro? @H1Z1,,Sat Aug 25 12:17:40 +0000 2018
Dansteph15,"@w_h_thompson @SPOTNEWSonIG https://t.co/KSOp6w3DJk

What is going on in beautiful Chicago......again?? https://t.co/43Tf0Kjpt5",,Sat Aug 25 04:41:54 +0000 2018
