IngoOverton,"Dutchsinse Analysis of Fiji 8.3 Deep EQ, VLF Beam activity Detected in Phillipines Cyclone, Indonesians Thankful for EQ Warning, Earthquake3D Live Stream - 24/7 Global Seismic Activity https://t.co/Um32oOJggz #YouTubeBan",,Sun Aug 19 08:18:08 +0000 2018
EcoInternet3,Northern Vanuatu Upset About Lack Of Cyclone Warning: Pacific Islands Report https://t.co/AN7GlCiOC3,,Sun Aug 19 06:57:00 +0000 2018
educaciondecr,Tropical Storm - Cimaron: CYCLONE (WARNING) https://t.co/C0trVwTEMH,,Sat Aug 18 20:51:39 +0000 2018
FKatagirl,"RT @ObservatoryHK: 5:20AM: All Tropical Cyclone Signals cancelled
https://t.co/ODNSioagMS","5:20AM: All Tropical Cyclone Signals cancelled
https://t.co/ODNSioagMS",Sat Aug 18 15:50:50 +0000 2018
SimonLeeWx,"@BeccaLizE Not already... it's still a tropical storm as of Advisory 12, but that will almost definitely be the last one (NHC give the cyclone time to ensure deep convection doesn't return) - but yes, each forecast point was for post-TC. I love seeing the UK mentioned in the warning text!",,Sat Aug 18 08:20:13 +0000 2018
BCockinos,Clarke and Dawe - Cyclone Malcolm. This is a Watch and Act Warning. https://t.co/htXw6yR2r3 via @YouTube,,Sat Aug 18 03:19:09 +0000 2018
suggestedfronds,Flash flood warning in Chattanooga! We’ve arrived in basically a cyclone and we’re wetter than a Chattanooga beluga https://t.co/W2TRaYB55t,,Sat Aug 18 01:13:48 +0000 2018
Gat0rch0mp1,@kettlerunsports Is it a cyclone warning?,,Fri Aug 17 21:34:42 +0000 2018
educaciondecr,Typhoon - Soulik: CYCLONE (WARNING) https://t.co/62g3GBbFoz,,Fri Aug 17 03:13:05 +0000 2018
authentique_123,Cyclone warning https://t.co/OGwin3cHC3,,Thu Aug 16 13:32:58 +0000 2018
moqixu,#AGM notice comes with warning: meeting set for noon tomorrow will be postponed when black rainstorm warning or tropical cyclone warning signal number 8! Hopefully neither in #HK nor in #Beijing on time for the #finalexam #weather ##SafetyGodown HK$0237.HK @LSEPKUSummerSch,,Thu Aug 16 10:29:09 +0000 2018
benb282828,"RT @TedFlintKansas: (Weather warning siren)

-This is a Cyclone Weather alert. Ladies and gentlemen, radar has indicated a strong storm app…","(Weather warning siren)

-This is a Cyclone Weather alert. Ladies and gentlemen, radar has indicated a strong storm approaching Jack Trice Stadium. High winds and low visibility are expected. Jackrabbit fans in the warned area should seek immediate cover- 

Me: https://t.co/enWNU33dsl",Wed Aug 15 23:36:08 +0000 2018
CDeets11,"RT @TedFlintKansas: (Weather warning siren)

-This is a Cyclone Weather alert. Ladies and gentlemen, radar has indicated a strong storm app…","(Weather warning siren)

-This is a Cyclone Weather alert. Ladies and gentlemen, radar has indicated a strong storm approaching Jack Trice Stadium. High winds and low visibility are expected. Jackrabbit fans in the warned area should seek immediate cover- 

Me: https://t.co/enWNU33dsl",Wed Aug 15 23:11:03 +0000 2018
beccasue718,"RT @TedFlintKansas: (Weather warning siren)

-This is a Cyclone Weather alert. Ladies and gentlemen, radar has indicated a strong storm app…","(Weather warning siren)

-This is a Cyclone Weather alert. Ladies and gentlemen, radar has indicated a strong storm approaching Jack Trice Stadium. High winds and low visibility are expected. Jackrabbit fans in the warned area should seek immediate cover- 

Me: https://t.co/enWNU33dsl",Wed Aug 15 19:38:37 +0000 2018
