KCRG_FirstAlert,"The forecast is still on track for a soggy Monday.  Heavy rain will be possible across eastern Iowa, especially central and northern counties.  #KCRGWX https://t.co/L1kooEiCTZ",,Sun Aug 19 13:00:47 +0000 2018
bslslr,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 12:34:23 +0000 2018
JohnBooth280505,RT @ChrisPage90: This is now the 2nd year running that the American National Hurricane Centre (@NHC_Atlantic) has had to issue a forecast t…,"This is now the 2nd year running that the American National Hurricane Centre (@NHC_Atlantic) has had to issue a forecast tropical storm track with the UK in it’s path! 

More evidence for a warming #climate? #Ernesto https://t.co/39oCkriPEH",Sun Aug 19 10:44:20 +0000 2018
CHJenLane,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 08:44:12 +0000 2018
keithmfitz,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 07:15:01 +0000 2018
channel1america,CBSNEWS reports Hurricane Lane intensifies to a Category 4 storm https://t.co/RxV5RvoqoQ https://t.co/paJAoOGUhV https://t.co/Mx2VQnDmYZ,,Sun Aug 19 07:07:25 +0000 2018
pedrocantue,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 06:13:18 +0000 2018
bonillal1,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 05:48:39 +0000 2018
joleonbusby,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 04:41:34 +0000 2018
allamsakr1,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 04:25:23 +0000 2018
JackDeTate,"Hurricane Lane intensifies to a Category 4 storm 

https://t.co/g3uuNNxUd4 https://t.co/k6qAcdNF3U",,Sun Aug 19 04:20:31 +0000 2018
BillQuarks,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 04:13:16 +0000 2018
HctorChongJimn1,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 04:11:38 +0000 2018
aninave,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 04:08:45 +0000 2018
musicbeautiful4,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 04:03:21 +0000 2018
Sarah__Kocher,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:52:21 +0000 2018
j_dbets,"Saratoga Sunday - The weather forecast is for sunny skies on Sunday! We are looking for a huge day with a ton of winners at Saratoga!

Gulfstream Sunday - We love the card and they have been a hot track the past few days. Lets keep it going at GP!

2 TRACK SPECIAL FOR $25.00. https://t.co/zHZXEvDWw7",,Sun Aug 19 03:45:08 +0000 2018
ungubunugu1274,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:42:56 +0000 2018
aysunbuyuk,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:36:34 +0000 2018
mommy_lette,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:34:39 +0000 2018
RodBamberry,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:31:39 +0000 2018
MarsBars6116,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:31:16 +0000 2018
JpLAnice,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:30:30 +0000 2018
madrynha2012,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:27:59 +0000 2018
Jrlvr88,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:27:52 +0000 2018
bekarladka,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:27:12 +0000 2018
mama2for2,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:26:22 +0000 2018
Ysastep,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:26:13 +0000 2018
markwayne143,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:25:51 +0000 2018
NorthAmericaNN,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:24:58 +0000 2018
NettiePearl01,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:24:50 +0000 2018
MargieMinutello,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:23:56 +0000 2018
angela_s1917,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:23:41 +0000 2018
daytrending,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:22:30 +0000 2018
donmarie2018,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:22:20 +0000 2018
5NEWSMatt,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:21:58 +0000 2018
wildwilburcat,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:21:06 +0000 2018
SusanaMNK,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:20:43 +0000 2018
Oldlady12345,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:20:26 +0000 2018
ThomasR91235302,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:20:14 +0000 2018
VaSmith12,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:20:07 +0000 2018
jccallahanATX,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:19:43 +0000 2018
RealDerekpotts,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:19:29 +0000 2018
pikybar,RT @CBSNews: Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Hurricane Lane intensifies to a Category 4 storm https://t.co/3oIg2bjuFz https://t.co/pKOg0jp9Pa,Sun Aug 19 03:19:14 +0000 2018
