rbk2roy,"@sarbanandsonwal it is about
 40' Cc and no electricity in Gauripur town. It's a tragedy  which is not to be bearable.",,Sun Aug 19 13:31:38 +0000 2018
arfa_mir,@betterpakistan @4646Javediqbal Gair kn hn mutarif? Allah naaf kry kya hal kia hai Punjab ka! Lhr ki ho mai ap ki so called taraki lhr se bahir nikli nai. Corruption Police Gardi No saaf pani even sometimes in winter we face loadshedding of electricity and gas in summers! Thats your performance????,,Sun Aug 19 13:31:10 +0000 2018
iSniper1,"@PeterWMurphy1 There is no correlation between energy prices and privitisation.

https://t.co/zCc2dfGCfY",,Sun Aug 19 13:30:40 +0000 2018
Usman35606587,"@betterpakistan Who said you were better. Your goverment was pathetic. No drinking water, electricity, education and health facilities out of central punjab.",,Sun Aug 19 13:28:39 +0000 2018
RamshaNaeem6,RT @ImranKhanPTI: Usman comes from one of the most backward areas of Punjab - the tribal area of DG Khan Division. It is an area that has n…,"Usman comes from one of the most backward areas of Punjab - the tribal area of DG Khan Division. It is an area that has no electricity, water or a doctor for over 200,000 ppl. He understands the problems of the ppl of neglected areas &amp; will be able to ensure their uplift as CM. https://t.co/VFymrpsR2p",Sun Aug 19 13:26:54 +0000 2018
tweetsomnathm,#No electricity Goghat Station #SouthEsternRailways @RailMinIndia @IndianRailUsers @IRfacts @IndianRailMedia @PMOIndia Power cut is general issue but at rail station ? https://t.co/YlwwNoJcX8,,Sun Aug 19 13:25:57 +0000 2018
AGhaffarAazad,RT @ImranKhanPTI: Usman comes from one of the most backward areas of Punjab - the tribal area of DG Khan Division. It is an area that has n…,"Usman comes from one of the most backward areas of Punjab - the tribal area of DG Khan Division. It is an area that has no electricity, water or a doctor for over 200,000 ppl. He understands the problems of the ppl of neglected areas &amp; will be able to ensure their uplift as CM. https://t.co/VFymrpsR2p",Sun Aug 19 13:24:07 +0000 2018
cearuilinF,"@rubyblack2552 @TarynDeVere @DeeLightful77 @RebelLipstick in fact it made it worse, stranded without electricity at all at times because if you run out, whatever the reason, no payment this week or whatever, then you are shut off, and they only give one emergancy payment, i was essentially worse off, and they just shrugged, they baked",,Sun Aug 19 13:23:02 +0000 2018
annuispeace,"RT @SenatorPenn: $1 = XAF550
#Mercury Public Affairs paid XAF 55Million monthly 
@SPB_Global paid XAF 55Million in a trimester 
Services re…","$1 = XAF550
#Mercury Public Affairs paid XAF 55Million monthly 
@SPB_Global paid XAF 55Million in a trimester 
Services required-Clean #Cameroun's image

#Cameroun has no roads, no good health facilities, worst educational infrastructure,no pipe borne water,electricity is scarce. https://t.co/4V8UHTzPCK",Sun Aug 19 13:19:48 +0000 2018
BearLovesaLion,Doesn't help with having faith in this situation I could have lost my job &amp; you don't even care. You dont care I have no home??? Or electricity to got out of the heat or even food??,,Sun Aug 19 13:19:36 +0000 2018
LisaLcdiaz,RT @kirillklip: #BanDIEsel #Future Bottled #Electricity #Consumer #Power: Why #Autos Fighting #TheSwitch to #ElectricCars - No More #Mainte…,#BanDIEsel #Future Bottled #Electricity #Consumer #Power: Why #Autos Fighting #TheSwitch to #ElectricCars - No More #Maintenance #Cash Cow https://t.co/V8GnfXYCXj #GEMRoyalty #TNRGold #Tesla #ILC #Lithium #Copper #Gold #Ganfeng #McEwen #Mining #Funds #EVs #Solar #CATL #BYD @CNBC https://t.co/QRifDGDW7x,Sun Aug 19 13:18:30 +0000 2018
tweetsomnathm,"#No electricity at #Goghat Railway Station,  @RailMinIndia @IndianRailUsers @IndianRailMedia @abpnewstv @EasternRailway",,Sun Aug 19 13:18:07 +0000 2018
Vivek97591343,@RailMinIndia train number 15028 Maurya express is halted near barauni railway stn. No electricity power! My elderly parents are in train and suffocating. Please help sir.@PiyushGoyalOffc PNR number 2511888849,,Sun Aug 19 13:17:01 +0000 2018
ochamberla,"The body itself has no power without the thinker. SO, there must be a universal mind within us. No one has ever seen mind, but that dose not mean it do not exist. It is almost like electricity, we cannot see electricity itself, but we can see the results.",,Sun Aug 19 13:15:33 +0000 2018
doublecoast,"@Obiba_Kofi @donsege We were really unfortunate wt criminals as leaders in the past..the $billion is available to av constant electricity for d longest years but No,,dey prefer to share d money at d expense of d nations goodwill..4yrs frm now wl b a sweet story in our power,Agric,oil &amp; gas sector.",,Sun Aug 19 13:15:14 +0000 2018
ambaperspective,"RT @SenatorPenn: $1 = XAF550
#Mercury Public Affairs paid XAF 55Million monthly 
@SPB_Global paid XAF 55Million in a trimester 
Services re…","$1 = XAF550
#Mercury Public Affairs paid XAF 55Million monthly 
@SPB_Global paid XAF 55Million in a trimester 
Services required-Clean #Cameroun's image

#Cameroun has no roads, no good health facilities, worst educational infrastructure,no pipe borne water,electricity is scarce. https://t.co/4V8UHTzPCK",Sun Aug 19 13:14:42 +0000 2018
cearuilinF,"@rubyblack2552 @TarynDeVere @DeeLightful77 @RebelLipstick 2-3 weeks, although it could be 4-5 weeks if i was out when they called, they said they would give me 100e towards my electricity debt if i used the metre box, which they did... but i had no choice to get this box, even though i did not want to,",,Sun Aug 19 13:13:44 +0000 2018
