HD_KSank,"RT @RMP_Utah: We are aware of a power outage in Kearns, Taylorsville, and West Jordan affecting approximately 15000 customers.  The estimat…","We are aware of a power outage in Kearns, Taylorsville, and West Jordan affecting approximately 15000 customers.  The estimated time of restoration is 11:00 am. Please visit https://t.co/siomLbq2r5 for continuous updates. Thank you for your patience.",Sun Aug 19 13:17:59 +0000 2018
RMP_Utah,"We are aware of a power outage in Kearns, Taylorsville, and West Jordan affecting approximately 15000 customers.  The estimated time of restoration is 11:00 am. Please visit https://t.co/siomLbq2r5 for continuous updates. Thank you for your patience.",,Sun Aug 19 13:17:27 +0000 2018
Savy2Smooth,Boston had a major power outage last season with him as hitting coach smh and look at what they’re doing this season https://t.co/G5M5eaujsV,,Sun Aug 19 13:15:42 +0000 2018
Gd2b4Panda,"RT @figfling: There was a power outage at Seungri’s concert in Busan. He used a megaphone. Quick thinking Seungri 👍
https://t.co/teMSzCpHyI","There was a power outage at Seungri’s concert in Busan. He used a megaphone. Quick thinking Seungri 👍
https://t.co/teMSzCpHyI",Sun Aug 19 13:14:03 +0000 2018
diviidada,"RT @figfling: There was a power outage at Seungri’s concert in Busan. He used a megaphone. Quick thinking Seungri 👍
https://t.co/teMSzCpHyI","There was a power outage at Seungri’s concert in Busan. He used a megaphone. Quick thinking Seungri 👍
https://t.co/teMSzCpHyI",Sun Aug 19 13:11:10 +0000 2018
westernpowerwa,"@TimCowcher Hi Tim, currently in the Switching Process, to turn everyone back on, so it should not be too much longer before 278 properties in the Wickepin,East Wickepin and Malyalling areas to have power restored, thankyou for your patience during this long outage - kind regards Biserka",,Sun Aug 19 13:11:01 +0000 2018
Mitchmckay5,@RMP_Utah details on the power outage in West Jordan utah please!!!!,,Sun Aug 19 13:09:38 +0000 2018
rainecaphriel,"RT @figfling: There was a power outage at Seungri’s concert in Busan. He used a megaphone. Quick thinking Seungri 👍
https://t.co/teMSzCpHyI","There was a power outage at Seungri’s concert in Busan. He used a megaphone. Quick thinking Seungri 👍
https://t.co/teMSzCpHyI",Sun Aug 19 13:06:05 +0000 2018
dpyannie23,"RT @figfling: There was a power outage at Seungri’s concert in Busan. He used a megaphone. Quick thinking Seungri 👍
https://t.co/teMSzCpHyI","There was a power outage at Seungri’s concert in Busan. He used a megaphone. Quick thinking Seungri 👍
https://t.co/teMSzCpHyI",Sun Aug 19 13:05:33 +0000 2018
Ccc_jdvvnl,"#Jodhpur_city 
Due to line fault power outage in  bjs-laxmi nagar, durgadass nagar, paota c road, ramjan hatta, 2nd polo, 1st polo related area our team is working to fix it asap...",,Sun Aug 19 13:04:56 +0000 2018
rakeshvaish855,"RT @Ccc_jdvvnl: #Jodhpur_city
Due to 33 kv off power outage in pratap nagar, uit colony, jagdamba colony, c sector, b sector, police chowki…","#Jodhpur_city
Due to 33 kv off power outage in pratap nagar, uit colony, jagdamba colony, c sector, b sector, police chowki, hudko quarter, indra colony, ankhaliya choraha, barkat colony related area our team is working to fix it asap....",Sun Aug 19 13:04:29 +0000 2018
