noxfauna,The fire is closer to us today. Glad we have all our stuff packed ready to evac because its looking more likely everyday.,,Sun Aug 19 04:11:18 +0000 2018
johncosta6912,"@LisaaMariax3 Lmaooooo I just have all my shit stacked in a corner ready for evac. All my clothes are too small cause I’m a fucking cow so I’m p much buying a new wardrobe tomorrow, I’m a mess but I think I have my shit together",,Sun Aug 19 02:20:48 +0000 2018
tzurla,"RT @HillsboroughFL: #DYK: When making an evacuation plan, you DON'T need to travel hundreds of miles. 

Coordinate with a friend or relativ…","#DYK: When making an evacuation plan, you DON'T need to travel hundreds of miles. 

Coordinate with a friend or relative who doesn’t live in an evacuation zone/unsafe home to use their home as your evac. destination. For more #HurricanePrep tips, visit https://t.co/30jbPnjfBD. https://t.co/l8WSslEwi2",Sat Aug 18 23:54:01 +0000 2018
HambinoThegr8,Where her dad came home early but the homie is ready with the evac https://t.co/MUNG1EpL2E,,Sat Aug 18 19:34:50 +0000 2018
HillsboroughFL,"#DYK: When making an evacuation plan, you DON'T need to travel hundreds of miles. 

Coordinate with a friend or relative who doesn’t live in an evacuation zone/unsafe home to use their home as your evac. destination. For more #HurricanePrep tips, visit https://t.co/30jbPnjfBD. https://t.co/l8WSslEwi2",,Sat Aug 18 16:30:11 +0000 2018
beviesplace,Huge flames at the end of my street.  We've had the evac order. I got my cat and neighbours dogs and safe at my in laws. But I'm ready to leave at a moments notice,,Sat Aug 18 10:06:17 +0000 2018
SKuhrEM,RT @springsgov: Are you ready to evacuate in the event of a wildland fire? Residents in the Manitou Beckers &amp; Colorado Springs Cedar Height…,Are you ready to evacuate in the event of a wildland fire? Residents in the Manitou Beckers &amp; Colorado Springs Cedar Heights neighborhoods are invited to take part in a neighborhood evac drill on Sept 8. There is a meeting Aug 23 for those participating https://t.co/I73G6JRteZ https://t.co/ovr9l1gw5w,Sat Aug 18 00:59:28 +0000 2018
CSFDPIO,RT @springsgov: Are you ready to evacuate in the event of a wildland fire? Residents in the Manitou Beckers &amp; Colorado Springs Cedar Height…,Are you ready to evacuate in the event of a wildland fire? Residents in the Manitou Beckers &amp; Colorado Springs Cedar Heights neighborhoods are invited to take part in a neighborhood evac drill on Sept 8. There is a meeting Aug 23 for those participating https://t.co/I73G6JRteZ https://t.co/ovr9l1gw5w,Sat Aug 18 00:58:49 +0000 2018
SamKraemerTV,RT @springsgov: Are you ready to evacuate in the event of a wildland fire? Residents in the Manitou Beckers &amp; Colorado Springs Cedar Height…,Are you ready to evacuate in the event of a wildland fire? Residents in the Manitou Beckers &amp; Colorado Springs Cedar Heights neighborhoods are invited to take part in a neighborhood evac drill on Sept 8. There is a meeting Aug 23 for those participating https://t.co/I73G6JRteZ https://t.co/ovr9l1gw5w,Fri Aug 17 18:11:00 +0000 2018
RamFire55,RT @springsgov: Are you ready to evacuate in the event of a wildland fire? Residents in the Manitou Beckers &amp; Colorado Springs Cedar Height…,Are you ready to evacuate in the event of a wildland fire? Residents in the Manitou Beckers &amp; Colorado Springs Cedar Heights neighborhoods are invited to take part in a neighborhood evac drill on Sept 8. There is a meeting Aug 23 for those participating https://t.co/I73G6JRteZ https://t.co/ovr9l1gw5w,Fri Aug 17 17:51:07 +0000 2018
epcpio,RT @springsgov: Are you ready to evacuate in the event of a wildland fire? Residents in the Manitou Beckers &amp; Colorado Springs Cedar Height…,Are you ready to evacuate in the event of a wildland fire? Residents in the Manitou Beckers &amp; Colorado Springs Cedar Heights neighborhoods are invited to take part in a neighborhood evac drill on Sept 8. There is a meeting Aug 23 for those participating https://t.co/I73G6JRteZ https://t.co/ovr9l1gw5w,Fri Aug 17 17:44:50 +0000 2018
springsgov,Are you ready to evacuate in the event of a wildland fire? Residents in the Manitou Beckers &amp; Colorado Springs Cedar Heights neighborhoods are invited to take part in a neighborhood evac drill on Sept 8. There is a meeting Aug 23 for those participating https://t.co/I73G6JRteZ https://t.co/ovr9l1gw5w,,Fri Aug 17 16:52:57 +0000 2018
Shienara33,"So that evac alert for Kimberly definitely raised my hackles a bit. I just packed a small bag of mementos so it’s ready. 😬 Small things that can’t be replaced, like my dad’s ashes. Everything else can burn, it’s just stuff.",,Fri Aug 17 07:07:58 +0000 2018
FDelicioso,"RT @UGifter: To do for this week: repack vehicles with evac stuff, so we're ready to go if anything happens. Too close for comfort. 
#bcfir…","To do for this week: repack vehicles with evac stuff, so we're ready to go if anything happens. Too close for comfort. 
#bcfires",Wed Aug 15 20:41:26 +0000 2018
UGifter,"To do for this week: repack vehicles with evac stuff, so we're ready to go if anything happens. Too close for comfort. 
#bcfires",,Wed Aug 15 16:15:13 +0000 2018
