CassieNallWBIR,"10:30 PM: A Flood Advisory is now in effect for parts of Loudon, Blount and Monroe Co until 1:30 AM. Heavy rain from storms may cause river, creeks and streams to rise quickly and flooding is possible in low-lying and poor drainage areas. https://t.co/aZvC2M8Oyd",,Sun Aug 19 02:34:47 +0000 2018
WBIRWeather,"10:30 PM: A Flood Advisory is now in effect for parts of Loudon, Blount and Monroe Co until 1:30 AM. Heavy rain from storms may cause river, creeks and streams to rise quickly and flooding is possible in low-lying and poor drainage areas. https://t.co/2kjlfudnYs",,Sun Aug 19 02:34:37 +0000 2018
custer1836,"Saturday Night and twitter is a bit depressing. Time for a large drink. Bye now, back tomorrow if the river don't rise.",,Sat Aug 18 17:54:02 +0000 2018
earaliehs,RT @HireLearning: @sabine_alise @IlhanMN @LauraLoomer The river of Jew hate runs deep in MN. It flows beneath the surface in 'Progressive L…,"@sabine_alise @IlhanMN @LauraLoomer The river of Jew hate runs deep in MN. It flows beneath the surface in 'Progressive Leftist' circles. But now, with the rise of Jew haters like @IlhanMN  @keithellison, the water of hate has overflowed into our government. When will the Jewish community wake up? #NeverAgain",Fri Aug 17 21:12:25 +0000 2018
sabine_alise,RT @HireLearning: @sabine_alise @IlhanMN @LauraLoomer The river of Jew hate runs deep in MN. It flows beneath the surface in 'Progressive L…,"@sabine_alise @IlhanMN @LauraLoomer The river of Jew hate runs deep in MN. It flows beneath the surface in 'Progressive Leftist' circles. But now, with the rise of Jew haters like @IlhanMN  @keithellison, the water of hate has overflowed into our government. When will the Jewish community wake up? #NeverAgain",Fri Aug 17 19:51:18 +0000 2018
biggiebob1969,RT @HireLearning: @sabine_alise @IlhanMN @LauraLoomer The river of Jew hate runs deep in MN. It flows beneath the surface in 'Progressive L…,"@sabine_alise @IlhanMN @LauraLoomer The river of Jew hate runs deep in MN. It flows beneath the surface in 'Progressive Leftist' circles. But now, with the rise of Jew haters like @IlhanMN  @keithellison, the water of hate has overflowed into our government. When will the Jewish community wake up? #NeverAgain",Fri Aug 17 19:48:46 +0000 2018
HireLearning,"@sabine_alise @IlhanMN @LauraLoomer The river of Jew hate runs deep in MN. It flows beneath the surface in 'Progressive Leftist' circles. But now, with the rise of Jew haters like @IlhanMN  @keithellison, the water of hate has overflowed into our government. When will the Jewish community wake up? #NeverAgain",,Fri Aug 17 19:36:55 +0000 2018
Pavithranpp12,"RT @CMOKerala: As the water-level in Idukki dam continues to rise, more water will have to be released. It has been estimated that at least…","As the water-level in Idukki dam continues to rise, more water will have to be released. It has been estimated that at least 3 times the volume that is being released now will have to be spilled. This will raise the water-level in Periyar river and its subsidiaries.",Fri Aug 17 11:59:20 +0000 2018
mashcode,@ppolitics @rushkoff @mollycrabapple The forces are already set in motion...Army Corp planning fixed flood barriers in the Hudson River based on a 1.5 meter rise in sea level. And that's now a conservative projection. We've run out of time.,,Fri Aug 17 03:12:31 +0000 2018
sdsanchez,"@DanRather A generation now living may yet see the end of the electoral college, and/or some other long-needed fundamental changes to the governmental and societal operating systems.
God willing, and the river don't rise.",,Thu Aug 16 23:39:01 +0000 2018
wmm_custservice,@MarkFle88706587 @WMmetro Now this one I know. It was the river of dreams when he thought he’d get a pay rise. Don’t worry. We sacked him for wanting more money.,,Thu Aug 16 09:08:37 +0000 2018
usask_engr,"It's Alumni Where Are They Now Wednesday and we're featuring Tara Reichert, BE'03 (Civil), who's overseeing construction of a project that will leave a lasting legacy on the Saskatoon skyline. https://t.co/QNcs5757y2",,Wed Aug 15 22:34:36 +0000 2018
DonnaDoni1,@Rise_Africa They delivered the ANC to the enemy. Now what? All of them being sold up the river. Another reminder that 702' ing doesn't pay. Tragic.,,Wed Aug 15 10:09:05 +0000 2018
CBS21NEWS,RT @TOMRUSSELLCBS21: Susquehanna River now over 10 ft and continues to rise to 14 ft by Thursday afternoon. Staying well below flood stage…,Susquehanna River now over 10 ft and continues to rise to 14 ft by Thursday afternoon. Staying well below flood stage thankfully! https://t.co/VoRIChD25d,Tue Aug 14 20:44:29 +0000 2018
TOMRUSSELLCBS21,Susquehanna River now over 10 ft and continues to rise to 14 ft by Thursday afternoon. Staying well below flood stage thankfully! https://t.co/VoRIChD25d,,Tue Aug 14 20:44:10 +0000 2018
GWN7News,"AIRBNB BATTLE 

Accommodation providers in Margaret River say that a rise of Airbnbs are ruining the traditional accommodation trade in the town. Now a group of accommodation owners have banded together to demand more... https://t.co/FNLhGAOR9u",,Tue Aug 14 12:10:10 +0000 2018
