allieday2,"RT @ASPolice: Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for…","Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for most of the day and drivers are being urged to avoid the area. https://t.co/dlQCOftjOg",Sun Aug 19 08:34:35 +0000 2018
archerkath,"RT @Rory_M_Stewart: A man in Dundee this morning was so desperate, he spent 6 hours being talked down off the edge of the Tay Road Bridge.…","A man in Dundee this morning was so desperate, he spent 6 hours being talked down off the edge of the Tay Road Bridge. Thankfully he is now safe. All I've heard all day is cunts moaning about how inconvenient it was for them that the bridge was closed. Look after each other.",Sun Aug 19 08:34:16 +0000 2018
katieducks123,Anyone going to Belfast international airport via Moira- road is closed with no airport diversion sign!?! Keep driving on via Crumlin and follow on signs to airport- ignore diversion signs! Luckily I know the back roads but V. confusing for tourists!! @belfastairport,,Sun Aug 19 08:33:02 +0000 2018
WendyCherries,"RT @ASPolice: Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for…","Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for most of the day and drivers are being urged to avoid the area. https://t.co/dlQCOftjOg",Sun Aug 19 08:32:25 +0000 2018
FenteroonHols,"RT @ASPolice: Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for…","Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for most of the day and drivers are being urged to avoid the area. https://t.co/dlQCOftjOg",Sun Aug 19 08:29:27 +0000 2018
BenFromBrixham,"RT @ASPolice: Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for…","Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for most of the day and drivers are being urged to avoid the area. https://t.co/dlQCOftjOg",Sun Aug 19 08:28:48 +0000 2018
DanBerryEFC,"RT @Rory_M_Stewart: A man in Dundee this morning was so desperate, he spent 6 hours being talked down off the edge of the Tay Road Bridge.…","A man in Dundee this morning was so desperate, he spent 6 hours being talked down off the edge of the Tay Road Bridge. Thankfully he is now safe. All I've heard all day is cunts moaning about how inconvenient it was for them that the bridge was closed. Look after each other.",Sun Aug 19 08:28:08 +0000 2018
KnightInPaper,"RT @Rory_M_Stewart: A man in Dundee this morning was so desperate, he spent 6 hours being talked down off the edge of the Tay Road Bridge.…","A man in Dundee this morning was so desperate, he spent 6 hours being talked down off the edge of the Tay Road Bridge. Thankfully he is now safe. All I've heard all day is cunts moaning about how inconvenient it was for them that the bridge was closed. Look after each other.",Sun Aug 19 08:27:48 +0000 2018
ColinCyclone,"RT @ASPolice: Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for…","Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for most of the day and drivers are being urged to avoid the area. https://t.co/dlQCOftjOg",Sun Aug 19 08:26:27 +0000 2018
deleriumal,"RT @Rory_M_Stewart: A man in Dundee this morning was so desperate, he spent 6 hours being talked down off the edge of the Tay Road Bridge.…","A man in Dundee this morning was so desperate, he spent 6 hours being talked down off the edge of the Tay Road Bridge. Thankfully he is now safe. All I've heard all day is cunts moaning about how inconvenient it was for them that the bridge was closed. Look after each other.",Sun Aug 19 08:26:14 +0000 2018
BBCTravelSW,"RT @ASPolice: Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for…","Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for most of the day and drivers are being urged to avoid the area. https://t.co/dlQCOftjOg",Sun Aug 19 08:26:03 +0000 2018
erinleith31,"RT @Rory_M_Stewart: A man in Dundee this morning was so desperate, he spent 6 hours being talked down off the edge of the Tay Road Bridge.…","A man in Dundee this morning was so desperate, he spent 6 hours being talked down off the edge of the Tay Road Bridge. Thankfully he is now safe. All I've heard all day is cunts moaning about how inconvenient it was for them that the bridge was closed. Look after each other.",Sun Aug 19 08:24:20 +0000 2018
woodhead_alison,"@mikejonesgb @omitbdf Then you would apply to the council, highways agency, police etc and get a road closed like every village fete ever Away with your bigotry",,Sun Aug 19 08:23:30 +0000 2018
muttley1806,"RT @ASPolice: Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for…","Please note the A303 is shut near Ilminster following a serious collision this morning.

The road is likely to be closed for most of the day and drivers are being urged to avoid the area. https://t.co/dlQCOftjOg",Sun Aug 19 08:23:24 +0000 2018
hawkin_scot,RT @harry19631956: @mikejonesgb @MaireadEvvoMc What if we got a road closed in Egypt for the English festival......🤔🤔🤔,@mikejonesgb @MaireadEvvoMc What if we got a road closed in Egypt for the English festival......🤔🤔🤔,Sun Aug 19 08:23:14 +0000 2018
