karynpickles,Siblings finally eunited after #BenMagoo 's week away at cub camp. The gravel road in was washed out in last night's rain but his tent held tight. We indulged his request for pizza at… https://t.co/eAHuzwIeNP,,Sun Aug 19 02:44:10 +0000 2018
debfrisch,RT @epcpio: Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their h…,Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their homes. @COWYRedCross is working on assisting those people. I25 also had water going across the road &amp; cars being washed off. Rescue efforts taking place.,Sat Aug 18 23:37:52 +0000 2018
CJPFirePhotos,Heard Coventry Fire come over with a road that was washed out. Missed the location.,,Sat Aug 18 23:06:02 +0000 2018
bluntz401,Hey @narrabay I didn't think any1 could do worse work than @RIDOTNews but you are coming close Greenville Ave floods you pitched the road wrong all washed out dirt and rocks everywhere keep hiring digregorio and dambra at least @CitizensBank got done the taxpayers can suffer,,Sat Aug 18 22:25:00 +0000 2018
JennaMiddaugh,El Paso County crews are working to clear a section of Boca Raton Heights near Indian Village Heights after Friday night’s storm washed out the road. One lane is open for people to drive @KKTV11News https://t.co/Y8VnTuNMm6,,Sat Aug 18 19:00:06 +0000 2018
Thomasron17,RT @ANI: #WATCH: Road gets washed out in Malappuram after flash flood hit the region. #Kerala https://t.co/2CqWjkn0no,#WATCH: Road gets washed out in Malappuram after flash flood hit the region. #Kerala https://t.co/2CqWjkn0no,Sat Aug 18 18:10:03 +0000 2018
StateStatus_OK,https://t.co/2puZlBE4AW Norman Road Washed Out After Tuesday's Storms #OK #Oklahoma https://t.co/HjJvl2L1Jp,,Sat Aug 18 15:31:43 +0000 2018
RichLaden,RT @DougalBrownlie: Out here for the @csgazette with the view of a bridge in Hanover that washed out at Boca Raton Heights and Indian Villa…,Out here for the @csgazette with the view of a bridge in Hanover that washed out at Boca Raton Heights and Indian Village Heights still had one lane for traffic and both sides of the road were being shared by traffic in both directions. Repairs are expected to continue on today. https://t.co/xx1R6VGnHD,Sat Aug 18 15:25:29 +0000 2018
DougalBrownlie,Out here for the @csgazette with the view of a bridge in Hanover that washed out at Boca Raton Heights and Indian Village Heights still had one lane for traffic and both sides of the road were being shared by traffic in both directions. Repairs are expected to continue on today. https://t.co/xx1R6VGnHD,,Sat Aug 18 15:10:23 +0000 2018
HKNorton,RT @epcpio: Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their h…,Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their homes. @COWYRedCross is working on assisting those people. I25 also had water going across the road &amp; cars being washed off. Rescue efforts taking place.,Sat Aug 18 04:59:31 +0000 2018
coeventslive,"RT @KOAARobQuirk: TRAFFIC ALERT:
@CSP_News letting people travel west on Midway Ranch Road now.  Hanover Fire is checking to see if a bridg…","TRAFFIC ALERT:
@CSP_News letting people travel west on Midway Ranch Road now.  Hanover Fire is checking to see if a bridge washed out in Boca Raton Heights. Would explain why students &amp; others are trapped at Hanover High &amp; Prairie Heights Elementary @KOAA https://t.co/JWwcB75QvM",Sat Aug 18 04:38:15 +0000 2018
BangkokmalCook,RT @nationnews: Moutain run-off hit and washed out three sections of the main Chiang Rai-Chiang Mai road early on Saturday. https://t.co/cW…,Moutain run-off hit and washed out three sections of the main Chiang Rai-Chiang Mai road early on Saturday. https://t.co/cWMSDV68rU,Sat Aug 18 04:12:02 +0000 2018
nationnews,Moutain run-off hit and washed out three sections of the main Chiang Rai-Chiang Mai road early on Saturday. https://t.co/cWMSDV68rU,,Sat Aug 18 04:00:08 +0000 2018
KOAA,"RT @SamKraemerTV: .@CSP_News is letting people travel west on Midway Ranch Road now. Again, I’m told Boca Raton Heights is washed out. Hano…",".@CSP_News is letting people travel west on Midway Ranch Road now. Again, I’m told Boca Raton Heights is washed out. Hanover Fire is checking to see if a bridge washed out, which would explain why students &amp; others are trapped at Hanover High &amp; Prairie Heights Elementary @KOAA",Sat Aug 18 03:33:23 +0000 2018
KOAARobQuirk,"TRAFFIC ALERT:
@CSP_News letting people travel west on Midway Ranch Road now.  Hanover Fire is checking to see if a bridge washed out in Boca Raton Heights. Would explain why students &amp; others are trapped at Hanover High &amp; Prairie Heights Elementary @KOAA https://t.co/JWwcB75QvM",,Sat Aug 18 03:31:56 +0000 2018
SamKraemerTV,".@CSP_News is letting people travel west on Midway Ranch Road now. Again, I’m told Boca Raton Heights is washed out. Hanover Fire is checking to see if a bridge washed out, which would explain why students &amp; others are trapped at Hanover High &amp; Prairie Heights Elementary @KOAA",,Sat Aug 18 03:27:30 +0000 2018
martinez_jack,"RT @KOAARobQuirk: News5Alert:
Hand full of students and staff stranded at Prairie Heights Elementary and Hanover Jr-Sr HS due to washed out…","News5Alert:
Hand full of students and staff stranded at Prairie Heights Elementary and Hanover Jr-Sr HS due to washed out road. https://t.co/kjlbR48MLl",Sat Aug 18 03:18:51 +0000 2018
AnnaGilesTV,RT @wwmtnews: The Kalamazoo County Road Commission sent out a notice to steer clear of ML Avenue between 4th Street and 6th Street in Oshte…,The Kalamazoo County Road Commission sent out a notice to steer clear of ML Avenue between 4th Street and 6th Street in Oshtemo Township. https://t.co/Aa0MgyDs5j,Sat Aug 18 02:48:02 +0000 2018
KOAARobQuirk,"News5Alert:
Hand full of students and staff stranded at Prairie Heights Elementary and Hanover Jr-Sr HS due to washed out road. https://t.co/kjlbR48MLl",,Sat Aug 18 02:47:05 +0000 2018
dgrimes57,"RT @MeteoroloJess: Some of these storms in southwest NH are causing flash flooding and washed out roads. Please, PLEASE, if you come to a f…","Some of these storms in southwest NH are causing flash flooding and washed out roads. Please, PLEASE, if you come to a flooded road, especially at night when its even more impossible to see, DO NOT DRIVE THOUGH IT. Please. #turnarounddontdrown",Sat Aug 18 02:32:13 +0000 2018
wwmtnews,The Kalamazoo County Road Commission sent out a notice to steer clear of ML Avenue between 4th Street and 6th Street in Oshtemo Township. https://t.co/Aa0MgyDs5j,,Sat Aug 18 02:29:25 +0000 2018
bowandbraclette,So we are on 101 west in Dublin and the road is washed out this day sucks,,Sat Aug 18 02:05:28 +0000 2018
martinez_jack,RT @KOAARobQuirk: Severe flooding and a bridge in Hanover has washed out leaving many residents without access to their homes. @COWYRedCros…,"Severe flooding and a bridge in Hanover has washed out leaving many residents without access to their homes. @COWYRedCross is working on assisting those people. I25 also had water going across the road &amp; cars being washed off. Rescue efforts taking place.
@EPCPIO",Sat Aug 18 02:04:08 +0000 2018
LukeRunyon,RT @epcpio: Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their h…,Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their homes. @COWYRedCross is working on assisting those people. I25 also had water going across the road &amp; cars being washed off. Rescue efforts taking place.,Sat Aug 18 01:57:59 +0000 2018
denverpost,RT @epcpio: Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their h…,Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their homes. @COWYRedCross is working on assisting those people. I25 also had water going across the road &amp; cars being washed off. Rescue efforts taking place.,Sat Aug 18 01:57:09 +0000 2018
JennaMiddaugh,RT @epcpio: Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their h…,Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their homes. @COWYRedCross is working on assisting those people. I25 also had water going across the road &amp; cars being washed off. Rescue efforts taking place.,Sat Aug 18 01:43:35 +0000 2018
EPCSheriff,RT @epcpio: Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their h…,Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their homes. @COWYRedCross is working on assisting those people. I25 also had water going across the road &amp; cars being washed off. Rescue efforts taking place.,Sat Aug 18 01:43:16 +0000 2018
hitherandthee,RT @KOAARobQuirk: Severe flooding and a bridge in Hanover has washed out leaving many residents without access to their homes. @COWYRedCros…,"Severe flooding and a bridge in Hanover has washed out leaving many residents without access to their homes. @COWYRedCross is working on assisting those people. I25 also had water going across the road &amp; cars being washed off. Rescue efforts taking place.
@EPCPIO",Sat Aug 18 01:40:53 +0000 2018
JettGoldsmith,RT @epcpio: Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their h…,Afternoon storms caused severe flooding and a bridge in Hanover has washed out leaving many residents without access to their homes. @COWYRedCross is working on assisting those people. I25 also had water going across the road &amp; cars being washed off. Rescue efforts taking place.,Sat Aug 18 01:39:39 +0000 2018
KOAARobQuirk,"Severe flooding and a bridge in Hanover has washed out leaving many residents without access to their homes. @COWYRedCross is working on assisting those people. I25 also had water going across the road &amp; cars being washed off. Rescue efforts taking place.
@EPCPIO",,Sat Aug 18 01:30:25 +0000 2018
