phosphoria31,"RT @maria_l_banda: Toronto, like most Canadian cities, doesn’t monitor real-time data of sewage leaks into lakes, rivers or oceans. Result:…","Toronto, like most Canadian cities, doesn’t monitor real-time data of sewage leaks into lakes, rivers or oceans. Result: 1 trillion liters of sewage flowed into Canada's lakes and rivers over last five years. #cdnpoli https://t.co/ZYU3GgfQd5 via @torontostar",Sun Aug 19 06:30:49 +0000 2018
phosphoria31,"RT @wrobertsfood: Incredible damage, including to fishery and #foodsecurity, from dumping Canadian sewage into lakes and rivers #waterpollu…","Incredible damage, including to fishery and #foodsecurity, from dumping Canadian sewage into lakes and rivers #waterpollution https://t.co/EdiSxiCrNv",Sun Aug 19 06:00:46 +0000 2018
dawningbright,RT @ecojustice_ca: The largest contributor to the national problem is British Columbia. https://t.co/dkNIsZ5ApE #cdnpoli #bcpoli,The largest contributor to the national problem is British Columbia. https://t.co/dkNIsZ5ApE #cdnpoli #bcpoli,Sun Aug 19 05:42:31 +0000 2018
phosphoria31,RT @DrJacobsRad: I wonder how Minister McKenna plans on getting all of those terrible plastic straw out of the 1 TRILLION litres of human w…,"I wonder how Minister McKenna plans on getting all of those terrible plastic straw out of the 1 TRILLION litres of human waste?

#cdnpoli #CrayonCrew @fordnation @cathmckenna @gmbutts #Trudeau #Peoplekind 
https://t.co/zCduarNYYq",Sun Aug 19 05:36:10 +0000 2018
phosphoria31,"RT @CTVToronto: One trillion litres of sewage leaked into Canadian lakes, rivers over last 5 years https://t.co/teRsHR0Nbt https://t.co/RAE…","One trillion litres of sewage leaked into Canadian lakes, rivers over last 5 years https://t.co/teRsHR0Nbt https://t.co/RAEW2nHfVB",Sun Aug 19 05:28:29 +0000 2018
phosphoria31,RT @ecojustice_ca: The largest contributor to the national problem is British Columbia. https://t.co/dkNIsZ5ApE #cdnpoli #bcpoli,The largest contributor to the national problem is British Columbia. https://t.co/dkNIsZ5ApE #cdnpoli #bcpoli,Sun Aug 19 02:31:31 +0000 2018
GateauxAmmo,RT @ecojustice_ca: The largest contributor to the national problem is British Columbia. https://t.co/dkNIsZ5ApE #cdnpoli #bcpoli,The largest contributor to the national problem is British Columbia. https://t.co/dkNIsZ5ApE #cdnpoli #bcpoli,Sun Aug 19 01:47:53 +0000 2018
deBeauxOs1,RT @ecojustice_ca: The largest contributor to the national problem is British Columbia. https://t.co/dkNIsZ5ApE #cdnpoli #bcpoli,The largest contributor to the national problem is British Columbia. https://t.co/dkNIsZ5ApE #cdnpoli #bcpoli,Sun Aug 19 01:25:27 +0000 2018
hanayanaa,@cairnxphos are you saying liquid antarc is shit water because apparently the sarcophagus juice was just some sewage that had leaked in,,Sun Aug 19 01:19:23 +0000 2018
SharonRousseau4,RT @ecojustice_ca: The largest contributor to the national problem is British Columbia. https://t.co/dkNIsZ5ApE #cdnpoli #bcpoli,The largest contributor to the national problem is British Columbia. https://t.co/dkNIsZ5ApE #cdnpoli #bcpoli,Sun Aug 19 01:08:58 +0000 2018
ecojustice_ca,The largest contributor to the national problem is British Columbia. https://t.co/dkNIsZ5ApE #cdnpoli #bcpoli,,Sun Aug 19 01:02:00 +0000 2018
phosphoria31,RT @SMase522: Calls for #infastfuctureupgrades and improved #wastewater optimization to increase capacity and help enhance #digestion and #…,Calls for #infastfuctureupgrades and improved #wastewater optimization to increase capacity and help enhance #digestion and #nutrient recovery.  #Overflows are a risk to the #environment and #publichealth while also wasting a valuable #resource!  https://t.co/HqM7BmaNuh,Sat Aug 18 20:27:12 +0000 2018
phosphoria31,"RT @TorontoStar: ""What is happening in Canada when it comes to openness ... is not normal and should not be considered normal within a demo…","""What is happening in Canada when it comes to openness ... is not normal and should not be considered normal within a democratic society.”  https://t.co/lm7fmZM83L",Sat Aug 18 18:55:16 +0000 2018
mavericksmovies,@stefabsky The one that isn't raw sewage that leaked through the cracks from the sewage line above,,Sat Aug 18 17:37:54 +0000 2018
anasghadouani,RT @CBCNews: More than 1 trillion litres of raw sewage leaked into Canadian waterways between 2013-17. And climate change may make it worse…,More than 1 trillion litres of raw sewage leaked into Canadian waterways between 2013-17. And climate change may make it worse. https://t.co/Hr7OoMysTk,Sat Aug 18 14:30:34 +0000 2018
HopeStandard,"The vast majority of Canadian cities do not monitor real-time data of sewage leaks into lakes, rivers or oceans. https://t.co/AcllApfVxy",,Sat Aug 18 13:27:06 +0000 2018
Pamtastic7,https://t.co/lCmqqDDfGk https://t.co/6o2yjcraD2,,Sat Aug 18 12:18:37 +0000 2018
StacyDVanDeveer,"RT @maria_l_banda: Toronto, like most Canadian cities, doesn’t monitor real-time data of sewage leaks into lakes, rivers or oceans. Result:…","Toronto, like most Canadian cities, doesn’t monitor real-time data of sewage leaks into lakes, rivers or oceans. Result: 1 trillion liters of sewage flowed into Canada's lakes and rivers over last five years. #cdnpoli https://t.co/ZYU3GgfQd5 via @torontostar",Sat Aug 18 11:40:28 +0000 2018
EWestaway,RT @FarisAhmedUSC: #Climatechange likely to cause more sewage leaks. And 1 TRILLION litres of raw sewage leaked into Canadian waterways 201…,"#Climatechange likely to cause more sewage leaks. And 1 TRILLION litres of raw sewage leaked into Canadian waterways 2013-2017. Get ready for a lot of .... you know. #cdnpoli #floods 
 https://t.co/SchOOE8VV3 via @ipoliticsca",Sat Aug 18 09:15:33 +0000 2018
syddmaracle,RT @CTVLondon: One trillion litres of sewage leaked into lakes and rivers over last five years https://t.co/FlSqdcq94F,One trillion litres of sewage leaked into lakes and rivers over last five years https://t.co/FlSqdcq94F,Sat Aug 18 04:18:15 +0000 2018
phosphoria31,RT @mrabson: 1 trillion litres of sewage leaked in Cdn waters in last five years. https://t.co/ntZDxY85VB #cdnpoli,1 trillion litres of sewage leaked in Cdn waters in last five years. https://t.co/ntZDxY85VB #cdnpoli,Sat Aug 18 02:45:03 +0000 2018
MrOwen9,RT @TheSpec: One trillion litres of sewage leaked into lakes and rivers over last five years https://t.co/3RUyeqpwNq https://t.co/Pu8hHLkFWM,One trillion litres of sewage leaked into lakes and rivers over last five years https://t.co/3RUyeqpwNq https://t.co/Pu8hHLkFWM,Sat Aug 18 02:22:25 +0000 2018
inthefogofwar,One trillion litres of sewage leaked into Canadian lakes and rivers over last five years  https://t.co/Pfhis9SnAG via @torontostar,,Sat Aug 18 00:07:23 +0000 2018
BERNADETTTEFOX,guys i wanna *** we’re on holiday and there was a MASSIVE storm all afternoon so everywhere downstairs in our villa has flooded and the sewage has all leaked in and i can’t even begin to explain the smells that are in every room i’m gonna cry,,Fri Aug 17 19:21:52 +0000 2018
twyanko7,"RT @DrJacobsRad: As Minister McKenna shouts about climate change and Carbon Tax like a person at Yonge and Dundas carrying an ""The End Is N…","As Minister McKenna shouts about climate change and Carbon Tax like a person at Yonge and Dundas carrying an ""The End Is Near"" sign, our water is being poisoned.
Please focus your energy and our tax dollars on keeping our water clean.
#cdnpoli @cathmckenna
https://t.co/zCduarNYYq",Fri Aug 17 18:44:52 +0000 2018
Ham6Karin,"RT @DrJacobsRad: As Minister McKenna shouts about climate change and Carbon Tax like a person at Yonge and Dundas carrying an ""The End Is N…","As Minister McKenna shouts about climate change and Carbon Tax like a person at Yonge and Dundas carrying an ""The End Is Near"" sign, our water is being poisoned.
Please focus your energy and our tax dollars on keeping our water clean.
#cdnpoli @cathmckenna
https://t.co/zCduarNYYq",Fri Aug 17 18:40:24 +0000 2018
Katchinoff,RT @Danny__Mac__: One trillion litres of sewage leaked into Canadian lakes and rivers over last five years  https://t.co/UXdvamMpm6 via @to…,One trillion litres of sewage leaked into Canadian lakes and rivers over last five years  https://t.co/UXdvamMpm6 via @torontostar,Fri Aug 17 18:30:38 +0000 2018
phosphoria31,RT @Danny__Mac__: One trillion litres of sewage leaked into Canadian lakes and rivers over last five years  https://t.co/UXdvamMpm6 via @to…,One trillion litres of sewage leaked into Canadian lakes and rivers over last five years  https://t.co/UXdvamMpm6 via @torontostar,Fri Aug 17 18:13:43 +0000 2018
tylerbhampton,RT @Danny__Mac__: One trillion litres of sewage leaked into Canadian lakes and rivers over last five years  https://t.co/UXdvamMpm6 via @to…,One trillion litres of sewage leaked into Canadian lakes and rivers over last five years  https://t.co/UXdvamMpm6 via @torontostar,Fri Aug 17 18:12:45 +0000 2018
simonephilpot,RT @Danny__Mac__: One trillion litres of sewage leaked into Canadian lakes and rivers over last five years  https://t.co/UXdvamMpm6 via @to…,One trillion litres of sewage leaked into Canadian lakes and rivers over last five years  https://t.co/UXdvamMpm6 via @torontostar,Fri Aug 17 18:12:07 +0000 2018
Danny__Mac__,One trillion litres of sewage leaked into Canadian lakes and rivers over last five years  https://t.co/UXdvamMpm6 via @torontostar,,Fri Aug 17 18:10:24 +0000 2018
NuruPoExcep,"@GamingAndPandas The cursed mummy juice is just sewage that leaked from above, so it's nothing new to you.",,Fri Aug 17 18:07:10 +0000 2018
LowBonoLegal,"Is this a new problem, or has the combined sewer system always functioned like this during a very heavy rainfall? #cleanwater - One trillion litres of sewage leaked into Canadian lakes and rivers over last five years  https://t.co/2qhdT2KbnT via @torontostar",,Fri Aug 17 18:06:33 +0000 2018
TweetsbyEddy,"Since the majority of Canadian cities don't monitor real-time data of sewage leaks into lakes, rivers or oceans, it's challenging to improve cities' treatment facilities https://t.co/nR6ZDWHBMW",,Fri Aug 17 18:01:07 +0000 2018
athleteswalk,"RT @maria_l_banda: Toronto, like most Canadian cities, doesn’t monitor real-time data of sewage leaks into lakes, rivers or oceans. Result:…","Toronto, like most Canadian cities, doesn’t monitor real-time data of sewage leaks into lakes, rivers or oceans. Result: 1 trillion liters of sewage flowed into Canada's lakes and rivers over last five years. #cdnpoli https://t.co/ZYU3GgfQd5 via @torontostar",Fri Aug 17 17:54:02 +0000 2018
GreenUniRose,"RT @maria_l_banda: Toronto, like most Canadian cities, doesn’t monitor real-time data of sewage leaks into lakes, rivers or oceans. Result:…","Toronto, like most Canadian cities, doesn’t monitor real-time data of sewage leaks into lakes, rivers or oceans. Result: 1 trillion liters of sewage flowed into Canada's lakes and rivers over last five years. #cdnpoli https://t.co/ZYU3GgfQd5 via @torontostar",Fri Aug 17 17:25:42 +0000 2018
