homegypsy,RT @NWSAlbuquerque: Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash…,"Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash Flood Warning will continue through 1:30AM MDT Sunday. Turn Around, Don't Drown! #nmwx",Sun Aug 19 06:54:14 +0000 2018
wakeupnm,KristenCurrieTV RT NWSAlbuquerque: Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash…,,Sun Aug 19 05:07:06 +0000 2018
KristenCurrieTV,RT @NWSAlbuquerque: Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash…,"Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash Flood Warning will continue through 1:30AM MDT Sunday. Turn Around, Don't Drown! #nmwx",Sun Aug 19 05:06:46 +0000 2018
EddieGarciaKOB,RT @NWSAlbuquerque: Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash…,"Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash Flood Warning will continue through 1:30AM MDT Sunday. Turn Around, Don't Drown! #nmwx",Sun Aug 19 05:02:35 +0000 2018
NMClimate,RT @NWSAlbuquerque: Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash…,"Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash Flood Warning will continue through 1:30AM MDT Sunday. Turn Around, Don't Drown! #nmwx",Sun Aug 19 05:00:55 +0000 2018
KellianneWX,RT @NWSAlbuquerque: Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash…,"Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash Flood Warning will continue through 1:30AM MDT Sunday. Turn Around, Don't Drown! #nmwx",Sun Aug 19 04:55:33 +0000 2018
JorgeTWeather,RT @NWSAlbuquerque: Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash…,"Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash Flood Warning will continue through 1:30AM MDT Sunday. Turn Around, Don't Drown! #nmwx",Sun Aug 19 04:52:40 +0000 2018
NWSAlbuquerque,"Curry county emergency management reporting significant street flooding in Clovis with water infiltrating homes. Flash Flood Warning will continue through 1:30AM MDT Sunday. Turn Around, Don't Drown! #nmwx",,Sun Aug 19 04:52:04 +0000 2018
KTABTV,RT @NoelRehm: A significant weather advisory for Northern Shackelford County until 8:30 PM. Storms are moving slowly northeast at 10 mph. W…,A significant weather advisory for Northern Shackelford County until 8:30 PM. Storms are moving slowly northeast at 10 mph. Wind gusts up to 50 mph will be possible with these storms. Very heavy rainfall could caused localized flooding. https://t.co/KHgEoiLrwu,Sun Aug 19 01:10:27 +0000 2018
NoelRehm,A significant weather advisory for Northern Shackelford County until 8:30 PM. Storms are moving slowly northeast at 10 mph. Wind gusts up to 50 mph will be possible with these storms. Very heavy rainfall could caused localized flooding. https://t.co/KHgEoiLrwu,,Sun Aug 19 01:10:25 +0000 2018
JohnWalsh1011,"Rainfall through Monday evening could leave some significant accumulations in northern and southeast parts of the state.  An imbedded wave in the general circulation could create 2"" per hour rainfall.  Flooding is possible, especially in dry areas. #rain https://t.co/RNDZDdou92",,Sat Aug 18 23:57:32 +0000 2018
BudGothmog44,"RT @Ocean_State211: https://t.co/ICgTBe9Q2j According to #AccuWeather Chief Meteorologist Elliot Abrams, the unique rainstorm will be regar…","https://t.co/ICgTBe9Q2j According to #AccuWeather Chief Meteorologist Elliot Abrams, the unique rainstorm will be regarded as one of the most significant heavy rain events to unfold in the #Northeast unrelated to a tropical storm.",Sat Aug 18 23:10:39 +0000 2018
iembot_box,"At 5:50 PM EDT, Provincetown [Barnstable Co, MA] AMATEUR RADIO reports FLOOD. FLOODING ON BRADFORD STREET BY THE HIGH SCHOOL. SIGNIFICANT ENOUGH TO TAKE OUT A CROSSWALK SIGN AND HAVE IT FLOAT DOWN THE ROAD. https://t.co/pAit1uRXgF",,Sat Aug 18 22:24:04 +0000 2018
nwsjacksonky,"@Wicked_412 Any significant flooding yet, or ditches just getting full at this point?",,Sat Aug 18 21:57:13 +0000 2018
versengetorix,"RT @Ocean_State211: https://t.co/ICgTBe9Q2j According to #AccuWeather Chief Meteorologist Elliot Abrams, the unique rainstorm will be regar…","https://t.co/ICgTBe9Q2j According to #AccuWeather Chief Meteorologist Elliot Abrams, the unique rainstorm will be regarded as one of the most significant heavy rain events to unfold in the #Northeast unrelated to a tropical storm.",Sat Aug 18 20:49:51 +0000 2018
SnarkyL,"RT @Ocean_State211: https://t.co/ICgTBe9Q2j According to #AccuWeather Chief Meteorologist Elliot Abrams, the unique rainstorm will be regar…","https://t.co/ICgTBe9Q2j According to #AccuWeather Chief Meteorologist Elliot Abrams, the unique rainstorm will be regarded as one of the most significant heavy rain events to unfold in the #Northeast unrelated to a tropical storm.",Sat Aug 18 20:47:22 +0000 2018
gemarble357,"RT @Ocean_State211: https://t.co/ICgTBe9Q2j According to #AccuWeather Chief Meteorologist Elliot Abrams, the unique rainstorm will be regar…","https://t.co/ICgTBe9Q2j According to #AccuWeather Chief Meteorologist Elliot Abrams, the unique rainstorm will be regarded as one of the most significant heavy rain events to unfold in the #Northeast unrelated to a tropical storm.",Sat Aug 18 20:43:12 +0000 2018
Ocean_State211,"https://t.co/ICgTBe9Q2j According to #AccuWeather Chief Meteorologist Elliot Abrams, the unique rainstorm will be regarded as one of the most significant heavy rain events to unfold in the #Northeast unrelated to a tropical storm.",,Sat Aug 18 20:42:22 +0000 2018
AlecDSilva,"RT @NWSBoston: FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berli…","FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berlin, &amp; Tapley Streets w/car rescues being reported. AVOID FLOODED ROADS!",Sat Aug 18 19:53:54 +0000 2018
TomFitzIV,"RT @NWSBoston: FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berli…","FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berlin, &amp; Tapley Streets w/car rescues being reported. AVOID FLOODED ROADS!",Sat Aug 18 18:56:28 +0000 2018
DavidBagleyWX,"RT @NWSBoston: FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berli…","FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berlin, &amp; Tapley Streets w/car rescues being reported. AVOID FLOODED ROADS!",Sat Aug 18 18:55:33 +0000 2018
pokey08,"RT @NWSBoston: FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berli…","FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berlin, &amp; Tapley Streets w/car rescues being reported. AVOID FLOODED ROADS!",Sat Aug 18 18:47:32 +0000 2018
penguin5689,"RT @NWSBoston: FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berli…","FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berlin, &amp; Tapley Streets w/car rescues being reported. AVOID FLOODED ROADS!",Sat Aug 18 18:40:37 +0000 2018
NicholasBiondo,"RT @NWSBoston: FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berli…","FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berlin, &amp; Tapley Streets w/car rescues being reported. AVOID FLOODED ROADS!",Sat Aug 18 18:39:10 +0000 2018
karadominick,"RT @NWSBoston: FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berli…","FLASH FLOOD WARNING until 515 PM for greater Springfield area. Significant flooding reported per @WX1BOX on Roosevelt, Berlin, &amp; Tapley Streets w/car rescues being reported. AVOID FLOODED ROADS!",Sat Aug 18 18:37:52 +0000 2018
