vpvoldemort,"RT @kanavulagavaasi: And North, this is purely a natural disaster? Not Aided due to Garbage dumping, Deforestation, Rampant Constructions,…","And North, this is purely a natural disaster? Not Aided due to Garbage dumping, Deforestation, Rampant Constructions, Quarrying-Triggered Landslides? https://t.co/b6J9BEVHPM",Sun Aug 19 02:27:28 +0000 2018
kanavulagavaasi,"And North, this is purely a natural disaster? Not Aided due to Garbage dumping, Deforestation, Rampant Constructions, Quarrying-Triggered Landslides? https://t.co/b6J9BEVHPM",,Sun Aug 19 02:23:24 +0000 2018
ll_lcda,"RT @cdemacu: Heavy rainfall from Inter Tropical Convergence Zone (ITCZ) has resulted in widespread flooding in Grenada, which has triggered…","Heavy rainfall from Inter Tropical Convergence Zone (ITCZ) has resulted in widespread flooding in Grenada, which has triggered numerous landslides.
Prelim reports from NaDMA Grenada confirm there are no injuries or causalities. We continue to monitor the situation. https://t.co/Q3aajTJPk2",Sat Aug 18 21:40:36 +0000 2018
_lovet671,"RT @nytimesworld: In the southern Indian state of Kerala, floodwaters have engulfed entire villages, triggered landslides and thrown open d…","In the southern Indian state of Kerala, floodwaters have engulfed entire villages, triggered landslides and thrown open dam gates. Dozens of people have been killed in what authorities say are the worst rains there since 1924. https://t.co/pwvSFP4rRH",Sat Aug 18 21:32:19 +0000 2018
ken_crichlow,"RT @nytimesworld: In the southern Indian state of Kerala, floodwaters have engulfed entire villages, triggered landslides and thrown open d…","In the southern Indian state of Kerala, floodwaters have engulfed entire villages, triggered landslides and thrown open dam gates. Dozens of people have been killed in what authorities say are the worst rains there since 1924. https://t.co/pwvSFP4rRH",Sat Aug 18 20:46:57 +0000 2018
ozkangursoy222,"RT @PDChina: More than 160 people are now confirmed dead in floods and landslides triggered by torrential rains in India's Kerala, in what…","More than 160 people are now confirmed dead in floods and landslides triggered by torrential rains in India's Kerala, in what is said to be the southern state's worst monsoon in almost a century https://t.co/e6AEcw8nhb",Sat Aug 18 20:04:28 +0000 2018
tvThirdEyeB,"BBCNEWS 11:12am KEHALA FLOODS. Huge rescue mission to help stranded residents
KERALA FLOODS. Weeks of rain triggered landslides and...",,Sat Aug 18 18:13:41 +0000 2018
iampbawa,"@ecas_india Updates: The heavy rains have also triggered the landslides. More than 320 people have died and officials are worried the death toll will rise further with more rain predicted. More than 220,000 have been left homeless in Kerala.

#KeralaFloods #IndiaForKerala",,Sat Aug 18 17:35:50 +0000 2018
suresh05542185,RT @BYVijayendra: Heavy rain for the last week triggered floods and landslides in several parts of coastal areas of Karnataka majorly daksh…,"Heavy rain for the last week triggered floods and landslides in several parts of coastal areas of Karnataka majorly dakshina kannada and kodagu districts. Let us do a bit to help the victims, your help can rebuild the lives of the affected. stand with karnataka
 #KodaguFloods https://t.co/PxbPapJowC",Sat Aug 18 17:28:01 +0000 2018
HaamiSyed,RT @utkhader: Visited Madenadu village in #Madikeri took the stock situation is worsening due to multiple landslides triggered due to heavy…,"Visited Madenadu village in #Madikeri took the stock situation is worsening due to multiple landslides triggered due to heavy incessant rainfall in the coastal region.Locals say it is not possible to move, people are stuck in their houses, I have not seen such rainfall before. https://t.co/9iDufnA3PE",Sat Aug 18 16:45:03 +0000 2018
mubeena76296346,RT @utkhader: Due to heavy incessant rainfall in the coastal region multiple landslides have triggered by destroying various areas in Maden…,"Due to heavy incessant rainfall in the coastal region multiple landslides have triggered by destroying various areas in Madenadu throwing normal life out of gear, traffic disrupted along Madikeri-Sullia-Mangaluru national highway near Jodupala is destroyed by #flashfloods. https://t.co/iHwGob98xY",Sat Aug 18 16:16:44 +0000 2018
JerryCo63944118,"RT @patton_cascadia: @NASAGoddard @NASAEarth @tumblr yet, more landslides are triggered by earthquakes than any other triggering source. so…","@NASAGoddard @NASAEarth @tumblr yet, more landslides are triggered by earthquakes than any other triggering source. so, ""most common"" may not be a factual statement. 

with all due respect to those who are doing a great job at creating fact based educational material (y'all). keep it up and thanks!",Sat Aug 18 15:37:58 +0000 2018
puriyash41,RT @utkhader: Due to heavy incessant rainfall in the coastal region multiple landslides have triggered by destroying various areas in Maden…,"Due to heavy incessant rainfall in the coastal region multiple landslides have triggered by destroying various areas in Madenadu throwing normal life out of gear, traffic disrupted along Madikeri-Sullia-Mangaluru national highway near Jodupala is destroyed by #flashfloods. https://t.co/iHwGob98xY",Sat Aug 18 15:07:49 +0000 2018
utkhader,"Due to heavy incessant rainfall in the coastal region multiple landslides have triggered by destroying various areas in Madenadu throwing normal life out of gear, traffic disrupted along Madikeri-Sullia-Mangaluru national highway near Jodupala is destroyed by #flashfloods. https://t.co/iHwGob98xY",,Sat Aug 18 15:02:46 +0000 2018
utkhader,"Visited Madenadu village in #Madikeri took the stock situation is worsening due to multiple landslides triggered due to heavy incessant rainfall in the coastal region.Locals say it is not possible to move, people are stuck in their houses, I have not seen such rainfall before. https://t.co/9iDufnA3PE",,Sat Aug 18 14:56:54 +0000 2018
clintonkowach,"RT @clintonkowach: Floods, landslides triggered by Bebinca kill 5, leave 1 missing in Vietnam https://t.co/Vovyo4ud9b #News #Bibleprophecy…","Floods, landslides triggered by Bebinca kill 5, leave 1 missing in Vietnam https://t.co/Vovyo4ud9b #News #Bibleprophecy #Truth #Knowledge #Wisdom #Economist #Endtimes #Revelation",Sat Aug 18 14:50:14 +0000 2018
PasodiMalluS,RT @BYVijayendra: Heavy rain for the last week triggered floods and landslides in several parts of coastal areas of Karnataka majorly daksh…,"Heavy rain for the last week triggered floods and landslides in several parts of coastal areas of Karnataka majorly dakshina kannada and kodagu districts. Let us do a bit to help the victims, your help can rebuild the lives of the affected. stand with karnataka
 #KodaguFloods https://t.co/PxbPapJowC",Sat Aug 18 14:04:11 +0000 2018
NihalSirin2,"RT @PDChina: More than 160 people are now confirmed dead in floods and landslides triggered by torrential rains in India's Kerala, in what…","More than 160 people are now confirmed dead in floods and landslides triggered by torrential rains in India's Kerala, in what is said to be the southern state's worst monsoon in almost a century https://t.co/e6AEcw8nhb",Sat Aug 18 12:35:29 +0000 2018
edwarsqueen,"RT @nytimesworld: In the southern Indian state of Kerala, floodwaters have engulfed entire villages, triggered landslides and thrown open d…","In the southern Indian state of Kerala, floodwaters have engulfed entire villages, triggered landslides and thrown open dam gates. Dozens of people have been killed in what authorities say are the worst rains there since 1924. https://t.co/pwvSFP4rRH",Sat Aug 18 12:03:32 +0000 2018
hinditausif,"RT @nytimesworld: In the southern Indian state of Kerala, floodwaters have engulfed entire villages, triggered landslides and thrown open d…","In the southern Indian state of Kerala, floodwaters have engulfed entire villages, triggered landslides and thrown open dam gates. Dozens of people have been killed in what authorities say are the worst rains there since 1924. https://t.co/pwvSFP4rRH",Sat Aug 18 11:13:59 +0000 2018
waseemqadiri,"RT @nytimesworld: In the southern Indian state of Kerala, floodwaters have engulfed entire villages, triggered landslides and thrown open d…","In the southern Indian state of Kerala, floodwaters have engulfed entire villages, triggered landslides and thrown open dam gates. Dozens of people have been killed in what authorities say are the worst rains there since 1924. https://t.co/vIWLlZf5lu",Sat Aug 18 10:53:39 +0000 2018
jithupv_jithu,"RT @nytimesworld: In the southern Indian state of Kerala, floodwaters have engulfed entire villages, triggered landslides and thrown open d…","In the southern Indian state of Kerala, floodwaters have engulfed entire villages, triggered landslides and thrown open dam gates. Dozens of people have been killed in what authorities say are the worst rains there since 1924. https://t.co/vIWLlZf5lu",Sat Aug 18 10:44:55 +0000 2018
prakritiaryaa,RT @riyakMH: I've just posted a new blog: People evacuated from rooftops after floods in Indian state of Kerala kill 164 https://t.co/SmVtY…,"I've just posted a new blog: People evacuated from rooftops after floods in Indian state of Kerala kill 164 https://t.co/SmVtYSBG83 Associated Press

Heavy rains over the past eight days triggered flooding, landslides and home and road bridge collapses,… https://t.co/zlknU0WJb4",Sat Aug 18 10:13:24 +0000 2018
3ty3,"RT @XHNews: Flash floods, landslides triggered by Typhoon Bebinca in Vietnam's northern and central regions have killed 5, left 1 missing h…","Flash floods, landslides triggered by Typhoon Bebinca in Vietnam's northern and central regions have killed 5, left 1 missing https://t.co/oJ7T9cPknP https://t.co/8zOiu2JyqV",Sat Aug 18 10:12:46 +0000 2018
krishworlds,RT @riyakMH: I've just posted a new blog: People evacuated from rooftops after floods in Indian state of Kerala kill 164 https://t.co/SmVtY…,"I've just posted a new blog: People evacuated from rooftops after floods in Indian state of Kerala kill 164 https://t.co/SmVtYSBG83 Associated Press

Heavy rains over the past eight days triggered flooding, landslides and home and road bridge collapses,… https://t.co/zlknU0WJb4",Sat Aug 18 10:09:46 +0000 2018
riyakMH,"I've just posted a new blog: People evacuated from rooftops after floods in Indian state of Kerala kill 164 https://t.co/SmVtYSBG83 Associated Press

Heavy rains over the past eight days triggered flooding, landslides and home and road bridge collapses,… https://t.co/zlknU0WJb4",,Sat Aug 18 10:03:30 +0000 2018
globaltab,"#KeralaFloods
Worst Floods in 100 years

Death toll from floods that triggered landslides and sent torrents sweeping through villages in the Indian state of Kerala trebled Friday to 324, authorities said, amid warnings... https://t.co/yf4yeUNwtn",,Sat Aug 18 09:54:10 +0000 2018
varughese4,RT @AFP: #UPDATE The death toll from floods that have triggered landslides and sent torrents sweeping through villages in the Indian state…,"#UPDATE The death toll from floods that have triggered landslides and sent torrents sweeping through villages in the Indian state of Kerala trebled to 324, authorities say, amid warnings of worse weather to come https://t.co/UOLhChdhyF",Sat Aug 18 09:47:07 +0000 2018
riyakMH,"People evacuated from rooftops after floods in Indian state of Kerala kill 164 https://t.co/SmVtYSBG83 Associated Press

Heavy rains over the past eight days triggered flooding, landslides and home and road bridge collapses, severely disrupting air and … https://t.co/zlknU0WJb4",,Sat Aug 18 09:47:00 +0000 2018
kaisallilja,"RT @AlArabiya_Eng: #SaudiArabia's king, crown prince send condolences to India after deadly #Kerala flooding. At least 324 people have been…","#SaudiArabia's king, crown prince send condolences to India after deadly #Kerala flooding. At least 324 people have been killed and more than 200,000 are homeless after weeks of rain triggered landslides and floods.

https://t.co/F5Cy44UURh",Sat Aug 18 09:40:55 +0000 2018
