kh6jrm,"The Flood Warning has been cancelled, but motorists are advised that rain 
and flooding are still problems in East Hawaii.  Drive carefully.  Aloha, Russ. https://t.co/ml105runXX",,Sun Aug 19 02:44:20 +0000 2018
PoliceNewsTas,"RT @BOM_Tas: Still windy over #Tassie, but trough is now over the northeast, so starting to ease.  Severe Weather Warning has been cancelle…","Still windy over #Tassie, but trough is now over the northeast, so starting to ease.  Severe Weather Warning has been cancelled.  Many other warnings continue at https://t.co/NHL3HY0zFO https://t.co/bI3KJgDYRN",Sun Aug 19 01:54:00 +0000 2018
encweather,NWS has Cancelled a Severe Thunderstorm Warning for Wake County #encwx #ncwx,,Sun Aug 19 01:46:03 +0000 2018
Panorama24H,RT @NWSSanJuan: Flood warning for the Guanajibo river is cancelled as the river is below flood stage. El aviso de inundaciones para el Rio…,Flood warning for the Guanajibo river is cancelled as the river is below flood stage. El aviso de inundaciones para el Rio Guanajibo ha sido cancelado ya que el rio esta debajo del nivel de inundación. #prwx,Sun Aug 19 01:45:51 +0000 2018
skytrafficpr,RT @NWSSanJuan: Flood warning for the Guanajibo river is cancelled as the river is below flood stage. El aviso de inundaciones para el Rio…,Flood warning for the Guanajibo river is cancelled as the river is below flood stage. El aviso de inundaciones para el Rio Guanajibo ha sido cancelado ya que el rio esta debajo del nivel de inundación. #prwx,Sun Aug 19 01:38:25 +0000 2018
HongKong,[WEATHER] Amber Rainstorm Warning Signal cancelled (09:15 HKT 19/08/2018)  https://t.co/6ikfddSPgJ,,Sun Aug 19 01:28:19 +0000 2018
mukeshbalani80,"HK Weather | August 19, 2018 at 09:15AM / Amber Rainstorm Warning Signal cancelled (09:15 HKT 19/08/2018) https://t.co/aLnPr408AX",,Sun Aug 19 01:23:27 +0000 2018
b3108,"RT @ObservatoryHK: 9:15AM: Amber Rainstorm Warning Signal cancelled
https://t.co/FaCshpD15b","9:15AM: Amber Rainstorm Warning Signal cancelled
https://t.co/FaCshpD15b",Sun Aug 19 01:21:24 +0000 2018
hkstream,#WEATHER Amber Rainstorm Warning Signal cancelled (09:15 HKT 19/08/2018)  https://t.co/vJjkquOX9i,,Sun Aug 19 01:21:12 +0000 2018
UPRMetLab,RT @NWSSanJuan: Flood warning for the Guanajibo river is cancelled as the river is below flood stage. El aviso de inundaciones para el Rio…,Flood warning for the Guanajibo river is cancelled as the river is below flood stage. El aviso de inundaciones para el Rio Guanajibo ha sido cancelado ya que el rio esta debajo del nivel de inundación. #prwx,Sun Aug 19 01:20:50 +0000 2018
ObservatoryHK,"9:15AM: Amber Rainstorm Warning Signal cancelled
https://t.co/FaCshpD15b",,Sun Aug 19 01:18:02 +0000 2018
Australianwarni,"#TAS #Weather  Still windy over #Tassie, but trough is now over the northeast, so starting to ease. Severe Weather Warning has been cancelled. Many other warnings continue at https://t.co/6UNDlQUcaf https://t.co/xTpLy4rSOU https://t.co/1FKPhMsQfb",,Sun Aug 19 01:10:07 +0000 2018
yolymwong,RT @NWSSanJuan: Flood warning for the Guanajibo river is cancelled as the river is below flood stage. El aviso de inundaciones para el Rio…,Flood warning for the Guanajibo river is cancelled as the river is below flood stage. El aviso de inundaciones para el Rio Guanajibo ha sido cancelado ya que el rio esta debajo del nivel de inundación. #prwx,Sun Aug 19 01:01:37 +0000 2018
OMMEADGuayama,Flood warning for the Guanajibo river is cancelled as the river is below flood stage. El aviso de inundaciones para el Rio Guanajibo ha sido cancelado ya que el rio esta debajo del nivel de inundación. #prwx,,Sun Aug 19 01:01:37 +0000 2018
GianncarloI,RT @NWSSanJuan: Flood warning for the Guanajibo river is cancelled as the river is below flood stage. El aviso de inundaciones para el Rio…,Flood warning for the Guanajibo river is cancelled as the river is below flood stage. El aviso de inundaciones para el Rio Guanajibo ha sido cancelado ya que el rio esta debajo del nivel de inundación. #prwx,Sun Aug 19 01:00:25 +0000 2018
AlohaEvery1,"RT @CivilDefenseHI: NWS has cancelled the Flood Warning/issued a flash flood advisory for the following areas Hilo, Puna and Kau Districts.","NWS has cancelled the Flood Warning/issued a flash flood advisory for the following areas Hilo, Puna and Kau Districts.",Sun Aug 19 00:59:45 +0000 2018
ShadowLavalamp1,"#WeatherAlert #Hawaii #BigIsland

2:54 PM HAWAII TIME 
National Weather Service has cancelled the Flood Warning/issued a flash flood advisory for the following areas Hilo, Puna and Kau Districts.Sign up for alerts at https://t.co/8qhYmJDKyf",,Sun Aug 19 00:58:00 +0000 2018
NWSSanJuan,Flood warning for the Guanajibo river is cancelled as the river is below flood stage. El aviso de inundaciones para el Rio Guanajibo ha sido cancelado ya que el rio esta debajo del nivel de inundación. #prwx,,Sun Aug 19 00:57:45 +0000 2018
cedarsgate,"RT @CivilDefenseHI: NWS has cancelled the Flood Warning/issued a flash flood advisory for the following areas Hilo, Puna and Kau Districts.","NWS has cancelled the Flood Warning/issued a flash flood advisory for the following areas Hilo, Puna and Kau Districts.",Sun Aug 19 00:57:21 +0000 2018
Marhaz556,"RT @CivilDefenseHI: NWS has cancelled the Flood Warning/issued a flash flood advisory for the following areas Hilo, Puna and Kau Districts.","NWS has cancelled the Flood Warning/issued a flash flood advisory for the following areas Hilo, Puna and Kau Districts.",Sun Aug 19 00:57:18 +0000 2018
CivilDefenseHI,"NWS has cancelled the Flood Warning/issued a flash flood advisory for the following areas Hilo, Puna and Kau Districts.",,Sun Aug 19 00:55:09 +0000 2018
BOM_Tas,"Still windy over #Tassie, but trough is now over the northeast, so starting to ease.  Severe Weather Warning has been cancelled.  Many other warnings continue at https://t.co/NHL3HY0zFO https://t.co/bI3KJgDYRN",,Sun Aug 19 00:46:51 +0000 2018
ipawsweather,New post: Cancel: The Flash Flood Warning has been cancelled. https://t.co/1m5IiYG1te,,Sun Aug 19 00:31:54 +0000 2018
chswx,Severe Thunderstorm Warning for Dorchester County has been cancelled.,,Sun Aug 19 00:13:07 +0000 2018
WVDHSEM,RT @KanawhaCoAlerts: NWS has advised the other Flash Flood Warning for Southeastern Kanawha County has been cancelled.,NWS has advised the other Flash Flood Warning for Southeastern Kanawha County has been cancelled.,Sat Aug 18 23:31:08 +0000 2018
NatalieAPerdue,RT @KanawhaCoAlerts: NWS has advised the other Flash Flood Warning for Southeastern Kanawha County has been cancelled.,NWS has advised the other Flash Flood Warning for Southeastern Kanawha County has been cancelled.,Sat Aug 18 23:17:33 +0000 2018
NickPatrickWCHS,RT @KanawhaCoAlerts: NWS has advised the other Flash Flood Warning for Southeastern Kanawha County has been cancelled.,NWS has advised the other Flash Flood Warning for Southeastern Kanawha County has been cancelled.,Sat Aug 18 23:17:23 +0000 2018
KanawhaCoAlerts,NWS has advised the other Flash Flood Warning for Southeastern Kanawha County has been cancelled.,,Sat Aug 18 23:15:51 +0000 2018
