loriellenew,RT @FortuneMagazine: Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Sun Aug 19 06:54:02 +0000 2018
whoisXaw,This water tastes contaminated,,Sun Aug 19 06:51:36 +0000 2018
PYL_Nantes,"RT @IEA: ""The world has a water problem""

🚰More than 2.1 billion people drink contaminated water  
🌍More than half the global population la…","""The world has a water problem""

🚰More than 2.1 billion people drink contaminated water  
🌍More than half the global population lack access to proper sanitation services 
💧More than a third of the global population is affected by water scarcity

https://t.co/O92gQB6Vsy",Sun Aug 19 06:38:02 +0000 2018
vimalan08,Rivers and lakes  contaminated polluted and cities are running dry Also 70% rainwater wasted into the sea Following TV channels must take suo motu to telecast and educate India Please Tele Save Water slogans Bcoz water is life   @CNNnews18 @republic @NewsX @MirrorNow #SaveGanga .,,Sun Aug 19 06:36:55 +0000 2018
vimalan08,Rivers and lakes  contaminated polluted and cities are running dry Also 70% rainwater wasted into the sea Following TV channels must take suo motu to telecast and educate India Please Tele Save Water slogans Bcoz water is life   @CNNnews18 @republic @NewsX @MirrorNow #SaveGanga,,Sun Aug 19 06:36:38 +0000 2018
vimalan08,Water shortages had caused cities to vanished for thousands of years but now India not only facing shortage but also contaminated and polluted water Media please take self interest to educate citizens India which we borrowed from future generation @TimesNow @ndtv @NewsX,,Sun Aug 19 06:36:20 +0000 2018
EnactusVUT,RT @enactus: World Water Race Top 12: @EnactusSRCC tackle contaminated groundwater by creating a two-step water purification process that e…,"World Water Race Top 12: @EnactusSRCC tackle contaminated groundwater by creating a two-step water purification process that eliminates dangerous pathogens to provide safe, clean drinking for over 5,000 people in New Delhi, India.

#EnactusWaterAction https://t.co/3TlDh6f6LF",Sun Aug 19 06:32:18 +0000 2018
katiedyd2,RT @FortuneMagazine: Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Sun Aug 19 06:29:35 +0000 2018
cleanwaterNW,"RT @PhilaPSR: Water, our most precious liquid is permanently contaminated and buried into the ground and removing it from the water cycle.…","Water, our most precious liquid is permanently contaminated and buried into the ground and removing it from the water cycle.  The methane helps to worsen global warming and forces more evaporation moving the freshwater into the oceans.  Ban fracking. https://t.co/YYErNxKwYh",Sun Aug 19 06:20:53 +0000 2018
Michael30967089,RT @FortuneMagazine: Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Sun Aug 19 06:07:46 +0000 2018
LaurieLitman,"RT @PhilaPSR: Water, our most precious liquid is permanently contaminated and buried into the ground and removing it from the water cycle.…","Water, our most precious liquid is permanently contaminated and buried into the ground and removing it from the water cycle.  The methane helps to worsen global warming and forces more evaporation moving the freshwater into the oceans.  Ban fracking. https://t.co/YYErNxKwYh",Sun Aug 19 06:01:43 +0000 2018
MyViralExposure,🔥RETWEET SHARE SUPPORT! 🔥 USMC Contaminated Water at Camp Lejuene Birth &amp; Behavioral Defects @chrisne82045203 #ViralExposureCo #CrowdExposure #HelpMySon #Birthdefects #USMC #CampLejuene #Veteran @ViralExpNotify #Gofundme #MyViralExposure PLEASE SUPPORT=&gt; https://t.co/0xO8pJeSaz https://t.co/OplsUg4hsD,,Sun Aug 19 06:00:04 +0000 2018
DemotedHusband,@mtnhousewife @sarahjeangosney Contaminated water and food supply,,Sun Aug 19 05:59:52 +0000 2018
ActivistIntl,It's true #Michigan is killing it's citizens with #contaminated drinking water https://t.co/syyP4fX27C,,Sun Aug 19 05:57:45 +0000 2018
TSPRavshiva,The generation now and to come will never know the true taste and affect of water before it was tampered with and contaminated.,,Sun Aug 19 05:45:22 +0000 2018
ahteshamBokhari,RT @ShezrehMirza: Solving water crisis should be the first thing on the governments agenda. Access to clean drinking water is a human right…,Solving water crisis should be the first thing on the governments agenda. Access to clean drinking water is a human right. According to UNICEFs report more than 2/3 of Pakistan’s households are drinking contaminated water. #WaterScarcity #Pakistan,Sun Aug 19 05:32:50 +0000 2018
methemeatball,Gimme little drink! Of your contaminated water @curveball,,Sun Aug 19 05:21:38 +0000 2018
EWestaway,"@PermoafriCentre #Avocados are bad for #soilhealth  the environment &amp; #watersecurity 
In #Chile, it takes 2000 litres #water to produce 1 kilo avocados. Inhabitants of Chile's largest avocado producing region face water shortages, relying on often contaminated water delivered by cistern trucks",,Sun Aug 19 05:16:32 +0000 2018
allan_crawshaw,"RT @Roysahm1: @allan_crawshaw Makes you wonder why nobody hears/feels the signs🤑🤑🤑. Can’t breathe because the fires and pollution, can’t dr…","@allan_crawshaw Makes you wonder why nobody hears/feels the signs🤑🤑🤑. Can’t breathe because the fires and pollution, can’t drink the water, whales sinking because no salmon to eat and shellfish contaminated 😳 we are screwed 😘",Sun Aug 19 05:13:05 +0000 2018
MUHSANSOLANGI,RT @ShezrehMirza: Solving water crisis should be the first thing on the governments agenda. Access to clean drinking water is a human right…,Solving water crisis should be the first thing on the governments agenda. Access to clean drinking water is a human right. According to UNICEFs report more than 2/3 of Pakistan’s households are drinking contaminated water. #WaterScarcity #Pakistan,Sun Aug 19 05:10:21 +0000 2018
ShezrehMirza,Solving water crisis should be the first thing on the governments agenda. Access to clean drinking water is a human right. According to UNICEFs report more than 2/3 of Pakistan’s households are drinking contaminated water. #WaterScarcity #Pakistan,,Sun Aug 19 05:09:59 +0000 2018
robertoariasr,RT @FortuneMagazine: Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Sun Aug 19 05:08:10 +0000 2018
ScribePR,RT @FortuneMagazine: Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Sun Aug 19 05:07:01 +0000 2018
HF_Tunisia,RT @FortuneMagazine: Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Sun Aug 19 05:05:18 +0000 2018
TheLloydGroup1,RT @FortuneMagazine: Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Sun Aug 19 05:03:22 +0000 2018
brijeshtyagi,Drinking water is a biggest crisis in Kerala. There are no hand pumps on borings used. After the flood all wells have got contaminated with flood water. Also no food items left in shops. Efforts should be to get the water &amp; food delivered till road and rail  transport is restored,,Sun Aug 19 05:03:11 +0000 2018
musicadamg,RT @FortuneMagazine: Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,Sun Aug 19 05:02:40 +0000 2018
ConspiraFact,"@angie_karan Sadly in this day &amp; age of GMO seeds, aluminum/barium/strontium in the soil, &amp; contaminated rain water from pesticides &amp; other waste water run-off, being a vegan or vegetarian is no longer ""enough"".",,Sun Aug 19 05:02:18 +0000 2018
FortuneMagazine,Communities across the U.S. worry about contaminated drinking water https://t.co/aIEBvqJQLs,,Sun Aug 19 05:00:06 +0000 2018
newselleven,"As rains begin to subside, Kerala worries about diseases from contaminated flood water | india news https://t.co/VPQFT4D1om https://t.co/0DqZ6JFD4O",,Sun Aug 19 04:53:27 +0000 2018
