ipsita165,"RT @brijeshkalappa: Will be filing an FIR against this imposter for:
1. Misrepresentation that he works in AIIMS
2. Misrepresentation that…","Will be filing an FIR against this imposter for:
1. Misrepresentation that he works in AIIMS
2. Misrepresentation that he works alongside PMO and he knows what is happening there.
3. Denigrating womanhood.
4. Defamation. https://t.co/zWeQg5YgvI",Sun Aug 19 06:52:26 +0000 2018
Ssumi69,RT @GAURAV4RSS: Chattisgarh:- A train full of rice worth around Rs 7.5 crores will leave for Kerala tomorrow. 3 crores will be provided in…,"Chattisgarh:- A train full of rice worth around Rs 7.5 crores will leave for Kerala tomorrow. 3 crores will be provided in cash. Doctors, soldiers &amp; even public of state is ready to go there to help.
#KeralaFloodRelief 
@narendramodi ji",Sun Aug 19 06:52:26 +0000 2018
dyn__201,"RT @SMTOWNGLOBAL: NCT 127 to appear in Japanese biggest summer music concert ‘a-nation 2018’! 
They will be on stage for concerts in Osaka…","NCT 127 to appear in Japanese biggest summer music concert ‘a-nation 2018’! 
They will be on stage for concerts in Osaka on August 19 and in Tokyo on August 25. 
Please look forward to NCT 127’s charismatic performances there! 
  
#NCT #NCT127 https://t.co/xKZmr1ORmv",Sun Aug 19 06:52:25 +0000 2018
AshishShaheb,"RT @Mallithottam: @mkvenu1 I am a tamil, I am from bharath and always will be. Shut the hell up you venomous @thewire_in How do you even sa…","@mkvenu1 I am a tamil, I am from bharath and always will be. Shut the hell up you venomous @thewire_in How do you even say the nastiest things so casually and go on with your lives 24/7? @HMOIndia @PMOIndia Aren't there laws to control these kind of devils?",Sun Aug 19 06:52:23 +0000 2018
GP76335748,"RT @GrassrootsSpeak: Do you want to see a completely free Parade that will be the biggest, greatest, hugest parade the World ever saw and w…","Do you want to see a completely free Parade that will be the biggest, greatest, hugest parade the World ever saw and will be all about Trump?

When Mueller provides his report there will be a spontaneous parade with the people pouring into the streets and marching in celebration",Sun Aug 19 06:52:22 +0000 2018
fentyuta,"RT @SMTOWNGLOBAL: NCT 127 to appear in Japanese biggest summer music concert ‘a-nation 2018’! 
They will be on stage for concerts in Osaka…","NCT 127 to appear in Japanese biggest summer music concert ‘a-nation 2018’! 
They will be on stage for concerts in Osaka on August 19 and in Tokyo on August 25. 
Please look forward to NCT 127’s charismatic performances there! 
  
#NCT #NCT127 https://t.co/xKZmr1ORmv",Sun Aug 19 06:52:21 +0000 2018
nctwaves,"RT @SMTOWNGLOBAL: NCT 127 to appear in Japanese biggest summer music concert ‘a-nation 2018’! 
They will be on stage for concerts in Osaka…","NCT 127 to appear in Japanese biggest summer music concert ‘a-nation 2018’! 
They will be on stage for concerts in Osaka on August 19 and in Tokyo on August 25. 
Please look forward to NCT 127’s charismatic performances there! 
  
#NCT #NCT127 https://t.co/xKZmr1ORmv",Sun Aug 19 06:52:21 +0000 2018
DrBobga,"RT @krassenstein: As the Mueller probe progresses, pay particularly close attention to these 5 Republicans.

There will be much more to thi…","As the Mueller probe progresses, pay particularly close attention to these 5 Republicans.

There will be much more to this story. Just a hunch.

Dana Rohrabacher
Rand Paul
Devin Nunes
Jim Jordan
Matt Gaetz",Sun Aug 19 06:52:19 +0000 2018
awwkathniel,RT @gelathou: good luck paps @imdanielpadilla your cheerleader will always be there for you and im pretty sure thousand more others will ch…,good luck paps @imdanielpadilla your cheerleader will always be there for you and im pretty sure thousand more others will cheer for you &amp; your team. ❤️ #TeamDaniel #AllStarGames2018 https://t.co/S2voMtrske,Sun Aug 19 06:52:18 +0000 2018
FilipDobi,"RT @realDonaldTrump: When a politician admits that “We’re not going to make America great again,” there doesn’t seem to be much reason to e…","When a politician admits that “We’re not going to make America great again,” there doesn’t seem to be much reason to ever vote for him. This could be a career threatening statement by Andrew Cuomo, with many wanting him to resign-he will get higher ratings than his brother Chris!",Sun Aug 19 06:52:17 +0000 2018
