ohrezmar,"RT @danotingcungco: RIGHT NOW: Situation at NAIA Terminal 1 Departure Area. 74 flights cancelled today, less than yesterday’s 137 cancelled…","RIGHT NOW: Situation at NAIA Terminal 1 Departure Area. 74 flights cancelled today, less than yesterday’s 137 cancelled flights @gmanews https://t.co/MLt1vRfHGJ",Sun Aug 19 00:15:18 +0000 2018
jazmasigan,"RT @ABSCBNNews: 22 Cebu Pacific flights are cancelled today, Aug 19. Passengers may rebook or refund w/o penalties | via @jacquemanabat htt…","22 Cebu Pacific flights are cancelled today, Aug 19. Passengers may rebook or refund w/o penalties | via @jacquemanabat https://t.co/s1e98vMzZt",Sun Aug 19 00:11:21 +0000 2018
wendy1971june,RT @infonewskelowna: Flights delayed and cancelled at Kamloops airport https://t.co/DPPiZ3VtC4 https://t.co/u1cP8NDWGM,Flights delayed and cancelled at Kamloops airport https://t.co/DPPiZ3VtC4 https://t.co/u1cP8NDWGM,Sun Aug 19 00:06:12 +0000 2018
PromdiCityGirl,"How can they say operations return to ""NORMAL"" when there are still a lit of cancelled flights??? is NAIA giving out fake news?? https://t.co/cc8eLOqAbT",,Sun Aug 19 00:04:25 +0000 2018
MissouriMTG,@mtgworth Had 2 flights to jfk cancelled today and apparently all flights landing at newsrk are also rekt by a 2 hour delay atm,,Sun Aug 19 00:03:19 +0000 2018
ragansparkles,@united I have. However my flight to Florida was cancelled again this evening. I have given up and booked a flight on another airline for tomorrow. I think 3 cancelled flights is quite enough.,,Sun Aug 19 00:01:20 +0000 2018
janezzaaafe,"RT @danotingcungco: RIGHT NOW: Situation at NAIA Terminal 1 Departure Area. 74 flights cancelled today, less than yesterday’s 137 cancelled…","RIGHT NOW: Situation at NAIA Terminal 1 Departure Area. 74 flights cancelled today, less than yesterday’s 137 cancelled flights @gmanews https://t.co/MLt1vRfHGJ",Sun Aug 19 00:00:20 +0000 2018
nadinettan,"RT @ABSCBNNews: 22 Cebu Pacific flights are cancelled today, Aug 19. Passengers may rebook or refund w/o penalties | via @jacquemanabat htt…","22 Cebu Pacific flights are cancelled today, Aug 19. Passengers may rebook or refund w/o penalties | via @jacquemanabat https://t.co/s1e98vMzZt",Sat Aug 18 23:58:28 +0000 2018
CHINpadillo,"RT @danotingcungco: RIGHT NOW: Situation at NAIA Terminal 1 Departure Area. 74 flights cancelled today, less than yesterday’s 137 cancelled…","RIGHT NOW: Situation at NAIA Terminal 1 Departure Area. 74 flights cancelled today, less than yesterday’s 137 cancelled flights @gmanews https://t.co/MLt1vRfHGJ",Sat Aug 18 23:58:02 +0000 2018
XXVJPN,RT @DickGordonDG: Passengers are inconvenienced when flights at the NAIA are delayed and cancelled due to unforeseen circumstance that aggr…,"Passengers are inconvenienced when flights at the NAIA are delayed and cancelled due to unforeseen circumstance that aggravates passengers and commerce due to DELAYED AND CANCELLED flights. If Subic &amp; Clark International Airports were maximized, flights can be diverted there.",Sat Aug 18 23:56:54 +0000 2018
