Hurricane_Laura,RT @ChrisCBS4: I spy ... snowflakes on Loveland Pass? See for yourself. I feel like I saw a few. Here's a live cam.  https://t.co/uJWmcOI9c…,I spy ... snowflakes on Loveland Pass? See for yourself. I feel like I saw a few. Here's a live cam.  https://t.co/uJWmcOI9cd #COwx #4wx #SummerSnow https://t.co/4dsCnvqEkv,Sat Aug 18 21:32:03 +0000 2018
ChrisCBS4,@RidetoShredPow @Matt_Kroschel @tworavenssoap @AAAColorado @CBSDenver @LaurenCBS4 @CSP_News @KREX5_Fox4 @SummitDailyNews @Arapahoe_Basin @ColoradoSkiUSA I wouldn’t say that but it does appear it could be more active,,Sat Aug 18 21:29:34 +0000 2018
unlewis,"RT @CBSDenver: Summer Snow Falls At Arapahoe Basin, More Possible This Weekend https://t.co/DNVmGqmvrg https://t.co/0sGqyPxlED","Summer Snow Falls At Arapahoe Basin, More Possible This Weekend https://t.co/DNVmGqmvrg https://t.co/0sGqyPxlED",Sat Aug 18 21:29:16 +0000 2018
RidetoShredPow,@Matt_Kroschel @tworavenssoap @ChrisCBS4 @AAAColorado @CBSDenver @LaurenCBS4 @CSP_News @KREX5_Fox4 @SummitDailyNews @Arapahoe_Basin @ColoradoSkiUSA winter is coming early i hope this year,,Sat Aug 18 21:28:10 +0000 2018
MileHighBrowns,"RT @CBSDenver: Summer Snow Falls At Arapahoe Basin, More Possible This Weekend https://t.co/DNVmGqmvrg https://t.co/0sGqyPxlED","Summer Snow Falls At Arapahoe Basin, More Possible This Weekend https://t.co/DNVmGqmvrg https://t.co/0sGqyPxlED",Sat Aug 18 21:22:32 +0000 2018
TMFB1983,@PhotogBlake  eeeeek! https://t.co/HHlJIuXRgX,,Sat Aug 18 21:09:26 +0000 2018
CommonSenseCOLO,@CBSDenver That it’s dry.,,Sat Aug 18 21:07:46 +0000 2018
AuroraGov,RT @ETorresDenver: It’s a fun and festive day out at Aurora Global Fest. @AuroraGov @CBSDenver @AndreaFloresTV @DaveAgCBS https://t.co/mHIi…,It’s a fun and festive day out at Aurora Global Fest. @AuroraGov @CBSDenver @AndreaFloresTV @DaveAgCBS https://t.co/mHIi39AFai,Sat Aug 18 20:59:39 +0000 2018
coloboots,@ChrisCBS4 @CBSDenver It was 48 on Kenosha pass and the leaves are turning. https://t.co/AASxiWJT99,,Sat Aug 18 20:44:13 +0000 2018
CBS4Mark,"RT @RWTTROBMARTINEZ: Love Colorado &amp; teaching my little one how to be adventurous, independent, about science, physics, environmentally con…","Love Colorado &amp; teaching my little one how to be adventurous, independent, about science, physics, environmentally conscience, etc.
She’s been on the water her whole life! 
#4Colorado @CBSDenver https://t.co/AzeDomgNQG",Sat Aug 18 20:35:12 +0000 2018
VoyagingErnesto,"Yay, finally!! ❄️ ❤️ https://t.co/BZ9sxcseQk",,Sat Aug 18 20:32:46 +0000 2018
DalpesMark,RT @CBSDenver: Jefferson County Man Sentenced To 30 Years In Prison For Shooting Teen https://t.co/bg8IEQadB5 https://t.co/5IjK28Cl5N,Jefferson County Man Sentenced To 30 Years In Prison For Shooting Teen https://t.co/bg8IEQadB5 https://t.co/5IjK28Cl5N,Sat Aug 18 20:19:36 +0000 2018
clhottentot70,RT @CBSDenver: Jefferson County Man Sentenced To 30 Years In Prison For Shooting Teen https://t.co/bg8IEQadB5 https://t.co/5IjK28Cl5N,Jefferson County Man Sentenced To 30 Years In Prison For Shooting Teen https://t.co/bg8IEQadB5 https://t.co/5IjK28Cl5N,Sat Aug 18 20:18:43 +0000 2018
MalaterreJames,@Matt_Kroschel @LaurenCBS4 @tworavenssoap @ChrisCBS4 @AAAColorado @CBSDenver @CSP_News @KREX5_Fox4 @SummitDailyNews @Arapahoe_Basin @ColoradoSkiUSA No no no no no no no,,Sat Aug 18 20:17:33 +0000 2018
