brownvelmaa,RT @WillFilm4Food: I keep forgetting Stevie was the young one of the soul generation. It’s actually very sad to see him lose a lot of his f…,I keep forgetting Stevie was the young one of the soul generation. It’s actually very sad to see him lose a lot of his friends/colleagues https://t.co/SmOUMCRzQ0,Sun Aug 19 01:05:13 +0000 2018
caitlynovo,"RT @CBSNews: Stevie Wonder holds back tears as he describes his last moments with Aretha Franklin: ""She wasn't able to speak back, but her…","Stevie Wonder holds back tears as he describes his last moments with Aretha Franklin: ""She wasn't able to speak back, but her family felt that she could hear me."" https://t.co/VMkXsMk3cJ  (via @CBSThisMorning) https://t.co/NKYjiuJmOt",Sun Aug 19 01:05:13 +0000 2018
sabbydu,"RT @Peter_Bukowski: Fake weed can stop your heart, send you into a psychotic frenzy, and apparently cause extreme bleeding problems. 

Real…","Fake weed can stop your heart, send you into a psychotic frenzy, and apparently cause extreme bleeding problems. 

Real weed makes you docile and hungry. 

Guess which one is legal. https://t.co/o1OWzZRj3f",Sun Aug 19 01:05:07 +0000 2018
64Rivergirl,"RT @LarrySchweikart: https://t.co/d8gtfPBJYw

The MAGA-ification of the GOP is nearly complete.","https://t.co/d8gtfPBJYw

The MAGA-ification of the GOP is nearly complete.",Sun Aug 19 01:05:07 +0000 2018
tara_belth,RT @CBSNews: WATCH: Sixteen nurses in the same intensive care unit are pregnant at the same time. https://t.co/7fHl5bVh5p https://t.co/Dztf…,WATCH: Sixteen nurses in the same intensive care unit are pregnant at the same time. https://t.co/7fHl5bVh5p https://t.co/Dztf3gunSJ,Sun Aug 19 01:05:06 +0000 2018
AlohaEvery1,"RT @JobDocSD: Earthquake upgraded to 8.2 will have aftershocks spreading in all directions, Christchurch New Zealand felt shaking from this…","Earthquake upgraded to 8.2 will have aftershocks spreading in all directions, Christchurch New Zealand felt shaking from this one.

9-10M shallower quake possible in the next 24-48 hours, live stream

https://t.co/yNmza0vuJE

@dutchsinse 
@CBSNews 
@POTUS",Sun Aug 19 01:05:05 +0000 2018
DeVinSimmons,RT @CBSNews: Shooting at a Palm Beach high school football game in Florida leaves two wounded https://t.co/d2Cai7KSKP https://t.co/vDDzvK2A…,Shooting at a Palm Beach high school football game in Florida leaves two wounded https://t.co/d2Cai7KSKP https://t.co/vDDzvK2AC9,Sun Aug 19 01:05:01 +0000 2018
DustinFrey,RT @CBSNews: A shooting at a high school football game in Florida that left two people injured stemmed from an altercation between students…,A shooting at a high school football game in Florida that left two people injured stemmed from an altercation between students https://t.co/PpD3KX33AS https://t.co/EbD6bQGIVb,Sun Aug 19 01:05:00 +0000 2018
GRevmgbrown4,"RT @GRevmgbrown4: Hurricane Lane: Latest updates, forecast track, path of Category 4 storm

https://t.co/pQaO5WxFcH

Shared from my Google…","Hurricane Lane: Latest updates, forecast track, path of Category 4 storm

https://t.co/pQaO5WxFcH

Shared from my Google feed",Sun Aug 19 01:04:57 +0000 2018
crumpledclothes,"Heat wave melts glacier in Swiss Alps,reveals WWII U.S. military plane in... https://t.co/nAy6ZuzuTG via @CBSNLive",,Sun Aug 19 01:04:56 +0000 2018
