lrozen,@smsaideman spouse and daughter also had flights canceled there and back last month. seems kind of soviet,,Sun Aug 19 00:45:06 +0000 2018
laynegrace_,Sana naman maayos na problema sa NAIA daming na canceled na flights 😕,,Sun Aug 19 00:34:25 +0000 2018
mcnizzel,@FrontierCare you canceled our flights home with no explanation?!? Please reach out for a prompt resolution,,Sun Aug 19 00:26:46 +0000 2018
EagleNewsPH,"List of canceled flights on Sunday, Aug. 19 - https://t.co/d6Hx3qFTyL https://t.co/bkEzjiglqd",,Sun Aug 19 00:15:14 +0000 2018
localtrainboy,Since my surgery is canceled theres no use of going to tx and since we bought tickets we're gonna try to get them changed to flights to ak yay,,Sun Aug 19 00:12:21 +0000 2018
haring_yodid,"RT @gmanews: Canceled flights on Sunday, August 19, 2018 https://t.co/QPCP2quhG3","Canceled flights on Sunday, August 19, 2018 https://t.co/QPCP2quhG3",Sun Aug 19 00:09:42 +0000 2018
anabell_dizon,"RT @gmanews: Canceled flights on Sunday, August 19, 2018 https://t.co/QPCP2quhG3","Canceled flights on Sunday, August 19, 2018 https://t.co/QPCP2quhG3",Sun Aug 19 00:07:43 +0000 2018
athena_143,"Hi @flyPAL, alam namin ang dami na merge na flight dahil sa mga canceled and delayed flights niyo. Pero sana in times like this, wag niyo pa din kalimutan ang branding niyo about customer service. Even senior citizens walang proper lane for them.",,Sun Aug 19 00:05:07 +0000 2018
PrettyPinkMiles,"RT @gmanews: Canceled flights on Sunday, August 19, 2018 https://t.co/QPCP2quhG3","Canceled flights on Sunday, August 19, 2018 https://t.co/QPCP2quhG3",Sun Aug 19 00:01:47 +0000 2018
gmanews,"Canceled flights on Sunday, August 19, 2018 https://t.co/QPCP2quhG3",,Sun Aug 19 00:01:00 +0000 2018
gmanewsfacebook,"Cebu Pacific Air announced the cancellation of several flights for Sunday, August 19, 2018, due to delayed departure clearances stemming from heavy ramp congestion at the NAIA. https://t.co/5CxrMXU93q",,Sun Aug 19 00:00:05 +0000 2018
blacq2,"Snowstorm hammers U.S. Midwest, hundreds of flights canceled MILWAUKEE/CHICAGO (Reut https://t.co/EH78g1lXDL #unitedstates @silewconsulting",,Sat Aug 18 23:52:32 +0000 2018
AirCollect_FR,@jenholmes +3hr delayed or canceled flights can be eligible for €600 compensation per person ON TOP OF: right to care AND rerouting OR ticket refund. You can submit your claim here: https://t.co/ro0NXgWrZL. Save food/beverage/taxi/hotel bills. It’s EU law. https://t.co/ogU2idC0gx,,Sat Aug 18 23:42:06 +0000 2018
AirCollect_FR,@BernatVicens1 +3hr delayed or canceled flights can be eligible for €600 compensation per person ON TOP OF: right to care AND rerouting OR ticket refund. You can submit your claim here: https://t.co/ro0NXgWrZL. Save food/beverage/taxi/hotel bills. It’s EU law. https://t.co/GhxK5VDh8C,,Sat Aug 18 23:39:01 +0000 2018
AirCollect_FR,@Zitagarate +3hr delayed or canceled flights can be eligible for €600 compensation per person ON TOP OF: right to care AND rerouting OR ticket refund. You can submit your claim here: https://t.co/ro0NXgWrZL. Save food/beverage/taxi/hotel bills. It’s EU law. https://t.co/AtBp3qF3bF,,Sat Aug 18 23:37:05 +0000 2018
BeeRosey,Was goin to go to 2chains wedding but you kno the weather flights got canceled lol,,Sat Aug 18 23:14:53 +0000 2018
BjorkmanElvira,"We have arrived! Finally ! 
Initial plan of arrival: 14:00 ~ 
Actual arrival after two canceled flights: 23:00 ~ 
Love it :)",,Sat Aug 18 22:30:49 +0000 2018
abetga,RT @Jimparedes: So one Chinese plane gets stuck in the runaway and has paralyzed  travel in the country for hours  and hours with dozens of…,"So one Chinese plane gets stuck in the runaway and has paralyzed  travel in the country for hours  and hours with dozens of flights delayed, diverted or canceled.

Don’t we have enough crises already everyday?
Pls ADMIN. Magsi-ayos nga kayo!",Sat Aug 18 22:19:13 +0000 2018
nysnurse118,"@AmericanAir So our flight is officially canceled and no more flights to NY today. Rebooked on @WestJet at 845 am but have to go Montreal-Toronto-LGA just to get home. And btw, we gotta make our own hotel reservations!!!😡😡😡",,Sat Aug 18 22:14:48 +0000 2018
Loveon999,"@real_Ms_Claus @4istillwait @MichaelAvenatti @Cindyandmocha @OMAROSA @united @AmericanAir @Delta @AeromexicoUSA @SouthwestAir @flyvolaris Hotels, food, clothes, medication, hygiene products, toothbrush, toys, book... water, snacks, who knows. Can't even imagine all that might come up. Heard Avenatti had 3 canceled flights, which would probably mean a hotel stayover. Gift and/or flowers for mom and dad! 💘",,Sat Aug 18 21:46:50 +0000 2018
EffronBlue,"RT @girlgroupzone: GFRIEND has postponed their concert '2018 Season of GFRIEND in Manila' from August 19th to August 26th, all flights have…","GFRIEND has postponed their concert '2018 Season of GFRIEND in Manila' from August 19th to August 26th, all flights have been canceled or delayed due to crash-landing at Manila Airport https://t.co/0hIrrekoMM https://t.co/ojOw9fU5PM",Sat Aug 18 21:30:32 +0000 2018
vueling_lies,RT @noelia_vil3s: Veo que hoy con el hashtag #vueling siguen los #delayed y #canceled #flights de @vueling por toda Europa. ¿Siguen los pro…,Veo que hoy con el hashtag #vueling siguen los #delayed y #canceled #flights de @vueling por toda Europa. ¿Siguen los problemas con la meteo?,Sat Aug 18 21:26:52 +0000 2018
eleven_cween,I called @AmericanAir 5months ago and booked 25 flights to my #OTR2 I didn’t use 1 flight from Detroid to Nyc and they canceled my others 14 flights! How come? Now I’m in nyc with no where to stay or go! @AmericanAir how come?,,Sat Aug 18 21:26:22 +0000 2018
noelia_vil3s,Veo que hoy con el hashtag #vueling siguen los #delayed y #canceled #flights de @vueling por toda Europa. ¿Siguen los problemas con la meteo?,,Sat Aug 18 21:25:55 +0000 2018
acbernales,RT @Jimparedes: So one Chinese plane gets stuck in the runaway and has paralyzed  travel in the country for hours  and hours with dozens of…,"So one Chinese plane gets stuck in the runaway and has paralyzed  travel in the country for hours  and hours with dozens of flights delayed, diverted or canceled.

Don’t we have enough crises already everyday?
Pls ADMIN. Magsi-ayos nga kayo!",Sat Aug 18 21:22:16 +0000 2018
tintin0418,RT @Jimparedes: So one Chinese plane gets stuck in the runaway and has paralyzed  travel in the country for hours  and hours with dozens of…,"So one Chinese plane gets stuck in the runaway and has paralyzed  travel in the country for hours  and hours with dozens of flights delayed, diverted or canceled.

Don’t we have enough crises already everyday?
Pls ADMIN. Magsi-ayos nga kayo!",Sat Aug 18 21:19:04 +0000 2018
GalloNotTheWine,@njgina @Alsboringtweets Is this what he turns into when flights get canceled ?,,Sat Aug 18 21:11:09 +0000 2018
slick0501,RT @KamriNoel: Finally home after canceled flights and an extended stay in New York! Crazy way to end the summer😂😉,Finally home after canceled flights and an extended stay in New York! Crazy way to end the summer😂😉,Sat Aug 18 20:13:17 +0000 2018
Kathi65278416,"RT @girlgroupzone: GFRIEND has postponed their concert '2018 Season of GFRIEND in Manila' from August 19th to August 26th, all flights have…","GFRIEND has postponed their concert '2018 Season of GFRIEND in Manila' from August 19th to August 26th, all flights have been canceled or delayed due to crash-landing at Manila Airport https://t.co/0hIrrekoMM https://t.co/ojOw9fU5PM",Sat Aug 18 20:05:43 +0000 2018
KarenRo99275266,RT @KamriNoel: Finally home after canceled flights and an extended stay in New York! Crazy way to end the summer😂😉,Finally home after canceled flights and an extended stay in New York! Crazy way to end the summer😂😉,Sat Aug 18 20:00:20 +0000 2018
dealcomanie,"RT @girlgroupzone: GFRIEND has postponed their concert '2018 Season of GFRIEND in Manila' from August 19th to August 26th, all flights have…","GFRIEND has postponed their concert '2018 Season of GFRIEND in Manila' from August 19th to August 26th, all flights have been canceled or delayed due to crash-landing at Manila Airport https://t.co/0hIrrekoMM https://t.co/ojOw9fU5PM",Sat Aug 18 19:50:40 +0000 2018
bonikowske,RT @KamriNoel: Finally home after canceled flights and an extended stay in New York! Crazy way to end the summer😂😉,Finally home after canceled flights and an extended stay in New York! Crazy way to end the summer😂😉,Sat Aug 18 19:47:04 +0000 2018
InglesTeffy,"RT @girlgroupzone: GFRIEND has postponed their concert '2018 Season of GFRIEND in Manila' from August 19th to August 26th, all flights have…","GFRIEND has postponed their concert '2018 Season of GFRIEND in Manila' from August 19th to August 26th, all flights have been canceled or delayed due to crash-landing at Manila Airport https://t.co/0hIrrekoMM https://t.co/ojOw9fU5PM",Sat Aug 18 19:33:24 +0000 2018
littlebittt_,"Obviously a joke, but I am stuck🤘 flights got canceled. Mad af.",,Sat Aug 18 19:20:52 +0000 2018
OrindeHillary,Passengers stranded at Kisumu International Airport as night flights are canceled due to runway light failure.,,Sat Aug 18 19:19:59 +0000 2018
KrispyKadedra,"RT @girlgroupzone: GFRIEND has postponed their concert '2018 Season of GFRIEND in Manila' from August 19th to August 26th, all flights have…","GFRIEND has postponed their concert '2018 Season of GFRIEND in Manila' from August 19th to August 26th, all flights have been canceled or delayed due to crash-landing at Manila Airport https://t.co/0hIrrekoMM https://t.co/ojOw9fU5PM",Sat Aug 18 19:11:02 +0000 2018
1manulasat,RT @KamriNoel: Finally home after canceled flights and an extended stay in New York! Crazy way to end the summer😂😉,Finally home after canceled flights and an extended stay in New York! Crazy way to end the summer😂😉,Sat Aug 18 19:08:06 +0000 2018
GFmybabies,"RT @girlgroupzone: GFRIEND has postponed their concert '2018 Season of GFRIEND in Manila' from August 19th to August 26th, all flights have…","GFRIEND has postponed their concert '2018 Season of GFRIEND in Manila' from August 19th to August 26th, all flights have been canceled or delayed due to crash-landing at Manila Airport https://t.co/0hIrrekoMM https://t.co/ojOw9fU5PM",Sat Aug 18 19:03:11 +0000 2018
CelineCruz021,RT @KZofficial: all flights canceled 😞,all flights canceled 😞,Sat Aug 18 18:38:57 +0000 2018
