PookieG,Why do they think falling to the ground will make the cops stop taking you  #livepd @danabrams @DanTheBeepMan @OfficialLivePD @warwickripd @LivePdFans @LivePdFantasyLG @Sean_C_Larkin @TomMorrisJr1  @PascoSheriff,,Sun Aug 19 01:15:29 +0000 2018
kafweee,"RT @Messilizer: If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.","If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.",Sun Aug 19 01:15:00 +0000 2018
44Patriot,@Lrihendry You can shadowban her are you want but you will never stop her or me from getting the word out. I PLAY A GREAT HANDS ON GROUND GAME. Be aware that people you shadowban become people I trust and respect. Good name TWITTER because your all TWITS   MAGA,,Sun Aug 19 01:14:51 +0000 2018
Icey_ray,"RT @Messilizer: If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.","If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.",Sun Aug 19 01:12:02 +0000 2018
Alqas33m_,"RT @Messilizer: If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.","If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.",Sun Aug 19 01:11:58 +0000 2018
Simomarrakchi7,"RT @Messilizer: If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.","If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.",Sun Aug 19 01:10:46 +0000 2018
DFWAirport,"@lteqgt We try very hard to be the best. We are currently experiencing a ground stop due to weather, but if there is something we can do better, we hope you will send us a DM to let us know. https://t.co/v8801mKfyj",,Sun Aug 19 01:09:29 +0000 2018
Hegines,"RT @Messilizer: If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.","If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.",Sun Aug 19 01:06:16 +0000 2018
jr_islami,"RT @Messilizer: If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.","If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.",Sun Aug 19 01:04:35 +0000 2018
Eii_BraaKofi,"RT @Messilizer: If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.","If your heart didn’t stop as Messi fell on the ground, you’re not a Barca fan.",Sun Aug 19 01:04:21 +0000 2018
