ClarenceDarrowA,@ivannapaitan @Sarahchadwickk I hope that everyone is alright.  Your sister and father must have been terrified.  I would send prayers but I know they are not enough.,,Sun Aug 19 02:02:57 +0000 2018
BeckyRowe13,"RT @LadiesOfLivePD: What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers…","What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers for all the officers working this scene. 
#LivePD #LivePDNation",Sun Aug 19 02:02:26 +0000 2018
Angelique_it_is,@kevinrichardson It's sure going to be a long night for you guys. I hope those that were injured are going to be alright. Sending prayers from Missouri!,,Sun Aug 19 02:02:24 +0000 2018
raiderduke505,@RobinRoberts cancer has a way of changing you. I followed your story as you #won your fight with cancer. As a survivor myself I found that #lovinglife and the #BeautyAllAround provides #Hope. Hope is God’s way of encouragement. #Blessings #prayers #believerinGod 🤙🏽 https://t.co/XNvBCialQm,,Sun Aug 19 02:01:27 +0000 2018
ocboo1,"RT @LadiesOfLivePD: What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers…","What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers for all the officers working this scene. 
#LivePD #LivePDNation",Sun Aug 19 02:01:01 +0000 2018
blueline_custom,"RT @LadiesOfLivePD: What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers…","What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers for all the officers working this scene. 
#LivePD #LivePDNation",Sun Aug 19 02:00:16 +0000 2018
jpsabresfan78,"RT @LadiesOfLivePD: What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers…","What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers for all the officers working this scene. 
#LivePD #LivePDNation",Sun Aug 19 01:59:54 +0000 2018
LIVEPDWATCHPAR1,"RT @LadiesOfLivePD: What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers…","What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers for all the officers working this scene. 
#LivePD #LivePDNation",Sun Aug 19 01:59:50 +0000 2018
Gauti_Saurabh17,"RT @GautamGambhir: My heart goes out to all those suffering due to #KeralaFloods, i hope and pray that God lends strength to those doing th…","My heart goes out to all those suffering due to #KeralaFloods, i hope and pray that God lends strength to those doing the relief work. They are our real heroes. My prayers are with you all.",Sun Aug 19 01:59:44 +0000 2018
Carol_E_Zanetti,"RT @LadiesOfLivePD: What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers…","What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers for all the officers working this scene. 
#LivePD #LivePDNation",Sun Aug 19 01:58:52 +0000 2018
julivicious,hope hailey doesn’t develop asthma from going in jc penny her health is in my thoughts and prayers tonight x,,Sun Aug 19 01:58:23 +0000 2018
Veereshpatil15,"RT @JJROCKXX: Let’s not hold our selves , let this time be about our fellow citizens. We practically CAN contribute without any complaints…","Let’s not hold our selves , let this time be about our fellow citizens. We practically CAN contribute without any complaints or regrets. Also it’s good to see authorities finally taking bold measures,appreciate our forces for their help.Prayers for u dear Kerala.Don’t loose hope! https://t.co/92H7cp3jBk",Sun Aug 19 01:58:07 +0000 2018
LadiesOfLivePD,"What a horrible situation for his brother to have to watch. I hope this man comes out and surrenders soon. 🙏🏻 
Prayers for all the officers working this scene. 
#LivePD #LivePDNation",,Sun Aug 19 01:58:07 +0000 2018
GennaroClaudia,"@TiffWells05 @toddkmyers @barb71 @CopperheadCSA @KathyDutton16 @DetJoeLocus @laker477 @lonestarexile @RookieMurphyMom @hope_tindall @larkrieger7 Sending love, force and prayers to you💖",,Sun Aug 19 01:57:18 +0000 2018
starryguo,"anyer ;; banten
just got the news that anak krakatau mountain erupted just now! please be safe to people around the area!!  just remember that i visited the beach near this volcano area and dropping the pics here.. lets send more prayers and hope everyone is safe! https://t.co/Lm4yAQ4yDE",,Sun Aug 19 01:57:08 +0000 2018
karpagee,@TSwiftIsMyIdo1 @akirk44 I miss you!!! I hope you are recovering well. Sending you prayers 💜💜,,Sun Aug 19 01:55:58 +0000 2018
roxdig1,@LIVEPDWATCHPAR1 Hope all are safe prayers,,Sun Aug 19 01:54:52 +0000 2018
AlizaJF12,"RT @JJROCKXX: Let’s not hold our selves , let this time be about our fellow citizens. We practically CAN contribute without any complaints…","Let’s not hold our selves , let this time be about our fellow citizens. We practically CAN contribute without any complaints or regrets. Also it’s good to see authorities finally taking bold measures,appreciate our forces for their help.Prayers for u dear Kerala.Don’t loose hope! https://t.co/92H7cp3jBk",Sun Aug 19 01:54:51 +0000 2018
arctic_psyche,RT @maxehrich: . @ddlovato just came on Spotify shuffle. Really hope she’s doing well. Sending prayers her way.,. @ddlovato just came on Spotify shuffle. Really hope she’s doing well. Sending prayers her way.,Sun Aug 19 01:54:07 +0000 2018
Majorkdsingh,"RT @topgun_i: @soni487654 @Majorkdsingh @RajniJa91054755 @Bhartiysannari Thank you sister.
Your prayers always defend me from evil eyes and…","@soni487654 @Majorkdsingh @RajniJa91054755 @Bhartiysannari Thank you sister.
Your prayers always defend me from evil eyes and monsters.
I am lucky to have you as my sister.
Hope till raksha bandhan i will back
JaiHind https://t.co/KjwMc4Uamv",Sun Aug 19 01:53:06 +0000 2018
Tony_Lovatic,RT @maxehrich: . @ddlovato just came on Spotify shuffle. Really hope she’s doing well. Sending prayers her way.,. @ddlovato just came on Spotify shuffle. Really hope she’s doing well. Sending prayers her way.,Sun Aug 19 01:52:00 +0000 2018
COL314,@ScottPresler Fantastic Scott. I'm so proud of you. Hope its recorded so we can see it on YouTube. You are an amazing young man. Keep up the great work and I'll keep you in my prayers. God bless you,,Sun Aug 19 01:51:28 +0000 2018
barb71,@TiffWells05 @toddkmyers @CopperheadCSA @KathyDutton16 @DetJoeLocus @laker477 @GennaroClaudia @lonestarexile @RookieMurphyMom @hope_tindall @larkrieger7 I will keep you in my prayers 🙏🙏,,Sun Aug 19 01:51:16 +0000 2018
Gardenergirl29,So very sorry to hear of Victor Espinoza and his tragic fall.  I hope he recovers.  Prayers for him. https://t.co/LpYZG5EaVN,,Sun Aug 19 01:50:39 +0000 2018
RaviSwami01,"RT @GautamGambhir: My heart goes out to all those suffering due to #KeralaFloods, i hope and pray that God lends strength to those doing th…","My heart goes out to all those suffering due to #KeralaFloods, i hope and pray that God lends strength to those doing the relief work. They are our real heroes. My prayers are with you all.",Sun Aug 19 01:46:34 +0000 2018
Countrygrl8793,@CornellGunter Omg prayers up darlin!!! Nothing scarier than being in an accident with your babies especially the tiny ones! I hope everyone is ok!!! *hugs to you and momma*,,Sun Aug 19 01:46:08 +0000 2018
